date,season,year,不動產及設備－淨額,中期放款,中華郵政轉存款,交通及運輸設備,什項設備,以成本衡量之金融資產,保留盈餘合計,保證責任準備,備供出售金融資產,備供出售金融資產未實現評價損益,備供出售金融資產評價調整,備供出售金融資產－淨額,備抵呆帳－其他應收款,備抵呆帳－貼現及放款,備抵呆帳－非放款轉列之催收款項,其他什項金融負債,其他什項金融資產,其他待出售資產,其他應付款,其他應收款,其他權益合計,其他權益－其他,其他營業準備,其他負債合計,其他資本公積,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,其他雜項負債,其他預付款,其他預收款,出口押匯,匯出匯款,原始認列時指定透過損益按公允價值衡量之金融負債,可轉讓定期存單,員工福利負債準備,商譽,國外營運機構財務報表換算之兌換差額,土地,外匯定期存款,外匯活期存款,央行及銀行同業存款合計,存入保證金,存出保證金,存放央行,存放央行及拆借銀行同業合計,存放銀行同業,存款及匯款合計,定期存款（不含NCD）,庫存現金,庫藏股票,庫藏股票合計,待交換票據,待出售資產－淨額,待註銷股本股數,應付代收款,應付其他稅款,應付利息,應付帳款,應付承購帳款,應付款項合計,應付租賃款,應付股（官）息紅利,應付費用,應付金融債券,應付金融債券合計,應收信用卡款項,應收利息,應收帳款,應收承兌票款,應收承購帳款－無追索權,應收收益,應收款項－淨額,應收票據,應解匯款,房屋及建築,承兌匯票,拆放銀行同業,持有供交易之金融負債,持有供交易之金融負債評價調整,持有供交易之金融資產,持有供交易之金融資產評價調整,持有至到期日金融資產,持有至到期日金融資產－淨額,支票存款,放款轉列之催收款項,普通股股本,暫付及待結轉帳項,暫收及待結轉帳項,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債合計,本期所得稅資產合計,本期損益,機械及電腦設備,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,活期儲蓄存款,活期存款,無形資產－淨額,無活絡市場之債務商品投資,無活絡市場之債務工具投資,特別盈餘公積,特別股負債,特別股負債合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債合計,當期所得稅資產合計,短期放款,租賃權益改良,租賃資產,累積盈餘,累計折舊－交通及運輸設備,累計折舊－什項設備,累計折舊－房屋及建築,累計折舊－機械及電腦設備,累計折舊－租賃權益改良,累計折舊－租賃資產,累計減損-無活絡市場之債務工具投資,累計減損－以成本衡量之金融資產,累計減損－無活絡市場之債務商品投資,結構型商品所收本金,股本合計,股本溢價,行員活期儲蓄存款,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款折溢價調整,貼現及放款－淨額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,轉存央行存款,透支銀行同業,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅負債合計,遞延所得稅資產,遞延所得稅資產合計,銀行同業存款,銀行同業拆放,長期放款,附買回票券及債券負債合計,附賣回票券及債券投資,附賣回票券及債券投資淨額,電腦軟體,非控制權益合計,非放款轉列之催收款項,預付其他稅款,預付費用,預收利息,預收收入,預收股款（權益項下）之約當發行股數（單位：股）
2013-04-30,1,2013,927820,84909798,,91740,296541,128435,5823215,43572,59659951,,-269603,59390348,1132916,2367699,10740,0.0,207842,,1766789,2281333,-280709,-280709.0,9421,145769,1461505,1092536,516876,553272,,67641.0,69442,299521,24437,9772707,32366800,428588,137326,,502922,27040038,9230370,2091624,952,1022970,11437434,73195614,1187220,316867801,188899606,1475771,0.0,0,1116157,19472.0,,83304,19522,866380,151706,1700950,6965058,,1506290,434591,,11190000,1627847,354540,89073,435526,2342258,351992,6349653,,32406,195399,435526,5778180,659266,,13092210,,,,1749428,1097627,16796775,1925,44955,2013年03月31日,3183023,,,,557421,,23800786.0,23800786,0,2507098,38651719,18067065,254247,260486.0,,133094,,1414865,,3779148.0,164803.0,184523.0,46037736,491260,,3183023,66131,220615,52057,475031,393629,,,5166,39943.0,516876,16796775,,805932,,481581,,351410977.0,-462082,209436472,1461505,,,375211763.0,55980000,5550.0,10431973,13092210,14325,,3930210,145174,1940900,79921571,1126302,3006238,3006238,116921,0,12358,,,11778,18642,0
2013-08-29,2,2013,916031,81718626,,92660,301235,127127,6773476,46955,77198755,,-877499,76321256,1149697,2483845,6262,0.0,234608,,5515658,5822737,-878059,-878059.0,6999,254246,1461505,2199952,497335,584522,,35459.0,91923,65398,24751,8666348,36463300,428588,137326,,500512,23711471,8380630,17630768,538,2161314,15566118,74561708,4051698,321457266,190321923,1436283,,0,1023050,19472.0,,91615,42702,848392,91565,1393090,9775930,,199393,480442,10000000.0,10000000,1686312,336056,34980,1113073,2224513,567066,10635040,,2088,193277,1113073,4015590,973076,,15862365,,,,1940818,1747297,16796775,3179,135446,2013年06月30日,4133284,,,,555711,,24153697.0,24153697,0,2507098,41649454,18195079,278243,262666.0,,133094,1414865.0,1414865,,6511031.0,149726.0,184523.0,49780548,499329,,4133284,67450,224866,52644,478030,403703,,,5165,36275.0,497335,16796775,,767752,,482542,,380053908.0,-320425,210333948,1461505,,,404207605.0,54980000,2626334.0,9639424,15862365,45047,3794022.0,3794022,145174,14859260,79826349,8706759,2005492,2005492,140917,0,7823,,,14692,11647,0
2013-11-05,3,2013,895879,77580066,,92161,297935,127127,6776301,47994,61490776,,-823781,60666995,1161317,2017786,3769,0.0,379150,,1503345,2362137,-844646,-844646.0,7081,167637,1461505,2229840,625273,729520,,,87654,41086,22385,8667038,26104600,428588,137326,,500512,23983892,9128999,8675927,538,2183243,12767389,77584094,1986930,298190304,178322775,1320859,0.0,0,458669,0.0,,292574,18552,850717,91394,1723973,5852312,,299090,419795,10000000.0,10000000,1806956,299487,36048,652872,2152448,465474,6614105,,11417,193277,652872,9836705,934997,,15144253,,,,1727375,1137147,16796775,888,56020,2013年09月30日,4136109,,,,555310,,24189935.0,24189935,0,2507098,38935428,19240043,267415,258479.0,,133094,1414865.0,1414865,,3766458.0,90018.0,184523.0,38394948,492468,,4136109,67991,226010,53589,485192,403002,,,5165,31688.0,625273,16796775,,713390,,483663,,340501440.0,-331113,191332996,1461505,,,364691375.0,54980000,575098.0,9602035,15144253,26069,3725296.0,3725296,145174,7955655,76528648,5373337,1550001,1550001,130089,0,5386,45709.0,,12447,10978,0
2014-02-27,4,2013,928296,73458515,,85629,282257,127127,7737481,53337,58813106,,-754753,58058353,1182932,2090011,0,0.0,431022,,597004,1825972,-762997,-762997.0,7064,109688,1461505,2214873,883607,786193,,7416.0,79484,24726,28270,8665376,19589300,329237,137326,,500512,23050129,7970249,15404398,538,2186055,12118842,67398842,2377120,276629149,163117622,1444619,0.0,0,371459,0.0,,92618,40879,534156,91906,1689207,4336783,,398787,493806,10000000.0,10000000,1835193,252198,49034,398371,2834296,358948,6371080,,2162,193277,398420,0,1092912,,16697537,,,,1972890,1307463,16796775,245,7840,2013年12月31日,5097289,,,,566905,,25232764.0,25232764,0,2507098,40668638,19544373,259158,261096.0,,133094,1414865.0,1414865,,4193198.0,47450.0,184523.0,36705397,482290,,5097289,62503,217231,54532,486884,361424,,,5165,27887.0,883607,16796775,,685516,,389638,,323013946.0,-296488,185828247,1461505,,,348246710.0,55280000,,9758288,16697537,45124,3553076.0,3553076,4267107,11137291,76718645,3994956,1773334,1773334,121832,0,0,,21157.0,11886,9940,0
2014-04-24,1,2014,906726,71362253,4056933.0,85921,280077,127127,8403886,60708,57368558,,-595886,56772672,1213323,2358516,6343,,883081,,1437568,2241314,-588688,-588688.0,7427,119858,1461505,2260919,105063,1246971,,20475.0,62517,470075,20089,8642991,18964300,329237,137326,,500512,29763560,8412821,18571386,538,2200801,11397707,68630587,4963854,286905907,163846904,1485083,0.0,0,389750,0.0,,69152,19768,733998,49717,1871608,5877125,,498484,380933,10000000.0,10000000,1785009,309423,40278,815897,3733928,409982,8122508,,112430,193277,815897,1832880,1469870,,17237873,,,,1513204,1390170,16796775,1192,35196,2014年03月31日,5763694,,,,567302,,26073478.0,26073478,0,2507098,41934814,21600406,248274,266069.0,,133094,1414865.0,1414865,,6838687.0,22750.0,184523.0,49012555,482534,,5763694,63706,219368,55477,494033,370313,,,5165,24141.0,105063,16796775,,737379,,397372,,338518524.0,-266081,197113054,1461505,,,364592002.0,55400000,279.0,10112861,17237873,64553,,3489011,145174,14369000,77502598,4926784,1540197,1540197,110948,0,6343,,38451.0,12638,8969,0
2014-08-06,2,2014,947840,69202529,4056933.0,85486,276571,127127,8381508,61872,58101113,,-525403,57575710,1224055,2305666,11976,,174043,,505046,2881167,-541348,-541348.0,7371,130484,1461505,2136224,518636,537521,,15014.0,64627,304088,25239,8621407,15263800,329237,137326,,500512,23744557,8664069,13623757,538,2077922,12379348,68292316,5221257,274922840,162322997,1407153,0.0,0,304976,0.0,0.0,101968,37616,692224,44641,1625265,5974304,38399.0,1657214,465177,10000000.0,10000000,1828517,321952,103270,845153,3237003,411834,8404841,,74135,193277,845153,3882968,1382013,,5722605,,,,1551819,869680,16796775,8979,47886,2014年06月30日,4304885,,,,537883,,26098440.0,26098440,0,3299474,40478526,22118711,239088,260921.0,,777149,1414865.0,1414865,,6933386.0,7247.0,255043.0,45683938,490077,48118.0,4304885,62904,217686,56420,471400,374993,681.0,,5165,19405.0,480237,16796775,,678987,,398480,,321187172.0,-334812,192328198,1461505,,,347285612.0,52030000,0.0,10003420,5722605,71435,3319934.0,3319934,145174,9421650,78908441,4121704,592906,592906,101762,0,11976,,34309.0,9682,7751,0
2014-10-23,3,2014,961648,70925737,4056933.0,85477,277876,127127,9046693,67452,37412887,,-567270,36845617,1230636,2513390,6594,39360.0,827195,,688442,1729886,-558272,-558272.0,7101,103524,1461505,1748836,721706,949157,106.0,14377.0,69598,188554,18085,8616328,11047100,329237,137326,,500512,27797072,9926792,11201007,538,1690050,11468176,68844683,6275263,271241481,157573468,1487356,0.0,0,387236,,0.0,377340,41864,776062,44004,714041,3783326,,299090,500172,10000000.0,10000000,1864833,391007,62943,342311,1845123,371528,5467688,90693.0,14319,193277,342311,6946507,2282337,,22063238,,,,1258535,949518,16796775,1572,20018,2014年09月30日,4970070,,,,464154,,26746701.0,26746701,0,3299474,41138937,21778608,234620,0.0,,777149,1414865.0,1414865,,8149855.0,4191.0,188704.0,43915825,500566,48118.0,4970070,64081,219853,57366,380077,384233,2722.0,,5165,0.0,682346,16796775,,688565,,403790,,314278286.0,-357908,192389485,1461505,,,341024987.0,50430000,0.0,10898665,22063238,58888,3181456.0,3181456,145174,6998900,79281149,4446843,0,0,97294,0,6594,,42837.0,6572,6692,0
2015-02-06,4,2014,963750,72681475,4056933.0,85471,276411,125859,9952931,96609,33503186,,-316159,33187027,1227450,2371059,162,,1012678,,1117016,1701851,-234860,-234860.0,7098,122690,1461505,2645762,1076019,1133372,,34811.0,101116,408593,15758,8570813,5245600,309956,137326,,500512,32331278,8882376,13278381,538,2535920,10939641,62965473,5480717,262745653,150794324,1576849,0.0,0,509795,,0.0,67568,78781,506313,23978,464691,3667506,40525.0,398787,582373,10000000.0,10000000,1917393,371542,46517,422969,2081853,290193,5605800,932.0,7880,193277,427999,8495832,2516320,,25436545,,,,1401570,598160,16796775,54569,10916,2014年12月31日,5876308,,,,455676,,27976351.0,27976351,0,3299474,40919664,22452008,245644,0.0,,777149,1414865.0,1414865,,7567361.0,39072.0,221936.0,39742730,502389,48381.0,5876308,63961,218857,58309,359091,393384,4765.0,,5165,0.0,1035494,16796775,,695195,,413663,,307100101.0,-398986,191009208,1461505,,,335076452.0,43530000,50324.0,11087133,25436545,74141,3065512.0,3065512,145174,9025950,80348295,3180978,1029062,1029062,108318,0,162,,20462.0,4846,5274,0
2015-04-23,1,2015,970855,71099115,4056933.0,85528,271760,125859,10557266,109918,36725310,,-153707,36571603,1289563,2777544,6917,,1195572,,1433257,2731715,-122183,-122183.0,7022,167040,1461505,3213925,1236297,1316266,,20088.0,107316,247409,21634,8542738,4164100,309956,137326,,500512,30537901,9259319,13199557,538,3138154,8817376,58969857,3653507,258651583,151000700,1650929,0.0,0,286717,,0.0,55639,40122,621036,32444,512842,3851778,29585.0,498484,419870,10000000.0,10000000,1901612,389599,56470,238000,2339620,326929,6694385,3.0,10844,193277,238084,10822481,3122285,,25565901,,,,1228326,2205424,16796775,12885,52800,2015年03月31日,6480643,0.0,202524.0,,447812,28693363.0,,28693363,0,3299474,40640942,21002701,238173,,0.0,777149,1414865.0,1414865,5591153.0,,,,42110355,526069,48381.0,6480643,64206,214719,59254,356581,400906,6818.0,0.0,5165,,1206712,16796775,,785116,334634017.0,426896,305940654.0,,-375837,191861105,1461505,,334634017.0,,39330000,2924.0,11665023,25565901,45134,2989682.0,2989682,145000,8994700,79352183,5282481,448588,448588,100847,0,6917,,42798.0,2246,4140,0
2015-08-20,2,2015,956644,72369769,4056933.0,85694,269845,125859,10284264,97587,38584155,,-232283,38351872,1301805,2299208,2908,,369672,,807258,2127057,-213018,-213018.0,6691,135717,1461505,3233577,1530822,490353,,36862.0,81012,160103,14301,3514058,4451400,309956,137326,,500512,34935613,9538130,7307934,538,3158309,10161876,56090042,3967810,258743151,146767001,1481317,0.0,0,326329,,0.0,78545,77838,597405,28670,207883,4231827,30760.0,1605986,525337,10000000.0,10000000,1917902,386806,52163,302878,2895928,380728,6764765,3108.0,25014,193277,302905,7828166,2626766,,20366916,,465900.0,465900.0,1241907,1631456,16796775,2483,24222,2015年06月30日,5775335,219854.0,266696.0,,417542,28329526.0,,28329526,0,4259918,39787413,21242518,228830,,0.0,249011,1414865.0,1414865,5775456.0,,,,39959900,529784,48951.0,5775335,65062,215013,60198,328888,410929,8871.0,0.0,5165,,1500062,16796775,,739854,327320915.0,414234,298991389.0,,-365725,190937534,1461505,,327320915.0,,38100000,0.0,6140824,20366916,42623,2843816.0,2843816,145001,3106000,79481239,8809538,548514,548514,91504,0,2895,,35923.0,26354,3591,0
