date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,549169,500857,212860,752,-11411,1894,1894,26789,8226,1007,29539,2305,142097,0.0,,,,50527,34516,513815,2949.0,0,64833,472500,2013年03月31日,391317,,,1763443,1763443,0,51351,312711,1484507,8226,58189,,795891.0,8229.0,2214.0,,472500,,4685,,375892.0,801497,,2139335.0,,,62174,3061,27234,0,63181,654828,0
2013-07-30,2,2013,,632362,366661,312286,196,15697,339,339,33330,7967,1053,33359,5759,145277,0.0,70875.0,,,57841,41721,459309,0.0,0,63782,472500,2013年06月30日,235652,,,1732692,1727230,0,72820,422072,1466314,7967,58189,,823773.0,3085.0,4429.0,,543375,,6800,,473385.0,801497,,2206077.0,,,50260,2293,27600,5462,51313,739763,0
2013-11-12,3,2013,,635806,389496,249897,2121,1152,524,524,54159,7700,1191,57735,14192,130818,0.0,,,,83572,14571,577742,0.0,34,56916,543375,2013年09月30日,258487,,,1745293,1735520,0,72820,442575,1471392,7700,58189,,703973.0,11812.0,2545.0,73913.0,543375,,8286,,500001.0,801497,,2245294.0,,,56235,15745,43543,9773,57426,773902,0
2014-03-24,4,2013,,653431,405188,254550,387,28559,543,543,47124,7692,1207,59717,15083,131681,0.0,,,,83602,47030,602816,0.0,121,57439,543375,2013年12月31日,274179,,,1787587,1778619,0,72820,455776,1507154,7692,58189,,721949.0,7440.0,3076.0,52369.0,543375,,10242,,517068.0,801497,,2304655.0,,,60085,19222,44634,8968,61292,797501,0
2014-04-30,1,2014,,653506,433070,228056,913,46788,2446,2446,31955,8774,1218,52320,7434,120121,0.0,,0.0,,81664,41203,605139,0.0,27,58477,543375,2014年03月31日,302061,,,1832717,1824730,0,72820,422936,1523508,8774,58189,753818.0,,7036.0,65.0,53366.0,543375,,9165,,487617.0,801497,,2320334.0,,11470.0,63463,23749,44886,7987,64681,796826,0
2014-07-31,2,2014,,631115,438451,300816,697,16475,462,462,37581,8028,1152,53350,9629,152284,0.0,0.0,0.0,,104303,41144,692088,,0,53627,543375,2014年06月30日,301968,,,1812153,1799798,0,78294,530002,1637871,8028,58189,739898.0,,20498.0,651.0,52360.0,543375,,10419,,597799.0,801497,,2409952.0,,14672.0,66645,25961,43721,12355,67797,772081,0
2014-11-06,3,2014,,638511,517005,255702,1499,46156,455,455,53699,7623,1166,56440,12191,146650,0.0,,0.0,,104479,30272,757628,,161,55554,543375,2014年09月30日,380522,,,1919350,1908033,0,78294,481875,1694180,7623,58189,718662.0,,29221.0,0.0,52325.0,543375,,9421,,557629.0,801497,,2476979.0,,15881.0,74588,24671,44249,11317,75754,782799,0
2015-03-12,4,2014,,636767,583495,266689,3641,118653,626,626,63526,7635,1202,58122,12143,165217,0.0,,0.0,,86613,38025,724209,,25,56110,543375,2014年12月31日,447012,,,2058058,2047020,0,78294,522078,1881830,7635,58189,917012.0,,24864.0,1167.0,95130.0,543375,,10131,,609340.0,801497,,2667398.0,,7033.0,86060,26934,45979,11038,87262,785568,0
2015-05-12,1,2015,,622011,629146,246529,1142,91037,590,590,55795,6855,1076,61552,16615,141953,0.0,,0.0,,65169,22859,652865,,0,56591,543375,2015年03月31日,492663,16665.0,1120.0,2080829,2065055,0,78294,456997,1856460,6855,58189,,999228.0,,,93855.0,543375,2627744.0,11330,546915.0,,801497,2627744.0,,,4357.0,88842,24275,44937,15774,89918,771284,0
2015-07-30,2,2015,,617815,523972,427800,412,80271,438,438,59153,6705,1071,57060,12698,153021,0.0,0.0,0.0,140880.0,69675,29988,601872,,152,50454,543375,2015年06月30日,364225,16255.0,4085.0,1971245,1956030,0,101558,648695,2083513,6705,58189,,1262457.0,,,92910.0,543375,2837342.0,11254,866097.0,,808412,2837342.0,,375.0,2361.0,75451,21795,44362,15215,217402,753829,0
