date,season,year,一年或一營業週期內到期應付公司債,一年或一營業週期內到期長期負債合計,不動產及設備淨額,不動產及設備－其他成本,不動產及設備－其他淨額,交割結算基金合計,代收款項合計,以成本衡量之金融資產－非流動合計,保留盈餘（或累積虧損）合計,信託業賠償準備金,借券保證金－存入,借券保證金－存出,借券擔保價款,備供出售金融資產未實現損益,備供出售金融資產－流動合計,備供出售金融資產－非流動合計,共同控制下前手權益,其他應付款合計,其他應付款－關係人,其他應收款合計,其他應收款－關係人合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融負債－流動合計,其他金融資產－非流動,其他非流動負債合計,其他非流動資產淨額,其他非流動資產－其他,員工福利負債準備－流動,國外營運機構財務報表換算之兌換差額,土地成本,土地淨額,存出保證金,客戶保證金專戶合計,已認購普通股股本,庫藏股票,建築物成本,建築物淨額,待分配股票股利,待註銷股本股數（單位：股）,應付公司債（含海外公司債）合計,應付商業本票,應付帳款合計,應付帳款－關係人,應付票據合計,應付融券擔保價款,應收借貸款項-不限用途,應收帳款合計,應收帳款－關係人,應收期貨交易保證金,應收票據合計,應收票據－關係人,應收證券融資款,應收轉融通擔保價款,投資性不動產淨額,投資性不動產－土地淨額,投資性不動產－建築物淨額,普通股股本,會計項目,期貨交易人權益合計,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產淨額,營業保證金,特別盈餘公積,現金,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－不動產及設備－其他,累計折舊－建築物,累計折舊－租賃改良,累計折舊－設備,累計折舊－閒置資產－建築物,結構型商品本金價值,股本合計,融券保證金,設備成本,設備淨額,負債及權益合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－已失效認股權,資本公積－庫藏股票交易,資本公積－股票溢價,資產總計,資產總額,轉融通保證金,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債,遞延所得稅資產,閒置資產－土地成本,閒置資產－建築物成本,附買回債券負債合計,附買回票券負債,附賣回債券投資,非控制權益（合併報表用）,非流動負債合計,非流動資產淨額,預付款項合計,預付設備款,預收款項合計,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-04-24,1,2013,312602.0,312602.0,2131470,125028.0,29079.0,259665,37466,902823,4810654,50000,906126,1278972,102984,-5958,873622,118867,,301183,1735,35086,3493,-10868,20827,,2789809,3919070,0.0,49245,1745644,2260,,-4910,1410275.0,1410275.0,290053,3353103,35978.0,423062,666444.0,464660.0,,,0.0,4149138,8014291,49758.0,229.0,1221971,,6073506,1064,,3295,0.0,11466820,6197,74071,67507.0,6564.0,15296593,2013年03月31日,3347740,1045808,,,,19768365.0,19768365,38800000,337481,44321939,58860084,247800,1135000,3427365,4279058.0,,4279058.0,532746.0,38609.0,194669,129147.0,53920.0,95949.0,201784.0,75227.0,1109961.0,2908.0,3919070.0,15332571,1045444,1283497.0,173536.0,64516689.0,,40887,,44748324.0,59070,1072,42925,15073,,64516689.0,7680,1188982,24931693,377140,435930,67507.0,9472.0,18319716,648935,3581791,0.0,426385,5656605,33302,8666,68424,0
2013-08-21,2,2013,,144672.0,2120952,,,261734,42773,1001401,4370414,50000,888905,1315946,50864,-2465,838945,498,,805044,1354,57087,2858,-3929,23466,,2799254,4058957,0.0,46283,1799409,3701,,-1464,,,322876,2875615,180869.0,423062,,,,,0.0,6347990,10151071,249436.0,9.0,946359,,8585115,5934,,2852,0.0,12429574,6476,74029,,,15340506,2013年06月30日,2870035,548178,,,,19526679.0,19526679,38800000,417492,46688091,60966333,238763,1135000,3404744,,,4261890.0,142525.0,27352.0,0,,,,,,,,,15521375,850710,,,66693346.0,,44288,,47166667.0,61881,1072,42925,17884,,66693346.0,6005,1506344,24824883,432293,491961,,,16697585,848680,2847941,,478576,5727013,27742,26098,67888,18086900
2013-11-12,3,2013,,0.0,2155040,,,264502,1817639,1061910,4556719,50000,2227735,1031427,209683,46172,887635,1064,,372986,1383,27142,4134,37813,108743,,4622278,2647756,0.0,43082,1809925,3649,,-8359,,,346148,2763333,0.0,423062,,,,,0.0,7497705,7197024,,9.0,1407438,,9178837,202724,,817,0.0,12340909,10086,73987,,,15604309,2013年09月30日,2758925,734483,,,,19836293.0,19836293,38800000,417492,49816182,64305989,236916,1135000,3404744,,,5738532.0,123885.0,27352.0,10000,,,,,,,,,15604309,1226538,,,69980002.0,,45815,,50143709.0,60514,1072,42925,16517,,69980002.0,12123,2919076,23952951,284445,335171,,,18438357,948057,3259485,,327527,5674013,36541,10626,67111,0
2014-02-26,4,2013,,0.0,2172197,,,265450,641456,1168931,4856005,50000,2136507,1266625,241006,76392,899559,899,,452107,1355,22016,1966,72124,24435,,3171665,4050689,0.0,22962,1776929,6912,,-4268,,,288492,3003319,,423062,,,,,0.0,7597049,10123702,,9.0,1701109,,9857606,2402,,311,96.0,13787268,44165,40424,,,15604309,2013年12月31日,2998912,1033769,,,,20169890.0,20169890,38800000,417492,55637255,70408259,229580,1135000,3404744,,,4652370.0,128690.0,27371.0,330000,,,,,,,,,15604309,1410021,,,76222265.0,,45772,,56052375.0,60514,1072,42925,16517,,76222265.0,51557,2078816,30963571,392158,425046,,,21251783,598345,2374924,,415120,5814006,40462,31075,66498,0
2014-05-14,1,2014,0.0,0.0,2150886,,,271543,51813,1143307,5178544,50000,1041589,1232539,208517,87296,844437,1025,,354238,2539,5341,3099,93075,23869,,2966172,4606181,,19478,1820965,7025,,5779,,,329228,2921415,0.0,423062,,,,0.0,,9546480,10470309,49820.0,9.0,1075950,,10045348,4955,,309,0.0,14549006,10391,40397,,,15604309,2014年03月31日,2916704,1356308,,,,20513380.0,20513380,38800000,417492,59276964,74395309,221668,1135000,3404744,,,4426782.0,213193.0,27352.0,380000,,,,,,,,,15604309,904265,,,80205224.0,,42589,,59691844.0,60514,1072,42925,16517,,80205224.0,10220,3075480,32446923,395402,431667,,,23858433,598277,4660776,0.0,414880,5809915,31727,28169,65226,0
2014-08-20,2,2014,,0.0,2154278,,,270328,55297,1196709,5091565,50000,1302439,623192,55101,207374,915754,1058,,1097054,1362,5452,1987,203067,27332,27332.0,2611444,6425376,,15950,1884291,6989,,-4307,,,417171,2900743,0.0,423062,,,182596.0,0.0,,8996369,13678899,0.0,9.0,1048858,,11244167,5997,,87,0.0,15308625,6225,40369,,,15604309,2014年06月30日,2896352,1063391,,,,20718989.0,20718989,38800000,501568,64439062,79641777,219088,1135000,3526606,,,4185358.0,147823.0,27352.0,114513,,,,,,,,,15786905,864406,,,85249373.0,,45390,,64530384.0,60514,1072,42925,16517,,85249373.0,6691,3212466,36308176,75372,111803,,,24110500,349124,5408927,,91322,5607596,26499,4803,65493,0
2014-11-12,3,2014,,,2140232,,,269426,2462013,1103222,5193883,50000,1125584,1410560,199880,334324,1175519,1939,,578706,1965,6308,2629,339565,25839,,5307254,8058981,,12354,1932694,5637,,5241,,,438683,3123599,,423062,,,,0.0,,3998655,9374585,,0.0,1382467,,10460147,7465,,97,0.0,15061856,12735,40342,,,15786905,2014年09月30日,3117830,1165709,,,,20957805.0,20957805,38800000,501568,61265353,76769032,208546,1135000,3526606,,,4716146.0,163303.0,28258.0,1551225,,,,,,,,,15786905,1105914,,,82649757.0,,46835,,61691952.0,60514,1072,42925,16517,,82649757.0,10918,6015165,29483979,414245,453750,,,21791695,399292,5731791,0.0,426599,5880725,29891,33948,65299,0
2015-02-25,4,2014,,,2234248,,,269965,46283,996465,5634959,50000,1531575,1000040,415299,349592,1578889,1836,,736437,1335,4650,2155,377337,25576,,3230236,9412793,,48858,1947380,6095,43850.0,27745,,,481371,3321801,,0,,,,0.0,,2199293,7916888,,0.0,1599755,,9074793,3977,,481,0.0,14656824,9531,40314,,,15398905,2014年12月31日,3316128,1606785,,,,21436653.0,21436653,0,501568,58721589,74714912,227784,1135000,3526606,,,4452077.0,88778.0,15609.0,878733,,,,,,,,9412793.0,15398905,1401822,,,80694329.0,,43850,,59257676.0,25452,1072,8269,16111,,80694329.0,9697,3158716,32516387,487229,531390,,,25501194,797668,4381324,,536087,5979417,41142,4949,64765,0
2015-05-13,1,2015,,,2206901,,,289379,2297118,1047729,5983071,50000,1011354,647908,165518,149552,1343927,1126,,519130,2494,6279,2370,171153,26306,,5139883,10686625,,45587,1797694,6066,,21601,,,547143,3485502,,0,,,,0.0,,2998969,9391523,50019.0,0.0,735578,,10451327,4403,,228,,14925403,15982,40287,,,15398905,2015年03月31日,3479884,1954897,153627.0,11609.0,21578581.0,,21578581,0,501568,62482251,78757166,214269,895000,3526606,,4654719.0,,,,1695158,,,,,,,,,15398905,623723,,,,84407699.0,43981,62829118.0,,25452,1072,8269,16111,84407699.0,,14488,2453092,35068987,301280,342527,,,25242319,1006912,2782783,0.0,346867,5650533,35850,10106,64439,0
2015-08-19,2,2015,,,2193661,,,288651,43504,936515,5103400,50000,1782996,1598839,413432,24324,1252755,1443,,1333489,1408,25128,1951,36616,26199,,4633681,13731691,,42253,1821741,9822,,12292,,,601893,3320913,,0,,,307978.0,0.0,,1799213,10694150,,0.0,1008195,,9347606,359590,,6451,,13091147,6585,40259,,,15398905,2015年06月30日,3315015,625969,117866.0,11609.0,20872351.0,,20872351,0,651320,61704831,77410882,201483,865000,3826111,,7592852.0,,,,1031183,,,,,,,,,15706883,870041,,,,83103156.0,46936,62230805.0,,25452,1072,8269,16111,83103156.0,,5956,3119068,34006846,483721,497172,,,21811355,907651,1698301,0.0,525974,5692274,37240,6375,64871,0
