date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,18706,846662,12662,2258589,136009,59385,-7980,1000015,20371,2464,62068,54091,,623,54091,1494039,0.0,,,383980,21423,1100791,228784,61445.0,61320,1187109,2013年03月31日,1770825,,3548609,3548609,0,455945,1722811,4801161,,14706,,328268.0,31819,,1532716.0,99117.0,82267,1187109,,,,2256427.0,110891,110891,,5805036.0,267359,14434,204189,,0,533616,1003875,54714.0,960938,960938,0
2013-08-14,2,2013,18755,844576,12662,1990329,573180,59439,10887,957455,7405,2395,74848,72206,9773.0,14080,62433,1539252,0.0,0.0,,488234,22231,1079152,239287,60768.0,60987,1187109,2013年06月30日,1432076,,3299216,3299216,0,523238,2184772,5015570,,6687,,385533.0,35015,,1615661.0,83726.0,59946,1187109,,,,2732345.0,110891,110891,,6031561.0,273244,18873,199481,,0,547573,1015991,94851.0,931295,931295,0
2013-11-12,3,2013,18787,843263,12662,2153564,184589,78220,-13782,985823,13608,2124,74170,57181,9409.0,14092,47772,1531496,0.0,,,517173,25978,1197718,213285,60078.0,60650,1187109,2013年09月30日,1595311,,3437782,3437782,0,523238,1916718,4910221,,6466,,562184.0,35015,,1230406.0,62704.0,140451,1187109,,,,2476061.0,110891,110891,,5913843.0,290405,23400,194768,,0,559343,1003622,94788.0,953428,953428,0
2014-03-21,4,2013,18823,843497,12662,2310630,197109,91627,12742,876443,10106,2078,127127,59060,9122.0,14093,49938,1406136,0.0,,,574446,29102,1324931,255056,113034.0,60314,1187109,2013年12月31日,1752377,,3621372,3621372,0,523238,1905144,5130164,,8052,,600384.0,35015,,1315555.0,85634.0,142410,1187109,,,,2521526.0,110891,110891,,6142898.0,299225,29149,190030,,0,616382,1012734,134397.0,847514,847514,0
2014-05-09,1,2014,19114,840654,12662,2489600,141043,72249,27772,921472,9138,15460,125766,59851,9288.0,15298,50563,1389770,0.0,,,355253,23249,1045359,230400,110468.0,59977,1187109,2014年03月31日,1931347,,3815372,3815372,0,523238,1689416,5115219,,7455,,616261.0,35015,1554032.0,,103666.0,144733,1187109,,,,2311630.0,110891,110891,,6127002.0,311433,31184,185015,,0,622214,1011783,191688.0,893220,893220,0
2014-08-08,2,2014,19114,837666,22662,2251608,502648,66581,-6502,848479,8769,1570,108487,82628,10028.0,636,72600,1321370,,,0.0,350007,17647,1057703,193343,107851.0,59637,1187109,2014年06月30日,1632639,,3543106,3543106,0,587150,1917645,5027042,,6921,,648808.0,31819,1642633.0,,71937.0,126927,1187109,,,,2525197.0,110891,110891,,6068303.0,318795,31747,180270,,0,607552,1041261,95034.0,820596,820596,0
2014-11-10,3,2014,19153,906490,22662,2405657,176785,61440,38381,920275,29141,1919,105826,87178,14270.0,622,72908,1467433,0.0,,0.0,474569,16520,1122785,256642,105204.0,59292,1187109,2014年09月30日,1786688,,3742038,3742038,0,587150,1765221,5007508,,6367,,745319.0,31819,1232770.0,,47038.0,129823,1187109,,211.0,,2379241.0,110891,110891,,6121279.0,332731,31782,175463,,0,614020,1113771,119200.0,871981,871981,0
2015-03-20,4,2014,19195,920780,22662,2572550,222402,67230,114561,792329,6321,1439,122648,78467,11263.0,622,67204,1518458,0.0,,0.0,445179,19798,971712,202031,122026.0,58965,1187109,2014年12月31日,1953581,,3985111,3985111,0,587150,1683873,5182398,,7173,,873071.0,31819,1461862.0,,70016.0,134011,1187109,,138.0,,2318023.0,110891,110891,,6303134.0,340871,32689,170631,,0,634150,1120736,86595.0,766813,766813,0
2015-05-11,1,2015,19436,918203,22662,2664625,151294,62348,87320,894959,11218,1300,120080,57822,8462.0,621,49360,1561140,0.0,,,438878,26654,993702,211336,,58645,1187109,2015年03月31日,2045656,77922.0,4049945,4049945,0,587150,1660270,5239015,119459.0,10150,922899.0,,31819,,1394276.0,,70425,1187109,6337573.0,138.0,2287628.0,,110891,110891,6337573.0,,341699,31076,165579,,0,627358,1098558,92014.0,864305,864305,0
2015-08-06,2,2015,19464,913407,22662,2425302,511433,56639,56409,974946,7594,83596,119046,64355,14851.0,621,49504,1757460,,,0.0,340803,31720,913697,187235,,58321,1187109,2015年06月30日,1742913,61106.0,3779711,3779711,0,650570,1989424,5292593,116832.0,9345,897924.0,,31819,,1396042.0,,69416,1187109,6392101.0,,2612390.0,,110891,110891,6392101.0,,343203,31418,160717,1593.0,0,622966,1099508,,947888,947888,0
