date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,10365761,92567277,978461,2539878,3466845,,9164341,-727879,22798138,4261383,1096219,16134571,5890859,5583589,10237941,,,,16700000,4179586,1515145,,6995570.0,9631704,402347,436865,3248142.0,794861,32589450,2013年03月31日,,38706940,34563634,0,39598547,43480775,,1912686,,19129190.0,,332673.0,1608664,32589450,,,,114608687.0,1723602,,,,,153315627.0,,139,310604,5509594,,,6492.0,,41864965,6995570,4143306,75010140,109834852,8170994,,0
2013-08-13,2,2013,10560746,91453384,799761,2333320,3127216,,9773700,-1044180,24922659,4558209,1288743,15632215,5877890,6094208,9866724,,,,21200000,4173748,1203168,,6603343.0,10209979,353557,493330,3150982.0,799339,32589450,2013年06月30日,,38217727,34068633,0,41961548,48326118,,1971290,,23780326.0,,253315.0,1558734,32589450,,,,119083189.0,1723602,,,,,157300916.0,,139,325698,5529361,76224.0,,0.0,,39963728,6603343,4149094,77121641,108974798,9803704,,0
2013-11-11,3,2013,9967865,89450810,2570563,2390882,3053757,,9831001,-845252,23928756,4969337,1345232,15060998,5823846,6886216,9780798,,,,21200000,2590214,741032,,6175946.0,9080127,395053,458143,3061206.0,797802,32589450,2013年09月30日,,40339843,36038363,0,38543684,46599176,,1990823,,23132830.0,,243334.0,1208892,32589450,,,,113970167.0,1723602,,,,,154310010.0,,1340,338982,5531426,455.0,,14771.0,,38826503,6175946,4301480,75426483,107710834,8991554,,0
2014-03-25,4,2013,9334554,88226342,2275240,2059740,3134113,,10800328,-750259,23507662,4908506,1239005,14809652,6050685,6742781,8593070,,,,21200000,2630022,229583,,,8598641,358272,345472,3373119.0,793704,32589450,2013年12月31日,,40257361,35838033,0,38740228,46119654,,2431864,,24898172.0,,243859.0,1328774,32589450,,,,112465573.0,1723602,,,,,152722934.0,,1192,116622,5274476,,,26090.0,,37599071,5385848,4419328,73725345,106603280,9264602,,0
2014-05-13,1,2014,10976806,86482606,1365409,1689061,3057312,,10507657,-697996,25120257,4920126,1454382,14825854,6484265,7455599,7932703,,,0.0,19650000,2121713,216885,,5046317.0,9896832,355409,490456,3295272.0,913378,32589450,2014年03月31日,,39537477,34980465,0,39589020,45566482,,2477475,23732281.0,,,318779.0,1303729,32589450,,,,111616172.0,1723602,,,,,151153649.0,,1094,115779,5200797,,,14264.0,,37435519,5046317,4557012,72027152,105587167,9223325,,0
2014-08-13,2,2014,11550541,100629594,1485889,1405978,3000313,,10596226,-473961,27458837,5081359,2158631,14734976,6884361,4917097,8243522,,,0.0,19650000,3072754,187501,,4661251.0,8945505,686256,561819,3189364.0,895188,32589450,2014年06月30日,,39841350,35324980,0,42756780,44069719,,2423215,21936441.0,,,217730.0,1223732,32589450,,,,121242963.0,1723602,,,,,161084313.0,,1095,180372,5149187,0.0,,130472.0,,43920835,4661251,4516370,78486183,117014594,10826937,,0
2014-11-13,3,2014,15716743,100228077,1684020,1361785,2952640,,10132424,449400,30887534,5376695,2265726,14557886,7169243,6217548,7928150,,,0.0,16100000,3546086,175062,,4305865.0,8510463,2698362,374293,3082778.0,631772,32589450,2014年09月30日,,41630568,36446472,0,46296040,48298492,,2405594,25156515.0,,,284041.0,949704,32589450,,,,124153816.0,1723602,,,,,165784384.0,,3198,120972,5050261,321189.0,17796.0,0.0,,47061122,4305865,5184096,77857776,117485892,9794096,,0
2015-03-26,4,2014,16234074,98752051,739412,1104523,2963385,,11948648,-1171147,32695322,5920910,2579775,14068784,6843095,7377821,7687222,,,0.0,16100000,2967792,203147,,3954168.0,8283584,2872770,420018,3271521.0,630177,32589450,2014年12月31日,,39677001,34391884,0,51352783,50095894,,2407217,27144950.0,,,255665.0,949826,32776017,,,,127883199.0,2047602,,,,,167560200.0,,3052,66849,5333655,2332383.0,,0.0,,46294783,3954168,5285117,76530416,117464306,10540338,186567.0,10974502
2015-05-11,1,2015,15994846,106212299,2751773,1730571,2975926,,11961066,-838019,33904539,6512784,2094881,16850689,7229714,5108717,7588162,,0.0,0.0,14550000,3017798,170157,,6385531.0,8587986,2041910,582962,,658448,38589450,2015年03月31日,339753.0,52149016,46751078,0,52577579,62634122,3235444.0,2385620,,40004593.0,,,1229933,38589450,,185302407.0,133153391.0,,6247874,6247874.0,0.0,0.0,185302407.0,,14138.0,3057,153943,5326524,1940195.0,59026.0,0.0,751.0,48962154,6385531,5397938,80575812,122668285,11396909,0.0,0
2015-08-11,2,2015,16454747,116159889,4404510,1799988,2822878,0.0,11086417,-56513,37650841,7773979,1922059,16674556,7677494,5298312,7770756,,0.0,0.0,14550000,3123364,149477,0.0,5869796.0,7543855,2740258,532478,,596292,38589450,2015年06月30日,238018.0,54586223,49174474,0,54332836,54736670,3127266.0,2351489,,32382010.0,0.0,,1079743,38589450,0.0,187133514.0,132547291.0,,6237027,,,,187133514.0,,0.0,3061,152173,5140694,1004976.0,,42205.0,27290.0,46837726,5869796,5411749,78214455,132396844,13422115,0.0,0
2015-11-13,3,2015,16956555,114030196,6726319,1327753,2521115,,12596534,-1479947,36640087,7237822,2117432,17244091,8621541,7378606,7731133,,,0.0,11000000,3333153,103891,,5589830.0,7520141,2292247,500481,,642642,38589450,2015年09月30日,231958.0,55640316,50072849,0,56136732,57691803,3032720.0,2292647,,36199200.0,,,1287770,38589450,,189965876.0,134325560.0,,6237027,,,,189965876.0,,,3416,150401,5398009,1943339.0,571050.0,,10858.0,49223286,5589830,5567467,78188828,132274073,12445710,0.0,0
2016-03-28,4,2015,18113629,113750466,6347229,1796287,2564168,,12202582,-2314892,40007705,8520092,2017931,18020647,8858207,11863640,8489127,,,0.0,11000000,2793892,95341,,5152193.0,6515138,3606179,412641,,624026,38589450,2015年12月31日,247292.0,54727522,48858814,0,58580061,58585588,4010247.0,2272757,,35744865.0,,,739836,38589450,,195406312.0,140678790.0,,6237027,,,,195406312.0,,,3420,111640,5745667,2493413.0,1054338.0,,,51912104,5152193,5868708,82098729,136820724,13373984,0.0,0
