date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應付薪資,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,,3576868,9996.0,2754615,-258576.0,173930,882925,4385,450658,-250477,193348,,564208,563840,368,33429,491263,394,245249,22847,,8099.0,3887883,0,,178088.0,4276306,,432267,3354902,1962968,490869.0,,4917520,2013年03月31日,1900904,,9572613,9572613,0,788389,6475401,12746989,,237002,,65322,,2972762.0,139833.0,689443,4917520,,241530,,7512056.0,2150955,1148641.0,0.0,982861.0,1002314.0,19453.0,,17084669.0,47631,598.0,4266,65517,94635,301189,110668,0.0,1036655,4337680,78305.0,0.0,0
2013-07-30,2,2013,,,,3489339,9996.0,2400143,-251678.0,180828,1513535,7481,417412,-201968,314526,,923838,653840,269998,485512,497269,400,616292,18894,49710.0,,3531662,141326,,178729.0,3908510,555692.0,540431,2335483,2852935,496869.0,78305.0,4917520,2013年06月30日,1383941,,9125696,9125696,7261000,860001,6504921,12278892,,227649,,156201,,2622123.0,59547.0,456286,4917726,,233258,,7850240.0,2151121,1148887.0,0.0,982821.0,1002234.0,19413.0,,16975936.0,11778,500.0,12851,65273,94635,603548,111886,0.0,1345319,4697044,0.0,206.0,20618
2013-11-11,3,2013,,,179745.0,3476121,9996.0,2641377,-269590.0,164000,1015757,9513,473851,-245120,540341,360596.0,959995,821319,138676,288361,503383,514,419201,20595,,24470.0,3885718,182673,,0.0,4145027,,541906,2746930,2734812,502869.0,78305.0,4917727,2013年09月30日,1625175,,9282432,9282432,9383000,860001,6510641,12499451,,216065,,156201,,2130680.0,62215.0,502130,4917727,,232875,,7675342.0,2151121,227971.0,0.0,982821.0,1923150.0,940329.0,,16957774.0,2783,0.0,41316,66302,94635,595016,110245,0.0,1164701,4458323,0.0,0.0,0
2014-03-03,4,2013,,,136797.0,3479772,9996.0,3053529,-253923.0,179668,1095369,13218,536214,-196722,273966,137169.0,1873997,1074672,799325,56022,359733,523,157016,21829,,57201.0,4394209,182672,,0.0,4876948,,559155,3429696,2575087,359210.0,124965.0,4917727,2013年12月31日,2037327,,9787000,9787000,9383000,860001,7186809,13824978,,220966,,156201,,1542704.0,42577.0,597898,4943441,,235346,,8262760.0,2169424,227971.0,0.0,982821.0,1941453.0,958632.0,,18049760.0,51487,0.0,9285,114448,52399,601770,79165,0.0,1075951,4224782,0.0,25714.0,2571417
2014-05-09,1,2014,0.0,301705.0,301705.0,3383440,9996.0,3102267,,215574,930110,8739,464822,-194074,342351,40646.0,1946420,1002766,943654,42754,365802,717,175559,54500,,,4698485,263030,0.0,0.0,4075395,,465288,2461502,2397634,365085.0,118965.0,4943441,2014年03月31日,2086065,,9895427,9895427,12602000,860001,6377183,12882258,,216444,,156201,1378217.0,,42390.0,659399,5023441,,232338,,7159138.0,2226823,,,,,,,17054565.0,86461,0.0,0,114448,52329,301705,78305,,781955,4172307,0.0,80000.0,7999958
2014-08-11,2,2014,0,296214,296214,3252687,9996,2479543,,197212,1710155,7858,516423,-262637,385718,89504,3087003,944240,2142763,60370,371789,704,207390,70575,,,4518507,182672,0,0,3938293,663265,530467,2741032,2513811,371085,112965,4971271,2014年06月30日,1344868,,9211234,9211234,9383000,937953,8467148,14410579,,217964,,196722,1521640,,38601,2135823,4971271,,237715,,9249599,2205729,,,,,,,18460833,12985,0,28586,114448,52040,296214,76445,,782451,4050254,,0,0
2014-11-10,3,2014,0.0,304549.0,304549.0,3299705,9996.0,2614844,,178857,968905,8379,455107,-191177,356913,52364.0,4185091,709323,3475768,54630,377886,674,168543,35691,,,4261932,182672,0.0,,3341668,,513798,2426414,2532833,377212.0,106965.0,4971271,2014年09月30日,1480169,,9417995,9417995,9383000,937953,8678876,14873218,,203351,,196722,1466187.0,,15564.0,3694001,4971271,,238784,,9475759.0,2205729,,,,,,,18893754.0,54662,,761,114448,53119,304549,78222,,796883,4020536,,0.0,0
2015-03-16,4,2014,0.0,312026.0,312026.0,3335529,9996.0,2873813,,186957,1057230,9624,504009,-110280,540915,228889.0,877570,515851,361719,53618,365631,673,168261,34576,,,4014506,257435,0.0,,3830819,,553221,2848315,2600755,364958.0,100965.0,4971271,2014年12月31日,1739138,,9683098,9683098,13990000,937953,6214949,12622861,,219877,,196722,2281025.0,,92626.0,309899,4971271,,241947,,7042424.0,2205729,,,,,,,16725522.0,131889,,690,149818,81076,312026,80067,,827475,4102661,,0.0,0
2015-05-04,1,2015,,0,0,3191345,0,2928599,,169869,855823,13166,374595,-167928,33221,33221,3168617,300706,2867911,53411,371627,666,173652,41473,,,4118147,182672,0,,3826613,,481228,2603290,1981446,,94965,4921271,2015年03月31日,1793924,75711,9685107,9685107,9383000,937953,8027614,14930047,370961,223141,,196722,,3029571,,2968203,4921271,18863914,241826,9178807,,2185837,,,,,,18863914,,13051,,28976,149818,80895,629748,78768,,1151193,3933867,,0,0
2015-08-03,2,2015,,,304274,3048343,0,2349306,,129664,1541046,7014,427745,-252706,413376,109102,564799,270247,294552,20303,377518,557,149376,51808,,,3860818,182672,0,,4010581,579306,533995,3179907,2052215,,88965,4921271,2015年06月30日,1247496,24315,9021036,9021036,9383000,991530,6390568,12464223,376961,214052,77925,110280,,2792501,,140863,4921271,16253214,238466,7232178,,2185837,,,,,,16253214,,14907,,13983,149818,80666,314274,77265,,841610,3788991,,,0
