date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1173200,633599,,,133070,213345,139,23840,354,32044,92569,322176,0,,,,53241,13283,214006,,7388,40657,493173,2013年03月31日,492578,,,1301923,1301923,0,128142,807382,794490,92,12879,,28353,31637,,552151,493173,,,,839751,175012,,2141674,160,,325,40666,0,32369,1347184,8868,0
2013-08-09,2,2013,1366656,508594,,,271580,4093,541,38010,10616,32112,165842,342667,,39454.0,,,53318,11848,209028,0.0,2409,37065.0,493423,2013年06月30日,345355,,,1217280,1217280,0,147587,971470,609394,0.0,15652.0,,33416.0,20949.0,,570973.0,532877,,4792.0,,1003850.0,175268,,2221130.0,0.0,,268,42173,,32380,1611736,7165,0
2013-11-08,3,2013,1513846,531372,,,122154,7739,339,24157,6665,32181,47280,354936,,,,560256.0,76679,7043,214051,,3878,33305.0,657001,2013年09月30日,368133,,,2029293,2029293,0,147587,246270,1231617,0.0,15652.0,,518024.0,4660.0,,6901.0,657001,,4676.0,,838707.0,840581,,2868000.0,0.0,120555.0,0,41952,,592437,1636383,5769,0
2014-03-28,4,2013,1554940,570442,,,136540,25502,233,46061,1190,29687,36044,406841,,,,563261.0,73488,8519,182664,,8138,29868.0,657061,2013年12月31日,407203,,,2067974,2067974,0,147587,391429,1387010,0.0,15652.0,,677204.0,15819.0,,106000.0,657061,,5002.0,,984623.0,840238,,3052597.0,0.0,75317.0,246,44735,,593194,1665587,10154,0
2014-05-09,1,2014,1618978,634047,,,134995,6990,-23745,84005,609,17235,48170,406463,,,0.0,566651.0,65352,9172,211506,,4967,25922.0,662061,2014年03月31日,470808,,,2132358,2132358,0,147587,402870,1381250,0.0,15652.0,669839.0,,29922.0,,75000.0,662061,,4424.0,,987023.0,859995,,3119381.0,0.0,75285.0,267,45061,,584153,1738131,5591,0
2014-08-13,2,2014,1689135,576104,50093.0,,305881,5028,-20827,45217,827,17311,85620,461404,,32853.0,0.0,570051.0,92646,11085,190002,,8465,0.0,662061,2014年06月30日,412523,,,2096519,2096519,0,163581,590788,1427344,,0.0,585578.0,,11232.0,3.0,120000.0,694914,,4455.0,,1178150.0,846328,,3274669.0,272.0,168519.0,0,22477,,587362,1847325,7518,0
2014-11-12,3,2014,1738429,636782,50093.0,,159464,4710,-12757,31429,2046,17393,52489,464529,,,0.0,573482.0,57714,8205,209798,,7728,0.0,696905,2014年09月30日,473201,,,2178919,2178919,0,163581,398923,1305339,,0.0,441878.0,,5621.0,,132000.0,696905,,4490.0,,989798.0,857989,,3168717.0,,168685.0,0,22367,,590875,1863378,5965,0
2015-03-13,4,2014,1775857,681623,50093.0,0.0,183457,4082,-10277,53818,339,20531,43368,510021,,,0.0,576944.0,71504,8087,236713,,5004,0.0,696525,2014年12月31日,518042,,,2226240,2226240,0,163581,396559,1329888,,0.0,399044.0,,24597.0,,50000.0,696525,,4935.0,,994636.0,858369,,3220876.0,161.0,168934.0,602,21670,0.0,598077,1890988,5751,0
2015-04-29,1,2015,1766151,774440,50093.0,,173858,5082,-7764,55639,178,20455,68557,500939,,,0.0,578545.0,80352,7091,245999,,1009,0.0,696846,2015年03月31日,610859,45307.0,6.0,2322845,2322845,0,163581,366995,1383082,,0.0,,366474.0,,,0.0,696846,3289076.0,4748.0,966231.0,,859323,3289076.0,,0.0,259388.0,236,21193,,599236,1905994,4007,0
2015-08-12,2,2015,1765961,670307,50093.0,,439187,7937,-6525,49727,896,20378,88244,478763,,0.0,0.0,359045.0,76902,5066,336409,,114,,733431,2015年06月30日,480243,48756.0,,2442567,2442567,0,190064,624498,1518829,,,,320334.0,,,0.0,733431,3446767.0,4860.0,1004200.0,,1045354,3446767.0,,0.0,367641.0,279,23640,,379702,1927938,6735,0
