date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫估應付帳款－關係人,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,追溯適用及追溯重編之影響數,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,7456.0,1192208,24908.0,1364,186359,,239,233,17128,9672,157981,,,,357,22195,233,,357,17254,1047860,0,,,771831,19260,99994.0,57.0,485997,739504,1078,,,0.0,1298388,,2013年03月31日,-127356,,,2227674,2227674,129839,78683.0,1569283,2642955,,24862,50037.0,,210296.0,3771.0,470883,,1298388,,,1718765.0,927689,147185,,780504,,3946439.0,,39311,149125.0,1037,24862,0,149482,1303484,3904.0,129839
2013-08-08,2,2013,0.0,1164050,24996.0,-63396,207398,,138,22000,10357,10357,111823,,,,15,20798,22000,,15,15783,1117716,0,,,1031546,23125,99951.0,0.0,1375316,236453,1301,,,0.0,1298388,,2013年06月30日,-127098,,,2184681,2184681,0,13665.0,1914750,2960304,,30706,50037.0,,117557.0,1699.0,540674,,1298388,,,2064765.0,927689,147185,,780504,,4249446.0,,48592,150000.0,1053,30706,0,150015,1289142,3962.0,0
2013-11-06,3,2013,0.0,1138109,24781.0,-128248,281610,,141,11636,7974,7974,132044,,,,15,20836,11636,,15,15777,1072146,0,,,939779,20476,99970.0,57.0,1294579,295965,426,,,0.0,1298388,,2013年09月30日,-191950,,,2109465,2109465,0,13665.0,1995908,2990013,,34403,50037.0,,194712.0,1416.0,644626,,1298388,,,2143773.0,927689,147185,,780504,,4253238.0,,45096,147850.0,1037,34403,0,147865,1263225,4022.0,0
2014-03-21,4,2013,0.0,1134903,14903.0,-195058,240027,,784,29021,15430,15430,94931,,,,0,20905,29021,,0,15831,1097933,0,,,1321411,24748,79978.0,0.0,1479834,91030,789,,,0.0,1298388,,2013年12月31日,-258760,,,2060040,2060040,0,13665.0,2110872,3063383,,39645,50037.0,,298082.0,3069.0,426209,,1298388,,,2259896.0,927689,147185,,780504,,4319936.0,,46197,149024.0,1049,39645,0,149024,1256553,4025.0,0
2014-05-05,1,2014,152351.0,1077032,15235.0,-287331,191375,,775,43579,171428,19077,124840,85218.0,,39622.0,15,21031,43579,,15,15886,1084965,0,0.0,,968108,7967,79990.0,57.0,1020286,66192,472,,,,1298388,,2014年03月31日,-351033,,,1982325,1982325,0,13665.0,1650548,2433902,,39491,50037.0,136372.0,,3097.0,228526,,1298388,,,1650563.0,927689,147185,,780504,,3632888.0,,46197,0.0,1057,39491,0,15,1198986,4088.0,0
2014-08-06,2,2014,149325.0,997993,14933.0,-646297,188064,,1283,23769,164713,15388,123753,84922.0,,38831.0,15,18911,23769,,15,13731,842757,0,0.0,,850765,800,0.0,114.0,829183,102965,521,,,,1298388,,2014年06月30日,-646297,,,1603549,1603549,0,0.0,1647904,2150639,,37454,0.0,250177.0,,0.0,443448,,1298388,,,1647919.0,927689,147185,,780504,,3251468.0,,31538,0.0,1030,37454,0,15,1100829,4150.0,0
2014-11-04,3,2014,152134.0,993360,0.0,-623314,234462,,1130,40264,165594,13460,107918,,,,114,18889,40264,,114,13634,1052849,0,0.0,,1363840,22825,0.0,57.0,1059632,258847,178,,,,1298388,,2014年09月30日,-623314,,,1643027,1643027,0,0.0,2513524,3079522,,34821,0.0,598968.0,,0.0,726746,,1298388,,,2513638.0,927689,147185,,780504,,4156665.0,,30073,0.0,1043,34821,0,114,1077143,4212.0,0
2015-03-16,4,2014,,987702,0.0,-757556,254035,,32,80256,14854,14854,71292,,,,580,18860,80256,,580,13559,790597,0,0.0,,842611,616,0.0,,1053580,96497,1980,,,,1298388,,2014年12月31日,-757556,,,1548777,1548777,0,0.0,1881342,2366483,,33876,0.0,352505.0,,1394.0,767832,,1298388,,,1881922.0,927689,147185,,780504,,3430699.0,,23778,0.0,1086,33876,0,580,1064216,4215.0,0
2015-08-06,2,2015,0.0,866824,0.0,-864159,267642,,182,58978,12435,12435,82247,82247.0,,0.0,566,19491,58978,,566,14099,826343,0,0.0,,1061293,1871,,315.0,1096546,123686,1276,,10000.0,10000.0,1298388,,2015年06月30日,-864159,0.0,,1420896,1420896,0,,1943489,2421318,4344.0,27837,,,291038.0,,599933,,1298388,3364951.0,1944055.0,,927689,147185,,780504,3364951.0,,,19481,,1048,27837,0,566,943633,,0
2015-11-03,3,2015,0.0,930992,0.0,-785387,279062,,2147,81333,14465,14465,80862,80862.0,,,579,19414,81333,,579,13989,1067212,0,0.0,,1661439,17417,,237.0,1916452,287478,475,,9132.0,9132.0,1298388,,2015年09月30日,-785387,0.0,,1522023,1522023,0,,3161797,3680103,4358.0,25277,,,325477.0,,1189177,,1298388,4684399.0,3162376.0,,927689,147185,,780504,4684399.0,,,19481,,1067,25277,0,579,1004296,,0
