date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,35750.0,1658094,2000.0,451153,,164635,33101,-16241,41012,5262.0,3907,60045,180,48228,11878.0,-16241.0,917,14515.0,570452,0.0,,533943,248522,628971,1555,58948.0,886500,2013年03月31日,125733,,,1882101,1882101,0,217245,1819167,2011365,,12763,108175.0,,725977.0,12966.0,818089,886500,,,1914962.0,560689,,3797063.0,,0.0,0,64613,35750.0,21835.0,0.0,95795,1785698,,47402,0
2013-08-08,2,2013,35750.0,1640002,0.0,450278,29720.0,187978,33725,3069,43101,7351.0,4087,59838,332,43019,6119.0,3069.0,1048,14766.0,642601,0.0,,507010,255856,569058,1236,58458.0,886500,2013年06月30日,67521,,,1900536,1900536,0,217245,1824210,2029558,,11613,165512.0,,730260.0,7978.0,822287,886500,,,1911164.0,560689,,3811700.0,0.0,27.0,303,57788,26813.0,22134.0,0.0,86954,1782142,,48564,0
2013-11-07,3,2013,35750.0,1599348,0.0,424756,29720.0,180709,33465,-5687,46255,10505.0,5424,59676,306,44461,7602.0,-5687.0,912,15065.0,583498,0.0,,382544,169378,489953,563,58458.0,886500,2013年09月30日,41999,,,1866258,1866258,0,217245,1620184,1822678,,10502,165512.0,,661641.0,8820.0,832478,886500,,,1697794.0,560689,,3564052.0,,325.0,59,57343,17875.0,21794.0,0.0,77610,1741374,0.0,47809,0
2014-03-25,4,2013,35750.0,1586276,0.0,449778,29720.0,162166,22899,10179,40599,4849.0,5597,45917,392,50044,50044.0,,198,,556913,0.0,,471421,216942,525423,563,45327.0,886500,2013年12月31日,67021,,,1907146,1907146,0,217245,1740382,1978402,,9198,165512.0,,786818.0,11465.0,837789,886500,,,1795556.0,560689,,3702702.0,,,319,49062,8938.0,,0.0,55174,1724300,,80189,0
2014-05-02,1,2014,35750.0,1573760,0.0,483584,29720.0,148631,35493,25342,43196,7446.0,5672,45567,1003,52480,52480.0,,199,,588943,,0.0,509782,213787,618202,603,44365.0,886500,2014年03月31日,100827,,,1956115,1956115,0,217245,1788591,2077609,,8704,165512.0,770879.0,,19530.0,853665,886500,,,1834566.0,560689,,3790681.0,,,408,48408,0.0,,,45975,1713072,,57817,0
2014-08-07,2,2014,0.0,1531136,,503370,29720.0,185087,35278,4314,10860,10860.0,5282,44426,874,45252,,,197,,642041,0.0,0.0,548916,242677,620539,4957,43355.0,886500,2014年06月30日,284078,,,1954873,1954873,0,219292,1841844,2180920,,8300,0.0,846628.0,,15008.0,839296,886500,,,1886340.0,560689,,3841213.0,,0.0,70,45885,0.0,,0.0,44496,1660293,,26195,0
2014-11-05,3,2014,0.0,1536997,,486666,50910.0,176335,31142,20227,13412,13412.0,5110,45840,964,44740,44740.0,,2439,,637723,0.0,0.0,423449,187559,535870,2232,42437.0,886500,2014年09月30日,267374,,,1954082,1954082,0,219292,1658226,1971717,,7559,0.0,730330.0,,5001.0,852470,886500,,,1704665.0,560689,,3658747.0,,0.0,599,46824,0.0,,,46439,1687030,,29310,0
2015-03-27,4,2014,0.0,1542873,,465697,50910.0,152854,17413,63557,6751,6751.0,5418,45197,1238,45345,45345.0,,2547,,584088,0.0,0.0,251723,170159,422515,4062,41412.0,886500,2014年12月31日,246405,,,1976443,1976443,0,219292,1469810,1797346,,7097,0.0,701448.0,,6638.0,881685,886500,,,1515483.0,560689,,3491926.0,,,476,48355,0.0,,0.0,45673,1694580,,62402,0
2015-05-07,1,2015,0.0,1510325,,412485,50910.0,118831,21810,44070,6780,6780.0,14396,42865,8,43489,43489.0,,2511,,579319,,0.0,200212,138221,384970,3058,,886500,2015年03月31日,193193,6636.0,,1903744,1903744,0,219292,1381456,1664756,40346.0,6836,0.0,,580607.0,,910776,886500,3329481.0,1425737.0,,560689,3329481.0,,,38662.0,1416,53165,,,,44281,1664725,,41934,0
2015-08-06,2,2015,,1479216,,311539,23468.0,164411,34352,12967,7168,,11683,41494,25,49774,,,2488,,517451,0.0,0.0,189924,120922,350105,1523,,886500,2015年06月30日,88449,748.0,7.0,1771695,1771695,0,223090,1310942,1495376,38981.0,6202,,,491381.0,,827769,886500,3125855.0,1354160.0,,560689,3125855.0,,,38578.0,1724,71819,,,0.0,43218,1630479,,50296,0
