date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,140228,1243194,,835965,20180,11676.0,244,27397,6424,24595,244.0,2284898,34227,,,30042,81486,209946,1351042,213716.0,32,684473,2013年03月31日,1086000,,2932274,2932274,556000,157194,2311824,5067142,17546,,,1072405.0,81210.0,1071451,684473,,3860,,2348290.0,1038590,1026528.0,12062.0,,5280564.0,509.0,7809,,31053,,0,36466,213422,105384,0
2013-08-06,2,2013,129693,1312002,16010.0,933345,45742,11810.0,-1867,9975,6604,25761,-1867.0,2704342,34227,33944.0,,25840,200147,293276,1227242,482039.0,36,685113,2013年06月30日,1095290,,2935403,2935403,556000,216712,2362334,5122115,14512,,,553335.0,22594.0,898275,719057,,4706,,2394778.0,940438,,,,5330181.0,16.0,11642,,22090,,0,32444,208066,85927,0
2013-11-12,3,2013,116324,1349232,19630.0,844728,35533,11789.0,-2793,27480,6779,35236,-2793.0,2338323,34227,,,25957,227279,288820,1220846,392875.0,41,719057,2013年09月30日,1132520,,2971707,2971707,556000,216712,2168876,4945667,30825,,,819383.0,33613.0,743017,719057,,3895,,2201612.0,940438,,,,5173319.0,44.0,14184,,25637,,0,32736,227652,112693,0
2014-03-13,4,2013,133420,1352983,18609.0,652108,34924,11588.0,-3601,50373,2561,27836,,1811962,45639,,,26074,253306,585006,1490924,254081.0,64,719056,2013年12月31日,1136271,,2963237,2963237,783000,216712,2271263,5030585,34397,,,1342392.0,32622.0,693859,719056,,3912,,2303555.0,940438,,,,5266792.0,77.0,4118,3657.0,21945,,0,32292,236207,80532,0
2014-05-06,1,2014,166400,1431352,29114.0,617323,20742,11599.0,6839,52171,2681,22034,6839.0,2053207,45639,,,26191,267110,564234,1385245,205283.0,12,719056,2014年03月31日,1214640,,3052046,3052046,783000,216712,2293176,5104190,29320,,1245618.0,,48308.0,740075,719056,,3930,,2322048.0,940438,928746.0,11692.0,,5374094.0,25.0,4144,0.0,23036,,0,28872,269904,178340,0
2014-08-06,2,2014,205039,1370329,27114.0,765798,22081,11701.0,4590,57240,16166,22074,4590.0,1909750,45639,0.0,0.0,21507,261262,634150,1286015,216782.0,52,719801,2014年06月30日,1128634,,2993572,2993572,783000,238094,1905716,4622807,23047,3601.0,974068.0,,34007.0,149325,719801,,3934,,1943389.0,944491,,,,4936961.0,0.0,4107,0.0,36880,,0,37673,314154,198251,0
2014-11-06,3,2014,220163,1549177,24612.0,805906,81040,0.0,2467,55522,12381,23728,2467.0,1706885,11412,,0.0,21603,272353,833988,1551988,0.0,37,719801,2014年09月30日,1307482,,3209342,3209342,227000,238094,2304668,5183189,54509,3601.0,1634421.0,,50445.0,282520,719801,,3934,,2338652.0,949309,,,,5547994.0,0.0,4074,0.0,41793,,0,33984,364805,204744,0
2015-03-19,4,2014,284226,1679619,24612.0,795789,36472,0.0,2996,49063,9127,21031,,1937429,11412,,0.0,18696,325475,971845,1450544,0.0,624,719801,2014年12月31日,1437924,,3340319,3340319,227000,238094,2860125,5793724,51029,3601.0,2226546.0,,80796.0,633000,719801,,4157,,2891243.0,949315,,,,6231562.0,0.0,4084,3295.0,56940,,0,31118,437838,138025,0
2015-05-12,1,2015,284403,1763067,12221.0,625576,26384,0.0,321,48567,6223,22896,,2272223,11412,,0.0,18778,336417,615249,1281566,0.0,620,719801,2015年03月31日,1521372,92289.0,3421092,3421092,227000,238094,2178585,5212301,39212,3601.0,,1513132.0,,450720,719801,5624678.0,9767,2203586.0,,949315,,,5624678.0,,0.0,8,0.0,53645,,0,25001,412377,118368,0
2015-08-06,2,2015,610271,1480707,9094.0,940081,28220,0.0,-1010,35260,3409,32411,-1010.0,2221392,11412,,0.0,18860,444089,121876,1274845,0.0,117,719801,2015年06月30日,1195007,16789.0,3137401,3137401,227000,285700,2055788,4771799,34026,0.0,,1121277.0,,493760,719801,5510258.0,3933,2372857.0,,949315,,,5510258.0,,,0,0.0,52657,294800.0,0,317069,738459,125948,0
2015-11-05,3,2015,831821,1581210,10261.0,714495,47152,,17006,23258,3544,56252,17006.0,2004282,11412,,0.0,18942,389967,212343,1380914,,231,719801,2015年09月30日,1295510,752.0,3255920,3255920,227000,285700,1866650,4449864,47971,0.0,,897843.0,,521901,719801,5439856.0,3934,2183936.0,,949315,,,5439856.0,,,0,0.0,43687,294800.0,0,317286,989992,119442,0
