date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應收租賃款,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,長期應收票據,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,496065,237229.0,237229,1086926,-24383,416440.0,416440,316290.0,316290,,-41113,163409,163409.0,93210,69612,342693.0,23598,0,219779,216139,111075,19543.0,19543,-16730,3640,91532,708259,708259.0,418514,,326076.0,326076,7201.0,7201,,1084902.0,1084902,159.0,159.0,,,55501.0,55501,2424048,2013年03月31日,178274,,,3409618,3306997,23293675,643582,840334,3225141,35859,265070,,817544.0,955.0,73178.0,342693,178274.0,2424048,,,1170435.0,255650,255650,,4580053.0,,31449,110322,110322.0,102893,,,,102621,330101,1354912,,0
2013-08-13,2,2013,480446,,223581,942516,-5335,,494257,,354655,,-25081,279950,,80824,62193,,18631,0,231055,227415,109941,,18280,-19746,3640,91661,677637,,354279,,,294732,,3073,,,988890,,322.0,,,,62075,2367428,2013年06月30日,78256,,,3275087,3178619,17631675,636626,946069,3201643,33348,227634,,881245.0,3221.0,65974.0,342845,,2367428,,,1287446.0,248035,248035,,4562533.0,22248.0,12494,110322,,96844,,,,96468,341377,1360890,,0
2013-11-11,3,2013,465123,,222586,982604,-3645,,415265,,362870,,-42251,137200,,120521,97565,,22956,9616,226737,223097,113793,,16377,-38606,3640,87800,579732,579732.0,45682,,,364408,,1319,,,1246097,,0.0,,,,50083,2219817,2013年09月30日,118344,,,3301175,3212115,2870585,636626,1136325,3432307,30953,227634,,1016924.0,8676.0,50391.0,618981,,2219817,,,1473384.0,97627,97627,,4774559.0,5741.0,3377,110322,,96844,,,,89060,337059,1342252,,0
2014-03-18,4,2013,459403,,221663,1027584,32832,,523853,,361399,,-10113,152114,,66840,48309,,18531,9788,224635,218073,110530,,17401,-42945,6562,83341,645944,645944.0,124415,,,441006,,1055,,,1079697,,0.0,,,,48330,2219817,2013年12月31日,163324,,,3293268,3210500,9783585,636626,818543,3170061,4271,227634,,799135.0,8715.0,50334.0,213644,,2219817,,,1149506.0,97627,97627,,4442774.0,2009.0,4258,106328,,67117,,,,82768,330963,1272713,,0
2014-05-12,1,2014,449030,,223876,1048670,17172,,507020,,330170,,-9483,123183,123183.0,104543,93303,,11240,9750,199358,195718,107722,,15250,-26655,3640,82722,667717,667717.0,159818,0.0,,447902,,7537,,,970069,,3.0,,,,56703,2219817,2014年03月31日,184410,,,3278399,3196813,12870585,636626,1258696,3604403,3950,227634,1315483.0,,14223.0,39568.0,609467,,2219817,,,1564366.0,97627,97627,,4842765.0,56384.0,0,106312,,66911,,,,81586,305670,1238362,,0
2014-08-11,2,2014,441845,,222552,931248,21662,,532193,,303444,,-17597,287617,,79904,68539,,11365,9572,197527,193287,102971,,10607,-39259,4240,82792,623536,,45682,0.0,,293861,,4359,,,875320,,0.0,,,,56029,2119817,2014年06月30日,52099,,,3143019,3071277,2870585,646727,1270040,3519206,3755,232422,1378957.0,,143.0,29296.0,606208,,2119817,,,1572913.0,83491,83491,,4715932.0,77852.0,0,105346,,66130,,,,71742,302873,1196726,,0
2014-11-11,3,2014,443477,,253535,1024469,7551,,566072,,286122,,-24765,151134,,104216,87783,,16433,9818,205735,201495,98833,,10323,-32316,4240,78692,583209,583209.0,45682,0.0,,366432,,2609,,,1092284,,0.0,,,,55343,2119817,2014年09月30日,145320,,,3234074,3157330,2870585,646727,1162338,3500776,3415,232422,1136785.0,,3450.0,18210.0,568445,,2119817,,,1473419.0,83491,83491,,4707493.0,70268.0,0,105346,,65992,,,,76744,311081,1206717,,0
2015-03-23,4,2014,439588,,237794,1087321,49108,,723863,,293421,,51233,165705,,94958,76007,,18951,16454,215059,210819,108746,,21700,2125,4240,70592,627933,627933.0,45682,0.0,,417226,,2225,,,932110,,,,,,61198,2119817,2014年12月31日,208172,,,3388287,3298190,2870585,646727,1174973,3667488,3453,232422,1286381.0,,8342.0,2243.0,452497,,2119817,,,1496261.0,85501,85501,,4884548.0,128978.0,0,106229,,72860,,,,90097,321288,1217060,,0
2015-05-12,1,2015,429143,,174531,1125215,48692,,699646,,317544,,9900,119658,119658.0,107923,30152,,77771,10038,250538,246336,67499,,10689,-38792,4202,46772,554599,554599.0,45682,0.0,,257985,,5079,,,754264,,12.0,,,,56969,2119817,2015年03月31日,246066,12308.0,9193.0,3334538,3294751,2870585,646727,1126236,3662620,4016,232422,,1536983.0,,,610566,,2119817,4817541.0,1483003.0,,85501,85501,4817541.0,,120640.0,0,106229,,105219,,,,39787,356767,1154921,,0
2015-08-12,2,2015,426438,,166320,1050965,40517,,695939,,326135,,-3975,379969,,107274,31743,,75531,0,125383,121181,61528,,17576,-44492,4202,43952,561350,,45682,0.0,,293909,,2056,,,691253,,12.0,,,,55932,2119817,2015年06月30日,159372,17411.0,0.0,3346439,3206626,2870585,667065,1126278,3575321,3854,224528,,1519493.0,,,391819,,2119817,4704329.0,1357890.0,,85501,85501,4704329.0,,41114.0,0,106229,,88801,,,,139813,231612,1129008,,0
