date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,7342876,,-619601,,17047,0,0,197996,29522,-245,,1461906,,30706,,,22755,,747587,,-245,,,1299059,613778,,,,130774,343022,271378,542633,277387,0,114604,,,64964,2911715,2013年03月31日,-708812,,5626261,5069216,16062000,89211,3097384,3949524,,28160,0,,1504868,0,820000,2911715,,,,6655622,3391125,7414,61716,9718,,3266606,45671,,12281883,3082,,2359,148772,3402350,,,557045,3558238,8332359,133698,,,,0,0
2013-08-09,2,2013,,7478239,,-337068,,23533,0.0,0.0,263155,62773,9286,,1325851,,69443,,,26846,,401304,,9286,,,1330364,613778,,0.0,,131739,456839,232324,510531,229414,0.0,223653,,,32550,2911715,2013年06月30日,-337068,,5485400,4887329,16062000,0.0,3126092,4032086,,25406,0.0,,1475107.0,0.0,844405,2911715,,,,6683440.0,2917174,7414,64471,9718,,2789900,45671,,12168840.0,3518.0,,1562.0,199255,3397201,,,598071,3557348,8136754,107268,,,,0.0,0
2013-11-12,3,2013,1395825.0,7458685,621.0,-454415,,14047,0.0,0.0,276183,45512,5057,,1410778,5732.0,312132,312132.0,6450.0,127854,4377.0,342680,13429.0,5057,4135.0,23464.0,1217455,613778,,,,0,385833,190382,642113,326920,0.0,112637,,,34951,2911715,2013年09月30日,-454415,,5360741,4768778,16062000,0.0,3611351,3839196,,23052,0.0,,1042275.0,0.0,1344464,2911985,,,,6542625.0,2919929,7414,67226,9718,0.0,2789900,45671,,11903366.0,3711.0,,,204181,2803420,119342.0,158245.0,591963,2931274,8064170,126105,141092.0,,9221.0,270.0,27000
2014-03-27,4,2013,1544438.0,7471351,621.0,-436477,,16951,0.0,,290791,33087,13640,,1546133,0.0,80239,80239.0,6450.0,125161,,256598,3606.0,13640,4167.0,6903.0,1240364,613778,,,,0,269422,260709,625062,205783,0.0,133124,,83690.0,29776,2911985,2013年12月31日,-436477,,5344075,4795865,16062000,0.0,2908336,3509567,,22947,0.0,,966126.0,12759.0,524929,2911985,,,,6143283.0,2920495,7414,67792,9718,0.0,2789900,45671,,11487358.0,3593.0,,1092.0,196498,3108694,120994.0,160435.0,548210,3234947,7977791,125141,68561.0,10643.0,1695.0,0.0,0
2014-05-07,1,2014,1468171.0,7265777,621.0,-393776,,13999,,,213365,7810,8143,,1469943,,78031,78031.0,6450.0,124041,,224612,3143.0,8143,4244.0,9299.0,1168042,613778,,,0.0,382,307218,158906,999561,81045,,125590,,14701.0,33002,3311985,2014年03月31日,-393776,,5948171,5421141,16062000,0.0,2923163,3715750,,20461,,1113716.0,,12700.0,761031,3311985,,,,5497000.0,3108567,12508,69990,9718,0.0,2981322,35029,,11445171.0,0.0,,619.0,184948,2448795,119797.0,158848.0,527030,2573837,7729421,113255,36229.0,10643.0,1772.0,0.0,0
2014-08-12,2,2014,1470028.0,7000841,621.0,-333156,,18047,,,256389,13466,615,,1471219,,85514,85514.0,6450.0,121198,,247824,2513.0,615,4162.0,3954.0,1085285,613778,,,0.0,384,378976,147410,1055377,144933,,188690,0.0,0.0,37302,3311985,2014年06月30日,-333156,,5989303,5475772,16062000,0.0,2774337,3862462,,19118,,1176270.0,,0.0,520343,3311985,,,,5357151.0,3110106,10429,71527,9718,2079.0,2981323,35030,,11346454.0,0.0,,0.0,178286,2461232,117036.0,155188.0,513531,2582814,7483992,94880,69076.0,10643.0,1191.0,0.0,0
2014-11-07,3,2014,1217318,6801663,621,-276694,,8000,,,316274,19849,-32414,-45967,1218430,0,32902,32902,206665,124077,0,486242,5442,13553,4240,4358,1297118,613778,,,0,579033,482265,10000,1010746,180181,,210882,,0,39036,3551945,2014年09月30日,-276694,,6445320,5920721,16062000,0,2335168,3679286,,16763,,805178,,0,308199,3551945,,,,4753484,3291662,22181,73065,9718,2079,3161819,22800,,11198804,0,300,0,175193,1715206,119837,158901,524599,2418316,7519518,114130,100233,10643,1112,0,0
2015-03-17,4,2014,1244459.0,6676618,90621.0,-613273,,44812,,,315481,19660,-14861,-39034.0,1245082,,200304,200304.0,240725.0,127133,,484864,4773.0,24173,4412.0,3348.0,1500275,72090,,,0.0,580883,446127,11488,911875,169449,,131064,,0.0,35769,3427625,2014年12月31日,-613273,,6423166,5899997,3630000,,2592774,3958399,,19842,,817820.0,,0.0,574596,3427625,,,,5020341.0,3172596,22181,74789,0,2079.0,3050747,22800,,11443507.0,0.0,42240.0,4667.0,177394,1714884,122721.0,162724.0,523169,2427567,7485108,120900,60303.0,12991.0,623.0,,0
2015-05-14,1,2015,1659282.0,6413570,90621.0,-810179,,47390,,,265489,21360,-13150,-33147.0,1659792,,37068,37068.0,261956.0,125154,,518721,4104.0,19997,4363.0,2834.0,1512502,72090,,,0.0,582733,413310,17177,899914,147686,,96676,,0.0,35186,3425255,2015年03月31日,-810179,0.0,6199293,5705948,3630000,,2941777,3632281,12991.0,17116,,,717766.0,,586009,3425255,,10893610.0,4694317.0,,3176112,26630,75933,0,0.0,3050749,22800,10893610.0,,,44856.0,2470.0,186115,1042183,120791.0,160166.0,493345,1752540,7261329,107063,76670.0,,510.0,,0
2015-08-10,2,2015,426879.0,6144850,90621.0,-502474,,12000,,,260299,11243,-15033,-27260.0,427230,,30654,30654.0,301029.0,122717,,564503,3475.0,12227,4301.0,2829.0,1374758,146254,,,0.0,584583,428690,8400,910248,93512,,112209,,0.0,37080,3425255,2015年06月30日,-502474,0.0,5796361,5325283,9702000,,1736674,3337067,12991.0,14851,,,629463.0,,612055,3425255,,10377806.0,4581445.0,,2563789,24551,76883,0,2079.0,2437476,22800,10377806.0,,0.0,68867.0,2471.0,188834,2135000,118416.0,157017.0,471078,2844771,7040739,94113,87162.0,,351.0,,0
