date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,長期借款合計,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,191097,2069054,-430239,98679,9735,9579,302224,111127,86919,,138450,500.0,125691,16702,96799,0.0,,,1231.0,276611,85291,9755,17810.0,32042.0,1638845,2013年03月31日,-430239.0,1218185,1218185,0,882771,348378,,271,,59879.0,204026,1638845,,,1357251.0,0.0,,,,2575436.0,24689.0,311341,4140,116000,16281,0.0,474480,2227058,92708,0
2013-08-12,2,2013,,,198779,2029866,-478380,113354,13982,14553,270245,71466,60866,,147486,560.0,119009,9369,96164,,,,9897.0,286327,72584,14369,17794.0,37575.0,1638845,2013年06月30日,-478380.0,1175018,1175018,0,883994,342970,,4824,,85005.0,204171,1638845,,,1359226.0,0.0,,,,2534244.0,24689.0,303057,13132,116000,16367,,475232,2191274,93273,0
2013-11-07,3,2013,,,180139,1990061,-529830,130109,9231,9050,250401,70262,55061,,156526,560.0,119994,10018,91711,,,,0.0,295748,86641,20797,17788.0,44424.0,1638845,2013年09月30日,-529830.0,1118065,1118065,0,878726,320799,,4465,,57358.0,202468,1638845,,,1361678.0,0.0,,,,2479743.0,24689.0,301737,6278,131900,16197,,482952,2158944,93779,0
2014-03-25,4,2013,,,59071,1457592,-807487,68231,12125,19284,231461,172390,43457,10804.0,208717,560.0,129900,8494,104690,,322205.0,,4213.0,306007,57786,10192,17786.0,12792.0,1638845,2013年12月31日,-807487.0,850642,850642,0,798731,667599,,4033,,117144.0,188819,1638845,,,1421274.0,0.0,0.0,0.0,,2271916.0,24689.0,389137,0,190371,16519,,622543,1604317,94083,0
2014-05-08,1,2014,,,23992,864232,-783329,114477,12836,10436,146646,122654,55210,23970.0,122159,936.0,132594,698,84128,,576218.0,0.0,2895.0,268014,76774,22732,17781.0,0.0,1638845,2014年03月31日,-783329.0,865952,865952,0,632032,928497,,3600,100599.0,,100000,1638845,,,1062971.0,,,,,1928923.0,0.0,308780,0,103442,16164,,430939,1000426,91762,0
2014-08-11,2,2014,,,45202,887968,-787689,59053,13853,-194,339259,294057,82935,42747.0,124294,936.0,117444,1119,84330,,576218.0,0.0,17.0,243657,75909,33414,17788.0,0.0,1638845,2014年06月30日,,850962,850962,0,711986,994044,,3168,127385.0,,70000,1638845,,,1151662.0,0.0,,0.0,,2002624.0,0.0,315382,3378,102192,15881,,439676,1008580,57697,0
2014-11-07,3,2014,,,57731,883513,-14452,52929,11510,14272,427525,369794,117945,43840.0,69504,1029.0,126127,6913,81124,,577181.0,0.0,0.0,237347,74133,28779,17796.0,0.0,831358,2014年09月30日,,831178,831178,0,796979,1090250,,2738,199578.0,,79178,831358,,,1271450.0,0.0,,0.0,,2102628.0,0.0,404967,2679,48000,16205,,474471,1012378,59169,0
2015-03-25,4,2014,56625.0,32376.0,89001,876791,-53203,54627,9021,33404,452215,363214,115605,5150.0,72567,1034.0,94679,10872,92562,,577181.0,0.0,16.0,233903,73095,25893,17808.0,0.0,831358,2014年12月31日,-53203.0,811559,811559,0,817458,1068225,,2604,174868.0,,76697,831358,,,1230740.0,,,,,2042299.0,0.0,340715,5725,48000,17384,,413282,974074,61273,0
2015-05-06,1,2015,76625.0,37227.0,113852,864884,-139578,53971,8780,28526,469532,355680,123727,5143.0,73564,984.0,109456,11079,93940,,505633.0,0.0,0.0,206120,85270,20389,,,831358,2015年03月31日,,720306,720306,0,811182,947354,17220.0,2173,,109615.0,81559,831358,1923867.0,1203561.0,,,,,1923867.0,,,318815,7360,48000,16731,,392379,976513,76503,0
2015-08-11,2,2015,86000.0,44743.0,130743,867861,-214115,53211,16032,19943,492735,361992,130197,5005.0,69653,890.0,93635,7393,86171,,444086.0,0.0,0.0,240313,92585,12441,,,831358,2015年06月30日,,637186,637186,0,864023,904229,17238.0,1742,,122717.0,77764,831358,1867467.0,1230281.0,,,,,1867467.0,,,296605,3525,48000,16393,,366258,963238,64844,0
