date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預收款,原料,商品存貨,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,待註銷股本股數,應付帳款,應付帳款合計,應付營業稅,應付票據,應付票據合計,應付租金,應付股利,應付薪資,應付設備款,應付退休金費用,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備成本,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,營業器具成本（觀光飯店業適用）,營業器具淨額（觀光飯店業適用）,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－水電設備,累計折舊－營業器具,累計折舊－租賃改良,累計折舊－辦公設備,累計減損－電腦軟體,股本合計,製成品,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,遞延所得稅資產,銀行存款,除役、復原及修復成本之長期負債準備,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-10,1,2013,1869466,1468274,884518,151734.0,78759.0,25811.0,25811.0,9094,1519288,20962,431068,6810.0,131747.0,58631.0,424258.0,121476,,393345,0.0,0,236281.0,10605.0,1482292.0,1889.0,9094.0,9094.0,83032.0,83032.0,0.0,121.0,223713.0,1484277,1482388.0,1889.0,76530.0,,262079.0,262079,23621.0,63697.0,63697,85610.0,0.0,383409.0,135349.0,26036.0,137343.0,137343,10055.0,10055.0,121355.0,48638.0,17438.0,60806.0,60806,679505,2013年03月31日,1243590,,318664.0,5098470,4380588,0,725028.0,405994.0,224684,2934314,5796681,,14460,810394.0,446833.0,,,3471846.0,204732.0,,1731713.0,809911.0,1084849.0,924926.0,73116.0,31200.0,319034.0,363561.0,921802.0,78020.0,5240.0,679505,96.0,,20150,,3075940.0,2223715,2223715.0,2223715.0,,8174410.0,125647.0,47627.0,39652,2310467.0,20150.0,19700.0,14460.0,717882,141626,2377729,,236281,169632,2486.0,1498326,0,1485235.0
2013-08-09,2,2013,2154767,823879,1153758,,,31561.0,,18349,1607812,22024,460984,,,,,121737,121.0,381704,,274494,,,,,,,,,,,,1385134,,,,,,324891,,,56611,,,,,,,150371,,16592.0,121616.0,,,,56241,747455,2013年06月30日,478520,,,4438634,3745448,0,,,329650,3300113,5233004,,14556,,,15709.0,,2929872.0,157041.0,,,,,,,,,,,,,747455,,,21500,,3443350.0,2155765,,,,7881984.0,,,41712,,,,,693186,143237,2648980,,258490,107210,2204.0,1585788,0,1583584.0
2013-11-08,3,2013,2282447,1092925,1158150,,,,,12923,1734002,19890,532850,,,,,132147,10270.0,420971,,284957,,,,,,,,,,,,1326141,,,,,,343670,,,56173,,,,,,,95368,,24965.0,121877.0,,,,50055,747455,2013年09月30日,747566,,,4729609,4009068,0,,,329650,3413939,5473759,,14782,,,15709.0,,3188145.0,121944.0,,,,,,,,,,,,,747455,,,22600,,3568686.0,2155765,,,,8298295.0,,,56281,,,,,720541,154747,2824536,,306290,136014,,1714112,0,1714112.0
2014-02-21,4,2013,2674606,1241123,1359072,,,,,22680,1980827,20608,255328,,,,,134548,13225.0,318633,,287449,,,,,,,,,,,,1552661,,,,,,391165,,,58502,,,,,,,165756,,22056.0,121323.0,,,,107892,747455,2013年12月31日,895764,,,4945819,4167023,0,,,329650,3928976,5862683,,13957,,,15709.0,,3484771.0,139410.0,,,,,,,,,,,,,747455,,,23850,,4087374.0,2155765,,,,9033193.0,,,55422,,,,,778796,158398,3170510,,382111,31184,,1960219,0,1960219.0
2014-05-09,1,2014,2649311,1539781,1213321,,,,,21670,2537407,19690,430080,,,,,146840,25144.0,371157,,300840,,,,,,,,,,,,1524642,,,,0.0,,320295,,,54993,,,,,,,139024,,0.0,121696.0,,,,109008,747455,2014年03月31日,1194422,,,5284382,4464671,0,,,329650,4341630,6596506,,13463,,,15709.0,4043317.0,,215614.0,,,,,,,,,,,,,747455,,,24200,,4512670.0,2155765,,,,9797052.0,,,57607,,,,,819711,171040,3200546,,459443,70317,,2517717,0,2517717.0
2014-08-08,2,2014,2681928,935437,1383572,,,,,9147,2470327,19927,396507,,,,,153142,31073.0,456171,,314349,,,,,,,,,,,,1676143,,,,0.0,,312324,,,49679,,,,,,,131949,,11.0,122069.0,,,,95185,769879,2014年06月30日,516211,,,4582803,3752572,0,,,419226,4347427,5801339,,12514,,,0.0,3145895.0,,131525.0,,,,,,,,,,,,,769879,,,25150,,4525719.0,2038109,,,,9108522.0,,,61385,,,,,830231,178292,3307183,,450834,141822,,2450400,0,2450400.0
2014-11-07,3,2014,2870877,1109869,1435313,,,,,27096,2573003,119343,449888,,,,,140976,18534.0,413339,,337689,,,,,,,,,,,,1862474,,,,0.0,,323435,,,37403,,,,,,,132083,,4.0,122442.0,,,,85279,769879,2014年09月30日,690643,,,4830376,3944953,0,,,419226,4469597,6012818,,12160,,,0.0,3137196.0,,100443.0,,,,,,,,,,,,,769879,,,25850,,4636423.0,2038109,,,,9466799.0,,,72326,,,,,885423,166826,3453981,,431173,75650,,2453660,0,2453660.0
2015-03-06,4,2014,3048473,1111532,1571552,,,,,53073,2402551,17530,407613,,,,,179027,52714.0,425728,,347285,,,,,,,,,,,,2428853,,,,0.0,,348511,,,33637,,,,,,,147254,,30.0,126313.0,,,,122964,769879,2014年12月31日,692306,,,4955892,3972593,0,,,419226,4435125,5908505,,11585,,,0.0,2558186.0,,78874.0,,,,,,,,,,,,,769879,,,26000,,4640152.0,2038109,,,,9596044.0,,,78789,,,,,983299,205027,3687539,,366569,78443,,2385021,0,2385021.0
2015-05-08,1,2015,2895474,1260960,1359886,,,,,43272,2322363,16464,348726,,,,,173789,47103.0,478210,,361037,,,,,,,,,,,,2215210,,,,,,282424,,,31540,,,,,,,115180,,0.0,,,,,200703,769879,2015年03月31日,841734,93055.0,,5168872,4112220,0,,,419226,4399081,6109375,126686.0,11602,,,0.0,,2973676.0,,309813.0,,,,,,,,,,,,769879,,9767342.0,25600,4598470.0,,2038109,,,9767342.0,,,,71978,,,,,1056652,199389,3657967,,456583,117173,,2305899,0,2305899.0
2015-08-07,2,2015,2864175,720531,1453836,,,,,29388,2331765,15496,303834,,,,,173912,55315.0,472609,,366579,,,,,,,,,,,,2209700,,,,0.0,,351573,,,27700,,,,,,,132305,,0.0,,,,,184332,769879,2015年06月30日,232074,115712.0,,4634194,3557907,0,,,488457,4585719,5804015,118597.0,16981,,,,,2698115.0,,305133.0,,,,,,,,,,,,769879,,9418925.0,25100,4784731.0,,2038109,,,9418925.0,,,,76813,,,,,1076287,199012,3614910,,460061,106030,,2316269,0,
2015-11-06,3,2015,2938275,717698,1547996,,,,,70850,2416386,14905,423662,,,,,187207,68237.0,465523,,377673,,,,,,,,,,,,2122153,,,,,,350985,,,24844,,,,,,,140179,,0.0,,,,,171861,769879,2015年09月30日,229241,41749.0,,4755117,3596536,0,,,488457,4493153,5781333,118970.0,21353,,,,,2622278.0,,111193.0,,,,,,,,,,,,769879,,9460177.0,24700,4705060.0,,2038109,,,9460177.0,,,,81832,,,,,1158581,211907,3678844,35000.0,473061,52850,,2401481,0,
2016-03-28,4,2015,2824384,506782,1569992,,,,,33363,2488515,14861,385822,,,,,177285,50328.0,412935,,374402,,,,,,,,,,,,1984655,,,,,,390205,,,25028,,,,,,,150338,,0.0,,,,,159290,769879,2015年12月31日,18325,64879.0,,4498924,3348133,0,,,488457,4538619,5678846,126957.0,60553,,,,,2771600.0,,,,,,,,,,,,,,769879,,9238878.0,24050,4739954.0,,2038109,,,9238878.0,,,,102870,,,,,1150791,201335,3560032,,386431,38533,,2473654,0,
2016-04-25,1,2016,2674616,588941,1218124,,,,,27984,2403148,12411,527970,115438.0,,,412532.0,167712,68426.0,432974,,373769,,,,,,,,,,,,1809593,,,,,,292833,,,22450,,,,,,,121034,,4.0,,,,,158671,769879,2016年03月31日,100484,39989.0,,4610431,3424913,0,,,488457,3976544,5381515,99286.0,58219,,,,,2527089.0,,0.0,,,,,,,,,,,,769879,,8777437.0,22750,4167006.0,,2038109,,,8777437.0,,,,71442,,,,,1185518,190462,3395922,,395825,59205,,2390737,0,2390737.0
2016-08-04,2,2016,2525095,655844,1394971,,,,,246,2319619,11952,620959,108254.0,,,512705.0,169172,69556.0,378222,,357530,,,,,,,,,,,,1629614,,,,,,310587,,,19181,,,,,,,144781,,,,,,,139035,769879,2016年06月30日,165555,24535.0,,4581853,3403582,0,,,490289,4068893,5696879,99616.0,55216,,,,,2915990.0,,0.0,,,,,,,,,,,,769879,,8842418.0,22500,4260565.0,,1977613,,,8842418.0,,,,47971,,,,,1178271,191672,3145539,4174.0,385535,16518,,2307667,0,2307667.0
2016-11-09,3,2016,2316494,774448,1247213,,,,,-34107,2308061,12346,688752,106292.0,,,582460.0,171386,71441.0,402003,,356585,,,,,,,,,,,,1361482,,,,,,311972,,,16253,,,,,,,139580,,54.0,,,,,115123,769879,2016年09月30日,284159,55422.0,,4703055,3487833,0,,,490289,3938921,5908982,99945.0,52220,,,,,3334281.0,,0.0,,,,,,,,,,,,769879,,8835612.0,22250,4132557.0,,1977613,,,8835612.0,,,,40790,,,,,1215222,193636,2926630,0.0,384833,45418,,2295715,0,2295715.0
