date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-15,1,2013,53334,39446,115735,333593,-153277.0,241110.0,802371,10053,0.0,7085,120443,-160331,53504,170,60,60,231144,230094,-7054.0,1050,13661,23907,,45744,49997,46.0,113888.0,22294,,602305,345720,1510000,2013年03月31日,78962,,,1754979,1659710,4082937,16060,373391,597375,238571,,190494.0,0.0,199.0,100000,1510000,,159,,979117.0,355,,2734096.0,670.0,152393,453333,95269,605726,2136721,1359,,0,
2013-07-31,2,2013,53334,39383,115735,367459,477.0,276750.0,920975,14860,0.0,57322,122036,-3677,53496,162,219,219,96476,92626,-4154.0,3850,4471,23907,,48610,0,54.0,138653.0,50852,,743346,353899,1510000,2013年06月30日,112828,,,1963622,1850190,4082937,16060,255886,555420,238571,,41579.0,0.0,204.0,0,1510000,,213,,861612.0,315,,2825234.0,671.0,152393,453333,113432,605726,2269814,1316,,0,
2013-11-11,3,2013,453333,39320,115735,351576,75444.0,294300.0,979378,9920,0.0,6068,121218,68621,453458,125,780,780,112594,108743,-6823.0,3851,6760,23907,,31291,0,365.0,118911.0,26708,,746236,344687,1510000,2013年09月30日,96945,,,2026913,1906646,4082937,16060,614316,482339,238571,,15083.0,0.0,205.0,0,1510000,,371,,793376.0,356,,2820289.0,9179.0,152393,26667,120267,179060,2337950,2038,,0,
2014-03-21,4,2013,30000,39257,106323,346176,704580.0,402300.0,1855484,10341,0.0,3202,122698,698890,30160,160,59,59,72997,71247,-5690.0,1750,7905,23907,,31611,99962,29.0,71770.0,13710,2854.0,790192,580805,1510000,2013年12月31日,91545,,,2694000,2531515,4082937,16060,709997,581332,238571,,18247.0,0.0,209.0,466000,1510000,,124,,1332390.0,356,,4026390.0,9191.0,152393,470000,162485,622393,3445058,957,,0,
2014-05-09,1,2014,30000,39194,269358,467511,617793.0,387450.0,1748104,54389,,5294,307675,614585,30093,93,50,50,73146,71396,-3208.0,1750,13361,6962,0.0,38054,249769,53.0,82797.0,25511,0.0,781659,567965,1510000,2014年03月31日,217137,,,2757769,2585490,1188937,16060,850279,751015,234314,10055.0,,,209.0,395000,1510000,,124,,1472672.0,356,,4230441.0,0.0,152393,470000,172279,622393,3479426,1410,,0,
2014-07-30,2,2014,30000,38898,269358,558943,795173.0,419851.0,1894286,13457,,126931,124811,787276,30122,122,76,76,72247,71546,-7897.0,701,7554,6962,0.0,99875,299693,0.0,38054.0,23097,0.0,787239,726741,1510000,2014年06月30日,398020,,,3039512,2849613,1188937,16076,884217,732353,144847,28390.0,,10808.0,209.0,392000,1510000,,208,,1481610.0,356,,4521122.0,0.0,152393,445000,189899,597393,3788769,1434,,0,
2014-11-11,3,2014,30000,38858,269358,541027,861955.0,0.0,2463274,11993,,5713,128064,858712,30131,131,8,8,72397,71695,-3243.0,702,9282,6962,0.0,159665,299756,0.0,0.0,22910,0.0,787239,719719,1510000,2014年09月30日,380104,,,3095812,2903133,1188937,16076,934739,302099,144847,134579.0,,6531.0,219.0,426500,1510000,,163,,1557132.0,356,,4652944.0,0.0,152393,470000,192679,622393,4350845,1324,,0,
2015-03-20,4,2014,30000,40544,269358,522652,644216.0,0.0,2245698,10306,,7036,130322,649111,30140,140,21,21,73802,73102,4895.0,700,1649,6962,0.0,148368,349739,0.0,0.0,19967,0.0,787239,694523,1510000,2014年12月31日,361729,,,2854821,2675157,1188937,16076,1021686,387736,144847,227573.0,,6511.0,208.0,476500,1510000,,122,,1644079.0,356,,4498900.0,0.0,152393,470000,179664,622393,4111164,960,,0,
2015-05-08,1,2015,30000,38754,269358,501138,441616.0,0.0,2043663,12880,,4348,129853,444188,30087,87,56,56,74103,73402,2572.0,701,895,6962,0.0,118569,399671,0.0,0.0,22605,,787789,664612,1510000,2015年03月31日,340216,6512.0,208.0,2616289,2448720,1188937,16075,944404,189807,144847,,30745.0,,,376500,1510000,4068086.0,185,1451797.0,,356,4068086.0,,,152393,355000,167569,507393,3878279,1097,,0,
2015-08-11,2,2015,200000,38736,269358,608423,369133.0,0.0,1973728,12359,,142544,129004,368763,200155,155,62,62,74403,73702,-370.0,701,3788,6962,,108907,349858,,0.0,15551,2600.0,787849,654417,1510000,2015年06月30日,429924,15869.0,210.0,2652245,2480580,1188937,33652,1065604,310751,144847,,15884.0,,,378300,1510000,4109242.0,156,1456997.0,,356,4109242.0,,,152393,239000,171665,391393,3798491,1108,,0,
