date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－限制員工權利股票,資產總計,資產總額,追溯適用及追溯重編之影響數,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,5684,811938,806875,,189665,16365,-3752,,,22449,16765,3472,,136282,29201,-3752.0,21781,6153,701848,0.0,,616966,104517,623631,29487,114501.0,2662659,1526487,2013年03月31日,413309.0,,,2494648,2465080,0,347076.0,1059553,2150670,,24197,46490.0,,384393.0,61304.0,64652,,1526487,,,3213951.0,135470,655.0,,134815.0,,,5708599.0,,314564,871,29934,2017245,11351,29568,2154398,3557929,76910.0,11697,0
2013-08-13,2,2013,3956,823155,603655,,512155,8953,-2677,,,22810,18854,1933,2454.0,138222,33760,-2677.0,22981,6729,672013,0.0,,617521,97488,549945,88639,115241.0,2659434,1526487,2013年06月30日,194205.0,,,2291131,2262934,0,380082.0,1360660,2238195,,24855,29368.0,,484515.0,44767.0,65919,,1526487,,,3518221.0,135469,654.0,,134815.0,,,5809352.0,,373832,878,29953,2018461,11580,28197,2157561,3571157,58365.0,12997,0
2013-11-13,3,2013,2129,830840,715296,,198411,10736,-3669,,,19661,17532,4248,,138967,31246,,22988,6723,660119,0.0,,633787,100396,545800,56291,115979.0,2655969,1526487,2013年09月30日,305846.0,,,2403555,2373582,0,380082.0,1046222,2044859,,25045,29368.0,,350598.0,30843.0,63124,,1526487,,,3214322.0,135468,653.0,,134815.0,,,5617877.0,,360898,12905,29918,2016228,11369,29973,2168100,3573018,56169.0,13154,0
2014-03-24,4,2013,2149,830004,872744,,209407,16220,-1640,,,21596,19447,16840,,138742,31867,-1640.0,23017,6981,668320,0.0,,591371,94722,574664,38483,115725.0,2652763,1526487,2013年12月31日,463294.0,,,2564238,2533058,0,380082.0,1173499,2182127,,27828,29368.0,,275697.0,54966.0,201437,,1526487,,,3192182.0,135467,652.0,,134815.0,0.0,,5756420.0,,573456,3130,31831,1876811,11259,31180,2018683,3574293,18447.0,13627,0
2014-05-12,1,2014,8026,823769,1004242,,184171,20777,2391,,,30543,22517,34870,,139764,38266,,23103,5975,681447,,0.0,637122,104179,584841,56325,116661.0,2649331,1526487,2014年03月31日,,,,2701349,2668585,0,,1238698,2384782,,26807,,346598.0,,81758.0,200925,,1526487,,,3251526.0,135465,,,,,,5952875.0,,659924,1205,29920,1871859,11373,32764,2012828,3568093,,20918,0
2014-08-12,2,2014,7960,814407,676879,0.0,626198,15532,-1215,-1215.0,-1215.0,23465,15505,31852,0.0,140605,32235,,23092,5972,696638,,0.0,614399,107636,610505,24470,117513.0,2645832,1526487,2014年06月30日,246055.0,,,2369462,2337615,0,429184.0,1612840,2442300,,26588,1640.0,448447.0,,50546.0,190596,,1526487,,,3621782.0,135464,,,,,,5991244.0,,614856,1181,29882,1867156,11107,31847,2008942,3548944,,15156,0
2014-11-12,3,2014,8192,864274,840394,0.0,210143,14084,-1306,-1306.0,-1306.0,25461,17269,81475,,136176,37021,,17789,5993,680678,,0.0,552682,97020,610363,28740,118387.0,2642674,1526487,2014年09月30日,409570.0,,,2534264,2501030,0,429184.0,1163350,2101596,,27061,1640.0,335003.0,,84887.0,193157,,1526487,,,3168278.0,135455,,,,,,5702542.0,,351253,1202,29916,1867550,11351,33234,2004928,3600946,,19677,0
2015-03-24,4,2014,144252,1671899,1025457,0.0,234070,9500,6799,,,153518,9266,29062,,143614,38446,,17785,6263,713452,,0.0,593148,84629,591073,25832,125829.0,1896822,1526487,2014年12月31日,,,,2728722,2694198,0,,1406719,2349106,,27563,,656803.0,,56678.0,284676,,1526487,,,3290422.0,135455,,,,,,6019144.0,,323384,4463,35308,1735626,11349,34524,1883703,3670038,,20834,0
2015-05-04,1,2015,140523,1436556,1173997,0.0,169751,9802,-665,-665.0,-665.0,146521,5998,31215,,146286,42779,,19578,2113,728769,,0.0,604460,59732,586500,16000,,2081459,1526487,2015年03月31日,743173.0,81555.0,,2871418,2835274,0,429184.0,1341006,2436584,126708.0,26983,1640.0,,952473.0,,278987,,1526487,6059640.0,3188222.0,,135455,,,,,6059640.0,,,111825,4463,35279,1696467,11456,36144,1847216,3623056,,29210,0
2015-08-07,2,2015,140506,1446741,757343,0.0,739344,4127,-2676,-2676.0,-2676.0,147988,7482,37983,,147182,29178,,19591,2107,701496,,0.0,555534,60353,584217,19446,,2078697,1526487,2015年06月30日,269581.0,50320.0,,2451225,2416609,0,487762.0,1814993,2461486,127591.0,26404,0.0,,953509.0,,261454,,1526487,6077754.0,3626529.0,,135455,640.0,134815.0,134815.0,,6077754.0,,,160708,4463,35248,1659891,11263,34616,1811536,3616268,,15808,0
