date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,1900000.0,17917,1917917,1062335,5518,315706,42125,,,-110067,2008615,90698,158130,106628,51502,37246.0,55770,1444.0,41819,4573,,,462810,0,,0.0,368152,72314,,,773451,7309,2940,39762,54326.0,43254.0,195922,1966742,2013年03月31日,,,2852240,2623790,0,2467573,4057494,,,2566661.0,,,18492,1966742,,,2595803.0,451409,,5448043.0,3177.0,12802,42830,59658,228450,128230,1390549,,,0
2013-08-14,2,2013,0.0,15000,15000,1041847,5518,302581,42035,0.0,,-95163,102297,87297,241841,53347,188494,35616.0,56318,1442.0,38990,3374,,,415843,0,,0.0,405717,61102,,0.0,863382,8768,8253,56951,54876.0,43992.0,201681,1966742,2013年06月30日,,,2843664,2628758,0,587716,2186818,,,464494.0,,,18600,1966742,,,714119.0,454598,,3557783.0,83294.0,12802,40894,57283,214906,126403,1370965,,,0
2013-11-11,3,2013,0.0,12083,12083,973265,5518,329196,38801,,,-100711,265439,253356,231364,83891,147473,41659.0,51394,1179.0,43932,2273,,,361434,0,,0.0,421800,46658,,,919318,58892,20627,60203,50215.0,0.0,210693,1966742,2013年09月30日,,,2832995,2644684,0,733897,2372893,,,525634.0,,,0,1966742,,,853001.0,449457,,3685996.0,150251.0,12802,40894,54908,188311,119104,1313103,45170.0,45170.0,0
2014-03-20,4,2013,0.0,9500,9500,959937,105518,366707,38040,,,-97230,214775,205275,281079,98020,183059,,47479,4370.0,43035,2214,,40821.0,361488,0,,0.0,467098,5374,,,851636,56197,9456,121584,43109.0,0.0,135026,1966742,2013年12月31日,,,2957472,2687899,0,695086,2428688,,,729172.0,7839.0,18076.0,0,1966742,,,799557.0,451680,,3757029.0,0.0,4459,46785,52533,269573,104471,1328341,,,0
2014-05-06,1,2014,0.0,9500,9500,896187,105518,378735,58773,,,-76411,227977,218477,321859,118355,203504,,57736,14293.0,45600,3098,,42502.0,359664,0,0.0,,397152,52061,,,708704,55825,13572,117007,43443.0,0.0,131866,1966742,2014年03月31日,,,2974608,2721912,0,692065,2494297,,598965.0,,8875.0,18445.0,6000,1966742,,,804418.0,452846,,3779026.0,300256.0,4459,46785,50158,252696,112353,1284729,,,0
2014-08-08,2,2014,,9500,9500,834645,105518,320981,57251,68836.0,,-82460,215861,206361,301407,85991,215416,,57067,13522.0,34409,2966,,31443.0,315080,0,0.0,,398538,35094,,68836.0,729211,54462,5995,126492,43545.0,0.0,137336,1966742,2014年06月30日,,,2892127,2659276,0,744198,2529691,,627683.0,,2869.0,18651.0,23000,1966742,,,853508.0,454013,,3745635.0,350710.0,4459,46785,47784,232851,109310,1215944,,,0
2014-11-12,3,2014,,9500,9500,789648,105518,364224,54207,,74010.0,-79799,266160,256660,204788,82913,121875,,55062,,394646,2827,11414.0,391819.0,302668,0,0.0,,432711,33544,,,756472,46864,119630,96209,43648.0,,160391,1966742,2014年09月30日,,,2921911,2706749,0,827913,2303558,,757904.0,,1488.0,19023.0,20000,1966742,,,932842.0,455582,,3854753.0,0.0,4459,46785,45408,215162,104929,1551195,0.0,0.0,0
2015-03-20,4,2014,,9500,9500,1127947,105518,386359,56299,,,-68881,231784,222284,253318,44726,208592,,70871,24421.0,25680,2738,,22942.0,268253,0,0.0,0.0,404769,46363,,,688825,51277,89567,137773,46450.0,,161652,1966742,2014年12月31日,,,3036843,2737415,0,722099,2358676,,866609.0,,9183.0,3054.0,30000,1966742,,,841698.0,453195,,3878541.0,,5695,42769,43033,299428,119599,1519865,,,0
2015-05-11,1,2015,,9500,9500,1073486,105518,408539,77602,,,-52663,298645,289145,237769,66765,171004,,60306,15033.0,25799,2469,,23330.0,362252,0,0.0,,387491,21706,,,614267,54319,93605,133534,,,158853,1966742,2015年03月31日,11451.0,3036.0,3064805,2783283,0,765293,2453717,45273.0,,954935.0,,,46000,1966742,3936913.0,872108.0,,460665,3936913.0,,0.0,5851,41938,40658,281522,106815,1483196,,,0
2015-08-12,2,2015,,9500,9500,1040531,105518,287702,89014,98337.0,,-49373,262424,252924,312816,56876,255940,,57066,11930.0,28102,5374,,22728.0,333756,0,0.0,,344833,28500,,98337.0,635594,67235,68827,103377,,,152147,1966742,2015年06月30日,5211.0,14829.0,2923453,2666241,0,793305,2360708,45136.0,,824274.0,,,54000,1966742,3817958.0,894505.0,,461170,3817958.0,,0.0,5851,41938,38283,257212,101200,1457250,,,0
2015-11-12,3,2015,,23515,23515,1011781,153800,338326,69424,,0.0,-76350,300452,276937,297866,39046,258820,,64745,18968.0,73217,51738,,21479.0,347293,0,0.0,,358203,31143,,,599631,66872,81369,126183,,,152679,1966742,2015年09月30日,1537.0,0.0,2948292,2690508,0,756335,2367038,45777.0,,847824.0,,,65000,1966742,3865516.0,917224.0,,461790,3865516.0,,,6511,37577,89633,257784,160889,1498478,,,0
2016-03-18,4,2015,,23515,23515,981283,219330,269315,85591,,,-46910,299396,275881,351588,32782,318806,,61753,13836.0,76325,34563,,41762.0,301140,0,0.0,,324557,40362,,,539032,60237,77672,107073,,,141614,1966742,2015年12月31日,7465.0,3003.0,2885648,2649062,0,738780,2224215,47917.0,,784470.0,,,67000,1966742,3772079.0,886431.0,,459915,3772079.0,,,2145,43721,83753,236586,147651,1547864,,,0
2016-05-11,1,2016,,23515,23515,946480,319330,279610,118305,,,-19266,248929,225414,379803,72882,306921,,44340,11688.0,109698,41501,,68197.0,323239,0,0.0,,343760,45138,,,490273,65147,99536,151091,,,137543,1966742,2016年03月31日,6469.0,2990.0,2917199,2687263,0,711296,2080887,32652.0,,568808.0,,,67000,1966742,3752328.0,835129.0,,460177,3752328.0,,,1618,40085,77875,229936,123833,1671441,,,0
2016-08-11,2,2016,,23515,23515,892976,319330,339829,133141,13767.0,,-14220,249305,225790,399910,65662,334248,,44464,11639.0,69876,37668,,32208.0,316481,0,0.0,,338706,49634,,13767.0,489234,65504,192802,135161,,,134677,1966742,2016年06月30日,10804.0,0.0,2971615,2751324,0,729216,2229443,32825.0,,630351.0,,,67000,1966742,3818910.0,847295.0,,458973,3818910.0,,,1618,39467,71997,220291,118079,1589467,,,0
2016-11-10,3,2016,,23515,23515,859633,319330,386884,131429,,,-30981,238998,215483,464626,46150,418476,,45202,12220.0,57890,36281,,21609.0,327727,0,0.0,,313464,36760,29956.0,,513263,61075,226298,90000,,,129963,1966742,2016年09月30日,9180.0,6.0,2989910,2781618,0,695358,2264192,32982.0,,581197.0,,,67000,1966742,3798206.0,808296.0,,458973,3798206.0,,,1618,35769,66118,208292,112938,1534014,,,0
