date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,125117,13500.0,1052880,112321,-8925,,28241,44449,29137,-8925,504117,0.0,,,177903,145230,,,578345,2013年03月31日,647944,,1890438,1886378,0,401046,405401,2063446,0.0,3890.0,,1361285.0,86936.0,,578345,,,405401.0,264078,,264078,,,,2295839.0,8365,,,64639,4060,,232393,0
2013-08-09,2,2013,132309,6000.0,765026,537120,-8536,,16597,36675,29260,-8536,593443,,57834.0,,201609,180296,,,578345,2013年06月30日,301399,,1659684,1656798,0,451738,820876,2235195,0.0,11889.0,,1416484.0,65550.0,,636179,,,820876.0,264129,,264129,,,,2480560.0,8297,0.0,,77796,2886,,245365,0
2013-11-07,3,2013,130364,0.0,915261,144064,-10198,,13137,42308,29182,-10198,806954,,,,282686,184187,9729.0,,636179,2013年09月30日,451634,,1807565,1805326,0,451738,484306,2049814,0.0,11889.0,,998275.0,44419.0,,636179,,,484306.0,264084,,264084,,,,2291871.0,8361,,,82511,2239,,242057,0
2014-03-20,4,2013,130880,0.0,1046638,143514,-10454,,18109,27456,29922,-10454,902593,,,,167739,160529,,,636179,2013年12月31日,583011,,1938125,1936447,0,451738,401986,2098713,0.0,11889.0,,999528.0,72624.0,,636179,,,403707.0,264084,,264084,,,,2341832.0,8607,,1721.0,82317,1678,1721.0,243119,0
2014-05-12,1,2014,131172,0.0,1195056,141108,-7242,,13637,44641,30788,-7242,917020,,,0.0,111366,177041,,,636179,2014年03月31日,731429,,2089355,2088077,0,451738,364582,2212264,,11889.0,1064951.0,,98471.0,,636179,,,367753.0,264084,,264084,,,,2457108.0,8611,,3171.0,82884,1278,3171.0,244844,0
2014-08-12,2,2014,127832,0.0,777169,613910,-10437,,10715,25801,33410,-10437,874300,,63618.0,0.0,130047,189166,,,636179,2014年06月30日,256758,,1731434,1730613,0,509957,804419,2293710,,10454.0,1195801.0,,49747.0,,699797,,,804419.0,264084,,264084,,,,2535853.0,8642,,0.0,80901,821,0.0,242143,0
2014-11-07,3,2014,143023,0.0,887530,138467,-6537,,7538,32694,34369,-6537,854946,,,0.0,133301,178206,,,699797,2014年09月30日,367119,,1850282,1844874,0,509957,284692,1878005,,10454.0,803544.0,,5386.0,,699797,,,284692.0,264084,,264084,,,,2134974.0,8615,,0.0,79577,5408,0.0,256969,0
2015-03-20,4,2014,155756,,1013435,140223,8819,,19645,24547,35006,8819,799651,,,0.0,108708,143180,,,699797,2014年12月31日,493024,,1991581,1986135,0,509957,302669,2023033,,10454.0,1046917.0,,34093.0,,699797,,,305560.0,264084,,264078,6.0,,,2297141.0,8738,,2891.0,83346,5446,2891.0,274108,0
2015-04-27,1,2015,155130,,1091971,133342,690,,17544,31734,35126,690,746140,,,0.0,111388,179168,,,699797,2015年03月31日,571560,53512.0,2061742,2056542,0,509957,315786,2103150,,10454.0,,1137389.0,,,699797,2377528.0,315786.0,,264084,,264078,6.0,,2377528.0,,8719,,0.0,84122,5200,0.0,274378,0
2015-08-03,2,2015,159819,,727062,524827,-3021,,16064,32669,34062,-3021,744493,,69980.0,0.0,148406,174445,,,699797,2015年06月30日,168126,31593.0,1762912,1757902,0,558936,720890,2213975,,0.0,,1253673.0,,,769777,2484923.0,722011.0,,264084,,264078,6.0,,2484923.0,,8695,,1121.0,77067,5010,1121.0,270948,0
2015-10-28,3,2015,165591,,855798,511108,-8367,-29101.0,18843,41776,33723,20734,707360,,69980.0,0.0,110248,195618,,27916.0,699797,2015年09月30日,296862,0.0,1917600,1911975,0,558936,640199,2271230,,0.0,,1318431.0,,,769777,2569348.0,651748.0,,294767,,264078,6.0,30683.0,2569348.0,,8045,,11549.0,70888,5625,11549.0,298118,0
2016-03-23,4,2015,164508,,916335,123268,-4568,-24353.0,17314,35645,31212,19785,666227,,,0.0,127270,190930,,23128.0,775567,2015年12月31日,357399,19945.0,1997519,1976311,0,558936,337797,2047956,,0.0,,1146890.0,,50000.0,775567,2343751.0,346232.0,,288977,,264078,6.0,24893.0,2343751.0,,8264,,8435.0,76947,21208,8435.0,295795,0
2016-05-03,1,2016,156852,9200.0,963562,117683,-8783,-19605.0,11446,47044,30725,10822,761866,,,0.0,223472,181080,,17504.0,775407,2016年03月31日,404626,33403.0,2037822,2019323,0,558936,536004,2286687,,0.0,,1293869.0,,150000.0,775407,2577645.0,539823.0,,289137,,264078,6.0,25053.0,2577645.0,,2828,,3819.0,76677,18499,3819.0,290958,0
2016-08-08,2,2016,153050,9200.0,700923,428875,-3418,-14858.0,12335,33101,31526,11440,779506,,7698.0,0.0,155898,198458,,13489.0,775407,2016年06月30日,106747,24477.0,1784826,1769747,0,594176,946585,2454582,,,,1440591.0,,325000.0,783105,2734443.0,949617.0,,289137,,264078,6.0,25053.0,2734443.0,,2926,,3032.0,72596,15079,3032.0,279861,0
2016-11-04,3,2016,148493,9200.0,710263,106564,-28519,-29038.0,11739,271554,27372,519,769567,,0.0,0.0,117654,191299,,9835.0,787655,2016年09月30日,116087,6833.0,1786215,1775124,0,594176,1077790,2589196,,0.0,,1353779.0,,835000.0,787655,2864005.0,1077790.0,,305725,204.0,264078,6.0,41437.0,2864005.0,,2997,,0.0,79909,11091,0.0,274809,0
