date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,1740492,32844,943923,89015,,172812,,257134,12399,,89456,322496,,493742,,105617,,441,,,518596,250275.0,,143241,89991,165211,564240,369291,,0.0,13245,1684269,2013年03月31日,558538,,3290461,2985904,0,385385,1413563,2990383,,112582,,925088.0,61136.0,239475,1684269,134879.0,,,1979317.0,268256,,,226436,41820,,5269778.0,0.0,228509,62012,101803,10000,,,304557,565754,2279395,121985,,,0
2013-08-07,2,2013,,1791127,32844,831219,136923,,220721,46561.0,443946,16280,,141358,257820,,493910,,117612,,4435,,,538804,0.0,,139015,59965,193971,530747,387181,,0.0,99816,1684269,2013年06月30日,418692,,3306944,3037396,0,412527,1276985,2664929,,112845,,865506.0,42268.0,140000,1730830,0.0,,,1832907.0,333989,,,311353,22636,,5139851.0,0.0,236447,62012,99957,0,,,269548,555922,2474922,89964,,,4656072
2013-11-08,3,2013,30000.0,1826510,34329,887113,132666,,216464,56131.0,261165,21346,,133815,109255,,496482,1553.0,118545,6888.0,1149,279.0,9652.0,547238,0.0,,142551,49945,174242,500622,300078,494650.0,0.0,106346,1730830,2013年09月30日,474586,,3491615,3219286,0,412527,859099,2515215,,123465,,710986.0,36685.0,85256,1786961,0.0,,,1554593.0,411397,,,411397,0,,5046208.0,0.0,257274,62012,105334,137000,,59470.0,272329,695494,2530993,177671,42535.0,79255.0,0
2014-03-19,4,2013,40000.0,1947030,34147,959608,128284,,212082,,321646,22019,,133276,122596,,451688,0.0,97639,5939.0,4992,240.0,12591.0,555470,0.0,,136483,79942,208090,549975,297373,451448.0,0.0,189407,1786961,2013年12月31日,547081,,3582457,3291242,0,412527,1129572,2624119,,147802,,767941.0,45560.0,215255,1786961,0.0,,,1770736.0,411397,,,411397,0,,5353193.0,0.0,243389,62476,100967,127000,,60303.0,291215,641164,2729074,187952,18806.0,82596.0,0
2014-05-06,1,2014,110000.0,1923847,34147,1055680,146370,,230168,,244646,14344,,151332,198123,,454532,0.0,107585,6269.0,4962,277.0,9082.0,527819,0.0,0.0,154568,69927,200759,565711,281132,454255.0,0.0,190864,1786961,2014年03月31日,643153,,3696415,3405370,0,412527,1136631,2669248,,146599,887261.0,,69946.0,198662,1786961,0.0,,,1710189.0,411397,,,411397,0,,5406604.0,0.0,199485,62026,104146,57000,,59696.0,291045,573558,2737356,193496,32538.0,88123.0,0
2014-08-08,2,2014,100000.0,1927925,34147,715421,182085,,265883,0.0,689636,8671,,182548,182393,2704.0,456065,0.0,107869,6721.0,463,261.0,9149.0,606900,0.0,0.0,121547,19918,211942,532844,317534,455804.0,0.0,229995,1786961,2014年06月30日,273055,,3389572,3096327,0,442366,1479346,2669150,,144790,893444.0,,42371.0,211539,1786961,,,,2094436.0,411397,,,411397,0,,5484008.0,0.0,184484,62025,104249,97000,,58330.0,293245,615090,2814858,125273,30965.0,82393.0,0
2014-11-07,3,2014,120000.0,1936166,46147,813299,150125,,233923,0.0,266728,2617,,157060,211020,3349.0,461467,0.0,115091,8939.0,6935,1180.0,10109.0,709585,0.0,0.0,140773,250000,213362,524365,313572,460287.0,0.0,224051,1786961,2014年09月30日,370933,,3467411,3168717,0,442366,1288428,2569801,,145278,672195.0,,40871.0,165674,1786961,,,,1905170.0,411397,,,411397,0,,5372581.0,0.0,199610,62025,102124,93250,,59715.0,298694,616742,2802780,147857,32979.0,91020.0,0
2015-03-25,4,2014,28000.0,1950608,34147,879510,198508,15056.0,335031,,334709,3540,,214155,131647,3349.0,470999,,128782,7776.0,15647,2435.0,11157.0,749687,,0.0,101449,109990,267379,597731,293075,468564.0,,226614,1786961,2014年12月31日,437144,,3605752,3304528,0,442366,1053321,2451316,,145910,543233.0,,47179.0,60968,1786961,,,,1768895.0,423902,9045.0,3460.0,411397,0,,5374647.0,,164537,63825,102239,180750,,61115.0,301224,715574,2923331,84457,45385.0,103647.0,0
2015-05-05,1,2015,20000.0,1936184,34147,982419,205290,13400.0,343852,,276828,14682,4436.0,217663,94831,3349.0,475312,,142624,7854.0,12373,3567.0,11289.0,743508,,0.0,83972,110000,247759,525038,304410,,,221771,1786961,2015年03月31日,540053,70874.0,3716077,3410945,0,442366,934264,2449751,471745.0,144190,,599899.0,,50000,1786961,,5373255.0,1657178.0,,423902,9045.0,3460.0,411397,0,5373255.0,,,145734,62102,100736,185500,,60153.0,305132,722914,2923504,98644,59979.0,74831.0,0
2015-08-07,2,2015,22000.0,1931905,34147,967316,196341,12800.0,335538,,446699,21761,,203856,117761,2700.0,481175,,140762,11935.0,7515,5296.0,11052.0,731659,,0.0,69888,69989,208971,507020,306471,,,216637,1786961,2015年06月30日,487526,76783.0,3626432,3293600,0,479790,1090091,2501283,475879.0,143200,,679171.0,,100000,1786961,,5407359.0,1780927.0,,335467,9958.0,3460.0,322049,0,5407359.0,,,160311,62161,103887,147500,,58970.0,332832,690836,2906076,82090,56105.0,95761.0,0
