date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付員工紅利,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,797791.0,7624677,3817761,65000,456896,4407,393562,32869,0,6561,6561.0,814851,7505.0,90839,454.0,46307,90385.0,30,73178,3447.0,8056,30,288.0,2891644,,,63334,2073607,,249841.0,,366273,5067211.0,0.0,4911700,2013年03月31日,3428417,,9853787,9755258,0,352495,6434907,9410564,54363,36849,,869636.0,74922.0,2601779,4911700,,143295,,7333280.0,1019236,,17187067.0,15309.0,0.0,0,24285.0,898343.0,98529,898373,7776503,27092.0,69443.0,9555.0,0
2013-08-06,2,2013,396533.0,7374854,4204796,73000,1352605,18599,415761,24905,0,31311,31311.0,410616,8287.0,279442,473.0,44503,278969.0,30,107869,3486.0,8056,30,25.0,2577555,,,77296,2431882,72.0,649586.0,859548.0,453824,5138252.0,0.0,4911700,2013年06月30日,3657187,,9845589,9749548,0,510760,7773550,10092806,52559,36849,,1520638.0,141492.0,2590735,4911700,,163401,,7782499.0,601741,,17628088.0,14562.0,0.0,8919,0.0,0.0,96041,8949,7535282,25190.0,104358.0,5796.0,0
2013-11-05,3,2013,200000,7189971,4858154,69000,500380,4040,448323,43350,0,15152,,243475,28715,531404,315,43196,531089,60,146034,6494,8056,60,266,2121930,,,52057,1548889,10752,419724,,372946,4427754,0,4911700,2013年09月30日,4310545,,10479648,10386747,0,510760,6128918,9223601,51252,36849,,1573195,164245,3094587,4911700,,142826,,6131210,601741,,16610858,0,37954,2232,0,0,92901,2292,7387257,46068,139274,14760,0
2014-02-26,4,2013,0.0,7107746,5371344,69688,575480,3996,515546,28450,79,39929,39929.0,22199,11845.0,327419,1110.0,41651,326309.0,97,102387,6134.0,8056,97,271.0,1980205,,,59934,1802356,,0.0,,342718,4067006.0,0.0,4911700,2013年12月31日,4823735,,11013621,10924714,0,510760,4816830,8593678,49707,36849,,1732641.0,203246.0,1988794,4911700,,165850,,4839897.0,601741,,15853518.0,54909.0,0.0,22970,0.0,0.0,88907,23067,7259840,45472.0,95982.0,10354.0,0
2014-04-24,1,2014,0.0,6889636,5903414,319785,449869,2114,377694,51078,1524,29331,29331.0,19836,4558.0,334765,424.0,40715,334341.0,60,136767,3423.0,8056,60,268.0,2051828,,,72175,2233916,,0.0,,417330,4006860.0,,4911700,2014年03月31日,5355805,,11532043,11446186,0,510760,5469596,10928384,48771,36849,3694915.0,,246843.0,2345406,4911700,,162132,,6471515.0,601741,,18003558.0,9480.0,,4126,0.0,997733.0,85857,1001919,7075174,50299.0,133076.0,15278.0,0
2014-08-13,2,2014,0.0,6713413,6068101,65675,758786,3068,426732,43265,9,-10921,-10921.0,24207,10974.0,341111,588.0,50811,340523.0,60,144571,10576.0,8056,60,264.0,2134049,245585.0,0.0,86469,2272909,0.0,0.0,245585.0,481174,4156845.0,,4911700,2014年06月30日,5275863,,11702146,11619738,0,755389,5518388,11328897,58867,36849,4039471.0,,294382.0,2056282,5157285,,108754,,6543602.0,405273,,18245748.0,0.0,10403.0,27021,,998133.0,82408,1025214,6916851,56895.0,133731.0,13233.0,0
2014-11-12,3,2014,998533.0,6584271,6636937,65675,531557,4189,489460,45461,14,64682,64682.0,1041878,33317.0,248556,1856.0,49783,246700.0,60,308320,3425.0,8056,60,52372.0,1956498,,0.0,42097,1634769,0.0,0.0,,441299,4134471.0,,5157285,2014年09月30日,5844699,,12344760,12264177,0,755389,5082521,10522193,57839,36849,3583074.0,,283386.0,1391657,5157285,,144404,,5127863.0,405273,,17472623.0,50681.0,0.0,45282,,0.0,80583,45342,6950430,47145.0,252523.0,10028.0,0
2015-03-10,4,2014,,6665963,7325203,66063,693817,3025,633228,36707,9,173069,173069.0,54210,37290.0,153785,1025.0,50298,152760.0,65,310326,4580.0,8056,65,54093.0,2129542,,0.0,60589,1667832,,300000.0,,4581261,0.0,,5157285,2014年12月31日,6532965,,13140971,13060830,0,755389,4758135,10931978,58354,36849,3923598.0,,291000.0,1575730,5157285,,167560,,4825650.0,405273,,17966621.0,4961.0,,67450,,,80141,67515,7034643,41013.0,251653.0,16920.0,0
2015-04-28,1,2015,,6505718,7744815,66063,506704,2707,436256,36758,5,136350,136350.0,28199,13286.0,544804,809.0,50461,543995.0,65,587010,280208.0,8056,65,678.0,2178103,,0.0,70448,1870225,,0.0,,4201867,0.0,,5157285,2015年03月31日,6952577,384388.0,13521231,13443723,0,755389,4164177,10558665,58517,36849,,3490869.0,,1117633,5157285,17709910.0,252100,4188679.0,,405273,17709910.0,,2221.0,,24437,,0.0,77508,24502,7151245,40196.0,306124.0,14913.0,0
2015-08-11,2,2015,,6359109,6631723,50818,1843192,327,476068,44571,5,81187,81187.0,27285,22140.0,893110,7501.0,52641,885609.0,70,657122,294941.0,8056,70,2911.0,1908543,0.0,0.0,77803,1496587,,0.0,1289321.0,3686246,0.0,,5157285,2015年06月30日,5614629,164852.0,12313322,12275468,0,980245,4875088,10179131,60697,36849,,3552222.0,,1206557,5157285,17256059.0,136288,4942737.0,,405273,17256059.0,,0.0,3877.0,67579,,0.0,37854,67649,7076928,39739.0,359270.0,5145.0,0
