date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期負債準備,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,出租資產－其他成本,出租資產－其他淨額,土地成本,土地淨額,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付員工紅利,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應付股利,應付董監事酬勞,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計折舊－出租資產－其他,累計折舊－房屋及建築,累計折舊－模具設備,累計折舊－機器設備,累計折舊－試驗設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,銀行借款,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,8686047,0,21828739,2221292,2221292,3593348,38402,3593348,44633,1778,192372,19416,19416,48100,48100,0,,72888,17674,1505719,54898,36397,490541,490541,2681781,2681781,0,,,0.0,2399525,,,552,0.0,0.0,0.0,3686143,10459,98490,55214.0,1806797,1520382,0.0,320792,320792,1341402,2013年03月31日,21828739,775041,,0.0,0.0,8144486,4349453,24918242,24918242,0,0,7169266,21444061,,25137,,12546792.0,1000521.0,104302,18501,286415,0.0,3795033,0.0,1584946,9843,1341402,0.0,0.0,,0,,7242322.0,1555729,1555729,1555729,,32160564.0,3085921,1500975,13200,0.0,23101,13258,168,178808,104302,25137,0,73056,10716503,104593.0,0
2013-08-05,2,2013,9175836,0,21583757,3472426,3472426,6063129,43754,6063129,12925,5397,195977,15748,15748,89465,89465,0,,72624,17366,1160378,54898,36295,490683,490683,2309691,2309691,0,,,0.0,1351457,,,270,0.0,0.0,0.0,4436876,3699,196260,55258.0,1810983,1514319,0.0,304606,304606,1341402,2013年06月30日,18192244,833178,,,,7989122,4751351,24676865,24676865,0,3391513,8473773,22372663,,22794,,11727723.0,920752.0,78578,18603,296664,,3237771,,1637290,8959,1341402,,,,0,,8553630.0,1555729,1555729,1555729,,33230495.0,3174558,1537268,85,,21701,12742,7233,194218,78578,22794,0,79857,10857832,118201.0,0
2013-11-11,3,2013,9635658,0,23904300,2269212,2269212,3650868,26285,3650868,69588,11459,184887,72044,72044,53926,53926,0,,61025,6215,1469036,54898,36193,490936,490936,2736516,2736516,0,,,0.0,2119974,,,92,0.0,0.0,0.0,5752396,879,230279,54810.0,2130679,1824245,0.0,291839,291839,1341402,2013年09月30日,20512787,704500,,,,8166882,4696783,26986318,26986318,0,3391513,6818150,22231669,,24995,,11021714.0,873039.0,75848,18705,306434,,3470099,,1728739,9587,1341402,,,,0,,6886812.0,1555729,1555729,1555729,,33873130.0,3597214,1868475,0,362.0,24113,14526,7637,219933,75848,24995,0,68662,11641461,85338.0,0
2014-03-18,4,2013,9800315,0,27307760,3542153,3542153,3895490,29501,3895490,117130,15890,240266,29609,29609,53613,53613,0,,62004,6217,1426694,54898,36092,560194,560194,2693251,2693251,0,,,0.0,2504544,,,2886,0.0,0.0,0.0,6586870,4177,232216,55787.0,2140540,1819337,0.0,273717,273717,1341402,2013年12月31日,23916247,211343,,0.0,0.0,9512165,5144019,30445157,30445157,0,3391513,8096935,26809123,,25609,,13502801.0,1551082.0,82579,18806,321203,0.0,4368146,0.0,1869101,10508,1341402,0.0,0.0,,0,,8168402.0,1555729,1555729,1555729,,38613559.0,3884694,2015593,1244,0.0,24245,13737,9463,278101,82579,25609,0,71467,11804436,61022.0,0
2014-05-08,1,2014,9843630,0,30307460,3708117,3708117,4287544,22110,4287544,114250,8601,252132,19298,19298,55678,55678,0,,61670,6054,1320345,54898,35990,560194,560194,2707289,2707289,0,52696.0,0.0,0.0,1111322,,,186,0.0,0.0,0.0,4205309,25531,227898,55616.0,2140939,1808012,0.0,208739,208739,1341402,2014年03月31日,26915947,298433,,0.0,0.0,9752617,5136546,33456723,33456723,0,3391513,7272677,29120521,,24014,17904398.0,,1817725.0,12131,18908,332927,0.0,4616071,0.0,1993388,11377,1341402,0.0,0.0,,0,,7344717.0,1555729,1555729,1555729,,40801440.0,3984980,1991592,2361,0.0,24240,12863,10370,284191,12131,24014,0,72040,11680919,110754.0,0
2014-07-29,2,2014,9896895,0,30206526,3807066,3807066,9203582,28194,9203582,108607,156150,209374,21984,21984,32403,32403,0,,56933,1520,1554768,54898,35889,560194,560194,2386823,2386823,0,,0.0,0.0,1624582,,,727,0.0,0.0,0.0,7930712,681,291340,55413.0,2147132,1805194,0.0,110531,110531,1341402,2014年06月30日,25854034,449830,,,,9960502,5094414,33313031,33313031,0,4352492,12572804,34128819,,28731,19268998.0,,1679901.0,13834,19009,341938,,4866088,,2118782,12188,1341402,,,,0,,12639257.0,1555729,1555729,1555729,,45952288.0,4058229,1939447,0,,24115,11927,9520,232544,13834,28731,0,66453,11823469,146039.0,0
2014-11-10,3,2014,10381049,0,35492071,4126958,4126958,5863548,53619,5863548,143692,15494,271897,92767,92767,43099,43099,0,,56663,1444,1784789,54898,35787,560194,560194,3139639,3139639,0,,0.0,0.0,4078114,,,618,0.0,0.0,0.0,10323104,1804,360237,55219.0,2156999,1799082,,103012,103012,1341402,2014年09月30日,31139579,601159,,,,10565896,5427892,38661099,38661099,0,4352492,11875369,38041765,,27155,19699628.0,,1575796.0,210907,19111,357917,,5138004,,2249805,13187,1341402,,,,0,,11953147.0,1555729,1555729,1555729,,50614246.0,4193390,1943585,0,0.0,26537,13350,21115,276476,210907,27155,0,77778,12572481,188110.0,0
2015-03-17,4,2014,13721745,0,42918856,3445479,3445479,7083393,10223,7083393,260283,25199,382182,25663,25663,50116,50116,0,,61879,2836,2093404,54898,35686,3694827,3694827,3538339,3538339,0,,0.0,0.0,4999429,,,8,0.0,0.0,0.0,12999354,2770,336491,59043.0,2171764,1796411,0.0,111183,111183,1341402,2014年12月31日,38566364,379514,,0.0,0.0,11327379,5890240,46198169,46198169,0,4352492,14783207,44809301,,32728,24100464.0,,2474334.0,190157,19212,375353,0.0,5437139,0.0,2398293,14313,1341402,0.0,0.0,,0,,14855415.0,1555729,1555729,1555729,,61053584.0,4309722,1911429,0,0.0,27951,13638,10329,285223,190157,32728,0,72208,16244283,50806.0,0
2015-04-27,1,2015,17805698,0,47326110,2288151,2288151,11234693,47242,11234693,179043,59188,343135,30659,30659,52254,52254,0,,64968,5924,1878166,54898,35584,3694827,3694827,4859357,4859357,0,0.0,0.0,,3302204,7665.0,7665.0,193,,,,7876643,15521,323975,,2168000,1782018,0.0,112469,112469,1341402,2015年03月31日,42973618,4386579,3220588.0,,,11767033,6036991,50566376,50566376,0,4352492,18022373,48368137,59044.0,32500,,32547457.0,,179129,19314,385982,,5730042,,2528719,11007,1341402,,,68671837.0,0,18105461.0,,1555729,1555729,1555729,68671837.0,,4388231,1859512,0,0.0,21194,10187,18120,474867,179129,32500,0,83088,20303700,166548.0,0
2015-07-30,2,2015,20108723,0,45309144,6209335,6209335,20843247,16327,20843247,42850,57170,254970,23165,23165,39773,39773,0,,65012,5924,1758524,54898,35483,3694827,3694827,4397287,4397287,0,,0.0,0.0,3545305,2054.0,2054.0,370,0.0,0.0,0.0,10336270,5078,294585,,2162881,1767116,0.0,109670,109670,1341402,2015年06月30日,39012842,6736305,2907215.0,,,12088202,6053647,48461245,48461245,0,6296302,27607019,53692157,59088.0,31189,,32057770.0,,269336,19415,395765,,6034555,,2653729,11674,1341402,,,76145444.0,0,27684199.0,,1555729,1555729,1555729,76145444.0,,4465653,1811924,0,,21095,9421,12168,445181,269336,31189,0,77180,22453287,252039.0,0
2015-10-29,3,2015,20090746,0,53514896,2972859,2972859,12179546,23969,12179546,247878,9548,407062,148672,148672,85024,85024,0,,1649495,1590402,1805009,54898,35381,3694827,3694827,4457921,4457921,0,,0.0,,3957079,6389.0,6389.0,784,,,,12651030,15265,384737,,2246617,1830712,,111020,111020,1341402,2015年09月30日,47218594,6600218,2453347.0,,,12441944,6105396,56819089,56819089,0,6296302,18933376,54867435,59093.0,31313,,33864650.0,,163590,19517,415905,,6336548,,2791471,12631,1341402,,,77430510.0,0,20611421.0,,1555729,1555729,1555729,77430510.0,,4605783,1814312,0,0.0,22531,9900,28550,524987,163590,31313,0,1678045,22563075,178523.0,0
2016-02-22,4,2015,20114909,0,60226867,6658396,6658396,13939346,22909,13939346,194066,12718,262301,55650,55650,76127,76127,0,,73096,7381,1831062,54898,35280,3694827,3694827,3729711,3729711,0,,0.0,0.0,2857743,6275.0,6275.0,342,0.0,0.0,0.0,11201999,17355,318449,,2241613,1818777,0.0,105391,105391,1341402,2015年12月31日,53930565,6587192,3487608.0,0.0,0.0,12499111,6109092,63386299,63386299,0,6296302,20527062,61500008,65715.0,27747,,39212279.0,,157189,19618,422836,0.0,6390019,0.0,2906506,13255,1341402,0.0,0.0,83986576.0,0,20600277.0,,1555729,1555729,1555729,83986576.0,,4767223,1860717,0,0.0,22279,9024,119,407459,157189,27747,0,73215,22486568,78908.0,0
2016-04-25,1,2016,20216059,0,63849575,9362307,9362307,13920374,26051,13920374,143182,8726,-203303,51497,51497,73509,73509,0,,71770,6261,1917029,54898,35178,3694827,3694827,3876550,3876550,0,0.0,0.0,,1716731,5156.0,5156.0,0,,,,7974640,9444,277053,,2240328,1804856,0.0,104013,104013,1341402,2016年03月31日,57553273,6657945,4086027.0,,,12905658,6183442,66543403,66543403,0,6296302,20003356,63837485,65509.0,45404,,41835392.0,,197520,19720,435472,,6722216,,3047454,14099,1341402,,,86618613.0,0,20075210.0,,1555729,1555729,1555729,86618613.0,,4876849,1829395,0,,24515,10416,84,498623,197520,45404,0,71854,22781128,276682.0,0
