date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應收帳款淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1459977,10812972,3903483,,,16713.0,3096144,288649,238730,1665987,206010,927391,41134,192565,570615,326395,238730,1692063,,86459,188181.0,,3651816,,6463835,204290,2513139,2013年03月31日,3484516,,11011881,8432794,3771000,418967,15518690,18407348,381811,0.0,,8847046.0,218532.0,6878571,,2513139,,,19381868.0,1863901,6906.0,,1630.0,507.0,1854858.0,,30393749.0,7640,183,0.0,3670613,203086,2579087,3863178,11986401,0
2013-08-09,2,2013,1227484,11105527,3391643,,,12978.0,4029845,232090,359213,1312326,84842,849007,41717,140407,314327,68763,359213,1673657,,86459,0.0,,3555831,0.0,6457921,203347,2513139,2013年06月30日,2822794,,10624044,8059362,3771000,568849,16000800,18379357,385539,0.0,,9020456.0,106198.0,6992065,,2513139,,,19777031.0,1881826,6906.0,17925.0,1630.0,507.0,1854858.0,,30401075.0,4535,146226,0.0,3635824,203847,2564682,3776231,12021718,0
2013-11-11,3,2013,1215353,11093493,3680935,,,9660.0,2836244,290105,276074,1271287,55934,987659,40487,132150,276621,51668,276074,1514144,,86459,0.0,,3443520,,7204153,203198,2750139,2013年09月30日,3112086,,11652687,9047615,3771000,568849,14720308,18013759,383413,0.0,,8014979.0,102994.0,7066126,,2750139,,,18327457.0,2426926,6906.0,,1630.0,507.0,2417883.0,,29980144.0,137,2719,0.0,3474999,184466,2605072,3607149,11966385,0
2014-03-18,4,2013,1022040,11214954,4015446,,,8932,2886671,298889,421666,1084824,62784,610053,51208,111533,278372,41915,421666,1513015,1513015,86459,0,,3722314,,6933958,201862,2750139,2013年12月31日,3446597,,12249756,9527718,3771000,568849,14972165,18021916,382680,0,,8663229,145089,7128587,,2750139,,,17858960,2426926,,,,,,,30108716,4680,2772,0,2775262,185249,2722038,2886795,12086800,0
2014-05-14,1,2014,1060746,11209507,4320661,,,7336.0,2938593,267806,397378,1171129,110383,780350,41441,108535,491086,265758,397378,1569851,1569851.0,86459,0.0,0.0,3782436,,7276678,200936,2750139,2014年03月31日,3751812,,12576913,9808645,3771000,568849,15914713,18522940,384072,,8628096.0,,172956.0,7834117,,2750139,,,18238964.0,2426926,,,,,,,30815877.0,15482,159,,2215716,183887,2768268,2324251,12292937,0
2014-08-12,2,2014,1031510,11334020,3895015,260.0,260.0,7924.0,4100896,316109,235213,1138939,107429,755769,65721,93322,286585,38081,234953,1516628,1516628.0,86459,,0.0,4007958,,7448710,199792,2750139,2014年06月30日,3211212,,11796525,9220834,3771000,683803,16692270,18291448,381281,,8252102.0,,94954.0,7349132,,2750139,,,18704525.0,2426926,,,,,,,30501050.0,391,2130,,1918933,182783,2575691,2012255,12209602,0
2014-11-12,3,2014,1002397,11358101,4408630,1108.0,1108.0,9842.0,2966063,310600,458781,1178686,176289,641840,51059,103921,269313,35640,457673,1870941,1870941.0,86459,,0.0,4619767,,8483636,198649,2750139,2014年09月30日,3724827,,12664236,9958315,3771000,683803,16177911,18417122,380231,,6600236.0,,152751.0,7252172,3724827.0,2750139,,,17969022.0,2427224,,,,,,,30633258.0,8472,509869,,1687190,182614,2705921,1791111,12216136,0
2015-03-20,4,2014,956197,11421679,4780110,,,6790.0,3148517,358287,762821,1145440,189243,738063,47880,101984,303941,71275,762821,1883142,1883142.0,86459,,0.0,4392381,,8034525,197530,2750139,2014年12月31日,4096307,,13471617,10633835,3771000,683803,16511696,19712871,379122,,8698854.0,,214019.0,7592643,,2750139,,,18550316.0,2427224,,,,,,,32021933.0,18696,0,,1936636,184786,2837782,2038620,12309062,0
2015-05-13,1,2015,857197,11224466,5092876,,,6244.0,2733723,249995,669805,1016861,159664,739971,40906,107640,276023,52281,669805,1691659,1691659.0,0,,0.0,3849542,,7419623,196423,2712429,2015年03月31日,4409073,256374.0,13711802,10867549,0,683803,15465226,19624053,377938,,,9518710.0,,7608726,,2712429,31705147.0,17993345.0,,2392439,,,,,,31705147.0,,0,4095,,2420479,182836,2844253,2528119,12081094,0
2015-08-12,2,2015,829504,10878422,4376966,0.0,,1540.0,3765517,159322,531548,908283,78779,678875,35449,102385,246489,30607,531548,1643323,1643323.0,0,,0.0,3314885,,6449890,195316,2712429,2015年06月30日,3535248,221521.0,12734097,10013382,0,841718,16073659,18731400,380769,,,9798080.0,,7862575,,2712429,30433936.0,17699839.0,,2392439,,,,,,30433936.0,,878,1910,,1523795,180433,2720715,1626180,11702536,0
2015-11-11,3,2015,793466,11000278,4675195,0.0,,0.0,2796093,200139,944349,876102,82636,733708,25820,112854,248323,38190,944349,1747471,1747471.0,0,,0.0,4038307,,7702543,194211,2712429,2015年09月30日,3833477,201067.0,13582039,10724412,0,841718,15010000,18235732,381793,,,7851871.0,,7091913,,2712429,30060337.0,16478298.0,,2392439,,,,,,30060337.0,,6518,0,,1355444,184313,2857627,1468298,11824605,0
