date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,其他什項金融負債,其他權益合計,其他權益－其他,其他負債合計,其他資本公積,其他資產－淨額,其他遞延資產,其他金融負債合計,其他金融資產－淨額,其他雜項資產,其他非營業資產,受限制資產－淨額,國外營運機構財務報表換算之兌換差額,增資準備,央行及同業融資合計,央行及銀行同業存款合計,存出保證金,存放央行及拆借銀行同業合計,存款及匯款合計,庫藏股票合計,待出售資產－淨額,待註銷股本股數,應付公司債合計,應付商業本票,應付款項合計,應付金融債券合計,應收款項－淨額,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債合計,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,營業保證金及交割結算基金,特別盈餘公積,特別股負債合計,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）,當期所得稅負債合計,當期所得稅資產合計,短期借款,累積盈餘,股本合計,與待出售資產直接相關之負債合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積合計,資本公積－庫藏股票交易,資本公積－採權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅負債合計,遞延所得稅資產合計,避險之衍生金融負債－淨額,長期借款,附買回票券及債券負債合計,附賣回票券及債券投資淨額,非控制權益合計,預付費用,預收股款（權益項下）之約當發行股數（單位：股）
2013-04-25,1,2013,3264453,3399197,116989.0,,95541365,2592408,67263,,283220,1954272.0,1330006,327261,5323711,459409,35094,183426,257000,-43094,,,16449811,586004,11263821,334293099,666648,,,0.0,2392307,7935646,15227887,18352391,,22477734,2013年03月31日,2563057,,,,30352322.0,27259477,69612536,469302,2470623,110175,366838,1635380,,4715258.0,-6632,23054.0,69141.0,239000,2563057,22477734,,,554797,,413232671.0,273158012,1981931,27659.0,,,443584993.0,8340857,27507522,195881,2583338,7991,99996,22961337,2612654,3092845,88046,0
2013-08-27,2,2013,3296954,3135667,11246.0,,93850778,2298489,-33736,,241163,,2229566,327489,5099270,444880,34646,143632,247000,-39265,1420188.0,,16629786,1548426,11787747,336352736,665884,,,0.0,2587406,7256280,15329932,19314416,,22477734,2013年06月30日,2122912,,,,31406042.0,28324797,69529545,988680,2446330,110040,24075,1635380,,4982647.0,-5717,26069.0,107843.0,116000,2122912,23897922,,,602131,,411409515.0,270407004,1990828,27816.0,1963012.0,,442815557.0,8903402,29527222,140521,2465957,6888,97375,19185957,1707213,3081245,65333,0
2013-10-30,3,2013,3312737,3666341,114384.0,,92129330,2832848,63488,,577334,1971917.0,1603654,305201,5514378,453551,96866,143335,262000,-46263,,,20684929,855733,14426784,326151578,665884,,,0.0,1657780,7653141,15436182,20893117,,23897922,2013年09月30日,2653586,,,,32069211.0,28961600,69962456,988680,2431641,110104,24075,1635380,,3973523.0,-4633,25722.0,143767.0,476000,2653586,23897922,,,588066,,408565425.0,268041089,1999733,27816.0,,,440634636.0,7179414,28069297,198904,2441043,5582,547750,22914815,2453103,3107611,92415,0
2014-03-27,4,2013,3342534,4089586,201557.0,,94400239,3120470,171552,,363548,1980774.0,1342639,333974,6144103,1365895,33721,102726,282000,-25483,,,20122998,712769,19692796,340511249,649773,,,0.0,2077508,8598196,15542432,22286982,,23897922,2013年12月31日,3076831,,,,32683323.0,29521574,68099875,988680,2413667,110319,24075,1635380,,11499051.0,-4522,60684.0,163088.0,398000,3076831,23897922,,,605434,,420694262.0,263546113,2012287,31513.0,,,453377585.0,6868114,28126082,188708,2395832,5449,548125,20047967,2520667,3161749,49130,0
2014-05-15,1,2014,3326793,4959276,274587.0,,89997329,3714268,243002,,309558,2004023.0,2558805,334445,7395598,9316859,26918,102539,282000,-27080,,0.0,21922313,1924754,15162843,336480834,365445,,0.0,0.0,2592830,7393870,19153158,19686129,,23897922,2014年03月31日,3946521,,,,34052272.0,30805043,36369612,988680,2389715,84117,24075,1635380,,10359267.0,-4505,82393.0,163216.0,540000,3946521,23897922,0.0,,594132,,427156877.0,270999262,2070288,66265.0,,,461209149.0,7859303,31949548,230218,2348714,5427,548500,24094693,2668669,3247229,86032,0
2014-08-21,2,2014,3310831,3616009,278434.0,,89871322,5425341,236942,,333671,2010854.0,2743908,339293,8575433,15739199,17279,102351,330115,-37490,1907817.0,,21637936,2158739,10599357,336104173,365445,,0.0,,2087967,7337192,19265114,21186107,,23897922,2014年06月30日,1806359,,,,34533617.0,31370364,36369612,1785575,2375105,84847,24075,1635380,,5936759.0,-4002,87394.0,164143.0,513500,1806359,25805739,,,591783,,427921623.0,275410205,2077119,66265.0,,,462455240.0,7911370,29793388,224300,2285686,4822,548625,24213055,2709115,3163253,41399,0
2014-11-13,3,2014,3346460,4305982,262713.0,,88275992,6215579,236944,,1292491,2017728.0,2613078,308134,8705971,13655969,116948,87724,331100,-22297,,,20515864,1949090,13576907,337608053,362144,,0.0,,1459392,6862354,22393831,21227825,,25805739,2014年09月30日,2496332,,,,35202065.0,32071156,36411456,1785575,2352151,86044,24075,1635380,,4176153.0,-3472,121506.0,192789.0,482000,2496332,25805739,,,556009,,436760749.0,283870762,2084635,66907.0,,,471962814.0,11108816,33425340,239582,2192990,4183,549000,25716709,2725298,3130909,65138,0
2015-03-26,4,2014,3276820,4775446,260075.0,,83129463,7497443,276037,,783420,2024572.0,5114807,333288,9977688,11334246,140119,123305,282000,19431,,,18002929,4315315,13076641,343590852,348878,,0.0,,1501370,7732001,23414551,23050004,,25805739,2014年12月31日,2965796,,,,35751457.0,32603787,34776053,1785575,2367703,87249,24075,1635380,,4504378.0,-3469,37650.0,114749.0,978875,2965796,25805739,,,607972,,436895922.0,286691683,2095443,70871.0,,,472647379.0,12261551,35842270,53525,1891206,4179,0,18794224,1971409,3147670,115531,0
2015-05-14,1,2015,3131549,5444178,,336640.0,82441030,7826996,303238,,1294629,2040431.0,5730886,305045,11038315,6664436,57043,271621,212000,-34125,,,16776195,4906370,13097373,337004087,32343,,,,2214069,6246960,25374940,25251770,3926.0,25805739,2015年03月31日,3634528,58342.0,90677.0,36813423.0,,33631476,3985641,1785575,2351621,89885,24075,1635380,3653127.0,,-3203,,,997250,3634528,25805739,,459827482.0,611840,423014059.0,,278952532,2110664,70233.0,,459827482.0,,13613596,35674475,77510,1813994,3859,0,9278406,762012,3181947,100922,0
2015-08-21,2,2015,3318888,4247935,,251683.0,79241282,8200478,218413,4006.0,489028,2045850.0,3895801,278757,10561720,2042166,44466,87246,212000,-34512,2085047.0,,11004443,3333283,14918632,331452663,19384,,0.0,,1907342,5893696,25313863,25121478,,25805739,2015年06月30日,1647756,61956.0,108883.0,37561870.0,,34458362,2388595,2576104,2321301,90252,24075,1635380,4256521.0,,-2764,,,308000,1647756,27890786,,441538411.0,645614,403976541.0,,268823025,2120612,74762.0,,441538411.0,,12107448,34506501,80741,1687000,3345,145900,4726644,1084933,3103508,61797,0
