date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,,,809980,822338,49744,,179825,,9757,13812,6248,,760759,38288,46047,722471,,17980,103785,14015,23108,3816,579203,579203,59962,,,317149,848,,657470,8579,17980.0,607688,2013年03月31日,332842,,,2526170,2526170,2000000,299392,995176,2587213,,69155,190104,,541400.0,31106.0,,460000,607688,,,1182240.0,1142294,1142294,,3708410.0,,,30045,169084,88533,,44018,0.0,187064,1121197,41936,0
2013-08-07,2,2013,,,814580,805144,49716,,282576,,12458,46953,5204,,1003660,60348,44138,943312,,17862,98406,12005,23108,3827,596687,596687,59962,,,354957,505,,782267,9758,17862.0,607688,2013年06月30日,299290,,,2542117,2542117,2000000,315750,1169894,2794295,,67246,190104,,321639.0,36652.0,,490000,607688,,,1371794.0,1142294,1142294,,3913911.0,,,67826,184038,89668,,44389,0.0,201900,1119616,38185,0
2013-11-07,3,2013,,,804463,885665,49270,,187136,,14491,21848,10162,,645592,81327,42834,564265,,17749,102850,9912,23108,3819,616635,616635,59962,,,365308,753,,839944,10431,17749.0,607688,2013年09月30日,379811,,,2597533,2597533,2000000,315750,1115791,2821670,,65942,190104,,626774.0,32432.0,,520000,607688,,,1322742.0,1142294,1142294,,3920275.0,,,67803,189202,76080,,43578,0.0,206951,1098605,45541,0
2014-03-13,4,2013,,,816913,963049,46396,,210872,,14064,67546,4147,,678113,72232,40361,605881,394432.0,17908,484303,8374,23108,3767,613485,613485,59962,,,366016,954,,899241,13472,17908.0,607688,2013年12月31日,457195,,,2720615,2720615,2000000,315750,1119199,2579473,,63469,190104,,288433.0,37210.0,3706.0,500000,607688,,,1344842.0,1142294,1142294,,4065457.0,,,68959,207735,74903,,44228,0.0,225643,1485984,33502,0
2014-05-07,1,2014,,,824085,1037597,44557,,183581,,18279,53213,4839,,494553,58659,37889,435894,392080.0,17787,474713,6756,23108,3570,621310,621310,59962,0.0,,301027,905,,867127,16054,17787.0,607688,2014年03月31日,531743,,,2780830,2780830,2000000,315750,1013967,2547307,,60997,190104,471248.0,,43615.0,3684.0,480000,607688,,,1243035.0,1142294,1142294,,4023865.0,,,55052,211281,72206,,43663,0.0,229068,1476558,28644,0
2014-08-08,2,2014,,24483.0,1107729,927291,40627,,579973,343830.0,23997,8508,31390,6907.0,788941,59056,35801,729885,384968.0,17661,461859,5270,23108,3469,901447,901447,59962,0.0,,489327,118977,236143.0,1154060,10141,17661.0,607688,2014年06月30日,393805,,,2625819,2625819,2000000,343382,2154668,3292029,,58909,190104,349889.0,,22164.0,1860.0,912837,607688,,,2405988.0,1142294,1142294,,5031807.0,,,61694,226496,70654,7163.0,42575,0.0,251320,1739778,25577,0
2014-11-07,3,2014,,23859.0,1123756,1003117,41665,,256962,256962.0,34230,76842,29556,5697.0,692078,50321,33344,641757,394800.0,17522,460006,5596,23108,3511,938578,938578,59962,0.0,,496731,92687,,1273460,11301,17522.0,607688,2014年09月30日,469631,,,2769979,2769979,2000000,343382,1586728,3429994,,56452,190104,400778.0,,15640.0,2676.0,693484,607688,,,2412802.0,1142294,1142294,,5182781.0,1668.0,,76893,251250,70908,557302.0,43359,0.0,826074,1752787,12740,0
2015-03-12,4,2014,515638.0,515638.0,1125356,1064152,36310,,251596,,35120,169654,521898,6260.0,814153,58718,30921,755435,408080.0,23067,469013,4672,23108,3480,993468,993468,59962,0.0,,524377,75247,,1222966,13322,23067.0,607688,2014年12月31日,530666,,,2923826,2923826,2000000,343382,1930290,3524033,,54029,190104,377172.0,,17474.0,0.0,537544,607688,,,2357273.0,1142294,1142294,,5281099.0,2154.0,,67832,277452,72358,126464.0,44504,0.0,426983,1757066,8277,0
2015-05-11,1,2015,,73895.0,1099102,1132714,35869,56624.0,211437,,42535,123738,82091,8196.0,779807,76353,28500,703454,403120.0,22995,477055,10971,23108,3472,936905,936905,59962,0.0,806425.0,437292,2105,,1055795,82695,,607688,2015年03月31日,599228,21582.0,48.0,3333902,3333902,2000000,343382,755443,3609648,22995.0,51608,190104,,691229.0,,,0,664312,5347515.0,2013613.0,,1473100,1473100,5347515.0,,936.0,1324.0,20634,272704,74233,154722.0,43654,0.0,1258170,1737867,15838,0
2015-08-10,2,2015,,66563.0,1119238,902060,35456,21410.0,552310,218395.0,61548,86025,77302,10739.0,887193,62656,26880,824537,398480.0,22916,479461,10647,23108,5070,890818,890818,59962,0.0,700184.0,525679,2668,333915.0,1110758,104272,,664312,2015年06月30日,334493,23016.0,47.0,3175364,3175364,2000000,377463,1181703,3711542,22916.0,49988,190104,,622116.0,,,0,685722,5468800.0,2293436.0,,1561519,1561519,5468800.0,,728.0,2136.0,34790,234208,73115,152289.0,42845,0.0,1111733,1757258,22419,0
