date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0.0,0.0,407957,449252,62787,11972,20018,83497,35019,16594,11996,4598,30702,56996,6138,20018,0.0,368,374887,374887,21738,,309483,400534,3214,30702.0,,1121164,2013年03月31日,166526,,,1898034,1898034,1252000,282726,478949,1929195,,0,,1077445.0,20322.0,13589.0,0.0,1121164,,2860,,510041.0,329338,,2408075.0,0,3039.0,390,13927,0,31092,478880,27921,50490,48478,0
2013-05-14,1,2014,,,393941,306362,108080,15932,23033,101417,7613,5378,4776,602,28469,37395,3967,23033,,406,345781,345781,21738,0.0,340794,433546,6061,28469.0,,1121164,2014年03月31日,-39278,,,1758159,1758159,1252000,294155,579770,1918144,,51485,993353.0,,20321.0,6577.0,,1121164,,2351,,609139.0,329338,,2367298.0,6807,0.0,900,17818,0,29369,449154,111516,33022,93804,0
2013-08-05,2,2013,0.0,0.0,392693,349941,194458,14355,10929,92063,38628,66104,64756,1348,30996,61269,9071,10929,0.0,342,328475,328475,21738,,369275,509081,3225,30996.0,,1121164,2013年06月30日,4301,,,1789634,1789634,1252000,294155,671382,2024513,,51485,,1071363.0,14205.0,10487.0,,1121164,,1381,,702768.0,329338,,2492402.0,0,3227.0,390,13927,0,31386,467889,18196,51856,53435,0
2013-11-06,3,2013,0,0,369053,341969,110285,6103,-4954,80841,39655,65014,64318,696,31289,50366,8535,-4954,0,339,327115,327115,21738,,350302,501739,3495,31289,,1121164,2013年09月30日,-3671,,,1765779,1765779,1252000,294155,560362,1924474,,51485,,979602,16706,14070,,1121164,,1871,,592041,329338,,2357820,357,113,390,13927,0,31679,433346,27223,41492,41186,0
2014-03-20,4,2013,0.0,0.0,408459,337354,118271,14933,15746,115210,22147,4832,3852,980,28422,33809,4560,15746,0.0,406,344006,344006,21738,,409673,500305,3575,28422.0,,1121164,2013年12月31日,-8286,,,1781864,1781864,1252000,294155,665818,2016918,,51485,,1034564.0,20399.0,16724.0,,1121164,,2265,,695140.0,329338,,2477004.0,0,3774.0,900,17818,0,29322,460086,94205,28843,93063,0
2014-08-12,2,2014,0,0,377062,307711,114454,21241,-3239,116056,17534,3848,3002,846,28515,54465,2785,-3239,,405,292390,292390,21738,0,355647,427141,4676,28515,,1121164,2014年06月30日,-5087,,,1733236,1733236,1252000,294155,615920,1929226,,18643,1087420,,20343,6575,,1121164,,1824,,645335,329338,,2378571,7596,0,900,17818,0,29415,449345,85935,51275,98522,0
2014-11-06,3,2014,,,365467,339727,139633,19225,27775,116821,27236,7273,6683,590,28560,70137,2503,27775,,406,314295,314295,15387,0.0,482563,625378,11622,28560.0,,1121164,2014年09月30日,26929,,,1804597,1804597,892000,294155,761357,2141992,,18643,1075104.0,,18260.0,4071.0,,1121164,,3102,,790817.0,331318,,2595414.0,978,1031.0,900,17818,0,29460,453422,83993,67228,89585,0
2015-03-06,4,2014,,,395412,379727,157769,22546,77471,111319,26378,13543,12845,698,27654,34553,2106,77471,,393,368041,368041,15387,0.0,549151,809239,6714,27654.0,,1121164,2014年12月31日,66929,,,1894293,1894293,892000,294155,852729,2336530,,18643,1002575.0,,24317.0,5838.0,,1121164,,6452,,881454.0,331318,,2775747.0,3721,0.0,1071,9252,0,28725,439217,108034,32054,84941,0
2015-05-08,1,2015,,,377610,347777,124140,26173,63000,146541,21371,6956,6394,562,27729,55190,1965,63000,,393,360739,360739,15387,0.0,343704,460037,8280,,,1121164,2015年03月31日,34979,23008.0,5850.0,1847872,1847872,892000,294155,641805,2076425,27729.0,18643,,1098446.0,,,,1121164,2518477.0,4378,670605.0,,331318,2518477.0,,34,356.0,1071,9252,0,28800,442052,109588,52832,125170,0
2015-08-11,2,2015,,,356106,286655,115434,13420,42847,182074,61439,6888,6283,605,28171,55563,1778,42847,369.0,453,316595,316595,15387,0.0,330946,458109,8066,,,1121164,2015年06月30日,-30278,20162.0,1913.0,1766597,1766597,892000,298290,650125,2025043,27802.0,18643,,1131006.0,,,,1121164,2445964.0,1509,679367.0,,331318,2445964.0,,0,423.0,1071,9252,0,29242,420921,88623,53332,120635,0
2015-11-06,3,2015,,,370419,327496,146638,7752,111040,152740,24256,75196,74551,645,28244,42888,4211,111040,369.0,455,374482,374482,60741,0.0,449081,703938,6288,,,1121164,2015年09月30日,10563,20985.0,4032.0,1830277,1830277,3644000,298290,772520,2209553,27875.0,18643,,1010293.0,,,,1121164,2632112.0,1754,801835.0,,331318,2632112.0,,1322,0.0,1071,9252,0,29315,422559,27572,38222,128484,0
2016-03-16,4,2015,,,345629,355989,137225,17652,76134,158591,78464,11562,10964,598,28093,36554,3118,76134,369.0,675,322273,322273,15387,0.0,408269,712509,15319,,,1091164,2015年12月31日,39056,22721.0,3739.0,1823864,1823864,892000,298290,727788,2189102,27724.0,18643,,1012941.0,,,,1091164,2580059.0,974,756195.0,,315964,2580059.0,,8,,314,8774,0,28407,390957,93107,32761,80127,0
