date,season,year,不動產、廠房及設備合計,人壽保險現金解約價值,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,出租資產－其他淨額,商譽,國外營運機構財務報表換算之兌換差額合計,土地淨額,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,模具設備淨額,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良淨額,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,728399,0.0,597733,,120345,,4804,-20737,39322,,24214,22614.0,122953,1101,1600.0,0.0,6082,,26850,758,20262.0,3654,-20737.0,254863,11901,221825,0.0,,181315,9300,,234715,,19586,6082.0,363864,,833855,2013年03月31日,411420,3809.0,,13690.0,48037,1787347,1533899,0,162508,575018,1033265,,,568064,,169033.0,23805,,348924.0,46480.0,178256,5366.0,833855,,,581100.0,123048,,2368447.0,14995.0,0.0,10164,2412.0,,11869,14191,441457,253448,6082,1335182,,,0
2013-08-08,2,2013,726076,0.0,593148,,182336,140643.0,8509,-10854,28934,28934.0,27707,26107.0,116882,6112,1600.0,0.0,5887,,26922,758,21033.0,444145,-10854.0,254863,11769,240285,0.0,,187118,11655,41693.0,260531,,20933,5887.0,360394,,833855,2013年06月30日,387213,,,11367.0,48225,1798651,1539197,0,182130,619159,1095523,,,564063,,199164.0,23805,,328369.0,58360.0,150000,4943.0,833855,,,625046.0,123048,,2423697.0,16674.0,756.0,10025,2465.0,,11113,14395,3036,259454,5887,1328174,,,0
2013-11-08,3,2013,723881,0,582814,,127867,127867,12929,-1026,34725,34725,25889,24289,114222,1142,1600,0,5702,,26708,758,22060,455581,-1026,254863,11778,247591,0,,133373,5836,0,246664,,20163,5702,354361,,833855,2013年09月30日,376879,9952,,10967,46426,1751649,1538691,0,182130,606240,1029489,,,572223,,185239,23805,,291014,45890,257000,4520,833855,,,611942,123048,,2363591,17002,1549,0,2588,,11290,14172,2420,212958,5702,1334102,,,0
2014-03-25,4,2013,731127,0.0,630376,,134264,134264.0,1601,18654,21560,21560.0,25885,24285.0,110085,1142,1600.0,0.0,143,,26876,758,23104.0,464760,18654.0,254863,11802,250165,0.0,,130955,5690,0.0,240430,,18103,143.0,362754,,833855,2013年12月31日,424441,5332.0,,12221.0,45829,1829805,1605933,0,182130,599379,1078245,,,577954,,207998.0,23805,,324055.0,35114.0,269038,4097.0,833855,,,599522.0,123048,,2429327.0,19376.0,2758.0,10008,2409.0,,15125,14316,3109,223872,143,1351082,,,0
2014-05-06,1,2014,725366,0,687110,0,178832,,26891,34389,46854,,33109,31909,105170,70539,1200,0,0,,29342,3246,,2619,34389,254863,11747,306239,0,0,184469,4376,,301880,,39712,0,355895,,833855,2014年03月31日,481175,,,,44069,1912302,1678402,0,182130,739553,1301613,,,580933,,230774,23805,352990,,50970,271915,,833855,,,739553,123048,,2651855,,2137,10018,,,14601,14266,473144,233900,0,1350242,,83,0
2014-08-01,2,2014,714298,,681285,0.0,265540,,19827,27042,22836,,28265,27065.0,97344,64686,1200.0,,0,,26515,758,,3962,27042.0,254863,11539,313550,0.0,0.0,163540,7592,,293065,,20603,0.0,349412,,833855,2014年06月30日,476956,,,,45337,1890665,1665503,0,195477,758656,1316636,,,575281,,232521.0,8852,398022.0,,60148.0,239000,,833855,,,758656.0,123321,,2649321.0,,0.0,10783,,,16591,13909,473975,225162,0,1332685,,309.0,0
2014-11-06,3,2014,712385,,728927,0.0,184727,,13869,20531,11900,,53495,52295.0,86848,64699,1200.0,,0,,26993,758,,465996,20531.0,254863,11511,321384,0.0,0.0,150565,2113,,271446,,20737,0.0,349644,,833855,2014年09月30日,524598,,,,43179,1929473,1706634,0,195477,637837,1253735,,,558078,,203298.0,8852,367489.0,,53999.0,234533,,833855,,,637837.0,123321,,2567310.0,,0.0,2017,,,16119,14184,5234,222839,0,1313575,,540.0,0
2015-03-24,4,2014,708254,,748247,0.0,176803,176803.0,15262,30829,12995,12995.0,3406,3406.0,78623,64753,,,2344,480.0,26779,758,,464803,30829.0,254863,11467,270504,0.0,0.0,125952,1427,,260198,,17834,1864.0,348800,,833855,2014年12月31日,543918,,,,39838,1966555,1736252,0,195477,549757,1211663,,,550590,,219428.0,8852,354558.0,,45047.0,187533,,833855,,,552103.0,123321,,2518658.0,,0.0,40013,,2.0,21372,14554,7164,230303,2346,1306995,30460.0,,0
2015-04-27,1,2015,691101,,805717,0,142418,142418,19271,-8465,29735,29735,4825,4825,66365,61426,,,2255,598,26205,758,,446798,-8465,254863,11134,288431,0,0,158789,2217,,287016,,22086,,340010,,833855,2015年03月31日,601388,,45184,,34802,1976005,1754428,0,195477,532425,1256276,1657,0,519986,244114,,8852,,363874,,154082,,833855,2510689,534684,,123321,2510689,,,0,0,,4,17121,14313,6823,221577,2259,1254413,26659,,0
2015-08-14,2,2015,683284,,771095,0.0,245255,,21336,7865,17912,,4093,,61836,58931,,,2028,577.0,26085,758,,459964,7865.0,254863,11309,266026,,0.0,139206,2533,,275705,,22972,,334813,,833855,2015年06月30日,548925,,51222.0,,34677,1969414,1736136,0,213318,666130,1384325,1451.0,0.0,528189,233738.0,,8852,,464347.0,,210002,,833855,2637583.0,668169.0,,123321,2637583.0,,,,80062,,11.0,15700,14018,6389,233278,2039,1253258,16046.0,,0
