date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,代理店往來（海陸運輸業適用）,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他金融資產－非流動合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,基金合計,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,暫收款,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形探勘及評估資產淨額,特別股負債－流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延兌換利益,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據,長期應付票據及款項合計,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期遞延收入,長期預付租金,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,41552,848413,,,122246,190065,,8927,89850,89850,28198,60151,18599,6032,,,,,,20876,,35178,20784,28198,,4664,501650,,,,68263,0,122842,,,564485,,27522,20876,698942,,2013年03月31日,,174818,,1413274,1413274,0,15247,886234,1416648,,,,,,237993,18106,527022,698942,,,1036337,496069,,2449611,,14874,,,,18199,,129227,0,0,,,,2719,150103,1032963,,64092,7011,,,0
2013-08-09,2,2013,,41593,844674,,,122246,133748,,7427,120654,120654.0,31412,134120,92527,9107,,,,,,20104,,69604,22279,31412.0,,4405,573584,,,,76002,0.0,177166,,,455653,,34528,20104.0,733889,,2013年06月30日,,104608,,1395118,1395118,0,29140,915136,1378776,,,,,,213537.0,15246.0,391948,733889,,,1045723.0,496069,,2440841.0,,22795,,,,18114,,110483,0.0,0.0,,,,3102,130587,1062065,,69572,39818,,,0
2013-11-08,3,2013,,41634,851629,,,122246,171332,,7628,116384,116384.0,28522,55632,13998,6430,,,,,,19227,,64502,23233,28522.0,,4720,674166,,,83571.0,74770,29991.0,171511,,,513987,,28045,19227.0,773889,,2013年09月30日,,142192,,1641647,1641647,0,29140,901556,1692108,,,,,,381655.0,10438.0,442830,773889,,,1114783.0,667904,,2756430.0,2040.0,22703,,,,18317,,108389,0.0,0.0,,,,3035,213227,1064322,,65122,33514,,,0
2014-03-21,4,2013,,25015,839097,,,122246,195297,,8918,129506,129506.0,32642,49232,24217,7892,,,,,,17947,,94085,23336,32642.0,,4913,664840,,,84421.0,49651,0.0,157753,,,383588,,25823,17947.0,773889,,2013年12月31日,,166157,,1669732,1669732,0,29140,664747,1465926,,,,,,333674.0,11427.0,267178,773889,,,875770.0,667904,,2545502.0,2370.0,11856,,,0.0,15230,,106285,0.0,0.0,,,,3070,211023,1079576,,38253,62766,,,0
2014-04-25,1,2014,,41794,821507,,,122246,244592,,8648,84880,84880.0,32414,68044,26250,9208,,,,,,17175,,148060,22536,32414.0,,5849,539358,,,85271.0,34873,,109030,,,488480,,25336,17175.0,773889,,2014年03月31日,,215452,,1718799,1718799,0,29140,503716,1385518,,,,,251750.0,,17560.0,189329,773889,,,780622.0,667904,,2499421.0,1030.0,26673,,,2674.0,13442,,170756,,,,,,3043,276906,1113903,,44713,116632,,,0
2014-08-06,2,2014,,41833,888907,,,122246,188964,,8850,113178,,28449,159580,117747,1639,,,,,,16423,,124034,26708,,,5369,542046,38694.0,0.0,86121.0,60638,,160380,,,502321,,20404,,773889,,2014年06月30日,,144279,,1697900,1697900,0,44685,739658,1555571,,,,,435285.0,,16565.0,229317,812583,,,1014587.0,667904,,2712487.0,840.0,16476,,,2922.0,12879,,168623,,,,,,2964,274929,1156916,,37400,88993,,,0
2014-11-07,3,2014,,38116,882747,0.0,0.0,122246,233002,,6285,118960,,34005,60057,21941,2164,,0.0,,0.0,0.0,15668,,130270,26424,,0.0,4344,569479,,0.0,86970.0,59905,39999.0,157879,,0.0,674823,,21859,,812583,0.0,2014年09月30日,0.0,188317,,1747494,1747494,0,44685,878754,1694974,,,0.0,0.0,318594.0,,8432.0,433522,812583,,,1104846.0,667904,,2852340.0,1220.0,55347,,0.0,4076.0,15818,,118158,,,0.0,0.0,,3015,226092,1157366,0.0,52708,96487,0.0,0.0,0
2015-03-23,4,2014,,38138,1004451,,,122246,257432,,6329,153035,,41219,61258,23120,3759,,,,,,20794,,34580,25139,41219.0,,2710,589668,,0.0,87820.0,39146,,170548,,,431093,,27599,20794.0,812583,,2014年12月31日,,212747,,1779138,1779138,0,44685,851320,1680105,,,,,542095.0,,14597.0,412736,812583,,,1084281.0,667904,,2863419.0,2260.0,41129,,,5142.0,15708,,116945,,,,,,3086,232961,1183314,,44762,3645,,,0
2015-05-08,1,2015,38161.0,38161,987496,,,122246,292823,,4365,90880,,38990,56494,18333,5904,,,,0.0,0.0,19985,,39087,26754,,0.0,2782,546148,,0.0,88670.0,47635,,111941,,,478468,,15862,,812583,,2015年03月31日,0.0,248138,21016.0,1812300,1812300,0,44685,734049,1689323,,0.0,0.0,,,556328.0,,406083,812583,2859860.0,1047560.0,,667904,2859860.0,,1110.0,41195,,,4679.0,17343,199067.0,199067,,,0.0,0.0,,3032,313511,1170537,0.0,45418,6519,,,0
2015-08-07,2,2015,,38192,983127,,,122246,128996,,3937,93579,93579.0,35884,154102,115910,14290,,,,,,19492,100.0,107628,27029,35884.0,,2284,591178,81258.0,0.0,89520.0,57121,50000.0,120723,,,639665,,21488,,812583,,2015年06月30日,,64424,9098.0,1726625,1726625,0,64572,1006007,1810450,19392.0,,,,,473038.0,,521384,893841,3047826.0,1321201.0,,667904,3047826.0,,2520.0,33265,,,5812.0,20438,,197850,,,,,,2965,315194,1237376,,37526,75350,,,0
2015-11-09,3,2015,,35403,979014,,,122246,156959,,3014,106052,106052.0,45604,58153,22750,16745,,,,,,18713,100.0,105727,26048,45604.0,,2200,676417,,,56189.0,43536,50000.0,121271,,,937549,,17546,,893841,,2015年09月30日,,92387,228.0,1759537,1759537,0,64572,1145459,1944320,18613.0,,,,,214216.0,,766219,893841,3181542.0,1422005.0,,663133,3181542.0,,2130.0,44818,,,9937.0,27221,,189577,,,,,,3060,276546,1237222,,37029,74419,,,0
2016-03-25,4,2015,,37487,1059413,,,122246,257828,,3184,161235,161235.0,36914,56575,19088,11230,,,,,,31999,,47345,23872,36914.0,,2271,625059,,,56711.0,37502,50000.0,106248,13111.0,,459795,88.0,20053,,893841,,2015年12月31日,,193256,11681.0,1851716,1851716,0,64572,1006609,2086035,25095.0,,,,,896060.0,,570257,893841,3335397.0,1483681.0,,663133,3335397.0,,869.0,42280,,,,17174,,387493,,,,,6904.0,2929,477072,1249362,,31470,18273,,,0
2016-05-06,1,2016,,39570,1092724,,,122246,332211,,3275,110175,110175.0,35778,95927,56357,14134,,,,,,13964,,62846,22231,35778.0,,12093,689090,,,57232.0,92706,20000.0,129531,0.0,,406705,154.0,23180,,893841,,2016年03月31日,,267639,20946.0,1924963,1924963,0,64572,827251,2003736,13964.0,,,,,821433.0,,357966,893841,3300796.0,1375833.0,,663133,3300796.0,,31.0,7025,,,8605.0,15969,,468750,,,,,,2890,548582,1297060,,42015,25632,,,0
2016-08-05,2,2016,,41653,1149482,,,122246,298626,,3428,265607,265607.0,29580,94606,52953,17201,,,,,,16795,113.0,73938,24436,29580.0,,11707,692155,0.0,,57754.0,91702,0.0,154491,0.0,,745399,5.0,14915,,893841,,2016年06月30日,,215517,26505.0,1885180,1885180,0,83109,1148238,2218672,16682.0,,,,,700053.0,,515327,893841,3582587.0,1697407.0,,663133,3582587.0,,0.0,6946,62.0,,7953.0,14759,,466667,,,,,,2792,549169,1363915,,41998,35003,,,0
2016-11-04,3,2016,,92362,1170593,,,122246,361556,494.0,3678,146091,146091.0,22611,145580,53218,63718,16788.0,,46930.0,,,9142,113.0,74235,24632,22117.0,,10942,699592,,,,100429,20000.0,122952,79.0,,596650,0.0,14013,,893841,,2016年09月30日,,278447,25250.0,1941141,1941141,0,83109,1426267,2452281,9029.0,,,,,979463.0,,865886,893841,3841818.0,1900677.0,,663133,3841818.0,,0.0,41118,31.0,,9779.0,18754,,455489,,,,,,2682,474410,1389537,,57727,35979,,,0
