date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,催收款項,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據及款項合計,長期應收票據,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,,,199701,193889,168870,933962,1577,95667,,5985,12357,359,2634.0,168736,18275,48,441,3104,97372,0.0,95808.0,-134,,1705,56615,56615,,11584,,,10418,2891,,314748,0.0,26741,8450.0,8450.0,67041,,2827.0,48349,170195,561688,2013年03月31日,19319,,,941696,940403,2131610,77153,763205,1239746,,97417,,25304.0,1662.0,0.0,396869,561688,,,820589.0,27674,,1762285.0,95808,54280,5345,,277,277,0.0,95667,1293,57384,522539,0,22391,,18227,0
2013-08-06,2,2013,,,198761,179313,162815,941023,1577,110149,,5652,7589,2038,2634.0,162696,6338,65,844,2979,111824,0.0,,-119,,1235,51315,51315,,11584,,,15112,2939,,364144,0.0,49676,,0.0,54091,819.0,2700.0,48303,164340,561688,2013年06月30日,3302,,,920989,919787,2131610,78594,787690,1235896,,97417,,26526.0,0.0,,385916,561688,,,844949.0,27674,,1765938.0,98554,54280,5237,,279,279,0.0,110149,1202,57259,530042,0,8376,440.0,6273,0
2013-11-06,3,2013,,,197650,189868,180596,992130,1577,116624,,6517,6879,9594,2634.0,180430,6196,34,1073,2848,118181,0.0,,-166,,1117,35816,35816,,11584,,,14623,3571,,379951,390.0,44572,,0.0,57482,,2573.0,48268,165295,561688,2013年09月30日,13857,,,949164,948076,2131610,78594,809372,1279541,,97417,,18771.0,0.0,,391245,561688,,,866500.0,27674,,1815664.0,102642,54280,5152,,275,275,0.0,116624,1088,57128,536123,0,14827,440.0,6162,0
2014-03-24,4,2013,,,196710,183023,104533,929760,1577,114287,,3986,4212,430,5109.0,104387,6995,31,5211,2699,119804,0.0,,-146,,1297,34142,34142,,11584,,,11698,2371,424119.0,424119,2742.0,37388,0.0,0.0,49802,,2422.0,48464,147546,561688,2013年12月31日,7012,,,866187,865188,2131610,78594,768690,1172537,,97417,,10342.0,0.0,,312567,561688,,,825669.0,27674,,1691856.0,93491,54280,5218,,277,277,0.0,114287,999,56979,519319,3780,6862,440.0,6964,0
2014-04-30,1,2014,,,195917,210835,223868,1058243,1577,125258,,9506,3127,710,9421.0,223774,7452,36,6760,2585,179095,,,-94,,897,38913,38913,,11584,,0.0,13681,1038,,357035,0.0,40718,,0.0,44799,,2302.0,48390,192085,561688,2014年03月31日,34824,,,1013307,1012387,2131610,78594,876937,1324790,,97417,9453.0,,0.0,,485098,561688,,,933802.0,27674,,1947109.0,113392,54280,5255,,283,283,,125258,920,56865,622319,52500,2381,440.0,7416,0
2014-08-05,2,2014,4967.0,4967.0,194887,246703,369007,1239993,1577,102518,,7369,4535,16458,9421.0,368866,11858,37,6400,2459,131612,,,-141,,1654,65513,65513,,11584,,0.0,34101,2505,,306695,644.0,60891,,,19258,0.0,2182.0,48317,237966,561688,2014年06月30日,70692,,,1194151,1193347,2131610,78594,926373,1563968,,97417,11270.0,,,,558666,561688,,,989376.0,27674,,2183527.0,132364,54328,5200,6216.0,277,277,,102518,804,63003,619559,27000,2400,440.0,6854,0
2014-11-07,3,2014,5005.0,5005.0,194077,319808,690259,1584018,1577,50166,,4723,5579,376,9421.0,690156,12278,33,6249,2345,90146,,,-103,,2540,62500,62500,,9953,,0.0,13966,2834,,292156,182.0,46613,,,27669,,2062.0,48243,346983,561688,2014年09月30日,143797,,,1603933,1603214,1831610,78594,945292,1924455,,97417,12359.0,,954.0,,612620,561688,,,1006867.0,41515,,2610800.0,172898,54280,5319,4950.0,283,283,,50166,719,61575,686345,37000,2352,440.0,7240,0
2015-03-19,4,2014,5055.0,5055.0,188356,230415,444192,1517074,7577,40013,,16814,3146,4101,0.0,444135,8845,47,6249,7184,104832,,,-57,,4604,70922,70922,,9953,,0.0,7877,2329,,247752,563.0,22935,,,23626,,6890.0,48170,271065,561688,2014年12月31日,54404,,,1267942,1267800,1831610,78594,1111472,1817638,,97417,9455.0,,299.0,,823847,561688,,,1176185.0,41515,,2444127.0,160773,54280,6489,3249.0,294,294,,40013,142,64713,626489,59775,2503,440.0,3743,0
2015-05-11,1,2015,5080.0,5080.0,187865,230223,466452,1552557,7577,50897,0.0,16243,11140,3722,0.0,466390,8622,37,6376,7172,114025,,,-62,,2913,69236,69236,8718.0,9953,,,10918,1386,,516675,62.0,20819,,,14201,,,48116,275789,561688,2015年03月31日,54212,299.0,,1290004,1289863,1831610,78594,1146682,1860811,6881.0,97417,,8718.0,,,581337,561688,2500529.0,1210525.0,,41515,2500529.0,,183470,54280,6346,2391.0,291,291,,50897,141,63843,639718,59775,1712,440.0,3505,0
2015-08-10,2,2015,5118.0,5118.0,187443,153133,398796,1577991,7577,47177,0.0,15960,34188,3657,25534.0,398728,8290,57,5936,7221,109659,,,-68,60.0,2267,67200,67200,,9953,44935.0,,12107,2467,,522674,469.0,26479,,,13019,,,48843,225576,561688,2015年06月30日,-28112,56.0,,1190185,1190046,1831610,83828,1242611,1909941,6874.0,97417,,10479.0,,,646400,606623,2495394.0,1305209.0,,41515,2495394.0,,178115,54280,6355,1097.0,287,287,,47177,139,62598,585453,59775,1531,440.0,3115,0
2015-11-07,3,2015,4286.0,4286.0,187053,209064,461262,1658698,7577,47484,,17048,21752,8430,38726.0,461222,6927,45,5226,7246,110133,,,-40,60.0,2434,63192,63192,,9953,44935.0,,10633,2143,,567535,0.0,28302,,,11434,,,48769,261614,561688,2015年09月30日,27819,56.0,,1308619,1308471,1831610,83828,1239041,1988394,6881.0,97417,,9470.0,,,612947,606623,2609852.0,1301233.0,,41515,2609852.0,,163222,54282,6312,664.0,305,305,,47484,148,62192,621458,59775,1694,440.0,2596,0
2016-03-21,4,2015,3426.0,3426.0,187154,234420,560679,1778422,8426,48803,,24796,12341,4086,,560639,6012,57,4836,5259,111019,,,-40,64.0,2441,60097,60097,,9953,,,10260,2178,,290269,0.0,31795,,,21496,,,50056,323804,606623,2015年12月31日,53175,15.0,24.0,1433392,1433244,1978138,83828,984719,2066218,4890.0,97417,,13940.0,,,638848,606623,2752651.0,1319259.0,,41515,2752651.0,,149556,54281,5974,275000.0,305,305,,48803,148,334540,686433,59775,1966,0.0,2529,0
2016-05-03,1,2016,2407.0,2407.0,186808,317837,811159,2064265,9017,52600,,25212,12114,4017,,811110,5140,36,4724,5228,131973,,,-49,64.0,2405,58639,58639,,9953,,,10584,3118,,290234,0.0,25139,,,14892,,,49982,426702,606623,2016年03月31日,136592,1128.0,0.0,1767277,1767132,1978138,83828,1020624,2311944,4865.0,97417,,8857.0,,,673094,606623,3122409.0,1355132.0,,41515,3122409.0,,129447,54280,5983,275000.0,299,299,,52600,145,334508,810465,76968,1964,0.0,2697,0
2016-08-06,2,2016,0.0,0.0,186463,373608,1214200,2409923,9324,42243,,30376,10197,467,0.0,1214146,5678,60,4006,4923,161796,,,-54,64.0,2393,58814,58814,,9953,0.0,,9557,2185,,290216,31.0,24999,,,5253,,,50493,578996,606623,2016年06月30日,187669,7333.0,0.0,2226370,2225939,1978138,88522,1072396,2640043,4859.0,97417,,7216.0,,,716823,606623,3632969.0,1406599.0,,41515,3632969.0,,128028,54280,5854,275000.0,0,0,,42243,431,334203,992926,117160,1337,0.0,5618,0
2016-11-10,3,2016,0.0,0.0,186423,500863,1787011,2989614,9379,0,,36422,15027,726,2522.0,1786935,3175,50,24,4926,1007,,,-76,64.0,1007,52287,52287,,9953,0.0,,9282,1503,,301806,,18490,,,7340,,,50420,883862,606623,2016年09月30日,314924,7933.0,0.0,2926401,2925983,1978138,88522,1045062,3193731,4862.0,97417,,9811.0,,,669914,606623,4330669.0,1404268.0,,41515,4330669.0,,110683,54280,5847,300000.0,0,0,,0,418,359206,1136938,0,2234,0.0,3125,0
