date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,指定按公允價值衡量之金融負債信用風險變動影響數總額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,短期借款合計,確定福利計畫再衡量數總額,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,重估增值合計,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,,1925938,10176348,1050.0,1138276,3369,242550,,,55603.0,34923,,,2938897,1012959.0,427196,298295,,128901,212861,,452982,307425,,31554,2195095,,,,,,,155910,2929818,1194,,3607741,538758,,264781,5010158,2013年03月31日,1013817,11453936,11410047,0,124258,6384717,11212692,20971,201.0,,,,4443108.0,,327696,,5568390,,,103435.0,,11138694.0,4668458,,360201.0,39987.0,,,4251936.0,4251936.0,16334.0,,22592630.0,,28074,794,221256,,4385206,145557,43889,4753977,11379938,558232,21453464
2013-08-02,2,2013,,,2176189,9792458,1050.0,1219494,-37056,202125,,,40622.0,5733,,,3637351,1461162.0,282302,158598,,123704,203728,,618031,472068,,42789,2240412,,,,,,,137825,3249585,4258,,4378810,370850,,261453,5224693,2013年06月30日,1031350,11529216,11490370,0,153353,7368639,11979168,20354,34791.0,,,,4706794.0,,328813,,5246421,,,103435.0,,11559339.0,5018722,,360201.0,47603.0,,,4596556.0,4596556.0,14362.0,,23088555.0,,4575,0,213916,,3849147,145963,38846,4190700,11109387,21728,885544
2013-11-04,3,2013,137929.0,2945722.0,3083651,9374916,,1402090,-43794,195387,,,,-248131,-202583.0,-202583.0,4357580,1273929.0,346972,234001,,112971,182156,182156.0,599667,457022,,-1754,2165085,2165085.0,,,,,,0,3187213,6689,,4464558,895211,,248275,5321549,2013年09月30日,1213946,11723343,11660242,0,153353,8172690,11933989,19860,34791.0,,,,4044552.0,,621163,,5322460,,,,,10870707.0,5183823,,,,,,,,,,22594050.0,,45,17611,221956,,2515861,142645,63101,2698017,10660061,911,46143
2014-03-10,4,2013,134147.0,2420173.0,2554320,9094136,0.0,1472291,-46489,192692,,0.0,,-188109,-169858.0,,3978229,,514851,268663,1423909.0,246188,136829,,532668,435946,,28238,2077582,,,,,,,0,2961449,7091,,3953973,727045,,244195,5322010,2013年12月31日,1284147,11851988,11803831,0,153353,8037899,12227396,19586,34791.0,,,,4953611.0,,1067524,,5327302,,,,,10698248.0,5192347,5192347.0,,,,,,,,,22550236.0,,23606,334,239563,,2523520,96722,48157,2660349,10322840,5292,217806
2014-05-12,1,2014,30861.0,1691594.0,1722455,8933161,,1499024,-57269,181912,,,,-106969,-134718.0,,3102280,,446413,318659,1379825.0,127754,125739,,462678,364975,,85018,2389471,,3953.0,,,,0.0,1787848,2998739,7687,,3907713,555276,,238048,5324188,2014年03月31日,1310880,12266054,12223557,155000,153353,7012120,12037997,19311,34791.0,,,4739018.0,,,868093,,5466924,,,,,9853270.0,5368531,136400.0,360201.0,52802.0,7485.0,,4613474.0,4613474.0,198169.0,,22119324.0,,35321,106,246217,,927563,97703,42497,2841150,10081327,142736,5452479
2014-08-13,2,2014,30000.0,1374206.0,1404206,8623865,,997391,-76133,163048,,,669201.0,-212346,-160040.0,,2754797,,394330,308638,1350591.0,85692,139267,,363924,268681,,23827,2550812,,638.0,,,,0.0,1798336,3235590,10277,669201.0,4406742,556483,,235480,5399163,2014年06月30日,727831,11714863,11681487,25000,251309,7522328,12772332,19036,18251.0,,,4843388.0,,,829291,,5401834,,,,,10725649.0,5495246,172717.0,360201.0,44414.0,7485.0,,4712365.0,4712365.0,198064.0,,22440512.0,,23172,20577,262827,,1265718,95243,33376,3203321,9668180,2671,115168
2014-11-05,3,2014,0.0,969139.0,969139,8524195,,1309944,-85566,153615,,,,-143595,-130121.0,,2330766,,450449,376735,1361627.0,73714,168951,,512690,416352,,72092,2599083,,0.0,,,,0.0,1832377,3432205,12387,,4721669,634120,,230518,5400065,2014年09月30日,1040384,12131297,12080830,0,251309,6672196,12038868,18762,18251.0,,,3633488.0,,,830914,,5412227,,,,,9613076.0,5502254,134014.0,360201.0,45633.0,12221.0,,,4752798.0,197387.0,,21744373.0,,65924,59,265725,,939552,96338,50467,2940880,9705505,12162,513590
2015-03-10,4,2014,0.0,1250.0,1250,9445343,,1435889,-93651,219552,,,,21618,-98697.0,,1396135,,368191,332341,1394885.0,35850,179802,,394126,294166,,213966,2825163,,0.0,,,,0.0,1842643,3162169,4914,,3593240,1540628,,232756,6228300,2014年12月31日,1166329,14895059,14845641,0,251309,5574022,13724644,18487,18251.0,,,5397182.0,,,924629,,6229538,,,,,9395217.0,7158596,123109.0,360201.0,43928.0,12221.0,,,6421797.0,197340.0,,24290276.0,,86175,240,255368,,1798750,99960,49418,3821195,10565632,1238,63007
2015-05-13,1,2015,0.0,177500.0,177500,8993205,,1598553,-94325,218878,,,,2567,-75351.0,,1372133,,305038,275452,1194633.0,29586,167625,,344273,246068,,172243,3156542,,0.0,,,,0.0,1853348,3119017,11469,,3352677,1444945,,226758,6228265,2015年03月31日,1328993,15040391,14994403,0,251309,5446210,14082741,18212,18251.0,,,,5802358.0,,926321,,6234616,,24130074.0,,9089683.0,,7158667,122078.0,360201.0,44155.0,12221.0,,,6422682.0,197330.0,24130074.0,,,17270,21181,246007,,1622500,98205,45988,3643473,10047333,6351,335481
2015-08-05,2,2015,0.0,353750.0,353750,8353327,10199.0,1074834,-116559,196644,0.0,0.0,660316.0,-27632,-47309.0,,1567805,,413560,335398,1214055.0,78162,167747,,230974,134407,0.0,136236,3118110,,6569.0,208731.0,0.0,0.0,0.0,1864210,2929813,13269,,3624194,1038823,0.0,223518,6231095,2015年06月30日,760539,14340010,14340010,254000,314295,5657737,14182127,17938,0.0,0.0,0.0,,5775355.0,0.0,449642,0.0,6231219,0.0,23475954.0,,9135944.0,,7068158,121265.0,360201.0,42463.0,12221.0,,,6334678.0,197330.0,23475954.0,,0.0,36892,3354,261227,0.0,1446250,96567,0,3478207,9293827,124,12000
