date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-08-08,2,2013,11809,533115,299320,164004,,3261,,-93319,23693,5593,10103,10103,0,18982,5058,99465,6550,12064,,3727,307775,,,68924,0,696,161923,2311,24924,13924,645000,2013年06月30日,230689,,,993760,993753,0,68631,305983,717714,,2738,,,173692,19348,14843,29318,645000,,,385984,142752,,1379744,31498,26712,29521,87280,7,80001,662030,18882,1706,1908,5112,6291,0
2013-11-08,3,2013,11675,522832,335783,86373,,3922,,-97139,21950,5581,8067,8067,0,18873,4962,103775,5852,12971,,4027,317028,,,69414,0,1603,155448,1099,46376,13911,645000,2013年09月30日,267152,,,1026403,1026396,0,68631,230267,674576,,2434,,,107139,14696,4280,36231,645000,,,304966,142752,,1331369,32476,27752,23350,86237,7,74699,656793,31217,1694,7659,16552,4694,0
2014-03-27,4,2013,11748,528583,389660,95932,,3156,,-92489,20249,2866,15414,15214,200,15224,0,99543,5688,28343,302,4026,311405,,,86264,0,2600,173987,3311,3904,14922,726000,2013年12月31日,321029,,,1300630,1300623,0,68631,265135,984456,,2680,,,438361,30513,4544,29577,726000,,,340212,277452,,1640842,36358,25580,23495,86427,7,75077,656386,30374,1706,3402,325,5635,0
2014-05-05,1,2014,12000,539938,420752,69808,,2230,,-80171,20186,2126,14999,14999,0,15208,0,98012,5005,22317,309,4190,352859,,0,63656,,179,147307,2878,4751,14899,726000,2014年03月31日,352121,,,1344040,1344033,0,68631,224660,972571,,4554,,408776,,37339,4665,33492,726000,,,294211,277452,,1638251,36343,23176,18000,87830,7,69551,665680,34106,1743,987,10046,6060,0
2014-08-05,2,2014,11794,527322,345016,196099,,1667,,-97783,20639,4256,19673,19153,520,15253,0,119378,5366,18206,301,5289,345166,,0,62082,,1613,160079,3867,2913,14952,726000,2014年06月30日,167343,,,1250692,1250685,0,85184,342122,984087,,4797,92489,423750,,16414,180,45275,726000,,,411716,277452,,1662408,36650,26824,17691,84201,7,69594,678321,26792,2040,24522,6546,4589,0
2014-11-04,3,2014,11956,586727,399948,80954,,2719,,-83269,18664,2256,26310,24990,1320,4069,0,130874,6901,15634,307,4482,373949,,0,75784,,351,164592,3055,3622,3762,726000,2014年09月30日,222275,,,1320138,1320131,0,85184,217913,868249,,4471,92489,272742,,9077,105,33083,726000,,,292117,277452,,1612255,39186,21934,30949,85484,7,74204,744006,21155,2084,34007,3437,4452,0
2015-03-18,4,2014,12480,614252,453647,100003,,1418,,-58496,17161,2256,28720,28720,0,1653,,118779,10749,14412,317,4341,402531,0,0,85912,,0,164540,2626,3421,1336,726000,2014年12月31日,275974,,,1398610,1398603,0,85184,239198,961109,,4142,92489,339302,,21111,33,15011,726000,,,316425,277452,,1715035,43271,16753,32303,87934,7,77227,753926,18518,2157,15755,1949,2425,0
2015-05-05,1,2015,12318,596106,495549,78248,,1837,,-72856,22510,2236,8100,8100,,1663,,155808,38783,17993,311,4454,405180,,0,66464,,0,165262,1595,2000,,726000,2015年03月31日,317876,26091,372,1426152,1426145,0,85184,202162,932385,1352,4158,92489,,324936,,,8849,726000,1708129,281977,,277452,1708129,,44923,19672,33229,86957,7,79815,775744,23103,2140,25614,2970,7956,0
2015-08-05,2,2015,14927,583505,411782,217460,17,1051,,-92182,25348,2221,13489,13489,0,1666,,195288,79885,13493,302,7143,407176,,,62906,,0,158349,3103,55857,,726000,2015年06月30日,249891,27790,330,1323059,1323052,0,103395,362607,947167,1364,3675,58496,,289617,,,29086,726000,1753343,430284,,277452,1753343,,47352,23708,18659,83871,7,67677,806176,18195,2081,24389,2621,8200,0
2015-11-05,3,2015,15935,589053,482040,81031,11,2363,,-65494,24886,2023,16681,16681,0,1688,,272913,150295,11323,313,7156,417260,,,74385,,0,172043,1324,50552,,726000,2015年09月30日,320149,25908,342,1420005,1419998,0,103395,239775,847820,1375,3351,58496,,156132,,,33554,726000,1731468,311463,,277452,1731468,,54065,18331,15935,86301,7,71688,883648,31123,2155,29161,17645,6928,0
2016-03-18,4,2015,15956,740670,554197,108383,5,3190,,-63925,23215,2657,15997,15997,,1578,,113760,7115,12966,313,5791,405917,,,85108,,,202379,5568,10213,,726000,2015年12月31日,392306,33638,0,1493731,1493724,0,103395,267310,965543,1265,4301,58496,,295043,,,16961,726000,1842013,348282,,277452,1842013,,62664,17739,16730,85756,7,80972,876470,27236,2155,15098,12115,4602,0
2016-05-05,1,2016,0,723917,600870,78069,0,1832,,-74807,6684,1518,8526,8526,,318,,121011,5925,13350,308,5734,440719,,,73546,,,170843,5799,7805,,726000,2016年03月31日,438979,33598,0,1529522,1529515,0,103395,239755,972204,10,3707,58496,,311269,,,47858,726000,1840330,310808,,277452,1840330,,66083,19491,4652,84044,7,71053,868126,25411,2126,25308,9935,5166,0
2016-08-05,2,2016,0,732365,510431,238066,0,2364,9,-67336,5777,1337,11514,11514,,332,,111249,4833,12673,311,5830,439348,,,69192,,,184389,2254,55789,,726000,2016年06月30日,319998,20542,0,1446554,1446547,0,126508,394956,1051987,21,3416,63925,,333451,,,61379,726000,1917005,470451,,277452,1917005,,70473,17988,4690,84087,7,75495,865018,22869,2140,16499,8056,4440,0
2016-11-04,3,2016,0,710946,574720,89930,0,2847,,-88249,8353,1788,54446,11620,42826,335,,107910,4275,11200,302,6455,447417,,,70382,,,195609,3012,15707,,726000,2016年09月30日,384287,24260,0,1489930,1489923,0,126508,309597,1031898,33,2860,63925,,291415,,,116672,726000,1875858,385928,,277452,1875858,,75996,22244,0,81242,7,76331,843960,21445,2081,15938,8164,6565,0
