date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,31462,410090,2750,-17790,40852,,193977,-585,35801,756,1938,1938,0,5000.0,9991,25804,22274,0.0,520196,0.0,0.0,,159214,18269,133324,246,,148957,14730,8612,,25804.0,20123,653700,2013年03月31日,-17790,,,635325,635325,0,,827531,1065514,,2835,,,151742.0,,28.0,439825,653700,,,928374.0,0,,,1563699.0,,,6594,40113,58454,68445,17274,0,100843,498185,25334,3583,0
2013-08-13,2,2013,27781,407222,2750,13367,47369,,140897,-419,29569,578,1843,1843,0,5000.0,10050,25773,22085,0.0,567573,,0.0,,197168,27393,160155,829,,253775,10881,11015,,25773.0,20139,653700,2013年06月30日,13367,,,666648,666648,0,,902865,1171554,,3222,,,157484.0,1882.0,26.0,438500,653700,,,997570.0,0,0.0,,1664218.0,,,6466,37246,52416,62466,17085,0,94705,492664,28060,1210,0
2013-11-12,3,2013,24081,400988,2750,32064,48993,,32754,-471,24735,224,160005,2979,157026,5000.0,9906,25617,21385,0.0,552010,,0.0,,207767,28635,165782,34,,212481,10176,12851,58.0,25617.0,19765,653700,2013年09月30日,32064,,,685293,685293,0,,995099,1282568,,3230,,,272762.0,9153.0,26.0,510000,653700,,,1082938.0,0,0.0,,1768231.0,,,5972,37545,46344,56250,16385,0,87839,485663,29445,430,0
2014-03-27,4,2013,23155,392986,2750,43794,48497,,20346,-626,26684,330,77457,2944,74513,5000.0,9985,24663,21106,0.0,558252,,0.0,,153615,34309,230755,0,,169859,17136,8822,,24663.0,27720,653700,2013年12月31日,43794,,,696868,696868,0,,935760,1229529,,2872,,,360322.0,11900.0,26.0,430000,653700,,,1017878.0,0,0.0,,1714746.0,,,6168,37783,41302,51287,16106,0,82118,485217,17309,3199,0
2014-05-13,1,2014,9940,392310,2750,69720,47862,,22271,-692,11279,300,3132,3132,0,0.0,10208,24539,15763,,591756,,,0.0,222949,37270,197907,342,,174869,8528,13921,,24539.0,28044,653700,2014年03月31日,69720,,,722728,722728,0,,904538,1214014,,2504,,382021.0,,16929.0,26.0,370000,653700,,,968757.0,0,0.0,,1691485.0,,,6291,36100,23181,33389,15763,0,64219,477471,17490,1039,0
2014-08-12,2,2014,10000,386598,2750,103465,54510,,29910,-501,13036,2683,155001,2391,152610,0.0,10005,24414,113569,98100.0,577400,,,0.0,269771,53460,291002,2239,,237100,14231,12023,1474.0,24414.0,27174,653700,2014年06月30日,99086,,,756664,756664,0,4379.0,1184091,1446743,,3519,,393182.0,,19373.0,26.0,480700,653700,,,1261806.0,0,0.0,,2018470.0,,119.0,5796,38117,37500,47505,15469,0,77715,571727,26277,353,0
2014-11-12,3,2014,10000,673473,2750,145286,49574,,28534,-765,14587,4228,6673,1828,4845,0.0,10191,24297,16234,1050.0,562012,,,0.0,180366,40684,308219,1709,,189302,20400,16169,1474.0,24297.0,27091,653700,2014年09月30日,140907,,,798221,798221,0,4379.0,870386,1211015,,3038,,362733.0,,15247.0,0.0,260000,653700,,,1171412.0,0,0.0,,1969633.0,,,6538,36032,260000,270191,15184,0,301026,758618,23718,359,0
2015-03-27,4,2014,10000,677286,2750,174237,69985,,20577,-1664,18016,6907,6766,1697,5069,0.0,10603,25288,16212,1050.0,582409,,,0.0,248404,35373,152736,1000,,237652,21499,10756,,25288.0,27547,653700,2014年12月31日,169858,,,826273,826273,0,4379.0,806792,1171684,,2681,,272090.0,,21278.0,0.0,260000,653700,,,1108374.0,0,0.0,,1934647.0,,,8191,36487,257500,268103,15162,0,301582,762963,19935,1109,0
2015-05-13,1,2015,10000,732050,2750,221382,56325,,24004,-1318,16289,5921,127881,2332,125549,,10486,25160,15494,1050.0,574351,,,0.0,223747,61316,240614,41980,,227909,18786,8534,,,26784,653700,2015年03月31日,217003,33173.0,0.0,873764,873764,0,4379.0,1058539,1413911,25160.0,2316,,,407541.0,,,384000,653700,2229473.0,1355709.0,,0,0.0,2229473.0,,1095.0,,6524,36168,255000,265486,14444,0,297170,815562,24905,368,0
2015-08-12,2,2015,10000,726975,2750,196143,121227,,31156,-1089,17505,5906,470567,1116,469451,,10338,24991,14665,1050.0,604757,,,0.0,295213,7341,263928,10012,,258095,17020,3354,0.0,,26143,653700,2015年06月30日,176964,28234.0,0.0,848754,848754,0,17515.0,1477460,1808955,24991.0,3098,1664.0,,397316.0,,,734000,653700,2620532.0,1771778.0,,0,0.0,2620532.0,,,185.0,6489,37946,252500,262838,13615,0,294318,811577,26505,1599,0
2015-11-13,3,2015,10696,728731,2750,318740,111105,,20713,-1756,11642,574,190365,835,189530,,11011,24820,14383,1050.0,594967,,,0.0,267479,14012,254908,12230,,275072,14138,9401,0.0,,26131,653700,2015年09月30日,299561,37575.0,,970684,970684,0,17515.0,1237951,1692052,24820.0,2715,1664.0,,552530.0,,,529000,653700,2505103.0,1534419.0,,0,0.0,2505103.0,,,3379.0,11333,38341,249304,260315,13333,0,296468,813051,31487,372,0
2016-03-29,4,2015,16099,715843,2750,337861,69811,,24225,-1077,19057,495,797396,924,796472,,10997,26446,13501,1050.0,611756,,,0.0,268017,19005,206434,0,,362211,19798,3434,,,27506,653700,2015年12月31日,318682,47839.0,,990484,990484,0,17515.0,1688163,2163268,26446.0,2090,1664.0,,320979.0,,,1058000,653700,2966134.0,1975650.0,,0,0.0,2966134.0,,,,8643,41176,241401,252398,12451,0,287487,802866,23469,2463,0
2016-05-12,1,2016,31326,703596,2750,395766,57894,,20025,-521,36513,2692,199212,1220,197992,,10782,26237,14436,2750.0,563698,,,0.0,252947,47254,204104,622,,268847,23612,2725,,,26792,653700,2016年03月31日,376587,68360.0,,1048945,1048945,0,17515.0,1186694,1754840,26237.0,2194,1664.0,,653746.0,,,519000,653700,2550788.0,1501843.0,,0,0.0,2550788.0,,0.0,,6273,46180,271857,282639,11686,0,315149,795948,22975,2495,0
2016-08-11,2,2016,36750,695658,2750,359404,140803,62359.0,26930,277,41861,1943,619587,1592,617995,,10812,26025,13599,2750.0,586528,,,0.0,314518,58701,249738,751,78444.0,313713,20313,3635,189.0,,25952,653700,2016年06月30日,318484,43972.0,,1013381,1013381,0,39843.0,1774844,2306797,26025.0,1936,1077.0,,701304.0,,,924500,653700,3092918.0,2079537.0,,0,0.0,3092918.0,,,0.0,6372,46226,261484,272296,10849,0,304693,786121,34598,3168,0
2016-11-10,3,2016,41416,689045,2750,375396,55578,55578.0,27409,1543,45751,3323,1144243,1273,1142970,,10505,25813,12668,2750.0,583551,,,0.0,278363,59047,288834,532,0.0,264747,23948,1775,228.0,,24943,653700,2016年09月30日,334476,25140.0,,1030639,1030639,0,39843.0,2085745,2628822,25813.0,1683,1077.0,,557116.0,,,1332500,653700,3410806.0,2380167.0,,0,0.0,3410806.0,,,0.0,6915,50895,251189,261694,9918,0,294422,781984,25805,1012,0
