date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,141316.0,3522816,185282,3090161,134697.0,676139,1680533,71463,52858,148803,553954,112161,303247,54934,300477,248313,673256,626064.0,385938,5275,14106.0,47192.0,122532,480631,480631,,,,,2487,1019327,57243,2855656,3810,4655713,2013年03月31日,1814289,,,8087143,7958573,0,1155179,2714960,6650229,,,89977,120693.0,,3748515.0,271396.0,,71364,4655713,,63763,3385,,5622422.0,63896,,13709565.0,312269,29908,15857,2200913,219169.0,128570,2907462,7059336,38962.0,,0
2013-08-13,2,2013,195663.0,3530604,293591,2874340,183148.0,720064,2228052,83926,86253,201828,1277782,142734,271843,73721,939385,198122,813733,766720.0,393040,4553,18680.0,47013.0,122598,3787772,3787772,372457.0,,,,3587,1065540,197363,2837830,10463,4655713,2013年06月30日,1463357,,,8282840,8172935,0,1290290,4043651,8636722,,,90629,120693.0,,2088686.0,303224.0,,72831,5028170,,74249,2662,,7526839.0,68597,,15809679.0,419201,31393,16800,2635400,224155.0,109905,3483188,7172957,41734.0,,0
2013-11-12,3,2013,,3528764,292139,3464023,283030.0,813996,2412687,90312,107991,247496,264833,111870,1068593,79541,152963,989052,953176,905506.0,401700,4506,-35534.0,47670.0,123285,4064249,4064249,,,,,9941,1326109,60014,2827781,11190,5028170,2013年09月30日,2053040,,,8929626,8808286,0,1290290,3689661,9641474,,,86499,120693.0,,1985673.0,296089.0,,553116,5028170,,62683,2617,,7872392.0,68597,,16802018.0,214849,31894,12471,3195044,229196.0,121340,4182731,7160544,44713.0,,0
2014-03-25,4,2013,,3564458,285489,3990637,364397.0,897779,2769498,97001,106721,403640,344722,149966,1205458,68058,194756,1137400,1068392,989606.0,374072,4623,39243.0,78786.0,129145,4174264,4174264,,,,,9631,1146484,63941,2827714,11623,5028170,2013年12月31日,2579654,,,9621748,9491044,0,1290290,4297892,9419561,,,89878,120693.0,,1605974.0,424145.0,,586627,5028170,,66268,2733,,6968170.0,68597,,16589918.0,218940,26947,17123,1572206,234237.0,130704,2670278,7170357,6067.0,,0
2014-04-29,1,2014,0.0,3549643,287531,4230089,225130.0,766456,1352347,102737,109265,344443,311270,101233,1035209,93677,210037,941532,930921,851354.0,381944,4550,119313.0,79567.0,129513,4411177,4411177,,,,,19321,1020694,43460,2847455,11765,5028170,2014年03月31日,2819106,,,9808872,9671299,0,1290290,2895722,9056369,,,122165,120693.0,1639443.0,,433773.0,,618012,5028170,,58262,2660,,6464769.0,68597,,16273641.0,30665,27142,16769,2608324,239169.0,137573,3569047,7217272,8712.0,,0
2014-07-29,2,2014,0.0,3531484,282054,2120577,317009.0,853624,1607360,94903,337175,321637,1594905,107998,1114753,84352,1486907,1030401,1023919,944715.0,147296,7896,4628.0,79204.0,127752,4694788,4694788,1106197.0,0.0,3000000.0,,13461,873051,32628,2821172,11598,5028170,2014年06月30日,582784,,,8755580,8640477,0,1537793,4009438,10326954,,,121454,0.0,2368908.0,,159125.0,,485390,6134367,,54294,6006,,8504758.0,63896,,17260338.0,52027,27637,18326,437758,0.0,115103,4495320,6933384,11648.0,,0
2014-10-30,3,2014,279864.0,3616586,284601,2245315,266790.0,810934,1595044,98853,327806,355607,483001,75253,815122,98705,127884,716417,1111029,1029812.0,147993,7981,88817.0,81217.0,125525,4828598,4828598,,0.0,3000000.0,,9441,779277,26189,2827505,11019,6134367,2014年09月30日,707522,,,8928276,8799185,0,1537793,2327002,9093116,,,142265,0.0,1445897.0,,45104.0,19108.0,51993,6134367,,43566,6091,,7210048.0,63896,,16138324.0,40185,28115,15239,737811,0.0,129091,4883046,7045208,14487.0,,0
2015-02-25,4,2014,291180.0,3604588,293616,2632205,,840562,1683773,131726,319213,546145,687367,122070,465166,76814,274117,388352,1024406,,142519,5079,,,128436,5387474,5387474,,0.0,3000000.0,165767.0,7186,763270,26762,2881243,10951,6134367,2014年12月31日,1094412,,,9516108,9376613,0,1537793,2877902,10704792,,,142718,0.0,2865766.0,,111956.0,17399.0,45828,6134367,,44299,3189,,8289796.0,63896,,17805904.0,19180,27341,25477,1356958,0.0,139495,5411894,7101112,9004.0,,0
2015-04-28,1,2015,287960.0,3585908,292041,2713228,,776523,982542,107497,290466,448651,598905,94370,588072,74599,216575,513473,1076252,,143600,5128,,,125583,5819886,5819886,,,3000000.0,8162.0,15982,757506,30971,2877761,10463,6134367,2015年03月31日,1175435,155102.0,17473.0,9503934,9360142,0,1537793,1951139,10911273,,12889.0,139934,0.0,,2621555.0,,,40352,6134367,17988128.0,42597,3238,8484194.0,,63896,17988128.0,,8821,27998,27148,2425567,0.0,143792,6533055,7076855,,,0
2015-07-30,2,2015,283912.0,3570897,289713,2158071,300186.0,829028,1129775,110705,240872,418457,1544652,387088,583824,111897,873652,471927,1115611,1031267.0,142486,5324,118271.0,84344.0,124814,5953197,5953197,0.0,0.0,3000000.0,71540.0,5620,792324,29995,2862081,9180,6318398,2015年06月30日,513062,134135.0,4769.0,9076234,8958822,0,1645009,3062453,11294309,,12348.0,151009,,,2851770.0,,,24865,6318398,18350842.0,41161,3434,9274608.0,,63896,18350842.0,,8530,28349,31167,2064761,,117412,6212155,7056533,,,0
2015-10-29,3,2015,190000,3575062,291919,2268022,193586,704559,1061020,116392,127334,568413,1838011,149208,1337763,200282,210299,1137481,1112603,1056875,147332,5702,374827,55728,127718,6350932,6350932,,,3000000,59262,3573,718422,30283,2870956,9787,6318398,2015年09月30日,623013,29057,31954,9341022,9218729,0,1645009,3182442,12068345,,13912,151087,,,2518167,,,41408,6318398,19148297,33719,3812,9807275,,63896,19148297,,248931,37191,33809,2471227,,122293,6624833,7079952,,1288504,0
2016-02-25,4,2015,190000.0,3561920,252322,2379746,244878.0,749911,1493621,115727,90302,434694,3475129,297159,2114287,332768,321467,1781519,786899,722466.0,134073,6534,189816.0,60208.0,127539,6317412,6317412,,,3000000.0,86330.0,4746,684557,76783,2816292,9649,6318398,2015年12月31日,734737,70697.0,20920.0,9322378,9196734,0,1645009,5518169,13809601,4225.0,0.0,144763,,,3437772.0,,,237463,6318398,20772004.0,34456,4644,11449626.0,,63896,20772004.0,,317657,30625,43384,2109289,,125644,5931457,6962403,,2666503.0,0
2016-04-28,1,2016,190000.0,3531152,251568,2314338,230977.0,728490,1282022,97713,66929,379227,5157346,158173,1701735,487100,349683,1214635,431389,370112.0,137978,7322,148250.0,60808.0,130656,6797544,6797544,,,3000000.0,72259.0,1742,744478,63612,2800617,9384,6318398,2016年03月31日,669329,44895.0,22529.0,9206386,9075859,0,1645009,6734609,15241769,469.0,0.0,133978,,,4666303.0,,,42468,6318398,22152691.0,36164,5432,12946305.0,,63896,22152691.0,,450149,23457,46245,2751418,,130527,6211696,6910922,,4459490.0,0
