date,season,year,不動產、廠房及設備淨額,以成本衡量之金融資產－非流動,保留盈餘合計,保險業各項準備,備供出售金融資產未實利益（損失）,備供出售金融資產－流動,備供出售金融資產－非流動,共同控制下前手權益,其他應付款,其他權益合計,其他權益－其他,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債,其他流動資產,其他準備合計,其他準備－其他,其他負債,其他資產合計,其他資產－其他,其他金融負債－流動,其他金融資產－非流動,再保險合約資產淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,國外營運機構財務報表換算之兌換差額,存入保證金,存出保證金,存貨,庫藏股票,待出售非流動資產淨額,待分配股票股利（增資準備）,待註銷股本股數,應付佣金,應付保險賠款與給付,應付債券,應付再保賠款與給付,應付到期長期負債（一年或一營業週期內到期長期負債）,應付帳款,應付款項合計,應付短期票券,應付票據,應付費用,應收款項淨額,應收款項－關係人,投資性不動產淨額,持有至到期日金融資產－非流動,採用權益法之投資,普通股股本,會計項目,未分配盈餘（待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債總額,流動資產合計,無形資產淨額,無活絡市場之債券投資－非流動,無活絡市場之債務工具投資－非流動,特別盈餘公積,特別股負債－非流動,現金及約當現金,當期所得稅負債,當期所得稅資產合計,短期借款,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款淨額,資本公積合計,資本公積－其他,資本公積－取得或處分,資本公積－合併溢額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列之關聯企業及合資淨值之變動數,資本公積－認列對子公司所有權權益變動數,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動,透過損益按公允價值衡量之金融負債－非流動,透過損益按公允價值衡量之金融資產－流動,透過損益按公允價值衡量之金融資產－非流動,遞延所得稅負債合計,遞延所得稅資產淨額,長期借款,長期應收款項,除役、復原及修復成本之負債準備,非控制權益,非流動負債合計,非流動資產合計,預付款項,預收款項,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-15,1,2013,9618541,309662,4917608,,947127,210188,281061461,,,938943,,,,327768,73885,,,2369877,62467715,,,11900000,1811734,58612144,,-8184,133214,,3163137,532672,77069.0,,,968740,772157,,1248838,0.0,,5998204,149956.0,,,7583363,,17442638,0.0,2086338,6307332,2013年03月31日,736127,,,,26578547.0,12295531,36440000,1223189,11594165,142378652,114212,118414776.0,,2958292,2699597,73449194,121059.0,886618.0,810216,6307332,,534800927,,620555936.0,54540803,664320,,,53124,,507152,104044.0,,,,647134483.0,160.0,2268395,293584,704188,760731,636300,7316886,,,14283016,608961771,504755831,289077,1197067,0
2013-08-14,2,2013,10517413,269603,4154772,,-987272,198978,261850816,,,-981769,,,,330925,114898,,,2741929,58461582,,,10800000,1903584,54390345,,5503,134833,,3130156,532672,78282.0,504587.0,,947888,774314,,1371168,0.0,,8054168,215000.0,,,8947008,0.0,17409762,0.0,1949513,6307332,2013年06月30日,2484708,,,,23005956.0,10160272,36440000,1344352,13127471,157756606,91537,139456135.0,,325712,2699597,84972067,140553.0,916213.0,786750,6811919,,554090557,,637127647.0,56914306,708022,,,53124,,507152,147746.0,,,,660133603.0,0.0,1659562,318833,1050388,273875,520248,8009478,,,12845684,624000176,502376997,262281,506705,0
2013-11-14,3,2013,11682549,323821,4356185,,-1230463,211314,265502310,,,-1232815,,,,329529,85350,,,2732499,60042772,,,7400000,1879920,56004887,,-2352,140156,,3115224,532672,,,,1190317,837440,560256.0,1394274,150000.0,,5334590,0.0,,,9320772,,17376775,0.0,1970161,6811919,2013年09月30日,2686181,,,,23529311.0,10288075,39354000,1344352,10806763,140685535,71157,176137016.0,,325652,2699597,65980356,130443.0,659943.0,125283,6811919,,577257849,,659073118.0,58695219,885458,,,53124,,74493,757841.0,,,,682602429.0,0.0,584294,459438,875423,212033,534910,8074784,,,13241236,648266355,541916894,277999,1314887,0
2014-03-28,4,2013,12492993,295711,4832629,,-1615488,237582,257618071,,,-1602588,,-4163.0,-4163.0,155983,143209,,,5912692,60093724,,,9400000,1923147,56084960,,17063,339068,,3356967,532672,,,,1746048,940912,563261.0,1379189,128000.0,,5680263,0.0,,,8617827,,22448764,0.0,1815109,6813829,2013年12月31日,3174146,,,,23562231.0,10383316,39354000,1344352,11629028,141927020,68844,210226917.0,,314131,2699597,65867820,165945.0,812531.0,201000,6813829,,606578793,,693958677.0,60296821,872118,,165061.0,53124,,74492,577044.0,,2397.0,,717520908.0,0.0,1955855,409798,566015,233721,567740,7961702,,,13178915,682329649,575593888,261318,1231688,0
2014-05-14,1,2014,13214092,270711,4532242,,-568419,229314,272147810,0.0,,-561324,-3568.0,-3568.0,,161717,95344,,,3942711,61487489,,,7400000,1899390,57243947,,10663,347351,,2865411,532672,0.0,,0.0,1158642,1023059,566651.0,1447051,0.0,,5591933,0.0,,,8311911,,22580970,,1864945,6813829,2014年03月31日,2873759,,,,24933006.0,11124193,39354000,1344352,11081251,151070017,72253,218802755.0,,314131,2699597,74851694,166886.0,852620.0,138877,6813829,,636180133,,725124332.0,61075536,872118,,,53124,165061.0,74492,577044.0,,2397.0,,750057338.0,0.0,3875433,551909,216453,792367,929843,8394891,,,13808813,714043081,598987321,336888,1393086,0
2014-08-14,2,2014,13271441,270711,4844880,,-390967,232921,263368901,0.0,,-388914,-2168.0,-2168.0,,154641,91289,,,4017811,61929727,,,6900000,1579367,57343023,,4221,416619,,2971054,532672,0.0,0.0,0.0,1126951,1041609,570052.0,1181181,0.0,,7024204,50000.0,,,7395872,,26528456,,1749921,6813809,2014年06月30日,1819199,,,,27139979.0,11633037,39354000,1436240,11720152,167742530,88122,222401526.0,,1589441,2699597,90561047,30743.0,976174.0,256329,6813809,,650914786,,738144402.0,62989030,895934,,,53124,165061.0,101842,573535.0,,2372.0,,765284381.0,272.0,1154224,578326,705861,397254,327185,8910884,,,15506942,726424250,597541851,367450,854222,0
2014-11-14,3,2014,13511073,417293,5588275,,-1490832,240427,275622954,0.0,,-1474656,-651.0,-651.0,,160688,73003,,,3630897,58734289,,,6900000,1511926,54284964,,16827,424984,,3299041,532672,,,0.0,1651393,966489,573482.0,1177171,0.0,,7072359,,,,8599392,,26457498,,1758201,6813729,2014年09月30日,2562594,,,,26399846.0,11292993,39354000,1436240,12190573,142573270,73349,262865467.0,,1589441,2699597,62003575,39153.0,1035602.0,227000,6813729,,677820185,,764046302.0,64738745,898317,,,53124,165061.0,101842,576019.0,,2271.0,,790446148.0,6565.0,3040192,594751,908828,709428,623926,8672000,,,15106853,751855729,647872878,476808,889755,0
2015-03-31,4,2014,13954845,376313,5482195,,-755451,243989,274520094,0.0,,-720945,,440.0,440.0,159288,94391,,,4411522,59274439,,,6900000,1601582,54539224,,34066,428530,,3221447,532672,,,0.0,1795807,2464571,5576944.0,1226828,0.0,,10715452,50000.0,,,8390444,,26389622,,1797148,6813689,2014年12月31日,2456514,,,,27825301.0,11940103,39354000,1436240,17606258,149227232,67398,284256486.0,,1589441,1692591,66403677,71562.0,1125963.0,270253,6813689,,687770041,,792021523.0,67101863,897836,,,53124,165061.0,106756,570674.0,,2221.0,,819846824.0,2699.0,8938988,547653,958081,2036323,2125166,9021102,,,15885198,774415265,670619592,496223,849798,0
2015-05-14,1,2015,13997865,370820,5813782,,-311771,240365,286385964,0.0,,-281002,,1361.0,1361.0,163897,435663,,,4241867,58795241,,30000.0,6900000,781316,53047304,,29408,429376,,3173318,532672,,,,1513998,1223499,5578545.0,573129,,,6025454,150000.0,,,9902329,,26345130,7627887.0,3418385,6813689,2015年03月31日,2788101,76962.0,1226104.0,29468601.0,,12711930,39354000,1436240,15406044,114528623,74324,,290980065.0,1589441,1692591,28864819,,,4425528,6813689,811663167.0,689328196,782194566.0,,68676042,898133,2221.0,,53124,165061.0,106756,570971.0,,,811663167.0,,0.0,2952822,654357,1531555,1282821,707308,8235000,,,16756671,766788522,697134544,574310,1223577,0
2015-08-14,2,2015,14204503,550820,6483633,706520087.0,-1504708,237489,246712455,0.0,2456881.0,-1481037,,2070.0,2070.0,159058,57499,,,4171346,56754453,,30000.0,6900000,362107,50665517,,21601,433784,,3241008,532672,0.0,0.0,0.0,1218236,993230,5359045.0,188596,0.0,2073232.0,5999651,400000.0,44018.0,1425520.0,13990920,,26504283,21184948.0,3360232,6813589,2015年06月30日,4176489,247325.0,1126007.0,28430723.0,,12242665,39354000,1562230,11801486,135361106,93158,,305733794.0,744914,1692591,44097449,,,1827344,6813589,819437045.0,706520087,791006322.0,,71018125,959152,,,53124,165061.0,130198,608674.0,,2095.0,819437045.0,,0.0,1766389,800534,1688389,894077,388904,7702000,,,16188058,779204836,684075939,429968,738046,0
