date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,3353085,13215136,250668,6586970,467139.0,0.0,628655,797878,,,1970218,3388755,35670,3080805,,,1514487,812144,,1503079.0,6264132,0.0,,,2556351,0.0,145013,,8029166,,2091186,,9243,1487533,9923971,2013年03月31日,3662586,,19147214,18841028,0,2497454,10879423,24485773,32902,426930,,5020484.0,175402.0,3815189,9923971,,,22182468.0,359869,19642.0,31210.0,309017.0,,41329682.0,835.0,0.0,2559949,407628,7228609,306186,11303045,16843909,,0
2013-08-07,2,2013,3190890,13293604,251018,5999156,449581.0,0.0,584498,2289625,0.0,1177700.0,2033958,3246299,55409,3767178,,,1532759,821782,,1584377.0,6207871,,,,3488383,449873.0,102457,1111925.0,9346164,,2056208,,9243,1455430,9923971,2013年06月30日,2948529,,18586029,18316954,0,2623697,14522724,26856026,71659,426930,,5478605.0,119365.0,4826722,9923971,,,25132392.0,359869,19642.0,31210.0,309017.0,,43718421.0,0.0,0.0,2594263,375161,6482646,269075,10609668,16862395,,0
2013-11-11,3,2013,3105412,13127592,223099,6589725,418656.0,0.0,529667,1311173,,,2007484,3162263,56851,4118019,,,1534958,906851,906851.0,1588828.0,6207919,,,,2999984,0.0,96606,,9754637,,2112423,,9243,1475487,9923971,2013年09月30日,3539098,,19159170,18881049,0,2623697,12567751,26962305,61787,426930,,4769307.0,170014.0,4827711,9923971,,,24486862.0,359869,19642.0,31210.0,309017.0,,43646032.0,0.0,0.0,2671975,350001,7712178,278121,11919111,16683727,0.0,0
2014-03-11,4,2013,2812571,13316224,216559,7172808,453754.0,0.0,564766,1349325,,,2363582,2894980,82409,3614714,,,1546971,913444,913444.0,1909828.0,6551021,,,,3201633,0.0,106053,,9842927,,2401604,,9243,1460214,9923971,2013年12月31日,4122181,,20141807,19820230,0,2623697,12529122,27255158,50997,426930,,4844892.0,249097.0,4728034,9923971,,,23978363.0,359869,19642.0,31210.0,309017.0,,44120170.0,0.0,0.0,2677211,333565,7225059,321577,11449241,16865012,,0
2014-05-08,1,2014,2792694,13360084,218852,7524722,434610.0,,545622,931570,,,2309896,2821370,28676,3684842,,,1575774,877271,877271.0,1875286.0,6564056,,,0.0,2956289,0.0,65612,,8692312,,2607384,,9243,1503270,9923971,2014年03月31日,4474095,,20443173,20118473,0,2623697,11494297,28003927,47341,426930,6455333.0,,219471.0,4499985,9923971,,,24460108.0,359884,19642.0,31225.0,309017.0,,44903281.0,0.0,,2715504,337671,8674533,324700,12965811,16899354,,0
2014-08-08,2,2014,3041013,13259957,216731,6464940,440991.0,,552003,2700122,,1310766.0,1911716,3066978,25965,3649816,,,1586115,946533,946533.0,1470725.0,6661285,,297719.0,0.0,3231847,0.0,30910,1389356.0,9912381,,2209388,,9243,1450092,9923971,2014年06月30日,3221333,,19421025,18958230,0,2816677,13837623,29072897,51188,426930,6640027.0,,146208.0,4661558,10221690,,,26474754.0,359884,19642.0,31225.0,309017.0,,45895779.0,0.0,,2804017,337135,8246999,462795,12637131,16822882,,0
2014-11-10,3,2014,2623401,13393598,218644,7165512,429823.0,,540835,1372544,,,2446083,2629500,6099,4003289,,,1597232,1149754,1149754.0,2016260.0,6957642,,,0.0,3508528,0.0,74941,,10400154,,2590562,,9243,1488949,10221690,2014年09月30日,3921905,,20701165,20193169,0,2816677,12993201,29928577,59173,426930,5976930.0,,174535.0,5233153,10221690,,,26430075.0,359884,19642.0,31225.0,309017.0,,47131240.0,0.0,,2908524,342467,8931118,507996,13436874,17202663,,0
2015-03-20,4,2014,2589454,13894161,222726,7749417,420251.0,,531263,1468538,,,3147355,2637763,48309,3947392,,,1644267,1161697,1161697.0,2727104.0,7039178,,,0.0,2917445,,33375,,10170908,,2976755,,9243,1476416,10221690,2014年12月31日,4505810,,21994465,21478346,0,2816677,10992658,29551623,60292,426930,5417390.0,,197730.0,3737807,10221690,,,25270445.0,359884,19642.0,31225.0,309017.0,,47264910.0,,,2883372,357489,9750148,516119,14277787,17713287,,0
2015-05-08,1,2015,2919946,14280447,221522,8283955,409083.0,,520095,1242661,,,2930998,2959858,39912,2637966,,,1659888,1174729,1174729.0,2521915.0,6723942,,,0.0,2778590,,34331,,9531490,138567.0,2766198,2146.0,9243,1526983,10221690,2015年03月31日,5040348,213319.0,22314132,21796527,0,2816677,11100736,28612646,56491,426930,,6812337.0,,3871977,10221690,46771531.0,24457399.0,,359884,19642.0,31225.0,309017.0,46771531.0,,,,2905166,369375,8791609,517605,13356663,18158885,,0
2015-08-07,2,2015,1787146,14464644,220007,7099987,388344.0,,499356,3314593,,1474689.0,2544638,1825654,38508,1580890,,,1656818,1136267,1136267.0,2156294.0,6818036,,0.0,0.0,2878653,499359.0,20989,1839904.0,10201665,94433.0,2676237,971.0,9243,1654439,10221690,2015年06月30日,3626033,170197.0,20732838,20226199,0,3047024,13703163,29362761,55641,426930,,7990529.0,,4993718,10221690,47778299.0,27045461.0,,359884,19642.0,31225.0,309017.0,47778299.0,,,,2970948,375941,8714532,506639,13342298,18415538,,0
2015-11-06,3,2015,2466328,15716160,216437,7884941,289430.0,,400442,1466842,,,3469955,2512400,46072,2175600,,,1658661,1170877,1170877.0,3180525.0,6581517,,,0.0,2728878,,26541,,10483866,111718.0,2787928,1516.0,9243,1508787,10221690,2015年09月30日,4410987,198095.0,22465696,21936470,0,3047024,9892560,29736528,53558,426930,,7594383.0,,2959804,10221690,49200520.0,26734824.0,,359884,19642.0,31225.0,309017.0,49200520.0,,,,3011643,388488,12171960,529226,16842264,19463992,,0
2016-03-25,4,2015,2581701,16149813,213144,8691967,314956.0,,425968,1776014,,,2591486,2653391,71690,3064065,,,1761075,1364271,1364271.0,2276530.0,6243811,,,0.0,2541536,,25222,,9378643,99683.0,2693295,717.0,9243,1559535,10221690,2015年12月31日,5218013,271562.0,22387755,21865027,0,3047024,9533629,28929485,49428,426930,,7449271.0,,2265904,10221690,49117676.0,26729921.0,,359884,19642.0,31225.0,309017.0,49117676.0,,,,3041197,416789,12394020,522728,17196292,20188191,,0
2016-05-05,1,2016,3023738,16683948,210794,9250095,347341.0,,654654,1496334,,,2523483,3071350,47612,3755838,,,1089069,1179941,1179941.0,2176142.0,6145670,,,0.0,2588684,,11479,,8741544,98255.0,2720276,727.0,9243,1612274,10221690,2016年03月31日,5776141,286005.0,22918360,22355168,0,3047024,10339838,28275516,46213,426930,,6813206.0,,2885986,10221690,49082678.0,26164318.0,,359900,19642.0,31241.0,309017.0,49082678.0,,,,3046084,410095,11689327,563192,15824480,20807162,,0
2016-08-08,2,2016,2685150,16987388,210766,7775304,,,570865,3266010,,1732756.0,1775577,2717728,32578,2723201,1327542.0,1395659.0,1080702,1433350,1433350.0,,6448262,,817735.0,,3082724,0.0,18062,1533254.0,9428030,144359.0,2388564,3575.0,9243,1699754,10221690,2016年06月30日,4014186,163978.0,21541066,20950206,0,3334188,12458630,29441494,43801,426930,,8305503.0,,3210128,11039425,50730743.0,29189677.0,,359900,,,,50730743.0,,,,3044699,334082,12605646,590860,16731047,21289249,,0
2016-11-11,3,2016,3832093,17008647,207645,8511732,,,603557,1757092,,1757092.0,957971,3870354,38261,1957121,1338954.0,618167.0,1076864,1370765,1370765.0,,6341300,,,,2815581,,15888,,9786632,160742.0,2463750,8181.0,9243,1625588,11039425,2016年09月30日,4750614,162003.0,21437183,20869028,0,3334188,12962019,29164136,42894,426930,,8446410.0,,4341101,11039425,50337555.0,28900372.0,,359900,,,,50337555.0,,,,3079140,305080,11782349,568155,15938353,21173419,,0
