date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－受贈資產合計,資本公積－合併溢額,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,15285034,5357,4454852,385455.0,1069430,884381,315470,,10589,0.0,264350,47388,,3528,1478619,134835,-121105.0,38310,,211696,61750,2100,0.0,207487,289020,16220,732077,910712,10671411,2013年03月31日,2491460,,19797045,19653530,0,1691423,698916,5666252,32579,271969.0,,3990110.0,60512.0,,10671411,,,4035597.0,4262917,1715.0,399.0,4260803.0,,23832642.0,1858062,181415,,143515,3336681,18166390,41558,0
2013-08-13,2,2013,,15242419,5357,4268856,,1287249,892768,653125,,31591,0.0,265633,24080,,1635,1468938,142915,,37279,,220758,39174,913,0.0,192719,229606,22531,731268,1083020,10671411,2013年06月30日,1740967,,19639306,19468817,0,1742563,1172869,5843395,31077,785326.0,,3993418.0,34819.0,200000.0,10671411,,,4513133.0,4262917,,,,,24152439.0,1871326,180220,,170489,3340264,18309044,47367,0
2013-11-11,3,2013,,15041856,5357,4444388,,971350,952499,267835,,13794,,198268,42601,,1821,1455018,167352,,35901,,295280,24959,3860,0.0,203527,240621,16192,730459,1081891,10671411,2013年09月30日,1916499,,19747738,19576984,0,1742563,636758,5545069,30243,785326.0,,4020763.0,2223.0,0.0,10671411,,,3985793.0,4262917,,,,,23733531.0,1894017,178805,,170754,3349035,18188462,41100,0
2014-03-25,4,2013,,15197647,5357,4304802,,1142750,1074262,189967,,28427,,386639,31948,,835,1781974,158257,,43195,,301730,25871,2410,0.0,197079,214766,15506,729650,1082988,10671411,2013年12月31日,1776913,,19796481,19625769,0,1742563,565367,5569837,1966,785326.0,,3888596.0,13441.0,,10671411,,,4241249.0,4262917,,,,,24037730.0,1893908,217766,,170712,3675882,18467893,38683,0
2014-05-13,1,2014,,15208063,5357,4422188,,1252214,1130572,245260,,12536,,575395,64169,,1122,1784331,153184,,42182,0.0,291290,25173,1304,,185754,223980,16494,728841,1084334,10671411,2014年03月31日,1894299,,20103148,19931911,0,1742563,654919,5914679,3786,785326.0,4105037.0,,27723.0,,10671411,,,4342544.0,4262917,,,,,24445692.0,1903294,216876,,171237,3687625,18531013,75360,0
2014-08-12,2,2014,,18146426,5357,4206920,,1162427,1190671,3240326,,15022,,396185,66327,,1660,1771415,138968,,42146,0.0,314940,29354,633,,207329,265750,18864,728035,1065913,10671411,2014年06月30日,2406292,,19705836,19537433,0,1800628,3753345,6190085,4200,0.0,4434722.0,,101765.0,0.0,10671411,,,7979812.0,4262917,,,,,27685648.0,1920234,215993,534818.0,168403,4226467,21495563,42165,0
2014-11-13,3,2014,149058.0,22963629,5357,4427132,,1213930,1194333,3108517,,7301,,648388,193251,44193.0,2436,1763162,173801,,40809,0.0,329335,28575,500,,196487,352630,18607,727235,1080293,10671411,2014年09月30日,2626504,,20180132,20009848,0,1800628,3749818,5344509,3717,0.0,3475890.0,,89640.0,,10671411,,,11526565.0,4262917,,,,,31706697.0,1935871,213823,4077714.0,170284,7776747,26362188,36419,0
2015-03-26,4,2014,463040.0,23465908,5357,4720339,,1401835,1232256,205100,,15605,,1345165,533659,70619.0,997,1657918,163223,,40605,0.0,306380,27202,191,,202690,380183,14759,726435,1097400,10671411,2014年12月31日,2919711,,21175826,21000419,0,1800628,1176034,5204483,3258,0.0,3106834.0,,103502.0,,10671411,,,10926691.0,4263504,,,,,32102517.0,1973008,204197,6119731.0,175407,9750657,26898034,40975,0
2015-05-14,1,2015,723030.0,24681597,5357,4916645,,1380784,1301018,1170926,361063.0,5805,,1346379,796125,73095.0,1805,1654071,146295,,41265,0.0,299466,27309,149,,197259,433511,7649,725635,1101366,10671411,2015年03月31日,3116017,126187.0,21374302,21198120,0,1800628,2781225,5766250,2798,0.0,,3651757.0,,,10671411,33934200.0,12559898.0,,4263685,,,,33934200.0,,1992127,203884,6132475.0,176182,9778673,28167950,46415,0
2015-08-13,2,2015,950488.0,24824474,5357,4773710,,1287446,1202925,610797,334020.0,68104,,930721,992141,41653.0,27168,1650732,146423,,40553,0.0,357410,26971,385,,218385,528758,11278,724835,1073256,10671411,2015年06月30日,2906247,79324.0,20810746,20639702,0,1867463,2401048,5418666,2868,,,3187789.0,,,10671411,33601507.0,12790761.0,,4263860,,,,33601507.0,,2003323,202703,6735658.0,171044,10389713,28182841,49185,0
