date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,3775084,0.0,1125770,-26202,560857,402514,16940,-29895,182893,29629,334642,112137,-3693,1261596,26699,,,598372,762939,12098,1680081,132913,8480,,356566,5456621,2013年03月31日,772716,,7143386,7139857,1107276,262183,2956111,6574792,11539,90871.0,,3380291.0,35847.0,942730,5456621,,17652,48370,,4597972.0,614060,,171617.0,60256.0,69047.0,313140.0,,11741358.0,1066.0,30030,812,350383,1258037,3529,1641861,5166566,34832,0
2013-08-13,2,2013,3724557,0.0,986408,-19451,562341,691986,46475,-8403,157974,30322,335083,120072,11048,1205546,26699,,,734587,686829,13377,1828772,164385,22263,,346147,5456621,2013年06月30日,557258,,7029900,7026362,1107276,295787,3134727,7126829,12156,133363.0,,3646676.0,0.0,820919,5456621,,28129,36388,,5196933.0,618435,,175727.0,60256.0,69312.0,313140.0,,12226833.0,926.0,149397,812,334731,1689923,3538,2062206,5100004,32993,0
2013-11-12,3,2013,3675054,0.0,1107868,-19185,588131,419079,39073,-17923,175289,35113,335498,107274,1262,1286229,26699,,,798535,504353,7571,1729879,220857,23975,,352194,5456621,2013年09月30日,678718,,7146385,7142856,1107276,295787,2759057,6895616,15422,133363.0,,3361131.0,0.0,826512,5456621,,27718,39380,,4791093.0,622989,,179292.0,60256.0,70301.0,313140.0,,11937478.0,0.0,170532,812,303787,1656346,3529,2032036,5041862,28827,0
2014-03-25,4,2013,3601183,0.0,1203440,-17142,590188,431824,37483,-694,264279,29131,338830,100927,16448,1214846,26699,,,767324,438838,21476,1672866,201959,20904,,359052,5456621,2013年12月31日,774290,,7260295,7256768,1107276,295787,2798072,7038371,13498,133363.0,,3614203.0,5.0,850351,5456621,,22344,45433,,4720838.0,624100,,183017.0,60754.0,67189.0,313140.0,,11981133.0,1631.0,220744,1105,277914,1537398,3527,1922766,4942762,26235,0
2014-05-07,1,2014,3522927,,1319150,-3476,603919,441095,42386,9684,335665,28223,339628,125517,13160,1236155,26699,,0.0,690973,469156,6867,1689731,155128,8814,,434389,5456621,2014年03月31日,890000,,7399196,7395651,1107276,295787,2997923,7371839,13277,133363.0,3871335.0,,5.0,1038169,5456621,,15445,47697,,4893459.0,636895,636895.0,,,,,,12292655.0,548.0,296003,3421,220787,1504790,3545,1895536,4920816,44064,0
2014-08-08,2,2014,3489139,,1152033,-14666,591546,853901,63956,-16108,443216,27380,340137,110671,-1442,1165637,26699,,0.0,709829,431500,3802,1809468,154847,11442,,405647,5456621,2014年06月30日,800907,,7208336,7204791,1107276,337793,3408674,7551565,11808,13333.0,3840155.0,,9441.0,941351,5456621,,15634,48266,,5171222.0,638944,638944.0,,,,,,12379558.0,0.0,422447,3152,219182,1370993,3545,1762548,4827993,56233,0
2014-11-12,3,2014,3494420,,1289163,-5256,602759,509738,36858,15704,536346,26721,340655,109650,20960,1265028,26699,,0.0,828457,386854,2844,1722754,152414,25019,,417151,5456621,2014年09月30日,938037,,7379163,7375615,1107276,337793,3201934,7532545,14632,13333.0,3887881.0,,9719.0,912584,5456621,,10490,47434,,4971211.0,640826,640826.0,,,,,,12350374.0,4902.0,381823,3553,179217,1377635,3548,1769277,4817829,34047,0
2015-03-23,4,2014,3398412,,1434986,14751,622786,457922,29460,56820,379141,27110,329112,94812,42069,1218061,26699,,0.0,770006,406982,3402,1620590,156599,26562,252.0,427435,5456621,2014年12月31日,1083860,,7566108,7562554,1107276,337793,2963709,7402548,12930,13333.0,3840208.0,,8128.0,924225,5456621,,11411,47644,,4579775.0,640826,,640826.0,,,,,12145883.0,2492.0,462413,2892,186960,1236418,3554,1616066,4743335,21293,0
2015-05-12,1,2015,3103674,,1542976,33861,641889,520783,35970,69429,398875,27917,330775,52494,35568,1225406,26699,272938.0,0.0,652573,334490,2701,1601518,121876,26060,0.0,431356,5456621,2015年03月31日,1191850,8128.0,7686702,7683153,1107276,337793,2771722,7646451,12809,13333.0,,3769245.0,,851436,5456621,12045162.0,2736,48777,4358460.0,,640826,640826.0,,,,,12045162.0,,0.0,534262,1536,156489,1205650,3549,1586738,4398711,31259,0
2015-08-11,2,2015,3107847,,1280754,32141,630605,971912,57101,59357,378117,25369,330594,60807,27216,1150688,26699,,0.0,644146,288636,927,1612748,129773,26103,0.0,416958,5456621,2015年06月30日,886792,24185.0,7414410,7410859,1107276,393962,3163733,7676882,11281,0.0,,4041356.0,,850664,5456621,12054380.0,4586,46782,4639970.0,,640826,640826.0,,,,,12054380.0,,560.0,563896,1571,150000,1097290,3551,1476237,4377498,69848,0
