date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融資產－流動,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,7949355,1231768,10014069,2018.0,102534.0,,,8011,2018,926304,21209,754700,24902,6575161,6575161,1825516.0,0.0,,1509880,0.0,5922,757502,28489,754700.0,231157,321620,5815994,2013年03月31日,7278056,,16279361,16279361,0,2736013,2944230,10082417,,,,1825516.0,,147009.0,355115,5815994,,,3699009.0,447280,,19978370.0,122648,79,137151,,0.0,754779,9895953,641347,0
2013-07-30,2,2013,7739738,1231768,8826054,12132.0,112648.0,,,11148,12132,2263162,21234,760157,48165,5887122,5887122,1990761.0,0.0,,1075691,0.0,2687,1069590,27902,760157.0,230423,332505,5815994,2013年06月30日,5928092,,15101460,15101460,0,2897962,3767678,9887183,,,,1990761.0,,154023.0,272115,5815994,,,4527860.0,447280,,19629320.0,128736,25,159538,,0.0,760182,9742137,638042,0
2013-10-31,3,2013,7640610,1249768,9153724,-653.0,299929.0,,,7536,-653,1061620,19306,764828,50764,5178828,5178828,,,,1281909,0.0,6257,787721,29634,764828.0,230423,331047,5815994,2013年09月30日,6255762,,15416345,15416345,0,2897962,2890803,9429497,,,,2440399.0,,97502.0,443515,5815994,,,3655631.0,447280,,19071976.0,84951,0,139867,,0.0,764828,9642479,581193,0
2014-03-12,4,2013,7610099,1249768,9614715,-8625.0,291957.0,,,10049,-8625,921816,19305,739246,35304,5392876,5392876,,,,1600222,0.0,2094,1108456,44575,739246.0,237978,323774,5815994,2013年12月31日,6716753,,15869364,15869364,0,2897962,2987561,10003064,,,,2489594.0,,189242.0,274187,5815994,,,3726860.0,447280,,19596224.0,57639,53,136237,,0.0,739299,9593160,588613,0
2014-04-24,1,2014,7580406,1249768,9990271,,478304.0,,,42147,-12175,661966,22389,744694,45772,5153581,5153581,,,,1251106,,3270,1704727,18815,744694.0,237506,355214,5815994,2014年03月31日,7092309,,16241370,16241370,0,2897962,2397609,9779516,,,1806644.0,,,259225.0,222042,5815994,,,3142436.0,447280,,19383806.0,55798,133,135624,,,744827,9604290,497111,0
2014-08-06,2,2014,7447340,1249768,8664681,-12830.0,477649.0,,0.0,18126,-12830,2379745,0,746225,140143,5001422,5001422,,0.0,0.0,1463595,,2920,1744940,32663,746225.0,230423,367246,5815994,2014年06月30日,5613461,,14915125,14915125,0,3042595,4373196,10462795,,8625.0,2651506.0,,,153756.0,373180,5815994,,,5119421.0,447280,,20034546.0,56507,0,136831,,0.0,746225,9571751,479982,0
2014-10-29,3,2014,7473354,1249768,9046235,-56926.0,433553.0,,0.0,23036,-56926,541669,0,743051,418555,5445708,5445708,,0.0,0.0,1524231,,1322,1350357,33475,743051.0,230423,398126,5815994,2014年09月30日,5995015,,15252583,15252583,0,3042595,3210634,9299211,,8625.0,1421655.0,,,76155.0,1067257,5815994,,,3953685.0,447280,,19206268.0,54726,0,136831,,0.0,743051,9907057,536701,0
2015-03-24,4,2014,7675316,1321768,9548199,-37144.0,453334.0,,0.0,9762,-37144,793123,586,737296,215241,4471783,4471783,,0.0,0.0,1271382,,59,1811255,6823,737296.0,230423,430541,5815994,2014年12月31日,6496979,,15774329,15774329,0,3042595,2791385,9293613,,8625.0,2043764.0,,,169964.0,556857,5815994,,,3530548.0,447280,,19304877.0,57870,1867,137975,,0.0,739163,10011264,438436,0
2015-04-29,1,2015,7682120,1321768,10021800,,465874.0,,,7778,-24605,672278,652,736062,225022,4187990,4187990,,,,939226,,124,1648760,7958,,230423,459000,5815994,2015年03月31日,6970580,259362.0,16260469,16260469,0,3042595,2484233,9426323,736062.0,8625.0,,2669447.0,,,613243,5815994,19482631.0,3222162.0,,447280,19482631.0,,56952,1867,137975,,,737929,10056308,380912,0
2015-07-30,2,2015,7734351,1321768,9119818,-37345.0,453133.0,,,5435,-37260,2069664,652,741471,177010,4254172,4254172,,,,1031287,,609,1164481,5492,,230423,490770,5815994,2015年06月30日,5873265,201426.0,15345832,15345832,0,3209408,3416520,9413410,741471.0,37145.0,,3110493.0,85.0,,113534,5815994,19505707.0,4159875.0,,447280,19505707.0,,50263,1884,137975,102.0,,743355,10092297,369187,0
