date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他長期借款,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,在建房地,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待售房地,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應收票據及款項－關係人淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,1088956,125287,1679591,60411,0.0,4000,258,365722,980246,1014,30487,507,29980,449705,399636,66240,14203.0,1777568,,1594,2236355,16517,48887,2915595,2816242,99353,654365,,579887,,11497,0.0,29966,60416,24764,0.0,72922,,35520.0,1626830,3848484,2013年03月31日,1633151,,,6429034,6400290,28205990,46440,1341687,4269717,,1334,,,403675.0,21735.0,1331.0,175610,3848484,,1806,,2468327.0,1160858,,8897361.0,308923,340764,7669,320000,719636,,28744,1126640,4627644,507762,1277382,979232,0
2013-08-14,2,2013,,1085936,125637,1230855,514919,0.0,3984,217,383425,1186020,588,5289,289,5000,728748,404807,52890,0.0,2047048,,1594,2359967,17207,36583,2990466,2888301,102165,654365,,528334,,12273,0.0,329478,47314,25325,0.0,8749,,35683.0,1670334,3848484,2013年06月30日,1073431,,,5996728,5969257,28205990,157424,2259522,4586778,,1211,,,762523.0,137.0,992.0,167599,3848484,,1782,,3527885.0,1160858,,9524613.0,285233,340666,7669,470000,874807,,27471,1268363,4937835,504000,1280123,1185432,0
2013-08-14,2,2014,,2518686,125367,779926,732666,0.0,4961,53,340308,1414821,796,3086,0,3086,865031,309970,43823,0.0,911432,,1594,3228961,9805,31021,3759742,3671464,88278,524898,,442503,0.0,77021,0.0,1453002,170085,24778,0.0,11215,,34018.0,1733638,3078787,2014年06月30日,532083,,,4805719,4785519,22564791,163682,3991757,4920956,,1572,84161.0,43644.0,,0.0,1432.0,142358,3078787,,1804,,5408638.0,1111396,,10214357.0,348859,340088,2706,723000,1032970,,20200,1416881,5293401,723186,13786,1414025,0
2013-11-14,3,2013,,1084265,124777,1200468,912362,0.0,4841,216,363524,1275351,1676,2299,299,2000,729799,369865,44389,0.0,2071541,,1594,2571570,8543,49175,3116223,3013936,102287,525035,,442366,,17139,0.0,169919,142623,25677,0.0,10793,,35846.0,1648912,3078787,2013年09月30日,1043044,,,5257030,5229148,22564791,157424,2723547,4266231,,1165,,,128900.0,61526.0,1044.0,142938,3078787,,1689,,3947532.0,1111404,,9204562.0,301628,339731,7671,470000,839865,,27882,1223985,4938331,674610,1290973,1273675,0
2014-03-28,4,2013,,904138,125248,1412553,81043,0.0,5060,94,352899,1215091,3903,2137,0,2137,705201,379751,40351,0.0,2196218,,1594,2830579,6661,30238,3361287,3272985,88302,524898,,442406,,16762,0.0,922591,108287,24859,0.0,7992,,33690.0,1668205,3078787,2013年12月31日,1255129,,,5451761,5430680,22564791,157424,2539550,4501894,,1216,,,91138.0,61790.0,1292.0,132127,3078787,,1859,,3961848.0,1111339,,9413609.0,321388,340196,16690,662000,1041751,,21081,1422298,4911715,686647,1459185,1211188,0
2014-05-14,1,2014,,2471606,126577,1371894,28235,,4944,96,375905,1233020,638,3328,127,3201,707166,409807,41179,0.0,752856,,1594,2996047,7325,30310,3522251,3438495,83756,524898,,442448,0.0,21315,,1233568,88330,23857,0.0,8698,,33854.0,1693328,3078787,2014年03月31日,1214470,,,5434021,5413027,22564791,157424,2807844,4671513,,1408,,44631.0,,61790.0,1393.0,139732,3078787,,1854,,4303561.0,1111339,,9737582.0,354055,339731,20294,705000,1114807,,20994,1495717,5066069,708260,13786,1232382,0
2014-11-14,3,2014,,2198284,126477,952474,51497,0.0,5907,54,379882,1812606,456,3281,0,3281,1222995,319511,47551,0.0,1269286,1594.0,1594,3418034,13368,30912,3951026,3860604,90422,126338,,442570,0.0,73921,0.0,1595352,89740,33645,0.0,15501,,34183.0,1812674,2933557,2014年09月30日,704631,,,5034853,5015389,8041830,163682,3828936,5250515,,1341,84161.0,55562.0,,0.0,1786.0,204101,2933557,,1719,,5624188.0,875814,,10659041.0,445473,357390,464,1070800,1390311,,19464,1795252,5408526,738280,13785,1812150,0
2015-03-31,4,2014,148344.0,2356912,128937,1186269,24158,0.0,5945,451,418519,1823971,9602,26290,894,25396,1247325,319676,45868,0.0,1296886,18701.0,18701,2530761,11983,30860,3743366,3665344,78022,19221,,1134583,0.0,307531,0.0,1559108,82597,33462,25.0,30971,,33885.0,1886877,2933557,2014年12月31日,938426,,,5402728,5385248,3844120,163682,4046309,5234974,,1151,84161.0,427569.0,,3523.0,1974.0,243660,2933557,,1761,,5507249.0,866124,,10909977.0,311220,325396,4240,770000,1089676,,17480,1460940,5675003,653701,0,1666025,0
2015-05-14,1,2015,0.0,2590408,128237,1342016,45317,0.0,6230,0,407804,1419724,5222,5616,1,5615,1190051,349589,50519,0.0,1228707,10568.0,10568,2658993,16481,28088,3308479,3226057,82422,19221,,567064,0.0,129674,0.0,1568570,110763,36775,0.0,15529,,,2082344,2933557,2015年03月31日,1094173,3523.0,2137.0,5547205,5530280,3844120,163682,3450107,4557520,34038.0,1111,84161.0,,280443.0,,,170747,2933557,10592418.0,1789,5045213.0,,866124,10592418.0,,299867,329998,4091,865000,1214589,,16925,1595106,6034898,602444,0,1414502,0
2015-08-14,2,2015,0.0,2821402,127357,1198031,131253,0.0,11086,0,372520,1276512,847,154539,1,154538,1147384,334496,46568,0.0,1186217,,10746,2895440,12376,28087,3380943,3298496,82447,19221,,403056,0.0,169782,0.0,1791013,96667,27746,0.0,11388,,,1844849,2933557,2015年06月30日,901648,0.0,261.0,5367929,5351071,3844120,212222,3623154,4627856,34192.0,1111,84161.0,,131126.0,,,156142,2933557,10612931.0,1785,5245002.0,,866184,10612931.0,,287925,320784,4139,920000,1254496,,16858,1621848,5985075,622842,0,1275665,0
