date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,代理店往來（海陸運輸業適用）,以成本衡量之金融負債－流動,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,倉儲設備淨額,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－採用權益法之子公司,備供出售金融資產未實現損益－採用權益法之關聯企業及合資,備供出售金融資產未實現損益－母公司,備供出售金融資產評價調整－非流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,其他應付款合計,其他應付款項－關係人,其他應付費用,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他短期借款,其他設備淨額,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,冷凍設備淨額,出租資產－其他淨額,出租資產－機器設備淨額,副產品,半成品,原料,員工福利負債準備－非流動,售氣及輸氣設備淨額,商品存貨,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,國外營運機構財務報表換算之兌換差額－採用權益法之關聯企業及合資,土地成本,土地改良物淨額,土地淨額,在製品,在途原物料,在途商品,天然資源淨額,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,寄銷品,工程存出保證金,工程進度請款金額,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－流動,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,景觀園藝淨額,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,模具設備淨額,機具設備淨額,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,污染防治設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,漁船設備淨額,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,營業器具淨額（觀光飯店業適用）,物料,特別盈餘公積,特別股負債－流動,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,碼頭設備淨額,礦產資源淨額,租賃改良淨額,租賃資產淨額,累積盈虧,累計減損－土地,股本合計,與待出售非流動資產直接相關之負債,船舶設備淨額,裝卸設備淨額,製成品,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,辦公設備淨額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遊樂設備淨額,運輸設備淨額,遞延兌換利益,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,重估增值合計,銀行借款,銀行存款,銀行長期借款,長期借款合計,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,飛航設備淨額
2013-05-14,1,2013,2475,2475,2324095,0.0,0.0,0.0,0,0.0,16128.0,16128,1520376,0.0,17455.0,27131.0,0.0,-9676.0,,153567,153567,,0.0,16757.0,,187210,0.0,187210.0,0.0,18043,18043.0,49635,0.0,213259,210784,131919,,187800.0,747616,0.0,,13615,13615,103821,81118.0,81118,0.0,0.0,0.0,0.0,0.0,428083.0,718257,0.0,0.0,0.0,32180.0,34686.0,-2506.0,,0.0,621735,557003.0,60128.0,0.0,0.0,19906,1638036,1638036,0.0,0.0,,0.0,38464,0.0,0.0,,0,334574.0,334574,0.0,0.0,0.0,0.0,58277.0,58277,0.0,0.0,448208.0,431451,0.0,0.0,0.0,0.0,127534,127534,0.0,0.0,274714,2155258,0.0,0.0,0.0,0,0.0,0.0,256238.0,256238,2400000,0.0,2013年03月31日,1233528,123470,,,0.0,0.0,534416,4817648,3967700,2293865,0.0,0.0,111737,1448183,2993160,,0.0,0.0,,14600.0,16233.0,,,0.0,89708.0,175111,0.0,,477994.0,0.0,0.0,87419.0,16.0,567444,0.0,,0.0,0.0,1233528.0,,2400000,0.0,0.0,0.0,515596,0.0,,0.0,718257,,3096011.0,36153,0.0,36153,,,7913659.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,22144,0.0,912862,879845,33017,48726,0.0,0,0.0,0.0,0.0,379644.0,477994.0,3094.0,3094,0.0,849948,1647828,4920499,0,0,2797,0.0,0,0.0
2013-08-13,2,2013,2475,2475,2253500,,,,0,,,16128,1527048,,,,,,,158356,158356,,,,,276577,,,,17143,,18768,,241290,238815,129534,128780.0,,745190,,754.0,13206,13206,148231,,123849,,,,,,,716100,,,,,,,,,615396,,,,,19918,1830093,1830093,,,,,38464,,,,0,,364521,,,,,,70634,,,,406161,,,,,144981,144981,,,258672,2150820,,,,0,,,,267892,2400000,,2013年06月30日,1221553,124226,,,,,484907,4722040,3943505,2293865,,,121767,1647933,3116113,,,,,14600.0,15391.0,,,,,183728,,,415245.0,,,49555.0,0.0,645356,,,,,,,2400000,,,,1830093,,,,716100,,3289198.0,36153,,36153,,,8011238.0,,,,,0,,,,25109,,907627,879845,27782,43163,,0,,,,,,,4332,,778535,1641265,4895125,0,0,4464,,0,
2013-11-12,3,2013,2475,2475,2222783,,,,0,,,13210,1623397,,,,,,,173170,173170,,,,,287307,,,,16688,,10328,,224656,222181,142030,141276.0,,744248,,754.0,13349,13349,159963,,122661,,,,,,,716175,,,,,,,,,612283,,,,,22574,1762517,1762517,,,,,38464,,,,0,,308140,,,,,,58274,,,,442842,,,,,137644,137644,,,248085,2148075,,,,0,,,,254238,2400000,,2013年09月30日,1317902,135660,,,,,457216,4814357,4031414,2293865,,,121767,1454394,3052464,,,,,14600.0,14893.0,,,,,183728,,,361834.0,,,40578.0,1139.0,535439,,,,,,,2400000,,,,1762517,,,,716175,,3101262.0,36153,,36153,,,7915619.0,,,,,0,,,,25291,,914250,879845,34405,49993,,0,,,,,,,3094,,782943,1646868,4863155,0,0,14728,,0,
2014-03-26,4,2013,2475,2475,3004289,,,,0,,,8762,1645880,,,,,,,0,0,189482.0,189482.0,,,222014,,,,25410,,941,,206713,204238,98474,97720.0,,734753,,754.0,13358,13358,148144,,125396,,,,,,,693349,,,,,,,,,1409758,,,,,19983,1621227,1621227,,,,,38464,,,,0,,306192,,,,,,44685,,,,331579,,,,,130830,130830,,,254028,1326892,,,,0,,,,339629,2400000,,2013年12月31日,334421,127927,,,,,442764,4897494,4121322,2293865,,,121767,1265986,2762618,,,,,14809.0,14273.0,,,,,1189692,,,539493.0,,,47750.0,796.0,438632,,,,,,,2400000,,,,1621227,,,,693349,,2918343.0,112965,,36153,76812.0,,7815837.0,,,,,0,,,,35059,,942556,879845,62711,21748,,0,,,,,,,3094,,776172,1652357,5053219,0,0,2765,,0,
2014-05-13,1,2014,2475,2475,3017911,0.0,0.0,0.0,0,0.0,8762.0,8762,1731417,0.0,43746.0,38424.0,0.0,5322.0,,0,0,,180567.0,11728.0,,175536,0.0,175536.0,0.0,22682,22682.0,49784,0.0,213303,210828,98808,,0.0,734057,0.0,,13957,13957,138098,117408.0,117408,0.0,0.0,0.0,0.0,0.0,448320.0,696920,0.0,0.0,0.0,6038.0,4967.0,1071.0,,0.0,1416486,224622.0,103867.0,0.0,0.0,19949,1788799,1788799,0.0,0.0,,0.0,38464,0.0,0.0,0.0,0,303363.0,303363,0.0,0.0,0.0,0.0,33823.0,33823,0.0,0.0,393942.0,382214,0.0,0.0,0.0,0.0,85013,85013,0.0,0.0,280729,1330033,0.0,0.0,0.0,0,0.0,0.0,345857.0,345857,2400000,0.0,2014年03月31日,419958,28317,,,0.0,0.0,524296,5122088,4255702,2293865,0.0,0.0,121767,1351717,3081351,,0.0,0.0,,14822.0,15059.0,,,0.0,68592.0,1189692,0.0,688217.0,,0.0,0.0,76006.0,796.0,549686,0.0,,0.0,0.0,419958.0,,2400000,0.0,0.0,0.0,951378,0.0,,0.0,696920,,3017536.0,112965,0.0,112965,,,8139624.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,34026,0.0,954323,879845,74478,21986,0.0,0,0.0,0.0,0.0,549686.0,688217.0,619.0,619,0.0,866386,1665819,5058273,0,0,741,0.0,0,0.0
2014-08-13,2,2014,2475,2475,2971533,,,,0,,,8762,1559268,,,,,,,0,0,,198187.0,,,496636,,,,25778,,89200,,226544,224069,117753,116998.0,,733188,,755.0,13298,13298,136588,,115913,,,,,,,696180,,,,,,,,,1411390,,,,,20030,1774438,1774438,,,,,38464,,,0.0,0,,325704,,,,,,58347,,,,377416,,,,,119322,119322,,,281411,1326960,,,,0,,,,314691,2400000,,2014年06月30日,405189,8007,,,,,503430,4925232,4122969,2293865,,,148115,1716240,3318073,,,,,48854.0,14389.0,,,,,1005964,,853714.0,,,,71566.0,798.0,537443,,,,,,,2400000,,,,1774438,,,,696180,,3386197.0,112965,,112965,,,8311429.0,,,,,0,,,,34107,,959860,879845,80015,22246,,0,,,,,,,619,,802263,1669957,4993356,0,0,645,,0,
2014-11-13,3,2014,2475,2475,2969038,,,,0,,,8762,1600701,,,,,,,0,0,203905.0,203905.0,,,248051,,,,22435,,139326,,297360,294885,155743,154988.0,,733565,,755.0,13343,13343,137209,,116296,,,,,,,700512,,,,,,,,,1415159,,,,,20226,1717353,1717353,,,,,38464,,,0.0,0,,247589,,,,,,63901,,,,375510,,,,,125594,125594,,,281500,1328739,,,,0,,,,311540,2400000,,2014年09月30日,446622,5652,,,,,496743,5050564,4214528,2293865,,,148115,1519086,3253739,,,,,57398.0,14895.0,,,,,1005964,,798484.0,,,,52383.0,1222.0,608128,,,,,,,2400000,,,,1717353,,,1674.0,700512,,3202693.0,112965,,112965,,,8253257.0,,,,,0,,,,36419,,969133,879845,89288,25430,,0,,,,,,,619,,836036,1683607,4999518,0,0,687,,0,
2015-03-30,4,2014,2475,2475,2963437,,,,0,,,8762,1660939,,,,,,,0,0,192514.0,192514.0,,,238812,,,,34129,,147574,,254190,251715,121540,120785.0,,733256,,755.0,14931,14931,139337,,114385,,,,,,,711327,,,,,,,,,1417068,,,,,20962,1613696,1613696,,,,,38464,,,0.0,0,,342652,,,,,,64208,,,,374086,,,,,119197,119197,,,287230,1371463,,,,0,,,,321303,2400000,,2014年12月31日,506860,12891,,,,,474972,5149894,4283014,2293865,,,148115,1452616,3275589,,,,,171607.0,15036.0,,,,,1005964,,727297.0,,,,80924.0,10044.0,471830,,,,,,,2400000,,,,1613696,,,,711327,,3160657.0,112965,,36153,76812.0,,8310551.0,,,,,0,103993.0,,,38020,,981164,879845,101319,23110,,0,,,,,,,619,,866880,1708041,5034962,0,0,3990,,0,
2015-05-13,1,2015,2475,2475,2837948,0.0,0.0,0.0,0,0.0,8762.0,8762,1779217,0.0,58297.0,43033.0,0.0,15264.0,,0,0,,198877.0,13954.0,,197676,0.0,197676.0,0.0,0,0.0,159448,0.0,245764,243289,125562,124806.0,0.0,732090,0.0,756.0,14837,14837,131692,109334.0,109334,0.0,0.0,0.0,0.0,0.0,372747.0,709380,0.0,0.0,0.0,101151.0,96576.0,4575.0,,0.0,1389212,504652.0,171362.0,0.0,,20040,1554195,1554195,0.0,0.0,,0.0,38464,0.0,0.0,0.0,0,301078.0,301078,0.0,0.0,0.0,0.0,48786.0,48786,0.0,0.0,370262.0,356308,0.0,0.0,0.0,0.0,145711,145711,0.0,,214016,1371343,0.0,0.0,0.0,0,0.0,0.0,269735.0,269735,2400000,0.0,2015年03月31日,625138,13865,87308.0,909.0,0.0,0.0,441644,5352881,4413166,2293865,0.0,0.0,148115,1224993,3449135,0.0,0.0,0.0,278474.0,,,,10388.0,0.0,53744.0,1005964,0.0,,883024.0,0.0,0.0,,,344381,0.0,0.0,0.0,0.0,625138.0,,2400000,0.0,0.0,0.0,456966,0.0,8298969.0,0.0,709380,2946088.0,,112965,0.0,112965,,8298969.0,,0.0,0.0,0.0,0.0,0,104952.0,0.0,0.0,47121,0.0,996259,879845,116414,21089,0.0,0,0.0,0.0,0.0,344381.0,883024.0,619.0,619,0.0,939715,1721095,4849834,0,0,2318,0.0,0,0.0
2015-08-13,2,2015,1857,1857,2792445,,,,0,,,8762,1623804,,,,,,,0,0,,200042.0,,,465201,,,,0,,90432,,220211,218354,123349,122593.0,,731785,,756.0,24791,24791,144954,,106978,,,,,,,689479,,,,,,,,,1384300,,,,,19994,1840235,1840235,,,,,38464,,,0.0,0,,417414,,,,,,67250,,,,353784,,,,,127759,127759,,,199720,1368040,,,,0,,,,249036,2400000,,2015年06月30日,443032,16582,61162.0,115.0,,,408926,5047719,4188737,2293865,,,174808,1526238,3491131,,,,141259.0,,,,9807.0,,,1005964,,,904630.0,,,,,295000,,,,,,,2400000,,,,1840235,,8285327.0,,689479,3237608.0,,112965,,112965,,8285327.0,,,,,,0,0.0,,,51132,,997100,879845,117255,21110,,0,,,,,,,0,,858982,1711370,4794196,0,0,17982,,0,
