date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,2853333,17910,1677865,1090169,76915,-25508,511060,,159657,,,,164105,,220865,,-25508,,,2890354,,,,3837272,17706,43568,149087,921,,401277,389218,1674631,2013年03月31日,1098622,,4600202,4585236,0,579243,5626061,6467922,,10349,0,,2974837.0,126286.0,,1674631,,,56691,,5846857.0,1258248,5137,,1253111,,10447059.0,,15263,0.0,86185,,,,14966,220796,3979137,,200888,,0
2013-08-09,2,2013,2849924,17910,1406031,1187114,63530,-26728,617736,120152.0,149140,2606.0,146534.0,,159558,,224873,22.0,-26728,124637.0,224851.0,2773874,,,,3811410,92472,97575,209963,2043,34921.0,400737,384777,1674631,2013年06月30日,723688,,4328371,4312182,0,651513,5896755,6470752,,8290,30830,,3153471.0,90448.0,,1674631,,,56691,,6113004.0,1258248,5137,,1253111,,10441375.0,0.0,11316,0.0,84112,,,,16189,216249,3970623,,107415,497584.0,0
2013-11-08,3,2013,2935135,17910,1566590,1110540,129226,-65661,574809,148583.0,122557,,122557.0,,410249,,260636,17.0,-65661,127620.0,250359.0,2932565,,,,3554379,19896,5348,534024,2946,33776.0,400196,155052,1674631,2013年09月30日,884247,,4776439,4433808,0,651513,5326463,6591960,,109261,30830,,2773220.0,61491.0,,1674631,,,56526,,5793238.0,1258248,5137,,1253111,,10569677.0,,9908,0.0,99527,248853.0,10260.0,,342631,466775,3977717,0.0,87514,426226.0,0
2014-03-07,4,2013,2834930,17910,1667436,1062157,70530,-72343,638103,107125.0,176100,,176100.0,,391477,,258390,12.0,-72343,127531.0,246305.0,3321311,,,,3915473,56477,15475,482137,8619,21904.0,399656,155175,1674631,2013年12月31日,985093,,4840358,4527972,0,651513,5784426,7172012,,111579,30830,,3053867.0,96741.0,,1674631,,,55989,,6231892.0,1258248,5137,,1253111,,11072250.0,,10846,0.0,122598,242042.0,12073.0,,312386,447466,3900238,,48602,530978.0,0
2014-05-07,1,2014,2807179,17910,1844441,849897,90907,-54809,525245,106544.0,160431,,160431.0,,383096,,261000,7.0,-54809,126816.0,248081.0,3137375,,,0.0,3123315,30239,17391,462996,3772,20719.0,399115,156965,1674631,2014年03月31日,1162098,,5031808,4722511,0,651513,4685395,6269469,,116004,30830,2232078.0,,139308.0,,1674631,,,56119,,5124610.0,1258248,5137,,1253111,,10156418.0,,4603,,128776,235561.0,12912.0,,309297,439215,3886949,,177307,418701.0,0
2014-08-08,2,2014,2532326,17910,1560884,918525,92260,-68961,590713,99338.0,146455,,146455.0,,371063,,261392,2.0,-68961,123040.0,248121.0,3079432,,,0.0,3309145,64110,17088,429274,2192,19611.0,629381,156637,1674631,2014年06月30日,784967,,4704385,4424802,0,703574,4973718,6261008,,109063,72343,2443934.0,,74137.0,,1674631,,,56119,,5400900.0,1258248,5137,,1253111,,10105285.0,,2922,,137568,228412.0,13269.0,,279583,427182,3844277,,64539,491375.0,0
2014-11-05,3,2014,2611946,17910,1654248,954979,142187,-67546,602858,105844.0,111769,,111769.0,17844.0,363201,,282708,0.0,-67546,123380.0,251309.0,2721897,,,0.0,3475364,52288,22839,354437,1701,18488.0,628585,156826,1674631,2014年09月30日,878331,,4784413,4519581,0,703574,5148037,6394545,,112493,72343,2980202.0,,39709.0,,1674631,,,55567,,5566805.0,1258248,5137,,1253111,,10351218.0,,6780,,146205,221333.0,13555.0,,264832,418768,3956673,,75572,497014.0,0
2015-03-27,4,2014,3758679,17910,1442119,982557,45319,-59757,558496,83350.0,138435,,138435.0,96662.0,356151,,350281,7928.0,-59757,120683.0,229651.0,2926583,,573728.0,0.0,3446977,50039,24667,84052,4748,18663.0,881031,155288,1674631,2014年12月31日,666202,,4503201,4315241,0,703574,5420006,5077513,,9450,72343,1233938.0,,57618.0,,1674631,299652.0,,86971,,5863128.0,1258248,5137,,1253111,,10366329.0,,6233,,116177,216805.0,16040.0,,187960,443122,5288816,,64477,475146.0,0
2015-05-08,1,2015,3726440,17910,1579410,835729,43578,-73712,513914,83048.0,149142,,149142.0,92711.0,333160,,348589,7698.0,-73712,127360.0,228082.0,2628656,,0.0,0.0,2932231,11941,9613,55091,1008,,880179,153355,1674631,2015年03月31日,803493,57424.0,4455248,4438577,0,703574,4363952,4032683,17717.0,13413,72343,,984319.0,,3100.0,1674631,0.0,9239610.0,87250,4784362.0,,1258248,5137,,1253111,9239610.0,,,5897,,67041,188083.0,20098.0,,16671,420410,5206927,,164992,430866.0,0
2015-08-07,2,2015,3691570,17910,1495829,932944,42591,-78145,615762,75718.0,148719,,148719.0,148879.0,326001,,400113,6868.0,-78145,128463.0,223289.0,2914012,,0.0,0.0,3692900,32719,5883,74077,1374,,879327,145412,1674631,2015年06月30日,721433,16312.0,4355784,4350563,0,714639,5320420,4940791,16628.0,12922,59757,,1674713.0,,23900.0,1674631,0.0,10167473.0,165268,5811689.0,,1258248,5137,,1253111,10167473.0,,,5537,,79428,180910.0,21077.0,,5221,491269,5226682,,79768,540044.0,0
