date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,613488,613488,6261054,75086,1340183,-5275,0.0,14697,14697,578114,,111413,86534,1066310,229110,161098,476670,28705,269406,63089,105417,91809,1478846,530114,,556509,39995,514,,1382739,189834,447965.0,,2941330,2013年03月31日,700784,,,4280614,4124730,46041259,83666,3657453,5166153,,105417,,,555733,,1701893.0,98975.0,1317036,2941330,,6934,,7623862.0,286797,285517.0,1280.0,1280.0,,11904476.0,0.0,4761.0,477410,12663,3005395,126711,155884,3966409,6738323,135569,79606,,223712,223712,0
2013-08-14,2,2013,618974,618974,6247567,75601,1254671,-6026,0.0,13945,13945,924555,630250.0,159678,69730,1134704,312655,169895,475466,27540,347331,95394,105417,75756,1708732,530114,,757188,69993,333,294305.0,1663697,204982,447926.0,,2941330,2013年06月30日,570651,,,4244562,4068294,46041259,128287,4534956,5940454,,105417,,,555733,,1916502.0,138982.0,1505505,2941330,,6760,,8498416.0,332677,331397.0,1280.0,1280.0,,12742978.0,3696.0,0.0,477410,12663,3003824,127605,176268,3963460,6802524,116968,124332,,203075,203075,0
2013-11-12,3,2013,786945,786945,6188541,75441,1515161,-6095,0.0,13877,13877,896390,896390.0,89957,10433,1094607,104313,196400,481208,32484,351127,94720,105417,16528,1687870,530114,,681629,109969,333,,1699646,179155,448724.0,,2941330,2013年09月30日,831141,,,4458169,4269487,46041259,128287,4688222,6084219,,105417,,,555733,,2122023.0,192784.0,1712510,2941330,,6760,,8373116.0,332677,331397.0,1280.0,1280.0,,12831285.0,0.0,950.0,477410,12663,2719516,125811,188682,3684894,6747066,108218,130596,108218.0,203349,203349,0
2014-03-18,4,2013,1107321,1107321,6353212,75755,1691523,-4865,0.0,15107,15107,974308,,104945,32816,1402308,53036,93616,562797,59474,371270,112248,105417,37681,1781691,530114,,646223,44951,61,,1561315,158676,503323.0,,2941330,2013年12月31日,1050728,,,4627652,4468232,46041259,128287,5122599,6313685,,105417,,,512508,,2520975.0,106309.0,1945686,2941330,,6760,,8630899.0,332677,331397.0,1280.0,1280.0,,13258551.0,2753.0,0.0,538703,24105,2400040,126944,159420,3508300,6944866,92467,132078,,241951,241951,0
2014-05-12,1,2014,959735,959735,6402019,75685,1900786,-4660,,15312,15312,763907,763907.0,92372,53127,1279752,46460,169714,592662,89263,500555,141061,105417,57787,1618718,530114,0.0,718520,84960,61,,1430106,148032,503399.0,,2941330,2014年03月31日,1259991,,,4862849,4697806,46041259,128287,5116066,6490813,,105417,,,512508,2865804.0,,134015.0,2134851,2941330,,6760,,8751057.0,332677,,,,,13613906.0,0.0,707.0,538703,24105,2496866,125714,165043,3634991,7123093,165360,233780,,273557,273557,0
2014-08-14,2,2014,850117,850117,6646412,75361,1583254,-4318,,15654,15654,1671960,1083229.0,192580,-39267,1159412,38633,164600,560037,57152,325134,117937,105417,-34949,1635990,530114,0.0,702630,134975,61,588731.0,1663201,177221,502885.0,,2941330,2014年06月30日,857023,,,4508799,4379640,46041259,213723,6379946,7602811,,105417,,,512508,3463937.0,,146976.0,2563932,2941330,,8585,,10286095.0,424437,,,,,14794894.0,0.0,824.0,538703,24105,2798824,123041,129159,3906149,7192083,304458,84156,,270662,270662,0
2014-11-11,3,2014,697355,697355,7351988,27166,1818444,-6301,,13671,13671,1088123,1088123.0,136356,61422,1009046,55704,201805,569324,64254,516766,180073,105417,67723,1851284,530114,0.0,777575,239929,97,,1898624,223093,505070.0,,2941330,2014年09月30日,1092213,,,4868236,4715519,46041259,213723,7218266,8164511,,105417,,,512508,3634945.0,,180292.0,3923154,2941330,,8585,,11335388.0,424437,,,,,16203624.0,50.0,0.0,538703,24105,3000510,124850,152717,4117122,8039113,218404,211843,,255987,255987,0
2015-03-20,4,2014,466463,466463,7774260,27166,2040571,-5685,,14287,14287,1028208,,153583,204619,808133,59538,139313,571784,53850,467170,283648,105417,210304,1856898,530114,0.0,663996,99994,1116,,1505716,187029,517934.0,,2941330,2014年12月31日,1314340,,,5252578,5080843,46041259,213723,6178713,8498553,,105417,,,512508,4461887.0,,171578.0,3405688,2941330,,8585,,11661736.0,424437,,,,,16914314.0,0.0,50.0,605543,27461,4297111,127476,171735,5483023,8415761,194077,56046,,282132,282132,0
2015-05-13,1,2015,270707,270707,7794459,27166,2329746,-5958,,14014,14014,968556,,124224,157716,650114,72622,212299,581828,65746,437179,269900,105417,163674,1792554,530114,0.0,629571,110000,955,,1481659,199064,,,2941330,2015年03月31日,1603515,165465.0,,5493473,5323115,46041259,213723,6145205,8892769,516082.0,105417,,,512508,,4919276.0,,3620544,2941330,17298465.0,8585,11804992.0,,424437,,,,17298465.0,,,442.0,605543,27461,4463831,125604,170358,5659787,8405696,163251,41675,,306785,306785,0
2015-08-13,2,2015,223423,223423,7770183,27166,2018917,-6313,,13657,13657,1751733,1133378.0,230805,26135,607256,94309,141989,602335,87107,450469,148818,105417,32448,1732230,530114,0.0,789311,109994,836,618355.0,1541443,202479,,65589.0,2941330,2015年06月30日,1197823,198341.0,52946.0,5092803,4977054,46041259,308586,6914884,9328071,515228.0,105417,,,512508,,5298974.0,,3457295,2941330,17788013.0,8585,12695210.0,,520786,,,,17788013.0,,118.0,0.0,605543,27461,4563863,262415,115749,5780326,8459942,127205,39236,,289524,289524,0
