date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,,517598,,-276466,73966,,125881,6069,11421,,64056,128471,,56359,,,14690,19853,,235409,,,,,335676,0,79860,10070,590327,,,47146,415372,,1391173,2013年03月31日,-330481,1264124,1187891,0,15356.0,906489,1259595,5395.0,38659.0,,264555.0,208344,1391173,12061.0,,,1044083.0,9128,,2308207.0,57,0.0,404.0,16428,122500,76233.0,137594,1048612,54378.0,0
2013-08-14,2,2013,,405374,,-300017,39121,,105419,390,11293,,34729,67055,,35503,,,15567,12345,12345.0,200495,200495.0,,115246.0,,290220,94136,99806,7390,669691,,,60050,413559,,1391173,2013年06月30日,-354032,1209847,1135013,0,15356.0,890680,1336792,4630.0,38659.0,,189263.0,213565,1391173,12182.0,,,1018402.0,9128,,2228249.0,517,19.0,405.0,16428,111750,74834.0,127722,891457,55232.0,0
2013-11-14,3,2013,,384925,,-320636,43106,,83866,946,12016,,32488,52444,,50354,,,14321,5831,5831.0,227860,227860.0,,119142.0,,324903,89563,99689,2907,660722,0.0,0.0,37738,411738,,1391173,2013年09月30日,-374651,1185773,1112153,0,15356.0,928004,1365088,3864.0,38659.0,,204716.0,261326,1391173,12065.0,,,1043325.0,9128,,2229098.0,295,123.0,0.0,14546,101000,73620.0,115321,864010,52417.0,0
2014-03-27,4,2013,,356386,,-309653,81915,,79,4250,47478,12815.0,78923,136141,,58717,,,14381,5352,5352.0,192756,192756.0,,,,231661,128656,117653,3059,491364,106253.0,106253.0,46989,409920,40456.0,1391173,2013年12月31日,-339594,1169571,1169571,0,0.0,937171,1298371,3098.0,29941.0,,302934.0,315672,1391173,0.0,,,1041802.0,9128,,2211373.0,0,39.0,0.0,15875,90250,0.0,104631,913002,39026.0,0
2014-05-14,1,2014,,354525,,-325248,68786,,81431,4626,39386,13567.0,74726,66705,,49932,,,14954,6081,6081.0,160509,160509.0,,,0.0,321072,111776,117577,2547,583616,133603.0,133603.0,21500,408102,42695.0,1391173,2014年03月31日,-355189,1149779,1149779,0,0.0,1045595,1391507,2332.0,29941.0,299296.0,,322966,1391173,0.0,,,1140049.0,9128,,2289828.0,16895,49.0,0.0,15800,79500,0.0,94454,898321,90049.0,0
2014-08-13,2,2014,,336054,,-332636,60813,,79753,4570,34019,13314.0,55165,57417,,85900,,,14999,11697,11697.0,149814,149814.0,,0.0,0.0,219742,33915,119577,1000,596168,128537.0,128537.0,19697,406284,40999.0,1391173,2014年06月30日,-332636,1122830,1122830,0,,1050223,1383436,1567.0,0.0,303158.0,,517313,1391173,0.0,,,1133972.0,9128,,2256802.0,16936,0.0,0.0,15952,68750,0.0,83749,873366,52829.0,0
2014-11-12,3,2014,,333785,,-335847,61543,,85969,0,36354,9026.0,62848,58877,,132006,,,15068,11989,11989.0,158770,158770.0,,0.0,0.0,267244,929,0,463,637535,134539.0,134539.0,3501,404466,42584.0,1391173,2014年09月30日,-335847,1127302,1127302,0,0.0,1036102,1366402,801.0,0.0,198398.0,,609987,1391173,0.0,,,1109170.0,9128,,2236472.0,12633,49.0,,14902,58000,0.0,73068,870070,56224.0,0
2015-03-27,4,2014,,333607,,-322611,91623,0.0,76293,6579,40544,8637.0,113442,54650,,204474,62574.0,141900.0,21956,12537,12537.0,174303,174303.0,0.0,,0.0,322338,1572,0,3404,663432,152892.0,152892.0,991,402817,49128.0,1391173,2014年12月31日,-322611,1191132,1191132,0,,1142302,1501508,35.0,0.0,256235.0,,663497,1391173,,,,1215008.0,9128,,2406140.0,13969,0.0,,14885,50750,0.0,72706,904632,,0
2015-05-13,1,2015,,324493,,-334497,58300,,76825,6772,35981,46078.0,72011,45797,,222492,67608.0,154884.0,16902,11574,11574.0,201093,201093.0,,,0.0,225613,5015,99916,477,616660,94483.0,94483.0,877,401308,48362.0,1391173,2015年03月31日,-334497,1137815,1137815,0,,1136090,1479558,25.0,0.0,,261894.0,665532,1391173,,2334307.0,1196492.0,,9128,2334307.0,,10143,0.0,,10687,43500,,60402,854749,,0
2015-08-13,2,2015,,318987,,-316790,71194,,76844,7736,4147,37030.0,79589,41415,,212758,53381.0,159377.0,16963,11322,11322.0,189667,,,,0.0,176818,10723,99928,1001,665660,80947.0,80947.0,1509,399800,47644.0,1391173,2015年06月30日,-316790,1163100,1163100,0,,1107694,1463165,14.0,,,271447.0,688275,1391173,,2324007.0,1160907.0,,9128,2324007.0,,4954,,,11881,36250,,53213,860842,,0
2015-11-12,3,2015,29000.0,322462,,-331978,56216,,76773,7651,6745,17367.0,81116,35424,6424.0,192534,60186.0,132348.0,17095,11962,,271945,,,,0.0,187437,19627,99937,419,664261,88366.0,88366.0,1963,398291,50784.0,1391173,2015年09月30日,-331978,1149439,1149439,0,,1130704,1479486,4.0,,,236305.0,697083,1391173,,2326238.0,1176799.0,,9128,2326238.0,,6353,0.0,,7033,29000,,46095,846752,,0
