date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付建造合約款,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,26045,640794,0.0,399164,81745,81745.0,1817,-15657,28838,2793,37890,10,80782,34363,93933,0.0,,135270,,3915,315101,,18695,656260,2013年03月31日,241352,,,1406993,1406993,0,94708,340346,1210132,3744,,221773.0,63104,,517978.0,4717.0,1945.0,85861.0,656260,,,529665.0,367226,,1936658.0,0.0,9292,1206,180017,46419,0.0,189319,726526,1000,1000.0,0
2013-08-13,2,2013,33676,653790,0.0,371420,91404,91404.0,3367,2133,43149,9473,49633,12,81313,34196,100323,,,141736,,3523,350704,,7741,656260,2013年06月30日,213608,,,1398298,1398298,0,94708,383460,1212734,3016,,187211.0,63104,,511026.0,5480.0,1708.0,98168.0,656260,,,554965.0,368485,,1953263.0,0.0,4667,2410,166826,47117,,171505,740529,1021,1021.0,0
2013-11-12,3,2013,40639,711520,0.0,366274,134757,134757.0,2875,-8343,47913,7274,38208,10,83590,37169,83977,,,163831,,1866,385132,449.0,6077,656260,2013年09月30日,208462,,,1383936,1383936,0,94708,359634,1098287,2237,,189383.0,63104,,389467.0,5843.0,1708.0,5424.0,656260,,,514451.0,369745,,1898387.0,0.0,4052,2753,150755,46421,,154817,800100,1011,1011.0,0
2014-03-18,4,2013,48384,706506,0,372182,142862,142862,1760,6587,55851,7467,37087,10,88893,41968,86473,,,162243,584,2693,397942,,5928,656260,2013年12月31日,214370,,,1405506,1405506,0,94708,370146,1147659,1490,,185439,63104,,429871,5913,2131,0,656260,,,542105,370477,,1947611,0,4408,3063,167541,46925,,171959,799952,1028,1028,0
2014-05-12,1,2014,58903,701480,0.0,360415,142070,142070.0,4302,22270,63024,4121,31050,10,85363,38081,76751,,0.0,138363,4062.0,1195,369770,1710.0,11819,656260,2014年03月31日,202603,,,1410535,1410535,0,94708,354840,1191223,1357,,203084.0,63104,491696.0,,6126.0,0.0,0.0,656260,,,571896.0,371590,,1982431.0,,1685,3008,215361,47282,,217056,791208,1041,1041.0,0
2014-08-14,2,2014,63407,674367,0.0,370060,139198,139198.0,2691,1370,67180,3773,38430,80,80157,34074,72048,,0.0,187342,4330.0,2694,363274,3392.0,4566,656260,2014年06月30日,212248,,,1399856,1399856,0,94708,407959,1244085,1479,,200741.0,63104,556919.0,,7215.0,1004.0,0.0,656260,,,603937.0,372166,,2003793.0,,3789,3705,192109,46083,,195978,759708,1020,1020.0,0
2014-11-11,3,2014,70220,670233,0,390916,142623,142623,2409,20669,73806,3586,40976,80,84615,37934,104261,,0,166553,3751,2320,426885,3033,7085,656260,2014年09月30日,233104,,,1440587,1440587,0,94708,398286,1260950,1492,,162984,63104,511408,,9233,870,0,656260,,,579638,372742,,2020225,,6077,2935,175195,46681,,181352,759275,1039,1039,0
2015-03-30,4,2014,78845,676533,,413427,160468,160468.0,8184,67995,82271,3426,41367,80,85195,36632,82542,,0.0,154925,1144.0,1616,416958,3161.0,6164,665860,2014年12月31日,255615,,,1523240,1523240,0,94708,406995,1331474,1327,,159412.0,63104,612373.0,,6571.0,226.0,,665860,,,574349.0,375958,,2097589.0,,6860,3060,160414,48563,,167354,766115,1087,1087.0,0
2015-05-12,1,2015,94446,652415,,411894,152158,,5791,52655,98435,3989,42911,80,83248,35671,67814,,,118194,372.0,877,288800,2648.0,6343,665860,2015年03月31日,254082,9979.0,0.0,1506905,1506905,0,94708,380015,1339602,1109,90167.0,,63104,,834057.0,,,,665860,2079622.0,572717.0,,376496,2079622.0,,,4075,3248,188547,47577,,192702,740020,1071,,0
2015-08-11,2,2015,99343,631729,12000.0,366700,179435,,1489,41309,104315,4972,37121,80,85807,38944,62716,,,107974,1805.0,1781,242764,1653.0,3349,665860,2015年06月30日,204764,2519.0,0.0,1450619,1450619,0,98832,397829,1278016,918,89968.0,,63104,,743492.0,,,,665860,2010420.0,559801.0,,376750,2010420.0,,94403.0,1995,1950,159897,46863,,161972,732404,1061,,0
2015-11-12,3,2015,112148,620552,12000.0,388639,167741,,917,76846,116141,3993,37432,80,81277,33578,53833,,,108305,1682.0,1081,247855,1697.0,3197,665860,2015年09月30日,226703,2325.0,531.0,1508349,1508349,0,98832,397275,1335272,765,36775.0,,63104,,549277.0,,,,665860,2051578.0,543229.0,,377004,2051578.0,,402672.0,5296,1712,140578,47699,,145954,716306,1086,,0
2016-03-23,4,2015,105844,589550,12000.0,391236,116322,,1100,58760,108399,2555,227951,80,74644,28246,48183,,,84185,1674.0,978,208886,1319.0,1454,665860,2015年12月31日,229300,5968.0,0.0,1492554,1492554,0,98832,416001,1351082,608,2549.0,,63104,,423971.0,,,98475.0,665860,2029591.0,537037.0,,376698,2029591.0,,434606.0,2380,1707,118576,46398,,121036,678509,1063,,0
2016-05-13,1,2016,97818,572146,12000.0,390346,113304,,490,41665,100470,2652,94556,80,74211,28751,36695,,,58681,102.0,890,187391,1247.0,599,665860,2016年03月31日,228410,6409.0,,1474760,1474760,0,98832,376411,1287805,459,2549.0,,63104,,334700.0,,,96555.0,665860,1948493.0,473733.0,,376889,1948493.0,,628531.0,1944,1872,95298,45460,,97322,660688,1047,,0
2016-08-09,2,2016,83960,544067,12000.0,377192,121468,,749,24744,86769,2809,28262,80,70508,26346,33845,,,65541,102.0,1567,160248,1235.0,848,665860,2016年06月30日,214146,292.0,,1444685,1444685,0,99942,340289,1241199,332,2847.0,,63104,,306909.0,,,64550.0,665860,1869701.0,425016.0,,376889,1869701.0,,705233.0,2573,1595,82074,44162,,84727,628502,1023,,0
2016-11-09,3,2016,80713,506379,12000.0,372673,97277,,191,-9526,111609,30896,27254,80,67821,25457,28384,,,60457,102.0,913,145050,281.0,825,665860,2016年09月30日,209627,564.0,2891.0,1405896,1405896,0,99942,333642,1298807,246,1961.0,,63104,,298362.0,,,62720.0,665860,1886696.0,480800.0,,376889,1886696.0,,792621.0,1435,1443,145643,42364,,147158,587889,987,,0
