date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付股利,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1017419,518757,553436,249499,143043,106195,,,204955,69953,14692,769428,13540,755888,101853,16071,117609,84969,32640,1154032,,110231,579483,,393001,85782.0,331125,127067,3798837,2013年03月31日,403327,,4557228,4557228,0,27146,1352458,3921484,,122963,,950335.0,36596.0,450000,3798837,,,1629993.0,,6187221.0,280808,175682,10717,277535,2265737,124381,55261,0
2013-08-08,2,2013,1024148,518757,306472,274981,137878,316896,,126954.0,269580,80913,28697,757052,42035,715017,99502,14654,94032,60304,33728,1005581,,80928,679561,189942.0,340922,84848.0,329317,126188,3798837,2013年06月30日,139414,,4374889,4374889,0,44095,1525777,3936377,,122963,,1199147.0,7479.0,360000,3798837,,,1802708.0,,6177597.0,275558,177429,10900,276931,2241220,83136,52216,0
2013-11-14,3,2013,1037134,519211,276796,248903,145293,124488,,124488.0,223651,63257,11209,49205,39539,9666,101068,17778,81843,45649,36194,1276498,,87352,649546,,351178,83290.0,325671,119590,3798837,2013年09月30日,109738,,4299284,4299284,0,44095,1358591,3694958,,122963,,1335292.0,3948.0,430000,3798837,,,1635194.0,,5934478.0,284606,175535,10778,276603,2239520,149276,52048,0
2014-03-27,4,2013,1088523,519211,354260,161525,177806,209204,,209204.0,226361,80735,28680,28293,18455,9838,102965,14015,72452,29175,43277,1098241,,61319,629812,,389707,88950.0,324735,111887,3798837,2013年12月31日,187202,,4379458,4379458,0,44095,1349231,3678937,,122963,,1481766.0,28161.0,340000,3798837,,,1605062.0,,5984520.0,436611,152866,10969,255831,2305583,82794,52055,0
2014-05-14,1,2014,1088051,517046,440099,180666,192599,139633,,,258524,65260,18526,20914,11114,9800,99030,9586,67956,29916,38040,1149727,0.0,51901,579679,,365196,89444.0,322077,127319,3798837,2014年03月31日,273041,,4497460,4497460,0,44095,1193407,3617899,,122963,1462794.0,,26934.0,330000,3798837,,,1446414.0,,5943874.0,317135,153977,10927,253007,2325975,121467,46734,0
2014-08-08,2,2014,1096875,517046,349062,192773,220566,241300,165323.0,,252360,75576,31175,21120,11498,9622,100420,10436,83606,45297,38309,1056785,0.0,51284,479864,75977.0,292496,89984.0,318225,121152,3798837,2014年06月30日,180341,,4400259,4400259,0,45758,1294617,3581138,,122963,1529225.0,,6593.0,440000,3798837,,,1549078.0,,5949337.0,349479,154041,10729,254461,2368199,139260,44401,0
2014-11-12,3,2014,1101596,269099,283552,158282,851153,212700,,,665648,80195,27818,86710,76842,9868,100021,9541,83451,44075,39376,1450995,0.0,68509,579806,,347792,90480.0,317904,117616,3798837,2014年09月30日,114831,,4748037,4748037,0,45758,1476651,3715038,,122963,1135357.0,,5441.0,530000,3798837,,,1718823.0,,6466860.0,346452,142151,11003,242172,2751822,189450,52377,0
2015-03-25,4,2014,1115455,269099,303937,185248,810313,198011,,,725689,73812,14002,205328,21680,183648,102602,8186,68244,22078,46166,1341378,0.0,52243,749486,,364566,94416.0,318254,116167,3798837,2014年12月31日,135216,,4828463,4828463,0,45758,1444939,3810848,,122963,1015844.0,,1387.0,370000,3798837,,,1691272.0,,6519735.0,304095,143731,11355,246333,2708887,394389,59810,0
2015-05-13,1,2015,1121019,269099,210848,192010,807659,163544,,,710184,72257,18397,191354,35833,155521,102888,7962,66060,21173,44887,1516256,,188792,599147,,378535,,315400,114080,3798837,2015年03月31日,42127,1612.0,4719869,4719869,0,45758,1555352,3816826,94926.0,122963,,1052875.0,,530000,3798837,6521391.0,1801522.0,,6521391.0,,237930,143282,11248,246170,2704565,247866,53860,0
2015-08-12,2,2015,1096658,269099,120801,185289,766833,186598,186598.0,,634472,70784,16016,113969,33155,80814,97047,6371,65074,20984,44090,1476762,,80173,599275,0.0,352975,,312214,108672,3798837,2015年06月30日,-50830,858.0,4554110,4554110,0,48668,1497688,3661922,90676.0,122963,,1094776.0,,560000,3798837,6291562.0,1737452.0,,6291562.0,,266237,142717,11090,239764,2629640,171914,54768,0
2015-11-11,3,2015,1089297,269099,-8588,171414,700103,197687,197687.0,,644111,75129,14012,168285,116043,52242,101304,10013,65944,21369,44575,1877385,,97785,599210,,298020,,313402,109378,3798837,2015年09月30日,-180219,860.0,4434360,4434360,0,48668,1540671,3662868,91291.0,122963,,811020.0,,570000,3798837,6221633.0,1787273.0,,6221633.0,,186574,145298,11542,246602,2558765,150170,61117,0
