date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收所得稅退稅款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,,4369216,0.0,1753470,77105.0,324986,298182,408693,98364,75647,336442,,39884,352803,,322107,,-1458.0,,807388,0,,275665,2764.0,81623,555,251287,857,1761,196111,,,1527545,,4210008,2013年03月31日,594818,,,6971521,6061424,0,1116298,1131021,2923669,,5941,42354,,1020937.0,25279.0,1761.0,,4210008,,,2556433.0,22299,22299.0,,9527954.0,,18117,81294,1054492,,910097,1425412,6604285,182094,0
2013-08-13,2,2013,,4388908,0.0,1662409,,249518,298102,534231,18514,94198,347799,,56161,380530,,325380,,,,925850,0,,296371,2811.0,97762,1524,247682,6374,189,240175,2713.0,,1525831,,4210008,2013年06月30日,482463,,,6914699,5988914,0,1125079,1298759,3040733,,5869,54867,,1018615.0,18261.0,189.0,,4210008,,,2758354.0,22299,,,9673053.0,122200.0,22013,88230,1057052,,925785,1459595,6632320,152742,0
2013-11-13,3,2013,,4306890,0.0,1683481,,307536,304045,399873,29542,82214,359930,,58579,350478,,344566,,,,835700,0,,320109,,93881,898,235395,8121,213,316228,967.0,,1523797,,4210008,2013年09月30日,503535,,,6908200,5998002,0,1125079,1190981,2788597,,5631,54867,,819400.0,16290.0,213.0,,4210008,,,2461129.0,22299,,,9369329.0,,28272,95803,891398,,910198,1270148,6580732,176916,0
2014-03-28,4,2013,,4336312,0.0,1794838,,244630,306739,407676,49765,119409,349969,,34738,413927,,394548,,,,792637,0,,276075,,126078,1064,289974,7328,319,618542,6847.0,,1521764,,4210008,2013年12月31日,614892,,,7126364,6146554,0,1125079,1299038,3097944,,5557,54867,,929771.0,42336.0,319.0,95840.0,4210008,,,2662872.0,22299,,,9789236.0,,50188,126372,899719,,979810,1363834,6691292,123393,0
2014-05-12,1,2014,,4292902,,1880558,,336276,304531,390774,8170,112571,422427,,43210,415794,,371965,,,,851995,0,0.0,249230,0.0,102835,610,280555,5302,288,637994,10290.0,,1519730,,4210008,2014年03月31日,700612,,,7223050,6225436,0,1125079,1440176,3190116,,5362,54867,905517.0,,50570.0,288.0,223730.0,4210008,,,2575691.0,22299,22299.0,,9798741.0,,41452,114135,678269,,997614,1135515,6608625,110519,0
2014-08-14,2,2014,,4226145,0.0,1486854,,307428,291306,867231,6628,67801,422308,,29998,393671,,344759,,,,841059,0,0.0,276027,,90691,1230,277289,6461,286,854726,15876.0,,1517696,,4210008,2014年06月30日,291968,,,6802690,5786962,0,1152532,1943006,3346895,,5094,42354,950247.0,,66098.0,286.0,219421.0,4210008,,,3049680.0,22299,22299.0,,9852370.0,0.0,46978,120475,666025,,1015728,1106674,6505475,56897,0
2014-11-14,3,2014,,4259576,0.0,1520303,,154745,265472,326983,24651,120068,1001698,,28318,369005,,348301,,,,917070,0,0.0,164861,,111805,1029,293601,4696,308,402959,7056.0,,1515663,4130.0,4210008,2014年09月30日,325417,,,6900056,5872678,0,1152532,1796412,2595882,,5049,42354,692337.0,,7420.0,308.0,182616.0,4210008,,,2202406.0,22299,22299.0,,9102462.0,,36989,108389,0,,1027378,405994,6506580,70141,0
2015-03-30,4,2014,934738.0,4273522,0.0,1568770,,228096,260065,381153,22395,167234,989903,55165.0,28097,404050,113883.0,368075,102624.0,,89612.0,848020,0,0.0,145134,737.0,117669,986,303183,7020,333,526122,5703.0,290167.0,1526771,3488.0,4210008,2014年12月31日,373884,,,7032121,5968311,0,1152532,1840346,2767192,,5030,42354,746356.0,,14456.0,333.0,190308.0,4210008,,,2251394.0,22299,,,9283515.0,,6998,79372,0,175839.0,1063810,411048,6516323,51867,0
2015-05-15,1,2015,0.0,4201028,0.0,1579272,,262773,259667,297976,6645,149762,55441,55441.0,28333,361315,71379.0,370407,108575.0,,88635.0,879860,0,0.0,124879,454.0,71150,539,197497,6955,280,396461,504.0,,1524761,3268.0,4210008,2015年03月31日,384386,17751.0,280.0,7007616,5961341,0,1152532,759736,2621817,289936.0,4804,42354,,742988.0,,,191546.0,4210008,9065026.0,2057410.0,,22299,22299.0,9065026.0,,,6922,79274,929437,173197.0,1046275,1297674,6443209,99521,0
2015-08-14,2,2015,0.0,4127614,0.0,1477375,,238341,244156,374865,8444,115954,59825,59825.0,33130,331785,45746.0,345876,94869.0,,81218.0,844869,0,0.0,194329,503.0,91055,868,213736,7407,178,565508,497.0,,1526029,1583.0,4210008,2015年06月30日,254135,30294.0,178.0,6843029,5825636,0,1180886,941266,2706882,286039.0,4560,42354,,722075.0,,,189527.0,4210008,9035090.0,2192061.0,,22299,,9035090.0,,,6922,78390,912088,169789.0,1017393,1250795,6328208,72697,0
2015-11-13,3,2015,0.0,4239371,0.0,1444945,,231930,253427,773463,9553,180968,58362,58362.0,34861,305717,26719.0,352561,94964.0,,81887.0,874743,0,0.0,319965,367.0,137037,898,216592,5269,199,521339,1863.0,,1523876,1378.0,3789007,2015年09月30日,221705,19255.0,199.0,6442124,5437219,0,1180886,1511428,2803030,278998.0,4562,42354,,825466.0,,,202081.0,3789007,9253975.0,2811851.0,,22299,,9253975.0,,,6923,75770,987783,175710.0,1004905,1300423,6450945,81215,0
