date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,346564,53010,2264968,,,703116,,4413,,-62635,21391,15775,77878,14555,-62635,7156,,,340890,,335926,,16796,1309616,,943507,2013年03月31日,1416416,,,4958713,4958713,0,804873,1116990,4577199,349.0,43679,,3234812.0,51593.0,,943507,,251588,,1446805.0,1812873,225972,,1586901,,6405518.0,962321,349,104225,329815,1828319,0
2013-07-25,2,2013,345353,53035,1758759,,,1367216,,2261,,-63127,13889,78176,81829,14390,-63127,7377,,,408673,,390436,,10698,1306886,,943507,2013年06月30日,799300,,,4455575,4455575,0,870008,1828961,4826068,268.0,89451,,3533372.0,39183.0,,943507,,260498,,2171639.0,1816436,229535,,1586901,,6627214.0,803748,351,81214,342678,1801146,0
2013-10-28,3,2013,343842,52971,1922367,,,736551,,7368,,-71693,15806,70879,76247,14370,-71693,11144,,,356159,,257836,,12420,1304156,,1000984,2013年09月30日,962908,,,4615060,4615060,0,870008,1171848,4384137,187.0,89451,,3783751.0,63332.0,,1000984,,312358,,1560799.0,1763402,228848,,1534554,,6175859.0,240739,346,76196,388951,1791722,0
2014-02-12,4,2013,342490,53007,2112955,,,675409,,21490,,-73164,90947,39892,71215,35621,-73164,8727,,,284346,,262107,,5819,1301425,,1001429,2013年12月31日,1153496,,,4815598,4815598,0,870008,1142624,4585647,144.0,89451,,4066568.0,91922.0,,1001429,,323064,,1540277.0,1774378,235129,,1539249,,6355875.0,181044,3374,37541,397653,1770228,0
2014-04-24,1,2014,340649,53105,2285145,,,636340,,30138,,-54322,63585,42521,71235,30101,-54322,8158,,,250780,,193399,,13884,1298694,,1001471,2014年03月31日,1325686,,,5008394,5008394,0,870008,1030997,4692440,102.0,89451,4256980.0,,80292.0,,1001471,,340867,,1444390.0,1776100,236643,,1539457,,6452784.0,147360,1291,37693,413393,1760344,0
2014-07-24,2,2014,340981,53016,1716296,,,1328133,,17167,,-67712,51595,42504,71256,16575,-67712,8285,,0.0,257558,,138003,,10824,1295964,,1001557,2014年06月30日,702329,,,4427455,4427455,0,940803,1665862,4737869,24876.0,73164,4343527.0,,28576.0,,1001557,,342806,,2080389.0,1777314,237358,,1539956,,6507844.0,177559,465,38563,414527,1769975,0
2014-10-27,3,2014,340135,53098,1899990,,,662334,,12591,,-69717,73805,43584,71635,11422,-69717,9861,,0.0,228182,600.0,112201,,17472,1293234,,1001705,2014年09月30日,886023,,,4611055,4611055,0,940803,972263,4254617,25309.0,73164,3892435.0,,7342.0,18717.0,1001705,,356582,,1408753.0,1779077,238292,,1540785,,6019808.0,147756,8273,41993,436490,1765191,0
2015-02-11,4,2014,441806,87048,2113615,,,706685,,16357,,-57652,91674,48069,77405,8491,-57652,7479,,0.0,270470,181.0,162035,,11733,1290503,,1002192,2014年12月31日,1099648,,,4840569,4840569,0,940803,1084294,4526126,31.0,73164,4061178.0,,15284.0,2321.0,1002192,,388799,,1558142.0,1782414,238229,,1544185,,6398711.0,216954,7644,44706,473848,1872585,0
2015-04-29,1,2015,438762,86960,2221284,,,676019,,10470,,-74060,71134,40062,76572,4482,-74060,6299,,0,254783,0,122857,,10156,1287773,,1002533,2015年03月31日,1207317,5893,0,4934100,4934100,0,940803,1007829,4545497,8,73164,,4238849,,,1002533,6413160,393198,1479060,,1784343,237696,,1546647,6413160,,116804,1461,49678,471231,1867663,0
2015-07-29,2,2015,454500,86850,1645316,,,1313527,,7284,6971.0,-97120,60601,37496,77570,3859,-97120,5674,,0.0,248247,0.0,70696,,8496,1285043,407925.0,1005361,2015年06月30日,576163,23910.0,14676.0,4351019,4351019,0,1011501,1646285,4191710,0.0,57652,,3923450.0,,,1005361,6472963.0,395040,2121944.0,,1797462,238368,,1559094,6472963.0,,116967,3049,43076,475659,2281253,0
2015-10-28,3,2015,466106,87353,1810842,,,676797,1993.0,2900,12017.0,-20088,77522,33645,78775,3956,-20088,7908,184401.0,2803000.0,261180,0.0,78355,,17956,1282312,354748.0,1011134,2015年09月30日,741689,11856.0,29486.0,4440650,4440650,2803000,1011501,1029348,3725109,0.0,57652,,3425723.0,,,1011134,5977377.0,427070,1536727.0,,1823163,76785,,1746378,5977377.0,,117119,1534,57793,507379,2252268,0
2016-02-22,4,2015,467619,56743,1985416,38954.0,69554.0,671663,473.0,5151,6136.0,15049,95803,35705,59026,3939,-23905,7334,0.0,0.0,234279,0.0,133663,,11995,1279583,292783.0,967950,2015年12月31日,916263,27693.0,2550.0,4551077,4551077,0,1011501,1029911,3839186,0.0,57652,,3339402.0,,,967950,6076178.0,433798,1525101.0,,1582662,81798,,1500864,6076178.0,,297250,2366,66771,495190,2236992,0
2016-04-22,1,2016,464500,56583,2075855,39841.0,70441.0,630303,6589.0,2608,7600.0,10953,80874,30372,59596,9887,-28888,7867,,0.0,180354,,91158,3280.0,17081,1276852,208762.0,967950,2016年03月31日,1006702,51343.0,2594.0,4643345,4643345,0,1011501,949463,3908940,0.0,57652,,3498865.0,,,967950,6084328.0,429604,1440983.0,,1588587,87723,,1500864,6084328.0,,247515,2320,88363,491520,2175388,0
2016-07-27,2,2016,466298,57605,1751668,58630.0,89230.0,986722,7477.0,3751,4330.0,50408,62744,36814,59304,19950,-8222,5852,,0.0,190130,,67682,,12869,1274128,142018.0,968547,2016年06月30日,684503,53535.0,2530.0,4367592,4367592,0,1067165,1300608,4035085,,0,,3783817.0,,,968547,6168839.0,439009,1801247.0,,1596969,93731,0.0,1503238,6168839.0,,117440,2326,84525,500639,2133754,0
2016-10-26,3,2016,462585,57375,1783507,62106.0,83230.0,588220,0.0,3105,5341.0,28089,65070,33251,59411,14328,-34017,7664,0.0,0.0,153958,,63699,,12912,1271400,62060.0,968860,2016年09月30日,716342,9533.0,2474.0,4384020,4384020,0,1067165,816781,3655763,,0,,3409800.0,,,968860,5696051.0,433579,1312031.0,,1603564,99095,,1504469,5696051.0,,117517,2260,89310,495250,2040288,0
