date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應付設備款,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-27,1,2013,203117,3850457,3226548,495543,299293,9203,311679,203117,,928330.0,928330.0,1242490,,387220,311679,698114,698114,0.0,,,604769.0,319429,,196250,831621,,254069,1752920,2013年03月31日,3007724,,8227135,8227135,0,218824,1692206,5509832,,,2635384.0,76715.0,597402,1752920,,,2631520.0,2935988,,10858655.0,,,1807,334545.0,1163675,0.0,939314,5348823,407180,19960,78815.0,0
2013-08-02,2,2013,444364,3988935,2727676,1121104,323077,1477,437645,444364,,2445.0,2445.0,1289214,,53873,437645,935368,935368,,245409.0,,607896.0,609618,631051.0,166976,1401066,,364926,1752920,2013年06月30日,2358757,,8099638,8099638,0,368919,2926355,6049026,,,3634505.0,150777.0,600492,1998329,,,3594300.0,2935988,,11693938.0,,,1837,60049.0,1177957,,667945,5644912,74165,20292,111257.0,0
2013-11-06,3,2013,401476,4086780,3177757,393125,234649,1098,297975,401476,,481.0,481.0,1283618,,46864,297975,954580,954580,,,,611038.0,697851,,158476,1510143,,362277,1998329,2013年09月30日,2808838,,8410049,8410049,0,368919,2389735,5735407,,,3202281.0,155706.0,724237,1998329,,,3059840.0,2935988,,11469889.0,17340.0,,1807,59067.0,1156754,,670105,5734482,66824,19960,126864.0,0
2014-03-17,4,2013,311966,4868104,3407178,579511,166242,1589,496685,326800,14834.0,2952.0,2952.0,1212535,,40567,496685,309305,309305,,,,613184.0,922623,,413269,2185248,,362372,1998329,2013年12月31日,3038259,,8838180,8838180,0,368919,2819865,6015963,394.0,,3455885.0,168968.0,734920,1998329,,,3623036.0,2935988,,12461216.0,87043.0,70000.0,1848,119987.0,1190519,,803171,6445253,60984,20417,22016.0,0
2014-05-10,1,2014,277337,5005643,3713125,260673,148836,3239,456449,278885,1548.0,37005.0,37005.0,1166519,,65105,456449,364153,364153,,,0.0,617367.0,568463,,111837,1469038,,352743,1998329,2014年03月31日,3344206,,9103891,9103891,0,368919,2591185,5975601,392.0,4010984.0,,101070.0,1341465,1998329,,,3398848.0,2935988,,12502739.0,40629.0,69715.0,1841,120581.0,1161411,,807663,6527138,91182,26077,5108.0,0
2014-08-08,2,2014,118380,5087606,3342718,402101,125936,1722,292264,122179,3799.0,1227993.0,1227993.0,1166034,22611.0,83133,292264,299181,299181,24447.0,503422.0,0.0,620554.0,216527,199833.0,76332,1368185,,340093,1998329,2014年06月30日,2845077,,9065092,9065092,346000,497641,1399778,4617124,385.0,1611312.0,,117383.0,541588,2501751,,,2147957.0,2952806,,11213049.0,0.0,68435.0,1807,59190.0,1133680,,748179,6595925,108731,25598,9743.0,0
2014-10-26,3,2014,121327,5326354,3607562,428377,161894,2215,521891,124650,3323.0,1262967.0,1262967.0,1211482,21068.0,111234,521891,291704,291704,0.0,,0.0,623755.0,288982,199833.0,66650,1157205,,340371,2498291,2014年09月30日,3109921,,9576466,9576466,0,497641,1163552,4613430,1090.0,1761868.0,,103083.0,218401,2498291,,,1918113.0,2948722,,11494579.0,59.0,70142.0,1852,60664.0,1155404,,754561,6881149,137471,26237,35010.0,0
2015-03-20,4,2014,751557,5732662,3823995,206433,133531,9834,836146,755577,4020.0,469196.0,469196.0,1243051,19577.0,82072,836146,362857,362857,0.0,,0.0,0.0,361375,,72902,1012054,,342943,2498291,2014年12月31日,3326354,,10107154,10107154,0,497641,1471679,4329428,1256.0,2366326.0,,73495.0,74799,2498291,,,1544098.0,2948722,,11651252.0,0.0,72419.0,1912,0.0,1186129,,72419,7321824,109161,27089,37345.0,0
2015-05-07,1,2015,754064,6120438,3892094,171880,99159,13032,736728,755656,1592.0,453600.0,453600.0,1185783,17231.0,277713,736728,304565,304565,,,,0.0,181405,,72721,944488,,331524,2498291,2015年03月31日,3394453,28980.0,10075835,10075835,0,497641,1137921,3644581,1243.0,,1624361.0,,0,2498291,11285463.0,1209628.0,,2948722,11285463.0,,0.0,71707.0,1894,0.0,1167772,,71707,7640882,304535,26822,780.0,0
2015-08-11,2,2015,692953,6144636,3818199,164939,106942,1126,596733,692953,0.0,0.0,0.0,1172612,14868.0,241169,596733,342156,342156,0.0,97593.0,,0.0,261781,10992.0,47005,1270561,1528.0,318713,2498291,2015年06月30日,3207245,28277.0,9960605,9960605,0,610954,1247350,3639612,1226.0,,1756622.0,,99400,2595884,11278666.0,1318061.0,,2949789,11278666.0,,,70711.0,1867,0.0,1144941,,70711,7639054,267619,26450,12803.0,0
2015-11-06,3,2015,636720,6380656,3930008,186869,121278,1566,1020924,636720,0.0,0.0,0.0,1207160,20733.0,107181,1020924,330722,330722,0.0,,,0.0,382102,0.0,65591,1629719,9693.0,323627,2595884,2015年09月30日,3319054,49474.0,10496605,10496605,0,610954,1358765,4014402,1278.0,,1907954.0,,103600,2595884,11929069.0,1432464.0,,2949789,11929069.0,,0.0,73699.0,1946,0.0,1186427,,73699,7914667,134748,27567,0.0,0
