date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,特別股股本,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融負債－非流動,銀行借款,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,819721,819721,7049263,60084,-2092832,,859113,199729,184042,-1522903,819721,127837,127837,,,,1531047,1531047,557131,557131,300,,,,,642413,,6866,15687,,890280,,15483,1018053,1018053,3203694,2013年03月31日,,6879995,6879574,30000,,2018294,2469274,,0.0,,628743.0,349076,3203694,,,,6367120.0,7291915,,13247115.0,489.0,10685,,,260281,,,349076,4348826,4348826,421,4348826,10777841,239115,239115,0
2013-07-31,2,2013,1068580,1068580,6867491,60084,-416692,,843811,166044,142506,-1530361,1068580,127384,127384,,,,1529285,1529285,443294,443294,1450,,513232.0,,,687900,,20031,23538,,836032,,17328,363480,363480,3203694,2013年06月30日,,6730132,6729716,145000,,1942555,2815717,,0.0,,644643.0,0,3203694,,,,6005908.0,5474525,,12736040.0,0.0,11445,,,256172,,,0,4063353,4063353,416,4063353,9920323,222359,222359,0
2013-10-29,3,2013,1105804,1105804,6757786,60084,-344845,,863485,207190,190014,-1508018,1105804,132755,132755,,,,1486997,1486997,608325,608325,400,,,,,999194,,99500,17176,,1287145,,8561,337209,337209,3201894,2013年09月30日,,6822877,6822470,40000,,2938248,3017448,,0,,746141,526560,3201894,,,,5956128,5473839,,12779005,0,10749,,,255996,,,526560,3017880,3017880,407,3017880,9761557,223772,223772,0
2014-03-27,4,2013,1072440,1072440,6616972,50084,-347369,,1108321,265819,235560,-1285088,1072440,144482,144482,,,,1473303,1473303,672229,672229,800,,,,,671395,,145221,30259,,1304492,,18001,184872,184872,3216944,2013年12月31日,,7080067,7079659,80000,,2428950,3014802,,0.0,,674609.0,273556,3216944,,,,5680150.0,5495972,,12760217.0,519.0,10066,3793.0,3793.0,311863,,,273556,3247407,3247407,408,3251200,9745415,190923,190923,0
2014-05-09,1,2014,967440,967440,6585976,50084,-195130,,1165158,223336,207906,-1220502,967440,326511,326511,,,,1473303,1473303,846801,846801,0,,,0,,644981,,186313,15430,,1568047,,15269,168994,168994,3715844,2014年03月31日,,8301895,8301483,0,,2966312,3590313,,,693876,,943463,3715844,,,,5047039,6001271,,13348934,779,6983,3793,3793,315106,,,943463,2076934,2076934,412,2080727,9758621,132826,132826,0
2014-08-11,2,2014,887440,887440,6717963,50084,239995,,1182646,278968,241949,-1197800,887440,318951,318951,,,,1203079,1203079,640300,640300,750,0.0,0.0,0.0,,558646,,183695,37019,,1698150,,26162,152406,152406,3715844,2014年06月30日,,8409115,8408713,75000,,2279755,3728897,,,710709.0,,371006,3715844,,,,4944009.0,5651424,,13353124.0,0.0,0,3793.0,3793.0,318049,,,371006,2660461,2660461,402,2664254,9624227,334625,334625,0
2014-11-13,3,2014,812440,812440,6185275,66995,149343,,994647,386108,256011,-1379745,812440,366570,366570,,,3829.0,1200053,1200053,844173,844173,750,,,0.0,,705799,,129184,130097,,870928,,116662,181590,181590,3715844,2014年09月30日,,8136521,8136116,75000,,2165192,3497193,,,802101.0,,131661,3715844,,,,5138009.0,5651424,,13274530.0,0.0,7586,,,1148777,,,131661,2968988,2968988,405,2972817,9777337,489173,489173,0
2015-03-26,4,2014,712440,712440,6305578,66995,153811,1208879.0,1208879,355256,249046,-1157953,712440,154216,91832,62384.0,233000.0,3827.0,1829666,1596666,783906,783906,750,,,0.0,426332.0,426332,203948.0,203948,106210,1025056.0,1025056,201625.0,201625,712319,712319,3715844,2014年12月31日,152020.0,8362794,8362376,75000,,2213548,3700926,1791.0,,1058565.0,,515572,3715844,783906.0,,,5599890.0,5651424,,13962684.0,0.0,29527,,,138321,,,515572,3382515,3382515,418,3386342,10261758,448031,448031,0
2015-05-14,1,2015,1107440,1107440,6260597,66995,-4362,,1033996,253003,214633,-1327837,1107440,169237,82231,87006.0,209990.0,3826.0,1372154,1162164,1089759,1089759,0,,,0.0,,617251,,204227,38370,,992249,,96578,1129647,1129647,3715094,2015年03月31日,-6153.0,8034728,8034319,0,,2661782,3469675,1791.0,,,635586.0,479861,3715094,,13471378.0,5436650.0,,5651424,13471378.0,,0.0,94485,,,138314,,,479861,2771042,2771042,409,2774868,10001703,391781,391781,0
2015-08-10,2,2015,3752009,3752009,6234814,66995,-343729,,852555,404085,307417,-1596590,3752009,198411,198411,,148000.0,,1284053,1136053,834203,834203,900,,,0.0,,541907,,272764,96668,,1131905,,141379,1069388,1069388,3715094,2015年06月30日,,7424526,7424128,90000,,5193043,2956412,,,,159166.0,222278,3715094,,12621394.0,5196868.0,,5650253,12621394.0,,,81761,3825.0,3825.0,157177,,,222278,0,0,398,3825,9664982,409587,409587,0
