date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項－關係人合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,9600,141665,151265,1107239,8000,-426904,28808,53565,11421,0,60642,176149,24884,77800,74286,343,42693,10912,,7056,60642.0,890705,0.0,,87936,8477,37492,0.0,51845,12453,1080,18,2701.0,4185,13013,1604053,2013年03月31日,-563941,1320610,1264544,0,137037,779835,1261819,,10484,,196357.0,387408,1604053,,,1207398.0,26753,26753.0,,2528008.0,,78077,80575,275200,71242,31781,3428,56066,427563,1266189,20140,,0
2013-08-09,2,2013,9600,115497,125097,1102202,8000,-426719,33186,57694,9552,0,64313,175274,50177,71575,101610,343,40010,7782,,7201,64313.0,869582,0.0,,57929,10135,43724,0.0,90329,7393,367,0,2607.0,4151,41583,1604053,2013年06月30日,-563756,1325662,1268400,0,137037,745013,1237005,,10388,,170505.0,367071,1604053,,,1198252.0,26753,26753.0,,2523914.0,,78829,80575,272800,98660,32228,3187,57262,453239,1286909,17702,,0
2013-11-08,3,2013,9600,195751,205351,1087192,8000,-470099,27054,60531,10147,0,62839,243034,37683,73641,32990,343,48413,16693,,7133,62839.0,868258,0.0,,53474,8533,53338,415.0,70301,493,0,0,2525.0,4117,41594,1604053,2013年09月30日,-607136,1279840,1223546,0,137037,810010,1191781,,10091,,150292.0,363631,1604053,,,1191923.0,26753,26753.0,,2471763.0,,78523,80575,270400,30122,31720,2958,56294,381913,1279982,18649,,0
2014-03-26,4,2013,9600,53649,63249,1079107,6500,-456657,32976,64363,11353,282,65915,108434,45185,72805,159457,343,64627,23207,,7250,65915.0,926141,,,41566,16847,39860,0.0,54399,18423,2276,0,0.0,4082,41242,1604053,2013年12月31日,-593694,1300934,1240064,0,137037,657047,1178569,,10003,,77563.0,353001,1604053,,,1163649.0,26753,26753.0,,2464583.0,,79145,80453,268000,159114,32032,2753,60870,506602,1286014,15327,9388.0,0
2014-05-08,1,2014,9600,54846,64446,1052348,6500,-474102,26290,66946,10528,931,68312,141456,77010,66461,163010,343,61382,19648,,7345,,914602,,0.0,63859,24237,28973,,124001,26112,542,1021,0.0,26708,41024,1604053,2014年03月31日,-611139,1282210,1225016,0,137037,745098,1257244,,9895,98726.0,,393337,1604053,,,1253344.0,26753,26753.0,,2535554.0,0.0,79636,80453,265600,162667,32242,2550,57194,508246,1278310,14320,9492.0,0
2014-08-08,2,2014,9600,53757,63357,1027803,6500,-480595,23679,72456,9948,1263,64678,137875,74518,67445,159780,343,59849,18859,,7198,,915565,,0.0,66061,10642,12719,,96741,20938,1284,680,0.0,26605,40916,1604053,2014年06月30日,-617632,1274394,1214889,0,137037,654241,1178833,,9548,43924.0,,330809,1604053,,,1156113.0,26753,26753.0,,2430507.0,,78892,80453,263200,159437,31392,2350,59505,501872,1251674,21045,9598.0,0
2014-11-05,3,2014,9600,100041,109641,1022965,6500,-493909,25184,76526,11166,1287,67778,155506,45865,67478,117457,358,60191,18736,,7332,,911210,,0.0,27151,11559,39333,351.0,70825,4443,331,340,0.0,26520,40805,1604053,2014年09月30日,-630946,1262273,1204675,0,137037,695893,1169058,,9482,71949.0,,360283,1604053,,,1153701.0,26753,26753.0,,2415974.0,,79551,80453,260800,117099,31766,2150,57598,457808,1246916,30029,9689.0,0
2015-03-26,4,2014,10100,108834,118934,1042573,6500,-517320,21398,78907,3090,961,74613,146234,27300,68620,122207,358,49381,9493,,7670,,900530,,0.0,36780,8484,27444,,51526,5564,1115,1361,,26434,40497,1604053,2014年12月31日,-654357,1242420,1188099,0,137037,558834,1237470,,9620,194242.0,,239587,1604053,,,1251113.0,26753,,,2493533.0,,80972,81058,489100,121849,33012,1950,54321,692279,1256063,10461,6876.0,0
2015-05-05,1,2015,11600,107631,119231,1021237,6500,-525353,20247,79153,2446,1326,72511,142232,23001,67493,120860,358,48067,8798,,7557,,875007,,,53679,9796,18665,6.0,63538,12631,0,1021,,26348,40407,1604053,2015年03月31日,-662390,1229171,1177964,0,137037,519390,1202209,6963.0,9307,,165955.0,195612,1604053,2435133.0,1205962.0,,26753,,2435133.0,,,80512,81058,485200,120502,32306,1750,51207,686572,1232924,12792,,0
2015-08-07,2,2015,13100,106118,119218,1003079,6500,-540463,17565,80091,514,1314,71066,145683,26465,71002,119171,358,46979,8146,,7486,,846336,,,53526,12734,41975,322.0,61962,38001,0,680,,26263,68644,1604053,2015年06月30日,-677500,1211949,1161409,0,137037,611616,1262688,7046.0,9036,,220281.0,259720,1604053,2504247.0,1292298.0,,26753,,2504247.0,,,80211,81058,481300,118813,31787,1550,50540,680682,1241559,22598,,0
