date,season,year,不動產、廠房及設備淨額,以成本衡量之金融資產－非流動,保留盈餘合計,保險業各項準備,備供出售金融資產未實利益（損失）,備供出售金融資產－非流動,其他應付款,其他應收款,其他權益合計,其他流動負債,其他流動資產,其他準備合計,其他無形資產,其他負債,其他資產合計,其他資產－其他,其他金融資產－非流動,其他長期投資,再保險合約資產淨額,分離帳戶保險商品負債,分離帳戶保險商品資產,員工福利負債準備,商譽,國外營運機構財務報表換算之兌換差額,存入保證金,存貨,庫藏股票,待註銷股本股數,應付佣金,應付保險賠款與給付,應付債券,應付再保往來款項,應付到期長期負債（一年或一營業週期內到期長期負債）,應付帳款,應付款項合計,應付短期票券,應付票據,應付費用,應收帳款,應收款項淨額,應收票據,投資性不動產淨額,持有至到期日金融資產－非流動,採用權益法之投資,普通股股本,會計項目,未分配盈餘（待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債總額,流動資產合計,無形資產淨額,無活絡市場之債券投資－非流動,無活絡市場之債務工具投資－非流動,特別盈餘公積,特別股負債－非流動,現金及約當現金,當期所得稅負債,當期所得稅資產合計,短期借款,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款淨額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列之關聯企業及合資淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動,透過損益按公允價值衡量之金融資產－非流動,遞延所得稅負債合計,遞延所得稅資產淨額,長期借款,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數（單位：股）
2013-05-03,1,2013,10626436,2738982,2849941,362321460,-587898,173040097,2627251.0,3796909.0,-567880,88896.0,26433,556871,11687,1420474,39366447,4674316,2419879,23500,2802992,34668631,34668631,340153,2120788,20018,,56733,412453,,240283.0,89344.0,1573126,541658.0,484530,1838.0,2657234,,28145.0,,755932.0,4854441,301600.0,11738639,0.0,2033090,5632143,2013年03月31日,1987550,,,,18177301.0,7737780,43929000,144595,5990224,81468242,2132475,102849672.0,,717796,2030000,27534603,21734.0,422196.0,1866545,5632143,,363218484,,415444837.0,45770844,236029,5516,126688.0,103825,,,,,433622138.0,2643693,3857701,843461,1350478,3056744,10439521,409454613,352153896,0
2013-08-13,2,2013,10100061,2651322,2495407,371526237,-1831643,131111048,3838645.0,5472374.0,-1795341,,26594,495918,14968,1497156,35517328,4672197,1922349,1000,2855826,30844131,30844131,343753,2120788,36302,,53866,412236,,208735.0,91049.0,1566331,612600.0,424650,3203.0,3867570,731372.0,25722.0,,831000.0,6661839,358465.0,12253253,0.0,1996945,5632143,2013年06月30日,1101598,,,,14391201.0,6160104,43929000,208367,7557453,75847919,2135756,157649112.0,,1185442,2030000,20356815,273477.0,385781.0,1348000,5632143,,372365908,,422785142.0,45507198,240131,5516,130790.0,103825,,,,,437176343.0,3169039,4181079,674873,1810171,3080251,8231097,415227689,361328424,0
2013-11-13,3,2013,10109419,2605649,2747638,382175634,-2225855,124581020,2236695.0,4743467.0,-2201477,,15454,488736,29892,1793791,32746294,4752237,1921486,1000,2867136,27993057,27993057,346855,2120788,24378,,50314,411045,,297709.0,123389.0,1520597,607838.0,391150,1135.0,2288810,818818.0,50980.0,,985471.0,6000260,271322.0,12233622,0.0,1973586,5632143,2013年09月30日,1353829,,,,13999015.0,6010067,43929000,208367,6060630,81355958,2150680,166077101.0,,1185442,2030000,26089787,194916.0,144563.0,1338000,5632143,,383011225,,427730797.0,46188444,242808,8851,130132.0,103825,,0.0,,,441729812.0,1683761,4394930,529859,1580067,3107877,7988948,421670167,360373854,0
2014-03-12,4,2013,10154180,2569986,2571867,395974104,-2046930,116483880,1148777,3737178,-2002832,,7321,459054,40444,1921838,32215766,4537155,1926109,6846,2903367,27671765,27671765,313958,2120788,44098,,49019,402599,,453481,108243,1150976,656312,570000,2283,1185145,609168,34085,,1077803,5166079,351098,12146942,0,1909177,5632143,2013年12月31日,1178058,,,,14254203,6073094,43929000,208367,5113204,81493171,2161232,189020506,,1185442,2030000,27003890,142855,153230,1388000,5632143,,396747116,,441255218,46210265,274515,5516,165174,103825,,,,,455509421,2703551,3555998,643362,1872474,3273406,8181109,436142014,374016250,0
2014-05-12,1,2014,9887649,2571023,2757093,410866646,-1721601,111927793,2023404.0,4227494.0,-1681470,,31114,542760,36114,2923383,29434127,4596538,1788432,1000,3005617,24836589,24836589,315900,2120788,40131,,44614,398159,0.0,331119.0,97532.0,950000,620604.0,675500,872.0,2056649,889106.0,32373.0,,1129731.0,5634356,277131.0,12312094,,1896579,5632143,2014年03月31日,1363284,,,,15779520.0,6613009,43929000,208367,6023525,89696499,2156902,203105852.0,,1185442,2030000,36556969,144015.0,230135.0,1209000,5632143,,411725306,,454666674.0,44193694,303402,5516,194061.0,103825,,,,,470446194.0,2359197,3589887,931005,2079357,2887669,9166511,448643149,380749695,0
2014-08-13,2,2014,9883791,2440435,2525532,424828820,-1457600,103725552,2335204.0,4751116.0,-1434748,,26250,390947,33178,2826564,29555035,5028733,1788415,10312,2947508,24515990,24515990,318212,2120788,22852,,42898,398159,0.0,310879.0,79429.0,950000,623559.0,911000,1994.0,2371177,759236.0,33979.0,,1130675.0,6153923,272132.0,12236826,,1858463,5632143,2014年06月30日,187164,,,,16308513.0,6628170,43929000,234201,6412784,87231592,2153966,226853903.0,,2104167,2030000,32577084,7504.0,373931.0,1350000,5632143,,425537979,,466752408.0,45109998,303402,5516,194061.0,103825,,,,,483060921.0,1274203,3727237,555328,1605706,2649560,9680343,460339624,395829329,0
2014-11-13,3,2014,9870188,2438920,3042811,438766782,-2390255,100844203,5103611.0,5559713.0,-2335233,,18127,598527,49338,1317140,27631309,4427766,1788649,362785,3041925,22840758,22840758,320141,2120788,55022,,42297,398159,0.0,347952.0,80552.0,950000,580478.0,1098500,56038.0,5194430,868881.0,34781.0,0.0,1321145.0,7117094,236236.0,12195177,,2167664,5632143,2014年09月30日,704443,,,,15227928.0,6251425,43929000,234201,9590793,89821327,2170126,244749539.0,,2104167,2030000,33971346,0.0,313640.0,1420000,5632143,,439685450,,483192655.0,45316898,309863,11976,194062.0,103825,,,,,498420583.0,3077231,2919984,942113,1823497,2759170,8976503,473601862,408599256,0
2015-03-23,4,2014,9843589,2508152,2853547,452335200,-1687507,95895054,1370917.0,4304924.0,-1580262,,11388,811142,57981,1494144,27382251,4872853,1806846,21000,3153323,22488398,22488398,301080,2120788,107245,,33479,398159,0.0,395036.0,94157.0,950000,665103.0,603500,3810.0,1388753,848750.0,14026.0,,1460823.0,6087992,322245.0,12051569,,2179224,5632143,2014年12月31日,541101,,,,16949907.0,6817132,43929000,234201,5801970,85231931,2178769,269799698.0,,2078245,2030000,27969223,671.0,397996.0,1806000,5632143,,453447422,,496816022.0,47578530,309863,11977,194061.0,103825,,,,,513765929.0,5524643,2140356,2015606,2748490,3063839,10132775,491014052,428533998,0
2015-05-12,1,2015,9814722,2497769,3235732,461173046,-1641787,66987840,3524993.0,5627817.0,-1551275,,30791,723737,56857,2922361,26728403,4934716,1795646,1000,3054311,21792687,21792687,302980,2120788,90512,,32279,398159,0.0,321690.0,88690.0,950000,700528.0,475000,21429.0,3567189,968744.0,20767.0,,1667710.0,7479390,183863.0,12040980,29989143.0,2193800,5632143,2015年03月31日,923286,4650.0,472349.0,18217069.0,,7228304,43929000,234201,8053491,93143130,2177645,,268511393.0,2078245,2030000,34238077,,,1927000,5632143,521693402.0,462199763,503476333.0,,47835933,309863,11977,194061.0,103825,,,,521693402.0,,729122,3574301,1722541,2238630,3076368,10988765,495422842,428550272,0
2015-08-12,2,2015,9800640,2393399,3007838,471542390,-2116168,71383448,7174418.0,10443753.0,-2046472,,19301,596869,57466,1629386,23223257,5149306,1705970,1000,3126246,18072951,18072951,302822,2120788,69696,,31679,398159,0.0,266473.0,89566.0,950000,520439.0,305834,135247.0,7324933,1078743.0,15268.0,,1909780.0,12621952,268419.0,12028225,29982816.0,2134749,5632143,2015年06月30日,1062348,32534.0,529946.0,16665392.0,,6505213,43929000,284393,11681522,90616981,2178254,,277445977.0,1661097,2030000,27615820,,,2063000,5632143,529185463.0,472442081,512520071.0,,46672037,309863,11977,194061.0,103825,,,,529185463.0,,915982,4275718,1432449,2016029,3365700,10160179,500838549,438568482,0
