date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,催收款項,債券換股權利證書,其他應付款合計,其他應付款－其他,其他應付費用,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－非流動,商標權淨額,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,,411340,2008462,15000.0,502083,,,,0.0,1136535,460760,675775,-131717,,,809249,397909,312568,,,373195,302817,66321,405328,,149229,,,1733417,-131717.0,179.0,42793,3886929,3886929.0,0.0,,,1463341,2498983,38922,,3163672,50699,236317.0,23461.0,55812,3013074,2013年03月31日,-718619,,6647064,4376174,0,527149,4853486,10359646,,2106612,693553.0,,2453820.0,48773.0,320625,-718619.0,3013074,,,8621836.0,992734,,,,,,,,,15268900.0,399,0.0,37215,788,90157,293791,1912035,,213306,,2270890,3768350,4909254,454743,,0
2013-08-09,2,2013,,,413770,1985729,5700.0,534854,,,0.0,,1138080,403285,733764,-63592,,,843687,429917,401904,,,239606,299758,66307,406719,148446.0,148446,4886.0,71604.0,1748696,-63592.0,179.0,42514,3706432,,80039.0,,,1469515,2265975,31460,1031.0,3412205,61674,233272.0,28502.0,56093,3013074,2013年06月30日,-685848,,6722495,4397031,4122000,527149,5071303,10672686,,2100994,693553.0,,2613854.0,20639.0,770232,,3013074,,,8831240.0,992734,,,,,,,,,15553735.0,1230,0.0,31694,4886,91814,292426,1898850,0.0,215759,41088.0,2325464,3759937,4881049,444923,,0
2013-08-09,3,2013,,,411840,1964218,0.0,505626,,,0.0,260410.0,1255662,450622,804019,-21144,,,796881,385041,334537,,,234296,295786,64602,383116,128140.0,128140,5140.0,71032.0,1815107,-21144.0,179.0,42157,3735371,,0.0,,,1002711,2372738,27920,1021.0,3269088,37989,231005.0,26756.0,53024,2938634,2013年09月30日,-715076,,7189329,4871628,0,527149,5137737,10534975,,2157207,693553.0,,2738045.0,26108.0,654619,,3205457,,,8215546.0,1181689,,,,,,,,,15404875.0,3809,0.0,33640,5140,93632,280439,1685680,0.0,212819,36772.0,2317701,3077809,4869900,386305,6413.0,375000
2014-03-28,4,2013,964209.0,513450.0,1477659,1976170,0.0,2278679,,1171145.0,,,1993997,440837,1553160,63291,,,1900012,422353,412308,,,342674,299537,64741,407077,,156202,,,1795029,,179.0,38969,3877499,,0.0,,,0,2685220,37476,,3477473,64850,234617.0,0.0,51447,3238416,2013年12月31日,1057977,,6616492,6514471,0,527149,7975679,11813510,,2137703,693553.0,,2438196.0,410376.0,946918,,3239784,,,10024933.0,932717,,,,,,,,,16641425.0,1680,0.0,13614,0,185542,255518,1564175,,211906,,102021,2049254,4827915,358425,1368.0,219
2014-05-09,1,2014,933661.0,480720.0,1414381,2047040,0.0,2305686,,1062635.0,,18866.0,1694625,484674,1209951,48569,,,1875643,461262,628422,,,325627,295533,63146,408302,,163281,,,1836148,,179.0,35757,3781986,,,,0.0,0,2558196,18103,,3616935,35895,232208.0,0.0,38342,3241206,2014年03月31日,1084984,,6663120,6564502,0,527149,7839016,11633936,,2161775,693553.0,2065054.0,,406951.0,1261053,,3260072,,,9895021.0,950175,,,,,,,,,16558141.0,24445,,4652,0,177072,268746,1583400,,209264,,98618,2056005,4924205,438357,0.0,0
2014-08-08,2,2014,873054.0,81048.0,954102,1997942,0.0,2010836,,884511.0,,,1693345,522555,1170790,-204759,,,1399200,445098,657603,,,302832,290569,60880,379989,,148016,,,1840516,,179.0,27629,4042688,,0.0,247189.0,0.0,0,2818840,33295,,3464889,43351,229510.0,0.0,37656,3295853,2014年06月30日,1377889,,6428044,6328656,0,632947,7628728,11653418,,2143348,0.0,2103769.0,,508924.0,1165393,,3543042,,,10049887.0,979537,,,,,,,,,16477931.0,9731,,6821,0,159261,265578,1971329,,204344,,99388,2421159,4824513,449786,0.0,0
2014-11-11,3,2014,876656.0,49862.0,926518,1981717,49780.0,2091009,,998795.0,,0.0,1809478,557197,1252281,-64117,,,1360758,434240,633131,,,271041,285898,61349,418510,,181319,,,1796645,,179.0,28599,3988361,,0.0,,0.0,0,2346551,41587,,3414075,47862,224370.0,0.0,38456,3543042,2014年09月30日,1458062,,6650007,6552099,0,632947,7872928,12070653,,2067686,0.0,2029986.0,,550768.0,1762435,,3543042,,,10285929.0,982165,,,,,,,,,16935936.0,1351,,516261,0,169179,309134,1957924,,208592,,97908,2413001,4865283,442182,0.0,0
2015-03-27,4,2014,0.0,92579.0,92579,1984296,49780.0,2111138,,594899.0,,,1609131,385056,1224075,231737,,,450618,358039,498639,,,248750,280616,62350,504775,,235529,,,1792420,,179.0,55829,4360998,,0.0,,0.0,193871,2684681,26032,,3566156,36029,218087.0,,30572,3543042,2014年12月31日,1478191,,6903029,6802855,0,632947,7123239,11936404,,2041170,0.0,2570387.0,,530734.0,1810877,,3543042,,,9964618.0,916938,,,,,,,,,16867647.0,11166,,1844,81,184361,320569,2182531,,213417,,100174,2841379,4931243,307452,0.0,0
2015-05-08,1,2015,0.0,0.0,0,1952011,49780.0,2197506,,187071.0,,0.0,1544032,490125,1053907,219880,,,359784,359784,354737,,,211882,270306,60582,540519,,292872,,,1691781,,179.0,37450,4228392,,,,0.0,194664,2265864,39942,,3369970,38921,,,30095,3543042,2015年03月31日,1564559,272824.0,6976155,6877366,0,632947,6180597,11192903,209545.0,1903663,0.0,,2562161.0,,1696961,,3543042,15979265.0,9003110.0,,916938,,,,,,,,15979265.0,,1190,,13934,41,157543,310253,2200000,,210197,,98789,2822513,4786362,437717,0.0,0
2015-08-07,2,2015,0.0,110000.0,110000,1896494,18088.0,2222226,,55125.0,,,1669282,629479,1039803,201461,,,469247,359247,431360,,196951.0,196951,268975,58580,624336,,381538,,,1765589,,179.0,36710,4080555,,,0.0,0.0,195457,2610410,48702,,3468068,40406,,,29131,3543042,2015年06月30日,1573832,132762.0,6985685,6883667,0,648394,6467971,11286463,210216.0,1962540,,,2781922.0,,1534304,,3543042,16116012.0,9130327.0,,916938,,,,,,,,16116012.0,,3264,,15465,0,107924,298960,2090000,,206088,,102018,2662356,4829549,413562,,0
