date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他短期借款,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,商品存貨,國外營運機構財務報表換算之兌換差額合計,土地淨額,在製品,天然資源淨額,存入保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付短期票券合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,本期所得稅資產合計,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,水電設備淨額,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,短期借款合計,租賃改良淨額,約當現金,股本合計,與待出售非流動資產直接相關之負債,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融資產－非流動,銀行借款,銀行存款,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,446750,127328.0,127328,1861919,2095993,784417.0,784417,3066012.0,3066012,,55721,55721.0,1394,1394.0,2093655,-2442.0,197657,8175,3955,3955.0,,7820.0,,32789.0,63715,19142,7679.0,7679,59402.0,90472.0,104,80467.0,26370.0,,47614,216607,126135.0,90472.0,388.0,13174,7267.0,7267.0,,32127.0,32127,,53789.0,53789,86925.0,86925,11670.0,11670,16101.0,36846.0,4768392,4145681.0,622711.0,,199950.0,199950.0,,262877.0,262877,3000413,2013年03月31日,621079,50629.0,,,197347.0,6943408,6943408,803829,33445.0,196880,2423662,1290647,,7820,,1043960,,133869.0,,2199.0,2079716,12449.0,,3000413,2453.0,40363.0,,,3248808.0,595,,10192216.0,,,2778.0,761431,3298,,2079716.0,133481.0,,825146,8901569,44543,11463,44543.0,189482,0
2013-08-08,2,2013,450550,127328.0,127328,1838282,2216907,802565.0,802565,3150853.0,3150853,,229659,229659.0,86286,86286.0,2214449,-2442.0,202323,6718,4535,4535.0,7091.0,7091.0,2044833.0,,64697,69139,7729.0,7729,58919.0,,-16,,17023.0,0.0,49473,202045,107526.0,94519.0,363.0,13174,,,,15463.0,15463,,74595.0,74595,83768.0,83768,17277.0,17277,15224.0,,4759076,,,,199950.0,199950.0,0.0,280232.0,280232,3000413,2013年06月30日,584585,,,,,7040615,7040565,803829,,214462,2568784,1388306,,7091,0.0,1039235,,157940.0,0.0,1911.0,2044833,,,3000413,,31584.0,,,3394912.0,595,,10435527.0,0.0,0.0,,761431,3002,0.0,,157577.0,50.0,826128,9047221,33890,61410,33890.0,195605,0
2013-11-12,3,2013,483608,,127328,1899853,2233449,,872507,,3192952,,105242,,4133,,2231171,-2442.0,200927,6947,2001,,,6507.0,,,64122,82847,,8235,,,164,,,,49799,224123,,,,13174,,,,,19648,,,48634,,115107,,10873,14323.0,,4735601,,,,,199950.0,,,269878,3000413,2013年09月30日,646156,,,,,7119309,7119259,803829,,214462,2586160,1429802,,6507,,1039235,,167709.0,,1910.0,2209799,,,3000413,,,,,3411713.0,996,,10531022.0,,,,761431,2549,,,,50.0,825553,9101220,33349,74612,,193980,0
2014-03-17,4,2013,520159,,127328,1888146,2415283,,917630,,3310247,,54665,54665.0,5423,,2415552,0.0,59074,4575,1002,,,7115.0,,,64183,74969,,7779,,,269,,,,52182,227325,,,,13174,,,,,14746,,,62629,,97724,,15464,12001.0,,4729819,,,,,199950.0,,,280576,3000413,2013年12月31日,634449,,,,,7291983,7291933,803829,,214462,2612478,1477464,,7115,,1039235,,179856.0,,1904.0,2419460,,,3000413,,,,,3438092.0,996,,10730075.0,,,,761431,2448,,,,50.0,825614,9252611,33040,67190,,54499,0
2014-05-06,1,2014,533039,,128315,1876395,2415181,,902649,,3331429,,69061,69061.0,2830,,2415542,,55010,5425,2213,,,6382.0,,,63340,52243,,7957,,,361,,,,52349,231092,,,,13174,,0.0,0.0,,25656,,,36339,,95983,,7448,10991.0,,4729868,,,,,199950.0,,,274853,3000413,2014年03月31日,622698,,,,,7280172,7280172,803829,,214462,2617671,1464167,,6382,,1039235,183552.0,,,1904.0,2429701,,,3000413,0.0,,,,3442442.0,996,,10722614.0,,,,761431,2368,,,,0.0,824771,9258447,38400,44286,,49585,0
2014-07-30,2,2014,538294,,174078,1815643,2558533,,937375,,3456612,0.0,220455,220455.0,88468,,2558761,,53582,4971,2050,,,6417.0,,,62429,64688,,8103,,,228,,,,52500,236643,,,446.0,13174,,,0.0,,22015,,,44437,,93308,,7109,9929.0,,4724129,,,,,199950.0,,,272241,3000413,2014年06月30日,545507,,,,,7362639,7362639,803829,,230901,2851576,1599430,,6417,,1039235,193476.0,,,1287.0,2509800,,0.0,3000413,,,,,3675436.0,996,,11038075.0,,,,761431,2236,,,193030.0,0.0,823860,9438645,41001,56585,,48611,0
2014-11-11,3,2014,560808,,147186,1896085,2513772,,963063,,3395605,0.0,115386,115386.0,25776,,2514115,,58131,8680,2285,,,8282.0,,,45280,46999,,8103,,,343,,,,36493,297966,,,389.0,13174,,,0.0,,33916,,,67417,,115839,,8547,8787.0,,5245169,,,,,199950.0,,,274509,3000413,2014年09月30日,625949,,,,,7398797,7398797,803829,,230901,3364992,1690310,,8282,,1039235,239474.0,,,1287.0,3088855,,0.0,3000413,,,,,4171703.0,1358,,11570500.0,,,,761431,1682,,,239085.0,0.0,806711,9880190,37360,38896,,49451,0
2015-03-23,4,2014,522716,,147186,1855984,2474099,,956380,,3344949,0.0,65788,65788.0,1551,,2474737,,54662,8242,21159,,,7342.0,,,43965,29698,,10023,,,638,,,,34535,279813,,,466.0,13174,,,0.0,,29120,1333900.0,,44161,,139631,,11866,9430.0,,5235345,,,,,199950.0,,,286795,3000413,2014年12月31日,618535,,,,,7319318,7319318,803829,,230901,3358911,1709844,,7342,,1006548,258024.0,,,1280.0,1830000,,0.0,3000413,,,,,4164507.0,1358,,11483825.0,,,,761631,0,,,257558.0,0.0,805596,9773981,41420,19675,,46420,0
2015-05-12,1,2015,503528,,147186,1830522,2483874,,957251,,3371051,0.0,61540,61540.0,1457,,2484416,,51463,7173,20822,,,6401.0,,,72105,32162,,9034,,,542,,,,63905,285987,,,582.0,13174,,,0.0,,27208,999189.0,,43326,,119025,,11076,,,5229286,,,,,199950.0,,,273992,3000413,2015年03月31日,593073,,1280.0,,,7371014,7303535,803829,,230901,3424006,1864270,8200.0,6401,,1006548,,427107.0,,,2240000,,0.0,3000413,,,11628556.0,4257542.0,,1358,11628556.0,,,,,761431,730,,,426525.0,67479.0,833536,9764286,41545,23128,,44290,0
2015-08-10,2,2015,511167,,143714,1718984,2322242,,914004,,3262270,0.0,181990,181990.0,14325,,2322723,,56959,4772,1030,,,5480.0,,,93441,16047,,9158,,,481,,,,86417,293047,,,,13174,,,0.0,,26346,974395.0,,32707,,106719,,11463,,,5223252,,,199950.0,,0.0,,,266682,3000413,2015年06月30日,471107,,0.0,22.0,,7093704,7030304,803829,,241329,3552397,2071102,7024.0,5480,,1006548,,481628.0,,,2280000,,,3000413,,,11500973.0,4407269.0,,1358,11500973.0,,,,,761431,1259,,,,63400.0,854872,9429871,48914,6889,,52187,0
