date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,80961,80961,1683361,18714,6019734,99372,667807,,86027,-7452,149759,68798,124895,513521,507089,5823,5823,1475.0,7715,13925,2460602,2460602,0.0,,,1722782,59161,698312.0,24997.0,,668193,721494,1215,505806.0,39233,5846980,2847464,2013年03月31日,4845470,,,9518040,9276036,0,877930,4612182,7699641,,17601,,87800.0,296334,,3145618.0,330268.0,209.0,959096,2847464,,,6574250.0,416290,,416290,416290,,16092290.0,403588,1376887,180299,71660,342950,16126.0,242004,1962068,8392649,144391,0
2013-08-12,2,2013,82352,82352,2080293,18714,5198285,107609,2291121,,47512,60866,242708,160356,198718,515058,473413,5550,5550,1484.0,7542,12980,3600716,3600716,0.0,0.0,,3467462,99693,822425.0,27847.0,,414573,875113,1378,507516.0,39091,6157956,2847464,2013年06月30日,3898620,,,8877571,8522905,0,1110460,7890505,9740796,,17177,,87787.0,189205,,4110427.0,261797.0,206.0,677452,2847464,,,9918664.0,416290,,416290,416290,,18796235.0,404366,1460444,161186,52657,340344,15693.0,354666,2028159,9055439,114539,0
2013-11-11,3,2013,66770,66770,2182922,18714,6031371,101218,519375,,125534,7490,252653,185883,119875,516304,528448,7612,7612,1462.0,7711,12970,3389317,3389317,0.0,0.0,,3788705,76743,582955.0,18606.0,,444544,851887,7985,508593.0,38949,6304431,2847464,2013年09月30日,4731706,,,9763340,9302830,0,1110460,6169391,8555805,,16605,,0.0,189205,,3543930.0,315340.0,216.0,615014,2847464,,,8152478.0,416505,215.0,416290,416290,,17915818.0,72517,1418460,168726,48323,335180,15143.0,460510,1983087,9360013,172686,0
2014-03-26,4,2013,51997,51997,2441404,18714,6726993,106579,672292,,138295,119668,136415,84418,125590,465714,494729,6167,6167,,9653,14273,3089799,3089799,0.0,0.0,,3869295,113463,502.0,0.0,,483501,1248561,23393,456061.0,38807,6483745,2847464,2013年12月31日,5427328,,,10586889,10110630,0,1110460,6097655,9036140,,16546,,0.0,189205,,3323641.0,342016.0,0.0,963672,2847464,,,8224414.0,416505,215.0,416290,416290,,18811303.0,603360,1467823,174639,193222,397386,,476259,2126759,9775163,76903,0
2014-08-12,2,2014,21940,21940,2850051,18714,6302054,103735,2482246,773767.0,135001,91923,212796,190856,109214,487153,497776,6779,6779,1477.0,28782,13586,3440454,3440454,0.0,142373.0,0.0,4604605,93797,0.0,0.0,1708479.0,394534,1170664,9773,458371.0,38523,7167565,2847464,2014年06月30日,4883386,,,10305839,9800319,0,1401206,8291420,10423426,,18455,,481034.0,17462,4228679.0,,288783.0,0.0,609193,2989837,,,10970018.0,416505,215.0,416290,416290,,21275857.0,454073,1635987,157612,555458,389577,16978.0,505520,2678598,10852431,87834,0
2014-08-12,3,2014,20761,20761,2874549,18714,7278327,160256,651663,651663.0,116069,117276,225373,204612,100422,488792,507553,6560,6560,1504.0,29427,13749,3328550,3328550,0.0,0.0,0.0,4539552,108279,0.0,0.0,0.0,323799,928075,16580,459365.0,38382,7476616,2989838,2014年09月30日,5859659,,,11314540,10801946,0,1401206,6449151,9288335,,17905,,572351.0,17462,3499079.0,,189636.0,0.0,734648,2989838,,,9233905.0,416505,215.0,416290,416290,,20548445.0,403410,1737777,166135,558185,394944,16401.0,512594,2784754,11260110,92300,0
2015-03-25,4,2014,20697,20697,2937741,18714,8189274,163453,729928,,107359,419306,280693,259996,116027,511253,535239,8576,8576,1565.0,31037,14680,3202359,3202359,0.0,0.0,0.0,4108975,88499,0.0,0.0,,518651,1307434,21434,480216.0,38239,7746295,2989838,2014年12月31日,6770606,,,12560069,12014923,0,1401206,6412080,10131224,,19047,,437864.0,17462,4066671.0,,307484.0,0.0,896501,2989838,,,9222935.0,416505,215.0,416290,416290,,21783004.0,353425,1725116,193052,574486,410143,17482.0,545146,2810855,11651780,101840,0
2015-05-11,1,2015,18104,18104,2893585,18714,8891976,172083,780604,,105589,18216,191626,173522,142398,496909,510681,8271,8271,,17053,14412,2994156,2994156,0.0,,0.0,3451839,93513,0.0,0.0,,814565,1108001,33954,,38098,7710362,2989838,2015年03月31日,7473308,383416.0,0.0,12843287,12316535,0,1401206,5946066,10103221,479856.0,17726,332799.0,,17462,,4217524.0,,,1045068,2989838,21649184.0,8805897.0,,416505,215.0,416290,416290,21649184.0,,354235,1797096,184714,565826,402088,,526752,2859831,11545963,85910,0
2015-08-11,2,2015,18539,18539,2867651,3400,7445074,161275,2831425,798335.0,116645,-68664,200898,182359,114083,492404,503304,7722,7722,1526.0,13145,14092,3959319,3959319,0.0,0.0,0.0,5240913,97859,0.0,0.0,2033090.0,505126,1649917,25781,,37956,7692879,2989838,2015年06月30日,5691421,304519.0,0.0,11317589,10782753,0,1736191,9566142,12286650,479259.0,17822,378038.0,,17462,,4934093.0,,,890528,2989838,23735525.0,12417936.0,,416505,215.0,416290,416290,23735525.0,,603648,1809970,164588,549420,395895,16296.0,534836,2851794,11448875,85595,0
2015-11-10,3,2015,115733,115733,2883028,3400,8558422,153790,587482,587482.0,105708,483070,316804,201071,120365,404098,513254,22220,22220,1626.0,13576,0,3377277,3377277,0.0,0.0,0.0,4677305,110076,0.0,0.0,0.0,460568,1336946,15994,,37814,8408321,2989838,2015年09月30日,6804769,237437.0,0.0,13005542,12447835,0,1736191,7129523,10745227,390522.0,20214,310512.0,,17462,,4565986.0,,,1200419,2989838,22936643.0,9931101.0,,416505,215.0,416290,416290,22936643.0,,451871,1913161,171595,484319,403699,18588.0,557707,2801578,12191416,87335,0
2016-03-24,4,2015,134193,134193,2823624,3400,9149457,155587,780251,,94096,289600,293131,158938,127856,376587,505462,22178,22178,1623.0,12936,0,3078429,3078429,,,,3713892,74400,,,,648636,1268241,24047,,37673,8517156,2989838,2015年12月31日,7395804,262536.0,,13373282,12845400,0,1736191,6209964,10119548,363651.0,18592,249725.0,,17462,,4126089.0,,,1085754,2989838,22359080.0,8985798.0,,416505,215.0,416290,416290,22359080.0,,502429,1939690,178038,459557,391988,16969.0,527882,2775834,12239532,91296,0
2016-05-11,1,2016,127354,127354,2790342,3400,9605817,169341,739462,,99847,175924,280980,153626,100121,289606,483461,13702,13702,,11028,0,2605333,2605333,0.0,,0.0,2731684,80409,0.0,0.0,,882160,1082152,25915,,37531,8604455,2989838,2016年03月31日,7852164,291710.0,0.0,13724898,13188084,0,1736191,5509038,9681166,278578.0,23500,248525.0,,17462,,4335482.0,,,1384793,2989838,21952594.0,8227696.0,,416505,215.0,416290,416290,21952594.0,,301631,1978563,159398,450489,384569,,536814,2718658,12271428,85190,0
2016-08-10,2,2016,122929,122929,2714977,3400,8396246,165997,2373677,729266.0,100594,50070,346022,223093,119741,241173,474651,12064,12064,1596.0,10639,0,3112121,3112121,,,0.0,3922948,76195,,,1644411.0,587813,1202481,13980,,37389,8851056,2989838,2016年06月30日,6338566,206646.0,,12388209,11852659,0,2040218,7794552,10457441,230534.0,25488,169620.0,,17462,,4719229.0,,,869064,2989838,22863236.0,10475027.0,,416505,215.0,416290,416290,22863236.0,,431862,2034751,132837,404551,373397,23892.0,535550,2680475,12405795,89190,0
2016-11-10,3,2016,114442,114442,2642986,3400,8895393,158895,479570,479570.0,90853,-312020,360190,245748,106017,188900,454695,11125,11125,15035.0,10417,0,3211191,3211191,0.0,0.0,0.0,3979267,76603,0.0,0.0,0.0,428669,1086418,14942,,37247,8878785,2989838,2016年09月30日,6837713,90950.0,,12510254,11989716,0,2040218,6291797,9128857,178483.0,41391,140842.0,,17462,,4048758.0,,,1305217,2989838,21460777.0,8950523.0,,416505,215.0,416290,416290,21460777.0,,1167,2077957,114521,391869,358245,26356.0,520538,2658726,12331920,85325,0
