date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,170000.0,170000,1896767,1347554,,211011,33070,17459,140019,194255,15719,173820,843,172977,64188,,176631,13614.0,13614,4468,7355,526505,526505,0,,,,280659,,30000.0,64772,650982,0.0,74419,0.0,48207.0,106987,1007048,2013年03月31日,946354,,,2678757,2589989,0,272155,1760111,2359822,,6344,129045,,813013.0,10993.0,21446.0,935351,1007048,,,1875458.0,95368,,4554215.0,,51159,7664,0,11513,143505,88768,115347,2194393,82178,3799.0,12157,78379.0,8536,0
2013-08-13,2,2013,,170000.0,170000,1914173,1376707,,238937,33070,15067,152695,203308,18469,182989,22278,160711,64972,,229693,22076.0,22076,4673,7484,541886,541886,0,0.0,,,288100,1800.0,30000.0,64943,697574,4.0,47578,0.0,48549.0,106551,1007048,2013年06月30日,974890,,,2722181,2631818,0,272772,1854482,2442939,,5962,129045,,876219.0,15719.0,21643.0,978605,1007048,,,1984834.0,95368,,4707015.0,,65380,7697,0,11750,181102,90363,130352,2264076,59979,4039.0,19031,55940.0,14839,0
2013-11-13,3,2013,,170000.0,170000,1910828,1388268,,243250,33070,13707,135155,217114,18304,247590,24181,223409,65023,,227476,13632.0,13632,4665,7364,560602,560602,0,0.0,,,294813,0.0,30000.0,44895,647060,0.0,51115,0.0,48715.0,106116,1007048,2013年09月30日,986451,,,2719639,2625839,0,272772,1810357,2400784,,5505,129045,,780319.0,7967.0,25065.0,939248,1007048,,,1938687.0,95368,,4658326.0,,63307,7617,0,11643,186517,93800,128330,2257542,75326,4325.0,19963,71001.0,28810,0
2014-03-28,4,2013,,0.0,0,2015795,1382614,,261903,38193,16922,153978,34596,13036,249521,23548,225973,70807,,215759,14008.0,14008,4412,7264,572223,572223,0,0.0,,,413726,0.0,0.0,26384,709400,2.0,61321,0.0,54763.0,105909,1007048,2013年12月31日,980797,,,2733936,2639008,0,272772,1762516,2458730,,5233,129045,,780068.0,15250.0,22257.0,972464,1007048,,,2075833.0,95368,,4809769.0,,72510,8343,170000,11632,184043,94928,313317,2351039,47016,4573.0,10444,42443.0,21560,0
2014-05-13,1,2014,,,0,2051935,1428782,0.0,236148,35595,15328,179142,23336,12362,129376,32307,97069,71263,0.0,242073,,12563,4707,6458,566581,566581,0,,0.0,323800.0,319699,,0.0,49783,659897,,58272,,54833.0,105455,1007048,2014年03月31日,1026965,,,2821462,2731575,0,272772,1282143,2335003,,4964,129045,829033.0,,12057.0,5005.0,605525,1007048,,,1926457.0,116603,,4747919.0,455.0,79251,8489,170000,11723,185172,89887,644314,2412916,71056,,37880,,10974,0
2014-08-12,2,2014,,,0,2049596,1425396,0.0,292357,37827,26002,146487,54752,13305,191723,35731,155992,71184,0.0,252053,,11743,4712,6549,569833,569833,0,,0.0,251536.0,338216,,0.0,40715,732904,,64484,,55041.0,105510,1038880,2014年06月30日,1035954,,,2862738,2769563,0,283319,1453113,2459373,,4501,106123,790301.0,,36455.0,4948.0,652791,1038880,,,2016651.0,158800,,4879389.0,1026.0,70818,8356,170000,11431,180132,93175,563538,2420016,78152,,53629,,41447,0
2014-11-11,3,2014,,,0,2075100,1444620,0.0,274319,37598,31011,177170,37626,13241,227373,67421,159952,64431,,400184,,12086,4717,21940,580591,580591,0,,0.0,214861.0,302261,,0.0,28446,615471,,60446,,48130.0,105056,1055175,2014年09月30日,1055178,,,2957289,2857610,0,283319,1576414,2469501,,4275,106123,868239.0,,32761.0,5686.0,863403,1055175,,,2104268.0,180645,,5061557.0,527.0,78562,7441,170000,11584,182157,99679,527854,2592056,80157,,184001,,24385,0
2015-03-26,4,2014,,0.0,0,2329495,1456386,,275993,44359,24061,248819,33175,2350,195678,50454,145224,66770,,301819,12468.0,12468,5016,25419,589761,589761,0,0.0,0.0,209679.0,310115,0.0,0.0,29128,682130,,62690,0.0,49698.0,104603,1057964,2014年12月31日,1066944,,,3053618,2947585,0,283319,1645684,2493635,,9688,106123,873255.0,,26400.0,4256.0,926514,1057964,,,2196978.0,184416,,5250596.0,889.0,104845,11356,170000,12056,188975,106033,551294,2756961,60915,,74957,60915.0,30825,0
2015-05-12,1,2015,,,0,2270061,1498928,0.0,245198,35358,26020,225803,22081,2194,209428,65522,143906,70630,,274231,,12653,11234,13454,687587,687587,0,,0.0,202994.0,319029,,0.0,32421,669554,,69452,,,171474,1061350,2015年03月31日,1109486,38420.0,51.0,3078296,2975141,0,283319,1815795,2695417,47578.0,9233,106123,,934007.0,,,1123288,1061350,5435053.0,2356757.0,,189060,5435053.0,,406.0,97338,14637,170000,11818,184956,103155,540962,2739636,98912,,63168,,19887,0
2015-08-12,2,2015,,,0,2258255,1495927,0.0,289483,37402,17749,204804,23748,2030,247035,40921,206114,54635,0.0,267558,,13263,4707,10900,644975,644975,0,,0.0,173740.0,284959,,0.0,33007,661379,,94171,,,170772,1074099,2015年06月30日,1094932,41721.0,1953.0,3080702,2981646,0,294872,1835484,2693668,38282.0,8915,106123,,955350.0,,,1125164,1074099,5413070.0,2332368.0,,206816,5413070.0,,491.0,98509,13902,170000,11646,181588,99056,496884,2719402,70565,,61807,,21718,0
2015-11-11,3,2015,,,0,2334701,1513636,0.0,279135,37329,23140,261698,19479,2412,181787,42395,139392,51992,,238331,,11322,4138,11789,598727,598727,0,,0.0,146785.0,290176,,0.0,30236,645232,,99334,,,170071,1085732,2015年09月30日,1112641,32038.0,6763.0,3182883,3084181,0,294872,1670914,2574573,35996.0,9986,106123,,948763.0,,,982521,1085732,5339761.0,2156878.0,,223115,5339761.0,,61.0,117187,12099,170000,11858,190205,98702,485964,2765188,70766,,25015,,17067,0
2016-03-25,4,2015,,,170000,2378394,1475390,0.0,255714,39381,9769,233949,180182,3149,218885,39895,178990,59432,,229425,,14150,5204,11706,556326,556326,0,,0.0,144463.0,296634,,,29925,613180,,98309,,,170290,1087087,2015年12月31日,1074395,29290.0,4947.0,3121823,3021467,0,294872,1857569,2484325,42688.0,10749,106123,,912136.0,,,1026443,1087087,5296516.0,2174693.0,,225041,5296516.0,,60.0,113229,23333,0,11540,184943,100356,317124,2812191,70713,,18626,,7033,0
2016-05-11,1,2016,135667.0,170000.0,305667,2347436,1514742,0.0,244076,35130,12203,207037,318854,2672,140387,42086,98301,55624,,230283,,13743,8137,11608,567638,567638,0,,0.0,0.0,296319,,0.0,25178,597120,,92287,,,169559,1091071,2016年03月31日,1113747,43238.0,2404.0,3132537,3043620,0,294872,1981261,2493379,36176.0,11836,106123,,1012728.0,,,1018466,1091071,5275452.0,2142915.0,,230770,5275452.0,,28.0,106030,22959,0,11311,181313,88917,161654,2782073,68584,,23619,,10515,0
2016-08-11,2,2016,136566.0,170000.0,306566,2338386,1526787,0.0,272915,37246,9509,181514,315355,2377,72656,39858,32798,52462,,220810,,11467,5181,11774,522696,522696,0,,0.0,0.0,277482,,,29980,641326,,72428,,,168829,1091071,2016年06月30日,1119153,47578.0,2435.0,3120490,3030142,0,301511,2004148,2510394,36288.0,11514,106123,,1128897.0,,,1023592,1091071,5270897.0,2150407.0,,230770,5270897.0,,0.0,93797,20964,0,10993,177495,90348,146259,2760503,60447,,20074,,6412,0
2016-11-10,3,2016,,,307470,2308552,1528997,0.0,229657,37285,11213,126040,315864,3208,77805,36709,41096,51380,,209248,,10016,4430,10114,504238,504238,0,,0.0,0.0,265867,,0.0,21120,552309,,105207,,,168100,1091071,2016年09月30日,1121363,31960.0,2885.0,3069835,2976878,0,301511,2039250,2523958,36400.0,11663,106123,,1222534.0,,,1137497,1091071,5243080.0,2173245.0,,230770,5243080.0,,0.0,82615,21559,0,10550,170849,92957,133995,2719122,47767,,18269,,5186,0
