date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本,待註銷股本股數,應付員工紅利,應付帳款合計,應付帳款－關係人合計,應付董監事酬勞,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,,5503718,28339320,89260,-2902412,926544,,2420324,,,2147172.0,142790,420863,5596995,93277,781298,774299.0,6999.0,183763,749248,1837,250616,66853,7536659,159061,,,,0.0,1847647,113535,0.0,273152.0,2825023,265741,747411.0,,35214623,2013年03月31日,-5597687.0,,32961106,32917896,3899382,2695275.0,10621490,28587155,,396004,,17035644.0,344255.0,227980,35214623,,68905,,26541872.0,343883,,59502978.0,1849.0,0.0,0.0,914079,,15171134,43210,15920382,30915823,0
2013-07-29,2,2013,,5723718,27325313,82698,-4776536,841163,,2361317,,,2077717.0,125820,348643,5951007,227289,655477,652477.0,3000.0,186126,777541,3838,263461,77335,8045980,159061,0.0,,,0.0,1865623,457141,,283600.0,3376094,420472,773703.0,,35214623,2013年06月30日,-4776536.0,,31035354,30971685,3899382,0.0,11300945,26553398,,374225,,13929439.0,355337.0,220454,35214623,,90066,,25316524.0,344016,,56351878.0,,116.0,0.0,911620,,13238038,63669,14015579,29798480,0
2013-10-28,3,2013,,5798718,27533689,82698,-5678042,826280,,2581931,,,1937401.0,206600,317335,6099692,300974,572730,572730.0,0.0,189219,804692,4193,279960,90741,8709553,159061,,,,0.0,2183667,182326,,644530.0,3268772,1184844,800499.0,,35214623,2013年09月30日,-5678042.0,,30096810,30038840,3899382,0.0,12766964,26725909,,340261,,12783410.0,359081.0,1263883,35214623,,96384,,26605931.0,343985,,56702741.0,,0.0,0.0,913944,,13034275,57970,13838967,29976832,0
2014-03-17,4,2013,,7656919,26728291,114888,-7178843,951333,,2659499,,2226702,,147208,457785,7728608,71689,534645,534645,0,185715,828693,3087,287221,101506,8795383,159061,,,,0,2004696,90584,,432797,2822661,458302,825606,,35214730,2013年12月31日,-7178843,,28725798,28678777,3899382,0,13548790,24738131,,316358,,11978574,355427,566577,35214730,,143399,,25320461,344166,,54046259,,1358,0,910037,10942978,10942978,47021,11771671,29308128,0
2014-04-29,1,2014,,7146077,25321209,115606,-8455103,1185287,0.0,2402109,,1896411.0,,132902,722741,7213255,67178,684691,684691.0,0.0,185886,856367,3253,307089,121203,9506181,159061,,,0.0,,1737109,77195,,505698.0,2981272,347881,853114.0,,35214730,2014年03月31日,-8455103.0,,27705416,27667473,3899382,0.0,11997477,23279236,,349982,9626309.0,,344393.0,80382,35214730,,140110,,23763157.0,344166,,51468573.0,2924.0,0.0,,910164,10909313.0,10909313,37943,11765680,28189337,0
2014-07-24,2,2014,,5239511,23607337,111472,-10251369,1189978,0.0,1805285,,1602647.0,,136315,697022,5302113,62602,610847,610847.0,0.0,184307,896799,16103,304821,120514,9656168,159061,,,0.0,,1821127,70660,,202638.0,3238795,313308,880696.0,55609.0,35214730,2014年06月30日,-10251369.0,,25868431,25845523,3899382,,10214346,21399656,,344436,7443310.0,,298706.0,788780,35214730,,127675,,22055153.0,344201,,47923584.0,,913.0,,910275,10944008.0,10944008,22908,11840807,26523928,0
2014-10-29,3,2014,,6057092,22420614,112072,-11348217,1197695,,1687272,,,,190602,452112,6160673,103581,496718,,,183001,923903,16601,311681,128680,9553756,159061,,,0.0,,2080963,68090,,,3363830,1442275,907302.0,47550.0,35214730,2014年09月30日,-11348217.0,,24807293,24791763,3899382,,11767696,22304104,,292513,7256880.0,,298935.0,1352212,35214730,,117007,,22789005.0,632199,,47596298.0,2544.0,43.0,,910069,,10097406,15530,11021309,25292194,0
2015-03-16,4,2014,,,21128358,113399,-13640051,1243142,,2157983,,,,161304,734847,12217745,,578319,,,182657,961740,17930,308660,126003,9301643,159061,,,0,,1996003,63185,,,2699155,483179,943810,38599,35587740,2014年12月31日,-13640051,,22778228,22765127,3899382,,19029101,20859896,,238343,7636201,,302416,2134039,35587740,,150617,,22064347,241652,,44842575,7113,95,,912178,,2073506,13101,3035246,23982679,0
2015-04-27,1,2015,12197644.0,12197644,19892583,113021,-14167467,1480693,,1346805,5550.0,1111062.0,,116694,624206,12264988,67344,699878,,,185553,1120097,4736,311057,125504,9865236,159061,,,,,1817216,56618,,235743.0,2727288,276759,,32371.0,35587740,2015年03月31日,-14167467.0,184672.0,22509468,22498156,3899382,,17743759,20032197,1115361.0,206756,,6346342.0,,1913404,35587740,42980777.0,154506,20471309.0,,612738,42980777.0,,0.0,0.0,,912099,,1607453,11312,2727550,22948580,0
2015-07-22,2,2015,3317918.0,3317918,18950785,91829,-15392564,1294036,,1232845,4654.0,1044506.0,,152967,525768,3385910,67992,573118,556253.0,16865.0,180905,1121359,4592,309044,128139,10411874,159061,,-14540.0,1454000.0,,1960968,63188,,188339.0,3021490,252824,,25405.0,35587740,2015年06月30日,-15392564.0,186099.0,21188563,21174627,3899382,,9337908,18223126,1116767.0,166565,,3810809.0,,2331144,35573200,39971262.0,173100,18782699.0,,627284,39971262.0,,0.0,44.0,,910472,,8323432,13936,9444791,21748136,0
