date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1460778,1091694,39056.0,202808,13583,216432,676791,39056,271432,580,177208,17480,14362,46828,,2682,224274,394198,1848,50446,11467,1805375,2013年03月31日,458221,,2933876,2933876,2567863,490601,761219,2341233,27,,20000.0,,142872,,352142.0,37868.0,1805375,,8531,,1003684.0,44579,,3937560.0,691567,65257,22546,0,242465,1596327,6937,0
2013-08-12,2,2013,1449625,959669,,147068,12420,453974,656383,29654,303518,147,195352,24715,16068,46828,,4514,134977,367189,336,50363,10831,1805375,2013年06月30日,295362,,2792449,2792449,2527863,521435,941082,2404003,24,,20000,,142872,,455212,37497,1805375,,6602,,1201690,44579,,3994139,751505,65256,22158,0,260608,1590136,10095,0
2013-11-04,3,2013,1445179,967398,,124156,13542,213600,702566,27524,349502,253,215988,22518,16396,46828,,1724,130128,248522,5506,50280,10575,1805375,2013年09月30日,303091,,2801081,2801081,2527863,521435,706195,2204598,21,,20000.0,,142872,,359960.0,6257.0,1805375,,4984,,987440.0,47612,,3788521.0,743002,65257,21808,0,281245,1583923,4237,0
2014-03-19,4,2013,1454503,1012065,,128582,12939,210916,796813,31347,343941,2625,242863,22525,23775,46828,,2530,249342,309851,3324,50196,10417,1805375,2013年12月31日,347758,,2849572,2849572,2527863,521435,818940,2387711,19,,20000.0,,142872,,382348.0,9251.0,1805375,,2960,,1129057.0,47613,,3978629.0,728550,67254,20319,0,310117,1590918,11843,0
2014-05-12,1,2014,1447991,1115323,,140950,13355,210141,904619,40245,308992,596,271623,22167,21127,46828,0,7531,238584,435988,299,50113,10634,1805375,2014年03月31日,451016,,2961728,2961728,2527863,521435,802126,2517239,16,,20000,,142872,451115,,28692,1805375,,8186,,1140979,47613,,4102707,554390,67230,21192,0,338853,1585468,8155,0
2014-08-08,2,2014,1445934,977801,,140516,13251,456760,1012360,39707,335925,100,281144,29295,24250,46828,0.0,2803,146393,369865,217,50030,10551,1805375,2014年06月30日,292029,,2823668,2823668,2527863,542900,982876,2544971,13,,40000.0,,142872,327555.0,,34674.0,1805375,,6321,,1331249.0,47613,,4154917.0,662643,67229,20872,0,348373,1609946,7465,0
2014-11-07,3,2014,1436123,960975,,141871,14248,219492,1066710,42059,328456,898,314624,39298,21132,46828,0.0,6136,126141,236423,18512,49947,10172,1805375,2014年09月30日,275204,,2812227,2812227,2527863,542899,699677,2283976,11,,40000.0,,142872,346473.0,,14634.0,1805375,,4818,,1081763.0,50646,,3893990.0,447803,67462,20215,0,382086,1610014,4154,0
2015-03-20,4,2014,1453284,972619,,145495,14186,199087,988451,45621,291590,902,365302,29194,23657,46828,0.0,3230,232414,284945,11593,49864,10377,1805375,2014年12月31日,286847,,2827433,2827433,2527863,542900,743453,2389395,43,,40000.0,,142872,343916.0,,14414.0,1805375,,2718,,1179113.0,50646,,4006546.0,578624,70358,20203,0,435660,1617151,11812,0
2015-05-11,1,2015,1454172,1077918,,146732,16989,204998,1030780,49661,298938,2175,382254,28859,21763,46828,0.0,1343,169151,330557,7525,49781,9784,1805375,2015年03月31日,392146,34675.0,2936772,2936772,2527863,542900,716712,2486531,38,,,40000.0,142872,,380653.0,,1805375,4107274.0,7607,1170502.0,,50646,4107274.0,,562084,71536,21120,0,453790,1620743,4262,0
2015-08-12,2,2015,1448710,966727,,90477,17945,433707,1030357,23341,360559,865,397237,22089,22873,46828,0.0,6147,86375,256996,19468,49698,9698,1805375,2015年06月30日,262667,36382.0,2799261,2799261,2527863,561188,929308,2587671,33,,,40000.0,142872,,450093.0,,1805375,4191064.0,6138,1391803.0,,50646,4191064.0,,711008,65258,15220,0,462495,1603393,5534,0
2015-11-06,3,2015,1440658,977546,,36278,16263,217996,1028970,-308,379936,894,406811,22952,27049,46828,0.0,3051,82689,173034,22544,49615,9144,1805375,2015年09月30日,273486,21551.0,2789211,2789211,2527863,561188,709707,2378176,28,,,40000.0,142872,,449372.0,,1805375,3970986.0,4484,1181775.0,,53426,3970986.0,,638650,65257,14150,0,472068,1592810,1385,0
2016-03-23,4,2015,1437778,1023962,,36383,16138,210337,1076250,-328,447250,130,417198,23474,25829,46828,0.0,4393,133442,196966,16513,49531,8098,1805375,2015年12月31日,319902,30038.0,2835607,2835607,2527863,561188,827892,2577476,26,20000.0,,20000.0,142872,,514599.0,,1805375,4145954.0,2432,1310347.0,,53426,4145954.0,,684088,65257,13433,0,482455,1568478,6718,0
2016-05-11,1,2016,1436656,1104588,,36002,16989,180178,1133483,143,414507,366,463289,8789,26236,46828,0.0,10440,122737,261732,6624,49448,8340,1805375,2016年03月31日,400528,46164.0,2916704,2916704,2527863,561188,781023,2671885,24,0.0,,20000.0,142872,,532322.0,,1805375,4226273.0,6997,1309569.0,,53426,4226273.0,,673835,65257,14142,0,528546,1554388,1285,0
2016-08-05,2,2016,1444818,954887,,35842,16242,446074,1150146,-765,463558,1398,477238,28891,26824,46828,0.0,5235,81048,215044,9648,49365,8418,1805375,2016年06月30日,226290,30363.0,2766095,2766095,2527863,585725,1031745,2758781,21,0.0,,20000.0,142872,,604273.0,,1805375,4340335.0,5467,1574240.0,,53426,4340335.0,,713503,65257,13799,0,542495,1581554,2103,0
2016-11-09,3,2016,1447566,976197,,36544,16616,219540,1213921,311,516648,1477,500086,32789,30840,46828,0.0,8150,82382,162148,21820,49282,8767,1805375,2016年09月30日,247600,7660.0,2791515,2791515,2527863,585725,838683,2606488,19,0.0,,20000.0,142872,,462573.0,,1805375,4195541.0,4303,1404026.0,,56460,4195541.0,,676287,65257,14014,0,565343,1589053,878,0
