date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,4499167,710,1287961,-84802,182933,337132,,145130,-78740,44300,84998,,1444419,724751,6062,1264305,28054,,,456683,100000,95213,914257,80209,411571,213895,234159,0.0,688549,2980811,2013年03月31日,827793,,,4826270,4803668,827883,271210,2309169,3945729,11596,,188958,,767564.0,20995.0,,1155866,2980811,,98980,,5633315.0,641690,63274,,578416,,10459585.0,92727,171991,,1787000,22602,3324146,6513856,63800,0
2013-08-08,2,2013,4611876,710,1233768,-85231,182933,482612,,120155,-72453,32989,97945,,1459263,741203,12778,1308347,28054,,,564823,80000,108995,955073,90313,379982,204084,233365,0.0,661083,2980811,2013年06月30日,741388,,,4778775,4755762,827883,303422,2553745,3970252,11634,,188958,,760900.0,35764.0,,1149582,2980811,,98980,,5812206.0,641690,63274,0.0,578416,,10590981.0,94198,177925,0.0,1705000,23013,3258461,6620729,53453,0
2013-11-12,3,2013,4626314,710,1304156,-78945,182933,316902,,134305,-73390,29919,79001,,1448677,801534,5555,1371479,28054,,,494852,50000,115578,948610,92091,334459,226087,232570,0.0,680250,2980811,2013年09月30日,811776,,,4849199,4825213,827883,303422,2739565,4041583,11331,,188958,,788958.0,25728.0,,1607606,2980811,,98980,,5905552.0,641690,63274,0.0,578416,,10754751.0,102310,177526,0.0,1615000,23986,3165987,6713168,66593,0
2014-03-28,4,2013,4759933,710,1363061,86835,348634,355136,43696.0,113642,106432,32894,22804,22804.0,1418508,787566,19597,1454155,28054,,,525555,112924,114077,906855,96877,329163,238645,231775,,694473,2980811,2013年12月31日,870681,,,5088615,5064237,827883,303422,2894850,4079240,10729,,188958,,818655.0,23951.0,,1631333,2980811,,98980,,5983254.0,641987,63571,0.0,578416,,11071869.0,114896,158809,0.0,1555000,24378,3088404,6992629,54748,0
2014-05-08,1,2014,5100244,710,1431896,72966,331482,296553,61823.0,160994,94884,24405,28947,28947.0,1420712,473527,21918,1427252,28054,,0.0,546904,320000,144730,922889,97796,349876,217236,232174,,707715,2980811,2014年03月31日,939516,,,5146237,5121524,827883,303422,2766533,4115940,10587,,188958,783401.0,,28913.0,,1306048,2980811,,98980,,5982575.0,641987,63571,0.0,578416,,11128812.0,120330,156433,0.0,1675000,24713,3216042,7012872,65726,0
2014-08-14,2,2014,4167451,710,1371321,168865,427662,481559,212779.0,169383,173093,23587,34075,34075.0,411230,316836,4228,1519229,28054,,0.0,536683,168000,170358,948929,63276,337685,198143,231370,,682341,2980811,2014年06月30日,854906,,,5164866,5139158,827883,327457,2860114,4209422,10233,,188958,655571.0,,34739.0,,1346208,2980811,,98980,,5038889.0,641987,63571,0.0,578416,,10203755.0,122545,157730,0.0,1645000,25708,2178775,5994333,70352,0
2014-11-12,3,2014,4249416,15710,1435224,171534,433845,287611,77206.0,170805,197782,38400,28921,28921.0,408590,231848,26248,1534968,28054,,0.0,511682,268000,144604,943400,74759,339690,168731,230566,,687265,2980811,2014年09月30日,918809,,,5253434,5228047,827883,327457,2610752,4189997,10365,,188958,802577.0,,29185.0,2842.0,1232290,2980811,,98980,,4952760.0,642284,63868,0.0,578416,,10206194.0,128418,157182,0.0,1805000,25387,2342008,6016197,46098,0
2015-03-25,4,2014,4297122,15710,1558902,240249,435782,358314,42960.0,161277,303594,36054,17722,17722.0,409870,254171,63345,1547744,28054,202746.0,0.0,538031,222978,88610,978370,85694,341765,160072,27856,,701450,2980811,2014年12月31日,1042487,,,5483552,5457537,827883,327457,2660194,4397285,9900,,188958,795907.0,,47328.0,1016.0,1269899,2980811,,98980,,4826309.0,642284,63868,0.0,578416,,10309861.0,131245,170585,0.0,1625000,26015,2166115,5912576,62012,0
2015-05-13,1,2015,4304062,15710,1664391,141657,337190,296046,58883.0,157625,194345,54229,9274,9274.0,404760,223880,52688,1541182,28054,202746.0,0.0,568434,122978,46741,1020414,55904,373746,185975,0,,754110,2980811,2015年03月31日,1147976,64703.0,0.0,5500360,5453777,827883,327457,2414337,4376273,9477,,188958,,682285.0,,,1162226,2980811,10194811.0,98980,4694451.0,,642284,63868,0.0,578416,10194811.0,,130354,174109,0.0,1745000,46583,2280114,5818538,88239,0
2015-08-11,2,2015,4286936,15710,1584883,153411,350180,490325,67668.0,166893,191408,50168,14701,14701.0,405042,226050,37997,1576315,28054,202746.0,0.0,532284,259000,73505,979846,58999,384910,176622,0,,734459,2980811,2015年06月30日,1033696,47520.0,0.0,5417099,5371332,827883,362229,2865526,4385566,9026,,188958,,692939.0,,,1313744,2980811,10184391.0,98980,4767292.0,,642284,63868,0.0,578416,10184391.0,,131724,176464,0.0,1365000,45767,1901766,5798825,63927,0
