date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,待分配股票股利,待註銷股本股數,應付帳款合計,應付建造合約款,應付建造合約款－關係人,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收建造合約款－關係人,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,9955887,6473513,909300,128803,294915,302218,,1300000,,,,1559692,,344774,,,,2259528,,,789424,4510904,820193,,,360179,527322,19947,7686335,,0,,235788,,99000.0,,7435652,2013年03月31日,2413099,,13961741,13911130,0,859049,8716678,14685068,,26629,3201365,,980713.0,249503.0,571494,7435652,,197470,,11746361.0,1965,1965,,25708102.0,5993.0,0.0,1327134,360956,142857.0,,,,50611,3029683,11023034,1487505,,0
2013-08-08,2,2013,,10140380,6028977,1612329,148870,432963,330231,,1300000,,,,1247992,,75326,,,,2294379,0.0,,745061,5001350,466471,,,594582,511256,26012,5196519,,855,,235694,,99000.0,,7435652,2013年06月30日,1897899,,13519381,13466594,0,929713,9369527,14597291,,23437,3201365,,2973578.0,69267.0,356602,7435652,,192672,,12016082.0,1965,1965,,25535463.0,962.0,0.0,1327134,364335,71429.0,,,,52787,2646555,10938172,1712859,,0
2013-11-07,3,2013,142857.0,10134422,6077078,938576,153249,324539,347205,,1300000,,150000.0,1300000.0,2832647,10442.0,75816,6635.0,175681.0,69181.0,2584699,,,930715,4460080,142572,,,522556,443477,14030,6311273,201006.0,0,178638.0,235601,,99000.0,,7435652,2013年09月30日,1946000,,13567753,13514695,0,929713,8037658,14887920,,22543,3201365,,1643133.0,31708.0,490930,7435652,,173316,,12268868.0,1965,1965,,25836621.0,,12652.0,1327134,381319,71429.0,844614.0,0.0,1623272.0,53058,4231210,10948701,1899862,54348.0,0
2014-03-21,4,2013,142857.0,10369432,6174048,1514857,33035,131741,417722,,1441432,99472.0,230000.0,1341960.0,2027101,10458.0,233858,0.0,186158.0,66040.0,2427245,,,990599,4820949,0,,,600843,203930,5299,8154233,657684.0,840,139753.0,235507,,99000.0,,7435652,2013年12月31日,2053986,,13665033,13611665,0,929713,9252310,14915755,,31442,3190349,,126267.0,34160.0,694212,7435652,,170630,,12604321.0,1965,1965,,26269354.0,8338.0,0.0,1324910,384360,0.0,698788.0,167818.0,991944.0,53368,3352011,11353599,1734049,44865.0,0
2014-05-09,1,2014,142857.0,10477452,6226726,831111,169421,105800,215402,0.0,1312150,190.0,43500.0,1311960.0,1917216,15369.0,187253,0.0,186919.0,62866.0,2612491,,0.0,1141572,5709620,0,,,485781,200037,4101,7356683,0.0,400,151273.0,235413,,99000.0,,7435652,2014年03月31日,2106664,,13717854,13664343,0,929713,9238608,14608626,,28110,3190349,749669.0,,214072.0,437343,7435652,,178706,,12480734.0,1965,1965,,26198588.0,25001.0,0.0,1324910,562734,0.0,878860.0,124387.0,684795.0,53511,3242126,11589962,2097874,29045.0,0
2014-08-12,2,2014,71428.0,10607005,5933362,1175139,69792,83302,141331,,1312043,83.0,43500.0,1311960.0,2048250,10738.0,200345,0.0,184641.0,78432.0,2712398,,0.0,954765,5411204,0,,21.0,287313,229986,22853,7459858,0.0,355,162793.0,235319,,99000.0,,7435652,2014年06月30日,1769610,,13419539,13370979,0,973403,9075966,14067357,,39187,3190349,147093.0,,255606.0,666147,7435652,,184440,,12449126.0,1965,1965,,25868665.0,0.0,9729.0,1324910,620452,0.0,882764.0,121913.0,807314.0,48560,3373160,11801308,2019948,26403.0,0
2014-11-11,3,2014,71429.0,10643565,6042182,850035,63307,94615,96081,,1314321,2361.0,0.0,1311960.0,1744204,11909.0,138037,0.0,181482.0,60958.0,2752892,,0.0,1105130,5068691,41059,1099448.0,228.0,367576,571349,10961,8392584,0.0,210,174313.0,235226,,99000.0,4000.0,7435652,2014年09月30日,1878430,,13527078,13479799,0,973403,10229314,14985546,,41265,3190349,70049.0,,275192.0,1152196,7435652,,171975,,13298428.0,1965,1965,,26825506.0,1703.0,0.0,1324910,678867,0.0,886667.0,77079.0,489833.0,47279,3069114,11839960,1715258,24652.0,0
2015-03-20,4,2014,0.0,11126753,6270284,1216648,123987,35376,27835,,991,991.0,20000.0,0.0,1278417,11981.0,150419,,184872.0,70218.0,2389345,,0.0,1444742,5049285,575514,999599.0,,159409,321439,19985,12259864,0.0,210,165064.0,235132,,99000.0,3907.0,7435652,2014年12月31日,2106532,,13758084,13707901,0,973403,13443979,17420313,,38910,3190349,344342.0,,361313.0,3406366,7435652,,168519,,16047306.0,1965,1965,,29805390.0,34749.0,,1324910,730956,,870571.0,80201.0,45929.0,50183,2603327,12385077,1924774,7835.0,0
2015-05-08,1,2015,0.0,11035507,6398920,895329,152352,56318,60379,,1843,1843.0,45000.0,0.0,1261462,12108.0,105072,,186151.0,74228.0,2631761,,0.0,1081119,4323294,567084,649332.0,228.0,303107,1101075,13427,8485348,0.0,0,,235038,99000.0,0.0,3623.0,7435652,2015年03月31日,2235168,361850.0,13887263,13836537,0,973403,9957333,14312011,171703.0,34979,3190349,,155397.0,,1560400,7435652,26430968.0,153554,12543705.0,,1965,1965,26430968.0,,1657.0,,1324910,704738,,837068.0,30844.0,54432.0,50726,2586372,12118957,1615490,15379.0,0
2015-08-11,2,2015,0.0,10960166,6092819,1371887,154616,76967,63302,,1684,1684.0,45000.0,0.0,1264777,11613.0,120770,,183322.0,90361.0,2677009,,0.0,1047368,3433407,591586,0.0,0.0,440458,295370,40714,4992491,0.0,0,,234945,99000.0,0.0,3503.0,7435652,2015年06月30日,1883989,6315.0,13578674,13530436,0,1018481,7647938,11767922,178342.0,33104,3190349,,1809884.0,,575067,7435652,23816299.0,117431,10237625.0,,1965,1965,23816299.0,,1117.0,0.0,1324910,695889,,840801.0,30409.0,50699.0,48238,2589687,12048377,1620187,18302.0,0
