date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,43205286,2625575,21112108,82259,356646,35711,5612771,414029,710938,4882478,12916,805293,543432,628679,4888774,,,8503749,492431,199864,76769,12624619,141596,382055,2291957,79857,3108826,15386060,2013年03月31日,17192543,,50666601,46173816,0,3919565,26794128,45057270,252880,,25195779.0,617253.0,6380658,15386060,,,46915784.0,8964710,12876.0,1903855,,,0,7047979,,,97582385.0,28155,2247,482916,381591,18833447,4492785,20121656,52525115,1038609,0
2013-08-13,2,2013,44760348,2570059,19752715,103992,375143,35711,8892429,818410,894552,5095609,9431,1132032,891987,790560,4921621,,,9685354,621904,199873,65161,14003960,157244,210149,2271587,44672,2973112,15386060,2013年06月30日,15487592,,49497701,44998141,0,4265123,32839427,47950537,218340,,26489802.0,427800.0,7844838,15386060,,,52602918.0,8964814,12980.0,1903855,,,0,7047979,,,102100619.0,6459,2471,432988,384266,18198471,4499560,19763491,54150082,962306,0
2013-11-12,3,2013,46338559,2537155,20158454,87047,360308,38606,7292452,715891,794934,4462223,624729,1126558,916966,707887,4930646,,,9208291,595634,199887,66160,14252180,120817,59827,2251251,26541,2921187,15386060,2013年09月30日,15893331,,49720366,45322332,0,4265123,30936030,46609087,250567,,24456120.0,357135.0,8752137,15386060,,,52562396.0,8982884,31050.0,1903855,,,0,7047979,,,102282762.0,2111,4338,316731,392843,20183077,4398034,21626366,55673675,1084231,0
2014-03-27,4,2013,46915827,2526553,20015889,54299,314125,42325,6350997,837881,970017,4816343,378262,1013627,885991,915718,4606957,,,8567040,371462,199891,51927,12384817,126182,88293,2240608,9017,2721659,15386060,2013年12月31日,15750766,,49935425,45459001,0,4265123,28651047,43510454,207798,,23776830.0,358559.0,7932400,15386060,,,49569426.0,9087035,135201.0,1903855,,,0,7047979,,,99504851.0,2428,716,317402,444619,19587350,4476424,20918379,55994397,996391,0
2014-05-07,1,2014,46696556,2536529,20107328,105201,345332,49765,5319685,630650,940168,4522594,380976,999136,888541,834967,4881810,,0.0,8150888,422369,199895,91535,12338738,130849,186318,2226623,9201,2685640,15386060,2014年03月31日,15842205,,50012804,45420240,0,4265123,26815909,41260315,206315,21241745.0,,341358.0,7767585,15386060,,,46974361.0,8986684,,1903855,,34850.0,0,7047979,,,96987165.0,0,9392,343398,427680,18815918,4592564,20158452,55726850,1114505,0
2014-08-12,2,2014,47277396,2579884,19320157,150722,375139,57003,6612658,686521,730946,3468392,397289,1027557,917846,580224,5623630,161561.0,0.0,9008281,482200,199900,72526,13315922,123651,193148,2206314,9020,2705760,15386060,2014年06月30日,14937779,,48846254,44400365,6184000,4382378,29414568,43020589,211360,21025272.0,,267039.0,9299120,15386060,,,50522557.0,9124763,,1903855,,0.0,568,7047979,172361.0,,99368811.0,4452,451,267231,383639,19813201,4445889,21107989,56348222,1279566,0
2014-11-07,3,2014,47915782,2540637,19743706,97260,313119,69369,5791796,553388,1011180,2247191,390186,1161906,933799,913920,5939109,161561.0,0.0,9656641,477613,199909,107956,14765342,143462,165855,2187620,9186,2622740,15386060,2014年09月30日,15361328,,49712686,45107312,6184000,4382378,29793213,44506135,224061,20885110.0,,260742.0,11050047,15386060,,,51672667.0,9127927,,1903855,1976.0,0.0,1702,7047979,172415.0,,101385353.0,1318,0,328146,376024,20389402,4605374,21879454,56879218,1350564,0
2015-03-26,4,2014,49250892,2464384,19480770,114137,294732,57305,7072458,620569,1372921,2787742,207098,1195763,871041,1258784,5656157,346289.0,0.0,9034413,447808,199927,67789,14686797,155342,294211,2166643,9551,2826280,15386060,2014年12月31日,15098392,,49604472,45052760,14302000,4382378,29980127,45100548,203399,21797543.0,,303851.0,10064578,15386060,,,53855487.0,9159298,,1903855,5611.0,3473.0,4052,7047979,194328.0,,103459959.0,1561,1603,338690,509916,22340907,4551712,23875360,58359411,1386496,0
2015-05-14,1,2015,49213361,2434554,18931489,165239,323426,64343,6784292,601267,1233997,3826440,122274,1238647,839706,1068758,5245679,363480.0,0.0,7516823,380963,199680,111133,12315023,148392,251299,2145393,9454,2864646,15386060,2015年03月31日,14549111,254189.0,48733944,44353866,15022000,4382378,30356669,44101081,203473,,23807926.0,,11268230,15386060,102479034.0,53745090.0,,9165800,,1903855,9246.0,3473.0,5768,7047979,195479.0,102479034.0,,14919,0,300354,603023,21849420,4380078,23388421,58377953,1285795,0
2015-08-12,2,2015,49197281,2411195,18274049,96543,253392,51876,7544201,585664,984344,2786829,102297,1223819,848034,887801,5099848,632954.0,0.0,8767178,377958,199669,87369,14131354,52467,271086,2130946,9319,2840782,15386060,2015年06月30日,13841953,195914.0,47073178,42830662,30022000,4432096,31518704,44055143,215539,,22235350.0,,11551462,15386060,102400062.0,55326884.0,,8819163,,1903855,12881.0,-27652.0,6572,6728027,195480.0,102400062.0,,8124,0,202212,639947,22382149,4242516,23808180,58344919,1323685,0
