date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵存貨跌價,共同控制下前手權益,其他應付款合計,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,在製品,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付營業稅,應付股利,應付薪資,應付設備款,應收帳款,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,累積盈虧,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,累計折舊－電腦通訊設備,累計減損－機器設備,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,辦公設備成本,辦公設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行存款,零用金／週轉金,電腦軟體,電腦軟體淨額,電腦通訊設備成本,電腦通訊設備淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-08-09,2,2013,255499,,,225875,,,5679,29147,,71494,52882,28299,28299,-16433,10949,10949,65833,65833,146944,146944,,,0,0,13974,0,0,10344,-16433,-16433,119440,13974,124613,124613,,,153097,153097,0,0,18612,0,421994,416315,538713,2013年06月30日,158182,,-75214,925270,205495,1476041,1476041,0,235540,1259485,151916,,,67693,,557153,0,,22615,13013,233396,678193,9602,1537,4014,40146,41582,538713,23976,,,235784,727886,727886,727886,,,1711825,5096,3559,4460,446,244,244,30951,556933,220,4972,4972,73132,32986,,244,452340,67272,,67272,,0,
2014-03-31,4,2013,327780,,,414213,,,10608,22694,,145265,86794,30439,30439,-29371,1310,1310,80164,20554,202767,202767,59610,306,0,0,13559,0,0,15567,-29371,-29371,87232,13253,86492,86492,,,83618,83618,0,0,44639,13832,481046,470438,539473,2013年12月31日,346520,,113124,1017651,282121,1656202,1656202,0,248750,1344212,206642,,48123,67693,,556552,18557,,22790,9637,233396,696198,13153,1906,2159,40784,39332,539473,6387,,,248750,731887,693326,693326,38561,,1904952,4881,2975,2400,241,0,0,12759,556322,230,3875,3875,73590,32806,,0,560740,72004,,72004,,0,
2014-05-26,1,2014,286408,,,467311,,,11590,43674,,149348,112439,49102,49102,9237,200482,1948,74314,13374,207839,207839,60940,306,,,137442,,,22537,9237,9237,220452,14506,205358,205358,,0,154121,154121,,,36723,186,413193,401603,541133,2014年03月31日,399618,,,,,1760328,1760328,0,522024,1634210,211249,,107188,67693,542669,,18073,,,,,,,,,,,541133,6043,,,522024,742647,,,,,2282352,,,,,,,13043,542324,345,3410,3410,,,,,648142,253976,122630,253976,198534,0,
2014-08-01,2,2014,345348,,,517129,,,12284,47438,,235322,,10343,10343,-25129,112590,1811,81957,22227,,,59730,306,,,128274,,,2982,-25129,,274417,14327,247652,247652,,0,257536,257536,,,,,443192,430908,543108,2014年06月30日,449436,,,,,1784599,1784599,0,627486,1698953,226726,,72435,67693,704762,,22038,,,,,,,,,,,543108,17691,,,627486,749491,,,,,2412085,,,,,0,0,12784,704544,218,,,,,,0,713132,150896,113641,,110779,0,110779
2014-10-27,3,2014,398526,,,605758,,,14912,,,228424,157132,8181,8181,4020,236203,1259,83486,22646,201181,201181,60840,307,,,14447,0,0,,,,,14140,382936,382936,,0,289480,289480,12782,,44966,13544,622161,607249,547848,2014年09月30日,538065,,,,,1936683,1936683,0,771050,2078175,203563,,123114,67693,597080,,16943,,,,,,,,,,,547848,,,,771050,779057,,,,,2707733,,,,,,,13022,596782,298,2382,2382,,,,,629558,276129,,276129,234944,0,
2015-04-22,1,2015,302641,31300,31300,559700,316931,316931,6056,,0,215758,,11692,11692,77812,111060,1440,395887,20288,,,375599,326,,,177553,0,0,,,,,13523,292131,292131,3942,0,152858,152858,,,,,338722,332666,637668,2015年03月31日,492007,59174,,,,2707965,2707965,60000,862846,2584385,137916,156601,,67693,,1143682,,323996,,,,,,,,,,637668,,3570811,862846,,1436727,,,,3570811,,,,,,,,20085,1143368,314,,,,,0,,986426,251726,163704,251726,109620,0,
2015-07-31,2,2015,397451,30860,30860,536204,793526,793526,10393,,0,250654,,20624,20624,20162,126030,1778,351325,42726,,,308599,300,,,13560,0,0,,,,,13260,334667,334667,113335,0,146082,146082,,,,,697533,687140,637668,2015年06月30日,468511,37697,,,,2518532,2518532,2199000,1217957,2386769,94521,150901,,67693,,711163,,657494,,,,,,,,,,637668,,3736489,1217957,,1437833,,,,3736489,,,,,,,,19802,710853,310,,,,,0,,1349720,130949,0,130949,124252,0,
2015-11-06,3,2015,375209,32870,32870,586240,804340,804340,10483,,0,209837,,28794,28794,149116,85023,1902,380037,51338,,,328699,300,,,16079,0,0,,,,,15779,365690,365690,0,0,366612,366612,,,,,1068184,1057701,615678,2015年09月30日,518547,15443,,,,2741713,2741713,0,1374299,2780224,87014,129076,,67693,,687891,,697384,,,,,,,,,,615678,,4116012,1374299,,1390679,,,,4116012,,,,,,,,20276,687616,275,,,,,0,,1335788,131035,0,131035,83121,0,
2016-03-04,4,2015,444654,33875,33875,662507,676116,676116,29185,,0,320687,,26337,26337,156762,94518,951,359611,31362,,,328249,300,,,19530,0,0,,,,,19230,233822,233822,0,0,104668,104668,,,,,847721,818536,615678,2015年12月31日,594814,15980,,,,2827197,2827197,0,1087814,2581575,143811,0,,67693,,958495,,551961,,,,,,,,,,615678,,3915011,1087814,,1392250,,,,3915011,,,,,,,,15450,958044,451,,,,,0,,1333436,184774,0,184774,93567,0,
2016-05-06,1,2016,391796,33215,33215,671270,678022,678022,23882,,0,224630,,26736,26736,119646,52050,1324,24393,24393,,,0,300,,,19465,0,0,,,,,17615,343688,343688,0,0,324297,324297,,,,,796606,772724,615678,2016年03月31日,603577,11447,,,,2800798,2800798,0,824403,2368364,119190,0,,67693,,1078766,,211979,,,,,,,,,,615678,,3625201,824403,,1394204,,,,3625201,,,,,,,,15149,1078233,533,,,,,0,,1256837,122057,1550,122057,50726,0,
