date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預付費用,商譽,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付租賃款－非流動,應付股利,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,36471.0,4073478,1438828,189350,189350,-45343,77745,41274,27340,27340,308.0,,318140,9437,52467,130324,-45343,884359,,,,399934,57854,,,1241711,124940,27378,1008890,2013年03月31日,1400860,,5950651,5950651,0,29754,2000694,4188202,130324,,,,8214,,1857385.0,51642.0,1224169,1008890,,,2806632.0,3548276,,8757283.0,,,,,12172,19761,793458,,288833,,805938,4569081,52467,19870,0
2013-08-07,2,2013,,,29155.0,4092261,1300353,499418,499418,59248,87279,58124,45994,45994,314.0,,341657,9406,118113,131256,59248,905679,0.0,,,535808,74362,,,1547069,181238,27482,1008890,2013年06月30日,1129938,,5916767,5916767,0,68563,2393169,4505421,131256,,41811.0,,101852,,1662465.0,42064.0,1154238,1008890,,,3201508.0,3548276,,9118275.0,,,3052.0,,13201,20198,794824,,292933,,808339,4612854,118113,39318,0
2013-11-08,3,2013,,,21425.0,4011477,1487388,278080,278080,12009,97658,76233,227688,227688,311.0,,304299,9530,172714,130889,12009,1027762,,,,602535,117832,,,1649472,177002,27116,1008890,2013年09月30日,1316973,,6056563,6056563,0,68563,2438335,4797555,130889,,36511.0,1494.0,101852,,1505958.0,64425.0,1277805,1008890,,,3237779.0,3548276,,9294342.0,,,448.0,,12034,21512,787099,,278808,,799444,4496787,172714,15961,0
2014-03-14,4,2013,,,77569.0,4021240,1665736,273567,273567,76528,136068,58499,211182,211182,23.0,,313349,10046,133540,131652,76528,1106212,,,,582271,394710,,,1790079,147739,17491,1008890,2013年12月31日,1503325,,6299430,6299430,0,69795,2466894,4971886,131652,,24480.0,1519.0,92616,,1556711.0,95314.0,984964,1008890,,,3206928.0,3548276,,9506358.0,,,1943.0,,13845,49221,726166,,281624,,740034,4534472,133540,21679,0
2014-05-09,1,2014,,,136276.0,4060733,1874048,242011,242011,153269,191429,55153,168317,168317,0.0,,343251,15842,124006,132224,153269,1268690,,0.0,,675429,390914,,,1838940,145747,13579,1008890,2014年03月31日,1711637,,6584483,6584483,0,69795,2630212,5391051,132224,,19818.0,,92616,1825533.0,,83941.0,1033729,1008890,,,3402542.0,3548276,,9987025.0,12759.0,,0.0,,11560,46187,760770,,283263,,772330,4595974,124006,44146,0
2014-08-04,2,2014,,,0.0,4029608,1820821,656251,303139,20256,53846,53846,246715,246715,0.0,,337244,35377,106104,131249,20256,1213716,,0.0,1429991.0,581007,590908,,353112.0,1853274,202572,13136,1008890,2014年06月30日,1688700,,6467072,6467072,0,123907,2299479,5748394,131249,,32041.0,,8214,2093972.0,,100846.0,313959,1008890,,,3831116.0,3617105,,10298188.0,2662.0,750.0,0.0,,11286,38557,89610,,275873,,1531637,4549794,106104,25994,0
2014-11-05,3,2014,,,0.0,4110719,2047121,358184,358184,166204,52857,52857,292501,292501,0.0,,476984,17814,105447,132141,166204,1311026,,0.0,1437143.0,642792,591287,,,1808088,179863,13179,1048890,2014年09月30日,1915000,,7343207,7308174,0,123907,2152193,6265759,132141,,0.0,0.0,8214,2567944.0,,79455.0,427618,1048890,,,3694506.0,4045959,,11037713.0,,2550.0,890.0,,11330,38931,91290,,279337,35033.0,1542313,4771954,105447,179833,0
2015-03-13,4,2014,,,0.0,4310151,2314788,405439,405439,527397,56544,56544,242572,242572,0.0,,476263,17747,135208,134386,527397,1411235,,0.0,1444295.0,706663,493503,,,1810772,183066,13558,1048890,2014年12月31日,2182667,,8057052,7937034,0,123907,2067496,6726616,134386,,0.0,,8214,2942384.0,,88647.0,316700,1048890,,,3621208.0,4045959,,11678260.0,,900.0,1379.0,,13507,17286,95010,,290510,120018.0,1553712,4951644,135208,168006,0
2015-05-07,1,2015,,,0.0,4227964,2548217,378660,378660,406710,63330,63330,163268,163268,,,1001796,250978,149835,133622,406710,1282178,,,1317470.0,599589,326748,,,1854015,151528,13170,1057929,2015年03月31日,2416096,115634.0,8302898,8183203,0,123907,1671821,5999107,133622,0.0,,,8214,,2379297.0,,187860,1057929,11402230.0,3099332.0,,4170347,11402230.0,,0.0,0.0,18986.0,5447.0,16111,21124,93930,,284349,119695.0,1427511,5403123,149835,466469,0
2015-07-31,2,2015,,,,4753491,2189843,1102445,435351,310676,59626,59626,148075,148075,,,434226,16729,117483,133136,310676,1256234,,,517849.0,677410,260237,,667094.0,2173816,172764,8331,1112118,2015年06月30日,1957506,127527.0,8643368,8530008,0,224123,2565845,6490961,133136,0.0,,,8214,,2608315.0,,338600,1112118,11836023.0,3192655.0,,4917371,11836023.0,,0.0,0.0,14274.0,3196.0,16381,12682,92580,,344424,113360.0,626810,5345062,117483,73073,0
