date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,催收款項,債券換股權利證書,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,銀行長期借款,長期借款合計,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,,531230,,180273,,,35295,2492,,1786,18095,,6898,,,8213,0,9791,,,,218829,,0.0,,,,171603,,1021.0,,154701,,24657,8213.0,,88969,1000205,2013年03月31日,-55046,,,1315786,1315786,0,235224,226167,841293,,19938.0,95,,414946.0,153.0,7413.0,,-55046.0,1000205,,,236025.0,133522,,1551811.0,0.0,,11357,,1645.0,60590.0,,,,,0.0,9858,710518,,0
2013-08-09,2,2013,,,,528828,,152223,,,99509,3487,,3567,6974,,8105,,6035.0,8263,0,6035,,,,257690,,0.0,,,,178695,,1021.0,,117050,,28218,8263.0,,88809,1000205,2013年06月30日,-25442,,,1229505,1229505,0,177570,286414,823147,,18421.0,95,,390202.0,215.0,7521.0,,-25442.0,1000205,,,296322.0,73510,,1525827.0,0.0,,10874,,1645.0,60587.0,,,,,0.0,9908,702680,,0
2013-11-06,3,2013,,,,525652,,126408,,,49316,5086,,3188,4690,,6903,,5595.0,8308,0,5595,,,,226587,,42494.0,,,,152693,,1021.0,,135787,,23791,8308.0,,86762,1000205,2013年09月30日,-51257,,,1160817,1160817,3600000,177570,207720,693712,,6182.0,95,,283178.0,0.0,3212.0,,-51257.0,1000205,,,217673.0,73510,,1378490.0,0.0,,9168,,1645.0,60587.0,,,,,0.0,9953,684778,,0
2014-03-27,4,2013,,,,521648,,22036,,,46190,3371,,600,7541,,2970,,5062.0,7671,1027,5062,,,,187041,,0.0,,,,122741,,,,96649,,22757,6644.0,,87074,964205,2013年12月31日,-155629,,,1058200,1058200,0,177570,176585,588213,,5716.0,95,,265111.0,113.0,3155.0,,-155629.0,964205,,,184342.0,71359,,1242542.0,0.0,,7159,,86.0,34829.0,,,,,0.0,7757,654329,,0
2014-05-13,1,2014,,,,517647,,-13084,,,36340,684,,-15,11095,,3107,,5114.0,7705,1021,5114,,,,137761,,0.0,,0.0,,72190,,,,69887,,19476,6684.0,,83828,964205,2014年03月31日,-190749,,,1024494,1024494,0,177570,119738,504011,,6560.0,95,263409.0,,113.0,3229.0,,-190749.0,964205,,,127529.0,73388,,1152023.0,,,6458,,86.0,34863.0,,,,,,7791,648012,,0
2014-08-12,2,2014,,,,514307,,-42485,,,58748,1104,,589,7602,,2664,,5156.0,7738,1022,5156,,,,124724,,0.0,,0.0,,77372,,,,62280,,38603,6716.0,,83124,964205,2014年06月30日,-64521,,,964842,964842,0,21941,143722,467790,,6740.0,95,231546.0,,0.0,443.0,,-64521.0,964205,,,151578.0,42533,,1116420.0,,,6426,,118.0,39303.0,,,,,,7856,648630,,0
2014-11-11,3,2014,,,,510729,,-91442,,,45665,1794,,-101,6379,,5485,,5612.0,7769,1021,5612,,,,91807,,0.0,,0.0,182915.0,90860,,,,77932,,46317,6748.0,,82554,964205,2014年09月30日,-113478,,,927466,927466,0,21941,142904,617701,,6018.0,95,384815.0,,0.0,984.0,,-113478.0,964205,,,334448.0,54804,,1261914.0,,742.0,8567,,118.0,39300.0,,,,,,191544,644213,,0
2015-03-24,4,2014,,,,456148,,-129876,,,33733,943,,106741,5808,,3721,,5690.0,10923,1021,5690,,711.0,,87679,87679.0,0.0,,0.0,184445.0,66945,,9.0,,69262,,15015,9902.0,156718.0,80714,964205,2014年12月31日,-151912,,,996491,996491,0,21941,106495,558385,,5649.0,95,371510.0,,0.0,518.0,,-151912.0,964205,,,304044.0,55421,,1300535.0,,1274.0,9737,,907.0,37231.0,106030.0,,,,,197549,742150,,0
2015-05-12,1,2015,,,,453464,,-154392,,,26444,429,,106928,11447,,2924,,5827.0,10967,1022,5827,,898.0,,61432,,,,,170260.0,31045,,0.0,,39799,,11213,,156718.0,76840,974510,2015年03月31日,-176428,0.0,599.0,987672,987672,0,21941,68936,501210,9945.0,5208.0,95,,375672.0,,,,-176428.0,974510,1238742.0,251070.0,,60626,1238742.0,,,0.0,9142,2241.0,907.0,37234.0,106030.0,,,,,182134,737532,,0
2015-08-12,2,2015,,,,400255,,-193892,,27500.0,18701,313,,204222,7934,,1677,,5684.0,11009,1021,5684,,583.0,,43799,,,,,129376.0,25782,,0.0,,25075,,16288,,310954.0,73561,974509,2015年06月30日,-215833,,414.0,1087100,1087100,0,21941,52417,454186,9988.0,3710.0,0,,358408.0,,,,-215833.0,1002009,1287126.0,200026.0,,74761,1287126.0,,,0.0,8212,1543.0,7224.0,37233.0,203639.0,,,,,147609,832940,,0
