date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代付款,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項－關係人淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,45417,414328,,-45569,,15944,670,2992,11.0,428,47536,340,6313,2.0,6311,0.0,23287,2715,428,,2699,320236,,0.0,59549,3152,80971,47643,57361,12024,23287.0,500000,2013年03月31日,-45569,,,454859,454859,0,,316562,552374,,2467,,101456.0,,17.0,106833,500000,,1907,,546516.0,,,1001375.0,0,368.0,,29491,206667,,,0.0,229954,449001,3953,16,1779,0
2013-08-08,2,2013,45417,411384,,-35740,,15910,980,2939,240.0,865,47092,358,3000,0.0,3000,0.0,23051,2981,865,,2837,306821,,0.0,51693,2439,81280,60305,50712,13801,23051.0,500000,2013年06月30日,-35740,,,465125,465125,0,,276931,523276,,2222,,83379.0,,13.0,75442,500000,,2095,,502898.0,,,968023.0,0,109.0,,28160,202916,,,0.0,225967,444747,1957,144,1317,0
2013-11-08,3,2013,45000,409368,,-29428,,17015,1100,2627,0.0,512,50656,344,4239,0.0,4239,0.0,22808,2813,512,,2753,313899,,0.0,60865,2840,75415,62227,38553,17737,22808.0,500000,2013年09月30日,-29428,,,471084,471084,0,,256008,537226,,1977,,94651.0,,14.0,46950,500000,,1167,,507983.0,,,979067.0,0,,,27683,229167,,,0.0,251975,441841,3279,60,5312,0
2014-03-28,4,2013,44167,406828,,-18534,,24081,1064,3417,227.0,1091,51597,339,3000,0.0,3000,0.0,20906,2934,1091,,2757,304793,,0.0,64357,5084,83733,74196,52877,13576,20906.0,500000,2013年12月31日,-18534,,,482557,482557,0,,280473,572171,,1778,,118668.0,647.0,18.0,48642,500000,,941,,527629.0,0.0,,1010186.0,327,,,26475,226250,,,0.0,247156,438015,1399,177,7091,0
2014-05-08,1,2014,41667,405630,,-5814,,18730,1159,2260,0.0,1138,45221,1313,3000,0.0,3000,0.0,20705,2561,1138,,2444,300240,0.0,,69070,4334,67161,56605,59507,13951,20705.0,500000,2014年03月31日,-5814,,,495324,495324,0,,254277,560022,,1540,120129.0,,649.0,31.0,45448,500000,,2505,,500904.0,,,996228.0,0,111.0,922.0,26475,225000,,,,246627,436206,4188,117,2241,0
2014-08-08,2,2014,39167,404616,,7718,,19493,989,9159,0.0,490,42929,1288,3000,0.0,3000,0.0,20503,2500,490,,2404,294576,0.0,,65208,3634,79579,66604,40750,13214,20503.0,500000,2014年06月30日,7718,,,508208,508208,0,,224800,543608,,1305,113496.0,,554.0,28.0,10000,500000,,1966,,470156.0,,,978364.0,448,0.0,1103.0,26335,223750,,,,245356,434756,2781,96,2474,0
2014-11-08,3,2014,36667,402784,,19728,,19588,1469,3313,0.0,1357,43855,797,3000,,3000,,20307,12701,1357,,2575,300569,0.0,,65157,4512,80914,62817,50302,15281,20307.0,500000,2014年09月30日,19728,,,521085,521085,0,,242956,556298,,1174,113576.0,,710.0,41.0,25294,500000,,1457,,477403.0,,,998488.0,0,1183.0,1640.0,25531,212500,,,,234447,442190,6216,10126,6391,0
2015-03-30,4,2014,5000,401351,,35507,,31737,963,4167,0.0,2617,13764,350,4086,1086.0,3000,,20426,13014,2617,,2692,311442,0.0,30000.0,87797,5330,83156,91889,62978,15131,20426.0,500000,2014年12月31日,35507,,,538124,538124,0,,238276,604340,,2013,110408.0,,953.0,58.0,11657,500000,,2919,,507234.0,0.0,,1045358.0,0,1729.0,2282.0,24640,216250,0.0,,,268958,441018,2452,10322,8414,0
2015-05-14,1,2015,5000,403675,,39991,0.0,23111,1314,4069,0.0,2177,14102,334,3000,0.0,3000,,20201,16666,2177,,3768,336383,,30000.0,86696,6667,93204,90855,69464,12211,,500000,2015年03月31日,39991,1280.0,77.0,542168,542168,0,,309925,688873,20201.0,1768,,167389.0,,,80785,500000,1135445.0,2647,593277.0,,0.0,1135445.0,,119,0.0,3151.0,24463,230000,,,0.0,283352,446572,5425,12898,8768,0
2015-08-10,2,2015,35000,403712,,59318,0.0,24142,1419,5585,0.0,1645,40621,411,36946,0.0,36946,,19980,23287,1645,,4748,357019,,0.0,105715,5727,125369,112684,89438,14747,,500000,2015年06月30日,55741,3651.0,49.0,560963,560963,0,3577.0,467391,829820,19980.0,1522,,210059.0,,,158569,500000,1280576.0,2076,719613.0,,,1280576.0,,102,0.0,3492.0,22235,228750,,,0.0,252222,450756,3293,18539,5210,0
2015-11-11,3,2015,35000,414270,,107697,0.0,26505,1594,6394,0.0,5958,38430,377,45731,,45731,,19731,27021,5958,,5317,398541,,0.0,90061,5671,153502,75636,119012,15046,,500000,2015年09月30日,104120,3834.0,49.0,613655,613655,0,3577.0,498464,904724,19731.0,1276,,228925.0,,,177300,500000,1366642.0,1567,752987.0,,,1366642.0,,0,7539.0,7292.0,19351,227500,0.0,,0.0,254523,461918,7851,21704,3053,0
2016-03-21,4,2015,35000,436191,,100222,0.0,38277,1420,4921,0.0,2758,37852,348,6000,,6000,,29105,7375,2758,,5576,410994,,0.0,86510,8216,121794,96267,96359,13007,,500000,2015年12月31日,96645,4172.0,49.0,602980,602980,0,3577.0,466386,843950,29105.0,1046,,211870.0,,,166298,500000,1308560.0,1847,705580.0,,,1308560.0,,0,1847.0,3839.0,19998,206250,0.0,,0.0,239194,464610,2636,1799,2504,0
