date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付股利,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅資產,銀行借款,銀行長期借款,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,59578.0,59578,1672240,2132628,,,65168,458076,398498,60460,47345.0,13115.0,,,135534,48291,,65168,65168,451797,451797,0,,,625554,,1345478,811643,2013年03月31日,1888848,4583270,4583270,0,243780,1312755,5076629,0.0,,3218894.0,229125,1888848.0,811643,,,2311419.0,1573831,,6894689.0,,397865,,10286,229125,600799,600799,87243,0,998664,1818060,0
2013-08-12,2,2013,59578.0,59578,1681115,2047717,243492.0,5322.0,124239,386457,326879,40863,,,,,132373,44738,,124239,124239,428522,428522,56633,,,483393,243492.0,1350453,811643,2013年06月30日,1713016,4379051,4379051,962000,285186,1433342,5090356,49515.0,,3265196.0,320000,1713016.0,811643,,,2532219.0,1452085,,6911270.0,,409510,,7426,320000,689367,689367,87635,0,1098877,1820914,0
2013-11-07,3,2013,49578.0,49578,1625869,2163575,,4331.0,77048,377316,327738,41937,,,,,126423,40456,,77048,77048,422684,422684,56633,,,619383,,1415364,811643,2013年09月30日,1828874,4447718,4447718,962000,285186,1253689,5164015,49515.0,,3279699.0,256990,1828874.0,811643,,,2477181.0,1452085,,6924899.0,,408024,,8592,256990,815468,815468,85967,0,1223492,1760884,0
2014-03-10,4,2013,124091.0,124091,1619780,2253121,,5188.0,141413,464277,340186,34911,,,,,126910,40432,,141413,141413,360524,360524,95166,,,612510,,1340211,811643,2013年12月31日,1918420,4563096,4563096,1861000,285186,1305617,5246231,49515.0,,3505397.0,228830,1918420.0,811643,,,2439413.0,1452085,,7002509.0,,434218,,9588,228830,699578,699578,86478,0,1133796,1756278,0
2014-05-13,1,2014,,49578,1609559,2297091,,9184.0,146609,329320,279742,37388,,,,,122447,35524,,146609,146609,353517,353517,56634,0.0,412138.0,412138,,869229,802653,2014年03月31日,1962390,4625721,4625721,962000,285186,1050453,5022067,49515.0,3752749.0,,308995,,802653,,,2140033.0,1436002,,6765754.0,,452396,452396.0,11681,308995,637184,637184,86923,0,1089580,1743687,0
2014-08-04,2,2014,,249578,1561879,2117084,237910.0,8420.0,69648,552767,303189,51959,,,,,117420,32681,,69648,69648,341894,341894,56634,0.0,421825.0,421825,237910.0,1022849,802653,2014年06月30日,1803753,4368753,4368753,962000,313331,1456625,4997847,0.0,3572725.0,,244123,,802653,,,2323390.0,1436002,,6692143.0,,441976,441976.0,14997,244123,424789,424789,84739,0,866765,1694296,0
2014-11-10,3,2014,,49578,1540674,2202588,0.0,7851.0,170634,362256,312678,44806,,,592.0,592.0,118655,32632,,170634,170634,398917,398917,56634,0.0,598932.0,598932,0.0,1204256,802653,2014年09月30日,1889257,4555243,4555243,962000,313331,1258918,5293083,0.0,3637253.0,,297730,,802653,,,2407650.0,1436002,,6962893.0,,485745,485745.0,10481,297730,662395,662395,86023,0,1148732,1669810,0
2015-03-17,4,2014,49578.0,49578,1559478,2292972,,9148.0,319136,366010,316432,47923,,,,,118526,29879,,319136,319136,377037,377037,56634,0.0,,551554,,1250208,802653,2014年12月31日,1979641,4794129,4794129,962000,313331,1223289,5533750,0.0,3146671.0,,305725,1979641.0,802653,,,2427510.0,1436002,,7221639.0,702763.0,554221,,9885,305725,650000,650000,88647,0,1204221,1687889,0
2015-04-28,1,2015,,37184,1543819,2299306,,9085,273040,287180,249996,56720,,,,,147065,59903,,273040,273040,426041,426041,56634,0,529924,529924,,925012,802653,2015年03月31日,1985975,4754367,4754367,962000,313331,1120554,5360159,0,,3043680,303450,,802653,7065272,2310905,,1436002,7065272,,899621,540351,540351,14229,303450,650000,650000,87162,0,1190351,1705113,0
2015-08-06,2,2015,,174789,1581473,2109821,277562.0,4755.0,208255,482508,307719,66883,,,,,130826,45431,700655.0,208255,208255,480958,480958,56634,0.0,612217.0,612217,277562.0,1215589,802653,2015年06月30日,1767368,4460445,4460445,962000,342453,1765457,5517138,0.0,,3048298.0,393170,,802653,7255486.0,2795041.0,,1396350,7255486.0,,700655.0,529584,529584.0,26049,393170,500000,500000,85395,0,1029584,1738348,0
2015-11-09,3,2015,,512395,1667061,2248413,0.0,6258.0,403336,866009,353614,56346,,,,,137114,47574,1132305.0,403336,403336,490909,490909,56634,0.0,640678.0,640678,0.0,1575239,802653,2015年09月30日,1905960,4794118,4794118,962000,342453,1870842,5624763,0.0,,2363706.0,364155,,802653,7450125.0,2656007.0,,1396350,7450125.0,,1132305.0,635165,635165.0,21187,364155,150000,150000,89540,0,785165,1825362,0
2016-02-24,4,2015,0.0,0,1611473,2394488,,3010.0,271639,396794,396794,61565,,,,,108966,21347,,271639,271639,426734,426734,56634,0.0,,532479,,1494506,802653,2015年12月31日,2052035,4808496,4808496,962000,342453,1373136,5734224,,,3335760.0,443863,2052035.0,802653,7478212.0,2669716.0,,1396350,7478212.0,,412649.0,646580,,23549,443863,650000,650000,87619,0,1296580,1743988,0
2016-04-27,1,2016,,100000,1552928,2480188,,2272.0,235373,429893,329893,55606,,,,,120202,34325,,235373,235373,415281,415281,56634,0.0,417305.0,417305,,1218524,802653,2016年03月31日,2137735,4857930,4857930,962000,342453,1236901,5488649,0.0,,2704049.0,389703,,802653,7190271.0,2332341.0,,1396350,7190271.0,,1092917.0,645440,645440.0,28492,389703,450000,450000,85877,0,1095440,1701622,0
2016-07-29,2,2016,,100000,1492830,2333099,317213.0,2711.0,138789,457964,357964,57716,,,,,115312,30740,606020.0,138789,138789,370329,370329,56634,0.0,422465.0,422465,317213.0,1263833,802653,2016年06月30日,1956703,4598396,4598396,962000,376396,1587930,5658509,0.0,,3357900.0,390288,,802653,7293831.0,2695435.0,,1380489,7293831.0,,606020.0,657505,657505.0,27180,390288,450000,450000,84572,0,1107505,1635322,0
2016-10-27,3,2016,,100000,1430510,2478613,,2699.0,-8064,477716,377716,54459,,,,,111340,29809,596785.0,-8064,-8064,420255,420255,0,0.0,552696.0,552696,,1368696,793033,2016年09月30日,2102217,4627525,4627525,0,376396,1551708,5878762,0.0,,3435868.0,521296,,793033,7450377.0,2822852.0,,1363943,7450377.0,,596785.0,621144,621144.0,29765,521296,650000,650000,81531,0,1271144,1571615,0
